title,source,time,summary
最长9小时!长春最新停电信息,吉林日报,4月21日,原长虹），安际汽车，长春一汽四环汽车管路有限公司，卡斯马汽车系统（上海）有限公司长春分公司，长春塔奥金环汽车制品有限公司，长春市力众模具制造有限公司，吉林济业工贸集团有限公司，长春霍富汽车锁有限公司。
除了一汽和长白山 吉林还有数字经济这个新标签,搜狐网,2020年7月21日,"一说到作为东北亚地理中心的吉林省,人们通常都会想到有着“关东第一山”之称的长白山,以及一直被称为汽车业“共和国长子”的一汽集团。不止如此,吉林省在许多层面也非常突出,这里还是我国重要的工业基地、教育强省和农业强省。"
建行吉林省分行为汽车行业供应链保驾护航,中国金融新闻网,2020年6月23日,"在保汽车行业供应链稳定的道路上,既要保生产也要促销售。为此,该分行携手一汽轿车销售有限公司,历时2个月打造“裕农奔腾”汽车销售撮合平台,主动释放金融科技动能,赋能“裕农通”平台新场景,实现网络和资源渠道的共享,开辟了乡村服务与汽..."
一汽-大众累计捐款4000万元 500辆免费共享汽车征战长春疫情防控...,吉林广播网,2020年2月16日,"作者:王丹 编辑:刘超 来源:吉林日报 2020-02-16 07:47 日前,记者从一汽-大众汽车有限公司获悉,该企业在累计捐款4000万元人民币并为相关医务工作者提供暖心服务的基础上,旗下共享汽车品牌摩捷又提供了500辆防疫用车,免费提供给长春市..."
11月30日上市公司重要公告集锦:一汽富维实控人将变更为吉林省国资委,证券日报,2019年11月29日,"一汽富维:控股股东将变更为亚东投资实控人将变更为吉林省国资委 一汽富维(600742)公告,中国第一汽车集团有限公司(简称“一汽集团”)拟向吉林省亚东国有资本投资有限公司(简称“亚东投资”)转让2538.28万股公司股份,占公司总股本的5%。"
一汽-大众与大众汽车集团签订合作备忘录,吉林新闻网,2019年11月6日,"中新网吉林新闻11月6日电(记者 李彦国)记者6日从一汽-大众汽车有限公司获悉,由国资委组织的中外企业合作论坛在第二届中国国际进口博览会上举办,新一轮的国内外企业深度进口合作正式拉开帷幕。本次论坛上,一汽-大众汽车有限公司与大众汽..."
"一汽吉林计划混改,最强意向入住者宝雅信誉成疑",财经网,2019年7月29日,"一汽吉林混改正在进行时,与宝雅新能源合作一事还在商谈中,这两件事都关乎到一汽吉林员工的切身利益。一汽吉林似乎在谋求新的出路,计划混改。 一汽吉林员工向财经网反馈消息称,一汽吉林从去年底开始,就和山东宝雅新能源汽车有限公司(以下..."
"一汽撤销奔腾和解放事业部,改由总部直接管_车家号_发现车生活...",搜狐网,2019年3月10日,"一汽撤销奔腾和解放事业部,改由总部直接管理。近日,中国第一汽车集团下发了一份内部通知文件,宣布撤销解放事业本部和奔腾事业本部。该文件中称,为了遵循《关于明确一汽吉林汽车有限公司、天津一汽夏利(参数|图片)汽车股份有限公司管控的通知..."
博郡汽车与一汽达成战略合作 上演“马太效应”,汽车大世界,2018年3月22日,"关于未来如何更好发展新能源汽车,两会代表、委员纷纷建言献策。 作为中国汽车老大哥的一汽自然不甘落后。3月16日,一汽吉林汽车有限公司与南京博郡新能源汽车有限公司签署了战略合作协议,就合作生产车型的开发、生产、销售等事项,达成合作,..."
黑马崛起 一汽吉林的奋斗史,汽车产经网,2017年3月8日,"”一汽吉林销售有限公司副总经理刘洪波在接受汽车产经网专访时表示,上海联电是一个全球的供应商,但由于整个行业需求大,于是对各家相应削减,森雅R7也受影响。 不过,刘洪波强调,在产能受困的情况下,森雅R7仍在市场上取得了较好成绩,这令..."
发动机三年损坏?一汽吉林解放T90,全民舆车,2月22日,一汽吉林汽车有限公司是中国第一汽车集团公司的全资子公司，是一汽集团的小型乘用车、商务用车生产基地。2005年10月，与日本大发签署技术许可协议，引进大发小型乘用车产品。相信大家看到这里都已经对于一汽吉林有了一个简单的了解，那么我们便...
德宏股份(603701.SH)成为一汽吉林电子真空泵及相关产品的供应商,智通财经,2020年11月10日,"智通财经讯,德宏股份(603701.SH)发布公告,公司于近日收到一汽吉林汽车有限公司(简称“一汽吉林”)的供应商提名信,公司被确定为一汽吉林电子真空泵及相关产品的供应商,后续将立即开展产品开发工作,签订试制协议等。据悉,一汽吉林原为中国..."
山东宝雅一汽吉林新能源汽车基地落地烟台,大众日报,2020年9月30日,作为烟台汽车产业转型升级的标志性项目，山东宝雅•一汽吉林新能源汽车基地仅用半年时间完成项目开工准备。据介绍，山东宝雅新能源汽车股份有限公司去年底完成对一汽吉林汽车有限公司增资扩股后，依托一汽吉林整车资质和品牌优势，在烟台投建新...
年产10万辆新能源汽车!宝雅一汽吉林新能源汽车基地在烟开工,齐鲁壹点,2020年9月26日,据介绍，山东宝雅新能源汽车股份有限公司去年底完成对一汽吉林汽车有限公司增资扩股后，依托一汽吉林整车资质和品牌优势，在烟台投建新能源汽车生产基地，同步设立研发中心、销售及进出口等机构。项目总投资100亿元，分两期建设，其中一期总投资...
"吉林微型汽车厂的前世今生,曾经跻身微车圈第一阵营的它现在啥样",铁锤侃侃,2020年7月22日,"解放轻卡和解放微客成了吉林吉林汽车厂的主要产品。直到1999年9月CA6350""佳宝""微型客车下线，吉林汽车厂才摆脱了解放品牌有了属于自己的佳宝系列。2004年吉林汽车厂完成公司制改革并更名为一汽吉林汽车有限公司，""一汽佳宝""的名称也正式开始..."
一汽吉林汽车通过混改实现增资扩股,新华社,2019年12月27日,"新华社长春12月27日电(记者王晓林、张建)一汽吉林汽车有限公司增资扩股签约仪式27日举行。此次增资扩股是中国第一汽车集团有限公司与山东宝雅新能源汽车股份有限公司共同推动的混合所有制改革成果。混改后,山东宝雅将一次性出资15亿元,持有新..."
一汽吉林汽车增资扩股签约仪式在长春举行,新华网客户端,2019年12月27日,"12月27日,一汽吉林汽车有限公司增资扩股签约仪式在长春中国一汽总部举行。增资扩股后山东宝雅持有新公司70.5%股权,中国一汽持有新公司29.5%股权。中国一汽是中国汽车工业的摇篮,承载着中国人的汽车梦。风雨辉煌66年间,中国一汽为民族汽车..."
王庭凯赴一汽吉林汽车有限公司调研,搜狐网,2019年8月9日,"在一汽吉林汽车有限公司,王庭凯参观了公司整车装配生产车间,详细了解了公司历年经营状况、2019年工作情况、改革进展和面临的一些困难等情况,并与公司相关负责人展开座谈。 王庭凯指出,一汽吉林汽车有限公司作为中国第一汽车集团公司的全资子公司..."
“吉林市‘早见效、稳增长’汽车(一汽吉林)展销会”隆重开幕,搜狐网,2019年7月29日,"为贯彻落实“六稳”工作要求和省委省政府、市委市政府“早见效、稳增长”专项行动精神,根据《吉林市“早见效、稳增长”专项行动实施方案》安排,由吉林市商务局主办;吉林欧亚综合体承办;各城区、开发区商务部门,一汽吉林汽车有限公司,市汽..."
又一低速电动车企逆袭 山东宝雅15亿拿下一汽吉林70.5%股权,新浪财经,2019年12月27日,"来源:经济观察报经济观察网 记者 王海宣 继雷丁汽车之后,又一家山东低速电动车企入主高速车企。12月26日,上海联合产权交易所公布了一汽吉林汽车有限公司增资项目。公告显示,山东宝雅新能源汽车股份有限公司(以下简称“宝雅新能源”)投资..."
"一汽吉林汽车增资扩股签约,国企混改迈出新步伐 | 中国汽车报",搜狐网,2019年12月27日,"雪后长春,阳光明媚。新年前夕,一汽吉林汽车混改传来喜讯。12月27日上午,一汽吉林汽车有限公司增资扩股签约仪式在中国一汽总部举行,这意味着一汽吉林汽车面向美好未来,迈出崭新步伐。 “这是中国一汽和山东宝雅合作的重要里程碑。我们对新公司..."
公司并购│进军乘用车市场 宝雅新能源15亿拿下一汽吉林70.5%股权,搜狐网,2019年12月27日,"一汽吉林汽车有限公司增资项目已成交,山东宝雅新能源汽车股份有限公司以15亿元获得一汽吉林70.5%的股权。 继雷丁汽车通过收购野马汽车进入乘用车市场之后,又一家山东低速电动车企业将通过并购涉足乘用车领域。"
一汽吉林接盘者落定 宝雅投资15亿元获70.5%股权,网通社,2019年12月27日,"一汽吉林此前在上海产权交易所挂牌交易,为募集15亿元资金拟转让70%股权。在多家投资者竞标中,山东宝雅新能源汽车股份有限公司中标概率最大。日前,网通社从上海联合产权交易所获悉,一汽吉林汽车有限公司增资项目落定,山东宝雅新能源汽车股份..."
