title,source,time,summary
一汽红塔公狮S1上市锡柴劲威4DB推介会,搜狐网,2019年8月31日,参加此次活动的有:一汽红塔福建商代处经理李海俊、一汽红塔福建商代处产品经理刘洋、一汽解放发动机事业部福建分公司总经理孔令传、一汽解放发动机事业部福建分公司副总经理李宏志、龙岩经销商郑雨来、福州经销商王善劲、泉州木进贸易有限公司总...
工信部第323批新车公示:腾势X/敏安MX-6/比亚迪宋pro等307款新能源...,买车网,2019年8月15日,103 一汽红塔云南汽车制造有限公司 解放牌 纯电动多用途货车 CA1030C90BEV 104 郑州日产汽车有限公司 东风牌 纯电动厢式运输车 ZN5030XXYV2YBEV 105 郑州宇通重工有限公司 宇通牌 纯电动多功能抑尘车 YTZ5180TDYD0BEV 106 中国第一汽...
现场交车1台 钦州荣兴汽贸解放霸铃交付,卡车之家,2019年7月18日,"【卡车之家 新闻】本站2019年07月18日最新消息,钦州市荣兴汽车贸易有限公司是凭借其出色的产品、精良的质量和显著的特色赢得了黄总公司的青睐,双方达成合作协议,并于今日在钦州荣兴汽车城交付1台一汽红塔 解放霸铃 95马力 3.8米排半栏板..."
工信部第321批新车公示:哪吒N01/奥迪e-tron/奔驰E300等286款新...,第一电动网,2019年6月18日,"2019年6月18日,工业和信息化部在官方网站公示了申报第321批《道路机动车辆生产企业及产品公告》(以下简称《公告》)新产品,公示期7天,截止到6月24日。 申报新能源汽车产品的共有78户企业的286个型号,其中纯电动产品共74户企业256个型..."
云南:减税降费助力企业创业创新更上一层楼,搜狐网,2019年6月6日,"“我们生产的新能源汽车主要用于物流运输,在2018年下半年实现量产,销售了200余台,目前销量还不大,但是客户对产品体验的反响不错。”在一汽红塔云南汽车制造有限公司产品展示区,公司财务部部长高余坤作了介绍。"
3款曲靖产新能源车年底亮相,云南网,2018年10月9日,"如今,一汽红塔云南汽车制造有限公司先试先行,历时3年,研发了3款新能源汽车,将于年底投入市场。 据了解,一汽红塔云南汽车制造有限公司已具有年产10万辆整车生产能力,具有独立出口资质,致力于成为西南的轻卡生产基地、面向东南亚的出口基地。"
工信部第10批新能源汽车推荐目录:威马/理念/金康等212款车型入榜,第一电动网,2018年10月7日,"9月30日,工信部发布了《新能源汽车推广应用推荐车型目录(2018年第10批)》,共包括104户企业的212个车型,其中纯电动产品共100户企业194个型号、插电式混合动力混合动力产品共5户企业6个型号、燃料电池产品共5户企业11个型号。"
120人拟入选2018年云南省“两类”人才,搜狐网,2018年8月20日,43.一汽红塔云南汽车制造有限公司 廖克明 44.西双版纳华坤生物科技有限责任公司 王云 45.文山州农业科学院 何金宝 46.文山三七研究院 王勇 47.曲靖市麒麟区农业技术推广中心 胡家权 48.怒江州兰坪县畜牧科技推广站 李俊东 ...
南博会曲靖展馆展出哪些内容?提前为您揭秘!,搜狐网,2018年6月8日,"云南驰宏锌锗股价有限公司的6万吨艾萨炉装置处于世界领先水平;此外,中健博能太阳能科技有限公司、一汽红塔云南汽车制造有限公司、云南奋精电子科技有限公司、高科新农无人机、云南驰宏锌锗股份有限公司、云维集团大为制氨有限公司、云南富源..."
"又是皮尺部杰作,一汽红塔皮卡涉嫌“抄袭”福特探险者",搜狐网,2018年5月17日,"要说这众泰,他说自己的是 "" 皮尺部 "" 第二,可能你们会觉得没人敢认第一了。但小编不以为然,下面我给你看看一汽这台车,相信你可能跟看了昨晚老罗的发布会一样被吓尿了。 没错就是这台,一汽红塔旗下全新皮卡——蓝舰 T340,..."
