title,source,time,summary
"销量暴跌北汽新能源新领导上任,刘宇出任经理一职",AC汽车行业关注,2020年7月25日,资料介绍，刘宇先生1976年11月出生，毕业于北京理工大学工商管理专业。2012年11月至2015年10月，历任北京汽车销售有限公司副总经理、总经理；2015年10月至2016年6月，任北京汽车股份有限公司采购中心主任；2016年6月至2018年6月，任北京...
刘宇履新后打响转型攻坚战:北汽新能源开始向自己“动刀”,每日经济新闻,2月4日,北汽新能源董事长刘宇（图片来源：企业供图）1月29日晚间，北汽新能源的上市主体——北汽蓝谷新能源科技股份有限公司（以下简称北汽蓝谷）发布了2020年的业绩预告。预告显示，2020年度北汽蓝谷归属于上市公司股东的净利润为-60亿到-65亿元...
"北汽新能源刘宇:携手企业合作伙伴,共享最新技术",易车网,2020年11月12日,"资料显示,北汽蓝谷麦格纳汽车有限公司(以下简称蓝谷麦格纳)是由北汽新能源控股90.2%的卫蓝新能源产业投资有限公司和汽车零部件制造商麦格纳按照51:49的股比共同出资的。在谈及为何选择和蓝谷麦格纳进行合作时,北汽新能源刘宇认为,蓝谷麦格纳希..."
"北汽新能源刘宇接班成困局,恐怕不是救火英雄还明升暗贬",MiVo的车库,2020年7月4日,"之前，根据媒体报道，北京现代常务副总经理刘宇将辞去该职位，并接替马仿列出任北汽蓝谷董事、经理，以及北京新能源汽车股份有限公司（下称""北汽新能源""）总经理等职务。""内部还没有正式下文，但是人事的流程已经在走了。""北京现代一位..."
"刘宇:从北现“配角”转战北汽新能源,出局还是重任?",搜狐网,2020年6月9日,"从销量上看,2019年全年,北京新能源汽车股份有限公司累计销量为15.06万辆,同比下降4.69%。2020年第一季度实现销量9000辆,同比下降64.1%。4月销量仅为585辆,去年同期为5009辆,下跌的幅度达到88.3%;4月北汽新能源车产量仅为432辆,较..."
刘宇接任姜德义出任北汽蓝谷董事长,搜狐网,1月26日,"官方资料显示,刘宇2012年11月至2015年10月,历任北京汽车销售有限公司副总经理、总经理;2015年10月至2016年6月,任北京汽车股份有限公司采购中心主任;2016年6月至2018年6月,任北京汽车股份有限公司副总裁,其中2016年10月至2018年6月兼任..."
"陈昊、刘宇擢升,预示着70后高管走上大集团核心岗位",腾讯网,2020年12月25日,"12月30日,北汽集团也爆出一系列人事变动,其中最受瞩目的是北汽新能源党委书记、总经理刘宇被提拔为北汽集团总经理助理,同时出任北汽新能源董事长,北京汽车研究总院党委书记、董事长。 此前,刘宇曾担任过北京汽车销售有限公司副总经理、总..."
刘宇有点蓝 谷底望反弹,汽势传媒,2020年7月29日,#北汽蓝谷刘宇# 汽势Auto-First|孙金凤 马仿列辞去北汽新能源党委副书记、总经理职务月余后，北汽蓝谷7月24日发布公告，宣布原北京汽车股份有限公司副总裁兼任北京现代汽车有限公司常务副总经理刘宇，接替马仿列出任公司总经理。据汽势Auto-...
刘宇:“救火队长”压倒骆驼的最后一根稻草?,腾讯网,2020年8月6日,"作为在2010年一手见证北汽新能源和北汽自主业务挂牌重组,并以此为跳板,在短短一年内由北京汽车销售本部副本部长升任北京汽车销售副总经理,又于2013年出任北京汽车销售有限公司总经理的刘宇,又回到了这个步履艰难的企业。"
背水一战的北汽新能源,BusinessCars,3月1日,1月初，北汽蓝谷发布了最新数据显示，北汽新能源2020年累计销量为2.59万辆。这个数字狠狠地拍打着这家曾有着近乎光辉战绩的车企。在2020年12月份产销数据快报中显示，2020年12月公司子公司北京新能源汽车股份有限公司实现产量767辆；2020...
姜德义辞职 刘宇接任北汽蓝谷董事长,汽车之家,1月26日,"姜德义辞职 刘宇接任北汽蓝谷董事长 [汽车之家资讯] 1月25日,北汽蓝谷新能源科技股份有限公司(简称:公司)发布公告称,公司董事会于近日收到姜德义先生递交的《辞职函》,姜德义先生因工作原因向董事会提出辞去公司九届董事会董事长、董事..."
刘宇正式任职北汽新能源总经理 北汽新能源能否走出低谷?,易车网,2020年7月28日,"日前,北汽蓝谷新能源科技股份有限公司官方发布,刘宇先生将成为北汽蓝谷新能源科技股份有限公司经理。 7月24日,北汽蓝谷发布公告,经公司董事会提名委员会提名,同意聘任刘宇先生为公司经理,自董事会审议通过之日起履职。"
"换帅5个月后,北汽集团人事大调整",北京日报客户端,2020年12月30日,今年7月，刘宇从北汽股份副总裁、北京现代常务副总的岗位上转战北汽新能源，接替因个人身体及年龄等原因卸任的马仿列，成为新任总经理。陈宏良在北汽股份的总裁职务，将由副总裁黄文炳接下。按照最新任免名单，黄文炳出任北京汽车股份有限公司...
"领导框架确立,携手华为的北汽蓝谷能否逆流而上?",车语者,8天前,资料显示，代康伟于2008年加入北汽集团，时任新能源汽车开发工程师，2013年其开始专注纯电动乘用车研发，研发领域是高能量密度、高热管理性能和高安全性能电池。此后代康伟又相继担任北京新能源汽车股份有限公司三电系统技术负责人、北京新能源...
北汽蓝谷高管平均年龄创新低 80后代康伟出任总经理,网易汽车,9天前,"2008年,代康伟加入北汽集团,时任新能源汽车开发工程师。 2013年代康伟开始专注纯电动乘用车研发,曾任北京新能源汽车股份有限公司三电系统技术负责人。 曾任北京新能源汽车股份有限公司工程研究院副院长,高级工程师。"
"代康伟出任总经理,“刘代组合”能否带北汽蓝谷走出低谷?",电车之家网,8天前,"对于这次的调整,多数人都认为,这是继刘宇出任北汽新能源和北汽蓝谷党委书记、董事长之后,北汽新能源和北汽蓝谷的又一重大人事任命。 在本次任命之前,代康伟的职务为北京新能源汽车股份有限公司工程研究院党委委员、副院长兼蓝谷动力系统分..."
...北汽蓝谷|北汽新能源|姜德义|北京汽车股份有限公司|北汽集团|...,腾讯网,1月16日,"不到半年时间,刘宇从经理升任董事长。资料显示,刘宇于2012年11月至2015年10月历任北京汽车销售有限公司副总经理、总经理;2015年6月至2018年6月,历任北京汽车股份有限公司采购中心主任、副总裁等职位;2018年6月至2020年6月,担任北京汽车..."
北京车展专访北汽股份销售部副部长刘宇,汽车之家,2012年4月24日,"主持人:各位网友大家好,我们现在在2012北京车展的现场。今天来到我们汽车之家展台接受采访的是北京汽车股份有限公司销售本部副本部长刘宇。刘部长,您好。 刘宇:各位网友大家好。 主持人:刘部长我们在这次北京车展上看到了北汽有很多款新车,..."
