title,source,time,summary
2019年度高等学校科学研究优秀成果奖(科学技术)通用项目通讯评审...,中国教育和科研计算机网,2019年9月3日,"(集团)有限公司, 北京先锋创新科技发展有限公司 科学技术 进步奖 一等奖/二...(上海)新能源有限公司,江苏省 华扬太阳能有限公司 科学技术 进步奖 一等奖...孙敏,潘思铭 电子科技大学,中国电子科技集团公司第九 研究所,成都市易冲..."
第四届对非投资论坛综述:共筑中非合作美好未来,湖南省人民政府门户网站,2018年9月9日,"明年,首届中非经贸博览会将在湖南举办,并永久落户湖南。乘着第四届对非投资论坛的东风,湖南与非洲的合作,正向着深耕细作、持久发展的新阶段迈进。 (文/ 周月桂 孙敏坚 何金燕)"
...报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司...,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2018年8月16日,"2530 兴全基金管理有限公司 兴全精选混合型证券投资基金 A 800 1,828 2531 兴全基金管理有限公司 兴全绿色投资混合型证券投资基金(LOF) A 800 1,828 2532 兴全基金管理有限公司 兴全沪深300指数增强型证券投资基金(LOF) A 800 1..."
20年专注海外债 广发基金孙敏掌舵首只全球收益债基,中国经济网,2018年8月9日,"其实,在基金管理公司中还有另一类专业投资人同样优秀,那就是专户投资经理。他们为特定的投资者服务,即使业绩出色也很难有机会在大众投资者面前展现。 广发基金国际业务部债券投资负责人孙敏就是其中一位。她拥有20年国家外汇管理局工作经验..."
深学深悟 真用笃行 以实干实绩推动湖南高质量发展 ——社会各界...,湖南在线,2018年8月8日,"徐德荣 蒋剑平 王晗 孙敏坚 张斌 从省直部门到基层一线,从机关干部到企业高管,连日来,社会各界持续热议《湖南日报》深入学习贯彻习近平总书记对湖南工作的重要指示精神系列社论。大家表示,贯彻落实习近平总书记对湖南工作的指示精神,关键是善..."
...报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司...,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2018年6月11日,2124 上海泊通投资管理有限公司 上海泊通投资管理有限公司-泊通泊岸1号基金 27.52 850 有效报价 2125 靳晓堂 靳晓堂 27.52 850 有效报价 2126 浙江省能源集团财务有限责任公司 浙江省能源集团财务有限责任公司自营投资账户 27.52 85...
...报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司...,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2018年5月16日,2172 莱茵达控股集团有限公司 莱茵达控股集团有限公司 C 320 302  2173 上海泊通投资管理有限公司 上海泊通投资管理有限公司-泊通泊岸1号基金 C 320 302  2174 上海泊通投资管理有限公司 上海泊通投资管理有限公司-泊通新价值1号基金...
...报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司...,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2018年5月9日,2271 西藏信托有限公司 西藏信托有限公司 0899097915 300 411  2272 肇庆市华利达投资有限公司 肇庆市华利达投资有限公司 0800130589 300 411  2273 华峰集团有限公司 华峰集团有限公司 0800031483 300 411  2274 金世旗国际控股股份有限公司...
...报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司...,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2018年4月11日,3523 广州金融控股集团有限公司 广州金融控股集团有限公司 B881303992 400 547  3524 华宝证券有限责任公司 华宝证券宝钢国际1号定向资产管理计划 B880747711 400 547  3525 华宝证券有限责任公司 华宝证券有限责任公司自营投资账户 D890775960...
...报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司...,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2018年3月16日,2137 申万菱信基金管理有限公司 申万菱信消费增长混合型证券投资基金 D890768688 2000 5696 2138 申万菱信基金管理有限公司 申万菱信新能源汽车主题灵活配置混合型证券投资基金 D899904176 2000 5696 2139 上银基金管理有限公司 上银新兴价值...
【5.06】辽宁省启动源网荷储、多能互补项目申报;西部首条光伏玻璃...,世纪新能源网,前天,"4月30日,总投资64亿元的光伏发电(新能源)项目合作协议签约仪式在江西省南丰县县行政大厦举行。据了解,这次签约的两个光伏电项目分别是卓阳集团投资40亿元建设1GW农光互补光伏电站项目,规划容量1GW。华能江西清洁能源公司投资24亿元建设农..."
公司系统各单位实现首季“开门红”,同花顺财经,4月3日,"盯紧电网负荷曲线,积极主动与调度进行沟通联系,抓住一切时机提高实时负荷率,度电必争,积极营造全员全力以赴增发电量的良好氛围。(孙敏) 毛尖山水电 截至3月30日,国电电力毛尖山水电公司年内完成发电量1724.28万千瓦时,完成一季度生产..."
昆明今年将新建新能源汽车充电桩7.8万枪,网易,3月21日,"新华网昆明3月21日电(记者 孙敏)记者从昆明市新能源汽车运营信息管理及服务平台获悉,到2022年底,昆明市新能源汽车投放数量累计将达10万辆。为满足新能源车主充电需求,昆明市在前期建设充电设施的基础上,今年将新建各类新能源汽车充电桩7..."
昆明施策解决新能源车“充电焦虑”,新华网客户端,2020年12月24日,"这是2020年12月21日拍摄的,位于昆明恒隆广场地下B2层停车场的昆明发展集团充电场站 新华网昆明12月24日电(记者 孙敏)近期,随着昆明国际车展举办及昆明市政府新能源汽车消费券正式发放,昆明新能源汽车市场又迎来一次产销“小高潮”。截至..."
感动!80后辅警写了一首送给家乡的歌,网易,2020年12月20日,"根据小时候和同伴玩耍的场景就写了一些回忆,写完后就发给了同村的老乡孙敏, 她从小热爱音乐,大学也是音乐系毕业,现在在高新区实验小学当老师。俩人交流了彼此的想法之后,便想作个曲创作成一首歌,她用几天的时间就根据词给作了曲,唱着..."
"2020全球汽车产业峰会 | 付于武:企业转型千人千面,要从市场中寻找...",第一电动网,2020年10月29日,"最后,再推销一下节能和新能源汽车技术路线图2.0版,这是聚千位专家智慧而形成的一个成果,它不是一个人的成果,它是代表了中国这些出色的工程师遵循着客观的规律,经过一年多时间起草的2.0,遵循了三个规律:科学的发展规律跟其他产业协同共..."
云南滇中新区:绿色经济打造宜居宜业的美丽新城,搜狐网,2020年9月18日,"一名工作人员在北汽昆明基地检查新能源汽车充电口(8月18日摄)。新华社记者 孙敏 摄 随着近年来能源压力、环保压力日益突出,对新能源汽车的重视已经上升到了国家战略的高度。新区携手昆明市乘势而为,主动服务和融入国家“一带一路”倡议,..."
"重磅!全新五菱客车由桂林制造,第一台F9已正式下线!它长这样",搜狐网,2020年6月11日,"6月10日,由桂林客车发展有限责任公司和厦门慧眼科技联合研发、桂客发展制造的第一台五菱客车慧巴F9正式下线。 慧巴F9是中国客车行业第一款正向研发车型,是五菱客车携手中国客车行业智库慧眼看车,制造生产的新一代中巴客车平台产品五菱客车..."
"党报电子版,晨读早get (2020.04.28)",网易,2020年4月28日,"要深化对改革规律的认识,根据时与势的变化不断完善,在解决实际问题中不断深化,使改革更加符合实际、符合经济社会发展新要求、符合人民群众新期待。 今年是全面深化改革的一个重要节点,既要确保党的十八届三中全会提出的在重要领域和关键..."
教育部关于2019年度高等学校科学研究优秀成果奖(科学技术)奖励的...,中国教育和科研计算机网,2019年12月25日,"为深入学习贯彻习近平新时代中国特色社会主义思想和党的十九大精神,大力实施科教兴国战略、人才强国战略和创新驱动发展战略,促进高等学校科技创新,支撑高质量人才培养,根据《高等学校科学研究优秀成果奖(科学技术)奖励办法》,我部组织开展了2019..."
2019年度高等学校科学研究优秀成果奖(科学技术)通用项目通讯评审...,中国教育和科研计算机网,2019年9月3日,"(集团)有限公司, 北京先锋创新科技发展有限公司 科学技术 进步奖 一等奖/二...(上海)新能源有限公司,江苏省 华扬太阳能有限公司 科学技术 进步奖 一等奖...孙敏,潘思铭 电子科技大学,中国电子科技集团公司第九 研究所,成都市易冲..."
第四届对非投资论坛综述:共筑中非合作美好未来,湖南省人民政府门户网站,2018年9月9日,"明年,首届中非经贸博览会将在湖南举办,并永久落户湖南。乘着第四届对非投资论坛的东风,湖南与非洲的合作,正向着深耕细作、持久发展的新阶段迈进。 (文/ 周月桂 孙敏坚 何金燕)"
...报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司...,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2018年8月16日,"2530 兴全基金管理有限公司 兴全精选混合型证券投资基金 A 800 1,828 2531 兴全基金管理有限公司 兴全绿色投资混合型证券投资基金(LOF) A 800 1,828 2532 兴全基金管理有限公司 兴全沪深300指数增强型证券投资基金(LOF) A 800 1..."
20年专注海外债 广发基金孙敏掌舵首只全球收益债基,中国经济网,2018年8月9日,"其实,在基金管理公司中还有另一类专业投资人同样优秀,那就是专户投资经理。他们为特定的投资者服务,即使业绩出色也很难有机会在大众投资者面前展现。 广发基金国际业务部债券投资负责人孙敏就是其中一位。她拥有20年国家外汇管理局工作经验..."
