title,source,time,summary
国内首只百亿规模慈善信托来了 股权价值已达141.71亿元,金融界,2月24日,两年资助公益事业超4640万元2018年中，鲁伟鼎成立鲁冠球三农扶志基金慈善信托，把万向旗下核心企业之一的万向三农集团有限公司的全部股权无偿授予慈善信托计划，备案规模为6亿元。经资产评估，以2020年6月末为基准日，万向三农集团有限公司股权...
"浙江杭州2021最新富豪榜出炉,47人身价超百亿,首富地位恐不保",网易,1月24日,"No.10,鲁伟鼎——万向集团董事局主席 1971年出生,浙江杭州人,万向集团创始人、前董事局主席鲁冠球之子,现任万向集团董事局主席、执行董事、总裁,硕士学历,高级经济师职称,全国工商联常委,浙江省工商联副主席,70年70企70人“中国杰出贡献..."
"智库头条 | 自主创新,抗疫先锋。为光荣浙商、明峰医疗董事长王瑶...",搜狐网,2020年12月16日,"27鲁伟鼎 万向集团董事长 鲁伟鼎在接棒万向之后始终奔跑不停,尤其在新能源产业加大布局力度,投资2000亿打造万向聚能城。同时还继承父亲鲁冠球在慈善等方面的遗志,将集团公司截至2018年度审计报告的资产全部捐赠设立公益信托“鲁冠球万向事业基金..."
鲁伟鼎拟捐万向公司资产 涉2家上市公司市值逾百亿,中国经济网,2019年7月14日,"目前,万向集团公司旗下持有包括万向钱潮、万向资源、万向电动车、万向新能源客车、万向一二三、上海捷新动力在内的22家子公司股份,其中包含万向钱潮和顺发恒业两家上市公司股权。 近日,万向集团董事长、CEO鲁伟鼎在“万向创业五十周年会议”..."
鲁伟鼎捐万向集团全部资产 设立鲁冠球万向事业基金,浙江在线,2019年7月16日,"浙江在线7月16日讯昨天,万向钱潮发布公告称,在万向内部召开的万向创业50周年大会上,万向实际控制人、董事长兼CEO鲁伟鼎先生宣布:依照万向创始人、董事局主席鲁冠球先生的意愿、情境,万向集团公司董事局决定,按照《信托法》和《慈善法》,正..."
鲁伟鼎宣布捐出万向集团公司资产 万向如何转向?,网易订阅,2019年7月15日,"7月15日午间,万向钱潮发布公告称,控股股东筹划重大事项。日前,在万向创业50周年大会上,万向实际控制人、董事长兼CEO鲁伟鼎宣布成立鲁冠球万向事业基金,捐出万向集团公司截至2018年度审计报告的资产。万向此举引发了各界关注。这可能是中国第..."
鲁伟鼎:将万向集团公司截止2018年度审计报告的资产全部捐赠 设立...,杭州网,2019年7月12日,"7月8日,“万向创业五十周年会议”上,万向集团董事长、CEO鲁伟鼎在讲话中,发布成立一个新的慈善信托——鲁冠球万向事业基金,捐出万向集团公司截止2018年度审计报告的资产。 鲁伟鼎说: 我代表万向董事局,代表家人,也代表万向员工,代表万向..."
鲁伟鼎为何要清仓万向三农集团股权?记者问来了,浙江在线,2018年10月8日,8日，记者查阅工商资料发现，万向三农集团股权已完成调整，持股100%的鲁伟鼎确已退出。万向信托成为新股东，持股比例100%。公开信息显示，万向信托股份公司是一家经中国银监会批准设立的金融机构，控股股东为中国万向控股有限公司，现有股东还...
鲁冠球之子鲁伟鼎正式接棒万向集团,央广网,2017年11月5日,几天来，在来自各界的悲痛与悼念中，万向集团仍然履行着自己的使命，各项工作平稳有序开展。11月3日，万向集团董事局召开特别会议，一致通过实际控制人鲁冠球之子鲁伟鼎成为万向集团公司法定代表人，担任董事长、首席执行官。而万向集团董事...
以父之名 鲁伟鼎捐万向集团所有资产成立事业基金,浙江新闻官网,2019年7月15日,"7月15日,万向钱潮发布公告称,在万向内部召开的万向创业50周年大会上,万向实际控制人、董事长兼CEO鲁伟鼎先生宣布:依照万向创始人、董事局主席鲁冠球先生的意愿、情境,万向集团公司董事局决定,按照《信托法》和《慈善法》,正式开始办理,将..."
延续鲁冠球的慈善梦:鲁伟鼎捐赠万向集团全部资产设公益基金,东方财富网,2019年7月14日,"公益基金的全部收益将用于研发新技术,高端人才教育,开展科技研究,支持设立理工类应用型科研机构。”万向集团公司董事长鲁伟鼎于7月8日万向的五十周年“厂庆”上发表演讲时表示,鲁冠球万向事业基金已按照《信托法》和《慈善法》正式开始办理..."
鲁伟鼎接班近两年 计划推动万向集团股改,财新,2019年7月12日,"【财新网】(记者 彭岩锋)接班近两年之后,鲁伟鼎正计划推动万向集团的股份制改造。7月12日晚间,万向集团董事局工作室负责人向财新记者透露了上述消息。他还称,目前,这一计划尚无方案出台,“也没有明确的时间表”。"
