title,source,time,summary
唐良智会见三一集团总裁唐修国,华龙网,2018年12月14日,"重庆日报讯 (记者 罗静雯)12月13日,市委副书记、市长唐良智会见了三一集团总裁唐修国一行。 唐良智代表市委、市政府,代表陈敏尔书记,对唐修国一行表示欢迎。唐良智说,重庆是西部大开发的重要战略支点,处在“一带一路”和长江经济带的联结..."
"三一,开工!",网易订阅,2019年11月28日,"省政府副秘书长兰建文,西安市副市长马鲜萍出席仪式,西咸新区管委会主任康军,三一集团总裁唐修国分别致辞,西咸新区管委会副主任陈辉主持开工仪式。 项目简介 “三一西安产业园”项目由三一集团有限公司投资建设,项目总投资额30亿元人民币,占地..."
"突破10亿后,陈飞副省长寄语三一中阳尽早建成50亿级企业",搜狐网,2020年4月28日,"4月28日,湖南省副省长陈飞一行来到三一重工旗下中阳机械有限公司考察调研。三一集团总裁唐修国陪同调研。 唐修国先生向调研组介绍了三一中阳生产经营基本情况。三一中阳为三一重工全资子公司,于2011年在益阳成立,目前已是全球规模大的砼泵..."
"他被誉为三一重工的“内当家”,也是三一公认的“管理第一人”",搜狐网,2019年8月29日,"推动中国制造发展的同时,也大步走向世界,2012年,三一重工海外销售首次突破百亿。2019年3月15日,三一重工总市值再次突破1000亿,是工程机械领域唯一一家总市值过千亿的上市公司。 三一集团发展的过程中,唐修国被誉为“内当家”,是三一..."
三一筑工SPCS 3.0落地项目 国家合成生物技术创新中心项目获点赞,人民网,4月24日,"天津住宅建设发展集团党委书记、董事长康庄,三一集团总裁唐修国,三一集团副总裁、三一筑工总经理马荣全,中建八局国家合成生物项目姚有为总工程师会上发表相关主题分享。大会采取现场直播的形式,全国4000余装配式建筑产业领域专家线上观看此次..."
"低调与高调两幅面孔转换下,三一重工如何面对“中年危机”?",红商网,4月15日,"1986年,梁稳根、唐修国、袁金华、毛中吾4人,放弃国企“铁饭碗”,开始自主创业。3年后,湖南涟源焊接材料厂正式成立。1992年,三一集团成立;1994年,三一集团投资创建三一重工股份有限公司;2003年,三一重工在上交所上市……32年过去了,三一..."
三一重能股份有限公司拟IPO 梁稳根系实际控制人,东方财富网,3月29日,"2021年3月29日,三一重能股份有限公司披露招股说明书(申报稿),三一重能股份有限公司本次发行股数不超过约3.30亿股,不超过本次发行完成后股份总数的25%,不低于本次发行完成后股份总数的10%;本次发行可以采用超额配售权,采用超额配售..."
三一重能闯关科创板 力争成为风电领域的三一重工,中证网,4月2日,"本次公司选择第三套上市标准,即预计市值不低于人民币20亿元,最近一年营业收入不低于人民币3亿元,且最近三年经营活动产生的现金流量净额累计不低于人民币1亿元。 三一重能控股股东、实际控制人梁稳根与公司股东唐修国、向文波、毛中吾、袁金华..."
"梁稳根进击风电之路“稳”了,三一重能IPO获受理!",能源100,3月30日,三一重能是全球工程机械巨头三一集团100%控股的子公司，其实控人为2011年中国首富梁稳根。简历显示，梁稳根，男，汉族，1956年12月生，湖南涟源人，中共党员，中南大学工学学士学位，高级经济师。现任全国工商联副主席，三一集团有限公司...
南京17年国五罐车包提档-鑫辉二手搅拌罐车_邯郸之窗,邯郸之窗,4月25日,"三一集团总裁唐修国受阿方邀请了活动,并与阿根廷总统马克里亲切握手交谈。技术工程师为客户详细讲解了4.0泵车在性能,据了解,该车型在整车嵌入了31个传感器,可对泵送、臂架等5大系统实现61项开、停机自检和对施工过程中进行故障诊断,实现..."
