title,source,time,summary
新能源汽车电池包供应商盘点,搜狐网,2018年9月30日,"20.上海卡耐新能源有限公司 公司简介: 上海卡耐成立于2010年5月24日,是由汽研中心(汽车行业标准、认证归口管理单位)与日本ENAX合资成立的国内第一家也是最早的一家三元动力电池生产企业。在行业内,其产品和技术得到了数十家汽车生产厂家..."
上海卡耐新能源发布未来发展战略:产品成本每年以15%-20%速度下降,搜狐网,2018年4月22日,"4月21日,由上海卡耐新能源有限公司主办的“2018年新能源产业研讨会暨卡耐新能源战略发布会”在江苏太仓喜来登酒店举行,三十余家主机厂以及政府、高校、投资机构围绕“新能源动力电池发展”主题,畅谈未来新能源动力电池发展方向。"
...股份有限公司关于公司增资上海卡耐新能源有限公司事项的核查意见,同花顺财经,2017年12月29日,"根据深圳市科陆电子科技股份有限公司(以下简称“公司”)战略发展需要,公司第六届董事会第二十六次(临时)会议及2017年第六次临时股东大会审议通过了《关于拟签署投资意向协议暨关联交易的议案》,同意公司向上海卡耐新能源有限公司(以下简称..."
"齐家网携手“EliteRun”精英接力赛,助力营造嘉定企业经营软环境",中金在线,2017年11月1日,"在当选上海市嘉定区外商投资企业协会主任单位的几个月以来,齐家网借助领先的互联网理念和深厚的技术优势,协助协会开展工作,并相继走访调研了爱孚迪(上海)制造系统工程有限公司、上海卡耐新能源有限公司、德尔福派克电气系统有限公司、上海大众动..."
上海卡耐新能源5.3亿元动力电池项目 落户广西柳州,电池网,2016年9月9日,"上海卡耐新能源有限公司柳东新区动力锂离子电池及系统项目总投资5.3亿元,建成后将形成年产800万片锂离子电池的生产能力,年配套新能源汽车约5万辆,将为上汽通用五菱等新能源车提供电池属地化配套,对进一步推动柳州战略性新兴产业的发展、..."
"“可远观,却不可看底盘”的恒大汽车,造车“真实力”几何?",网易,9天前,"对此,在车展发布会上,恒大汽车总裁刘永灼表示,今年四季度,恒驰汽车将全面启动试生产,2022年将大规模交付。 此外,从车展上透露出的消息来看,9款车型中或许恒驰5希望最大。 在年初的恒大汽车牙克石冬季测试项目上可以发现,测试的似乎就是..."
"恒大造车,始于上海车展?",汽车扒一扒,4月25日,9.3亿美元收购国能汽车新能源（NEVS）51%股权，获得造车资质；入手电池企业卡耐新能源，持股58%；恒大集团全资控股的恒大高科技集团出资成立恒大智慧充电科技有限公司；一口气签约15位造型设计大师……恒大汽车仿佛是一个财大气粗的“暴发...
"从上海车展到松江工厂,你需要用“颠覆者”的眼光看恒大汽车",网易,4月21日,"对新造车者而言,量产交付是关键节点,对此恒大汽车总裁刘永灼在上海车展现场给出答案:“恒驰汽车将全面启动试生产,明年大规模交付”。 2、2019年入场、2021年底量产、2022年大规模交付 天下武功、唯快不破!"
"474亿造车的恒大来真的?恒驰1-9定价区间曝光,4年内实现百万销量",腾讯网,3月26日,"“未来我们正在建设一批世界上最先进的实验室,驾驶模拟实验室、车对车碰撞测试能力的,扩展研发规模,通过投资、并购、合作不断提升研发实力。”恒大汽车总裁刘永灼透露。 据了解,恒大汽车目前拥有3500多名科研人员,其中行业高端管理人才432人..."
"恒大速度,从成车到上市辅导备案,恒大汽车仅用时三月",搜狐网,2020年10月22日,"在电池领域,恒大耗资10.6亿元收购了电池厂商上海卡耐新能源59.07%的股权,成为第一大股东。在电机领域,恒大投资5亿元收购了湖北泰特机电有限公司70%股权,以及全资收购了英国轮毂电机技术公司Protean。通过一系列简单粗暴的“砸钱”模式,..."
恒大汽车拟科创板IPO?,搜狐网,2020年9月22日,"一方面,恒大通过“买买买”的模式资入主了行业各领域的知名企业,包括上海卡耐新能源、瑞典超跑公司柯尼塞格、德国汽车动力工程公司hofer、及轮毂电机公司荷兰e-Traction等;另一方面,恒大与采埃孚、本特勒、德尔福、博世、麦格纳、大陆集团等..."
"叫板特斯拉!恒大汽车迎马云马化腾入股,募资40亿港元",网易订阅,2020年9月17日,"2020年8月3日,恒大在广州和上海同时举办了新车发布会,并一口气发布了恒驰系列六款概念车,从恒驰1到恒驰6,覆盖了SUV、中大型MPV、紧凑型SUV和紧凑型轿跑SUV。 据恒大汽车集团总裁刘永灼此前透露,恒驰汽车将在2021年下半年实现量产,有..."
腾讯滴滴入股 恒大汽车募资40亿港元,网易订阅,2020年9月16日,"2019年1月15日,恒大健康宣布以9.3亿美元成功收购电动汽车公司NEVS 51%股权并获得多数董事席位;1月24日,恒大健康又宣布以10.59亿元收购动力电池企业上海卡耐新能源有限公司,持股比例58.07%,为第一大股东;1月29日,恒大再以1.5亿欧元..."
"洞察者1°|房企的第三条造车路:恒大持久战VS宝能保卫战,谁更靠谱?",腾讯网,2020年9月11日,"1月24日,恒大以10.6亿元拿下动力电池企业卡耐新能源58%股份,成第一大股东;3月15日,以5亿元收购泰特机电有限公司70%股份;5月30日,恒大全资收购英国Protean;7月24日,恒大全资附属公司与霍费尔Aktiengesellschaft签订协议,双方开发应用全球..."
再辨恒大造车真假,第一电动网,2020年9月7日,"8月7日,一批媒体报道称,恒大汽车上海生产基地、广州生产基地进入设备安装调试阶段,恒大集团董事局主席许家印也赴恒大汽车上海、广州生产基地视察,了解设备调试进展。 8月27日,恒大汽车召开中期业绩发布会上。恒大汽车总裁刘永灼表示,公司正在..."
汽车业务进入关键期 恒大汽车如何占领市场,易车网,2020年8月31日,"从全资收购NEVS,到入主卡耐新能源,再到入股科尼赛克,全资持有荷兰轮毂电机企业e-Traction,入股英国Protean轮毂电机公司,以及收购湖北泰特机电70%的股权,与国家电网成立国网恒大智慧能源服务公司...在这两年大手笔的布局中,恒大汽车完成了整..."
恒大汽车筹建三大中心 剑指年产销百万辆目标,搜狐网,2020年8月27日,"此外,刘永灼还透露,目前,恒大汽车在欧洲还在同步开发14款车型。 在产能方面,恒大汽车在上海与广州的生产基地已然就位,二者均采用工业4.0制造标准,首期将实现20万辆的年产能。目前,两大生产基地已进入全线设备调试阶段。"
"恒大汽车中期业绩发布会:明年实现量产,正快速筹建1600个恒驰销售...",搜狐网,2020年8月27日,"8月27日,受邀参加恒大汽车举办上半年业绩发布会,会上恒大主要介绍了目前在汽车链上的新动作,对产品研发、生产制造、核心技术、销售网络等多方面进行了详细介绍。 恒大汽车总裁刘永灼在发布会上介绍,与、蔚来等新势力造车不同,恒大汽车通..."
