title,source,time,summary
上海爱旭新能源股份有限公司关于控股股东、实际控制人计划增持...,搜狐网,4月24日,"●上海爱旭新能源股份有限公司的控股股东、实际控制人陈刚先生计划自本公告披露之日起6个月内以集中竞价交易方式增持公司股份,增持金额不低于5,000万元,增持资金来源于自有资金。 ●本次增持未设置价格区间,陈刚先生将基于对公司股票价值的..."
上海爱旭新能源股份有限公司,搜狐网,4月24日,"上海爱旭新能源股份有限公司(以下简称“公司”)第八届董事会第十七次会议的通知于2021年4月19日以电子邮件方式送达,会议于2021年4月22日以视频会议方式召开,应参会董事7名,实际参会董事7名。董事会秘书出席会议。监事及高管人员列席会议..."
上海爱旭新能源股份有限公司关于签订投资框架协议及对外投资事项...,网易,4月26日,"本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏,并对其内容的真实性、准确性和完整性承担个别及连带责任。 上海爱旭新能源股份有限公司(以下简称“爱旭股份”“公司”)于近日披露了公司与珠海市人民政府签..."
北京市中伦(深圳)律师事务所关于上海爱旭新能源股份有限公司2020...,晨财经,2020年12月21日,北京市中伦（深圳）律师事务所关于上海爱旭新能源股份有限公司2020年股票期权激励计划预留股票期权授予的法律意见书 北京市中伦（深圳）律师事务所关于上海爱旭新能源股份有限公司2020年股票期权激励计划预留股票期权授予的法律意见书 【来源：...
...股份:华泰联合证券有限责任公司上海爱旭新能源股份有限公司...,中国财经信息网,2020年8月18日,[快讯]爱旭股份:华泰联合证券有限责任公司上海爱旭新能源股份有限公司使用银行承兑汇票支付募投项目款项并以募集资金等额置换的核查意见
爱旭股份:控股股东、实际控制人计划增持公司股份,每日经济新闻,4月23日,上海爱旭新能源股份有限公司的控股股东、实际控制人陈刚先生计划自本公告披露之日起6个月内以集中竞价交易方式增持公司股份，增持金额不低于5000万元，增持资金来源于自有资金。截至本公告披露日，陈刚先生持有公司股份数量约为6.50亿股占...
爱旭股份:控股股东陈刚解除质押6300万股股份,每日经济新闻,4月9日,此次部分股份解除质押后，陈刚累计质押股份数量为7500万股，占其所持公司股份的11.54%，占公司总股本的3.68%。2020年年报显示，爱旭股份的主营业务为新能源行业，占营收比例为：99.94%。爱旭股份的总经理、董事长均是陈刚，男，53岁...
爱旭股份:控股股东陈刚的一致行动人天创海河基金质押1208万股,世纪新能源网,2020年9月18日,"爱旭股份9月17日晚间发布公告称,公司于2020年9月17日接到公司控股股东陈刚先生的一致行动人天创海河基金的通知,获悉其于2020年09月18日质押约1208万股,占其所持股份比例为16.97%。 2019年年报显示,爱旭股份的主营业务为新能源行业,..."
上海爱旭新能源股份有限公司2020年度报告摘要,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,3月16日,"上海爱旭新能源股份有限公司 关于召开2020年年度股东大会的通知 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏,并对其内容的真实性、准确性和完整性承担个别及连带责任。 重要内容提示: ● 股东大会召开..."
上海爱旭新能源股份有限公司2020第三季度报告,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2020年10月20日,"经中国证券监督管理委员会《关于核准上海爱旭新能源股份有限公司非公开发行股票的批复》(证监许可[2020]1481号)核准,2020年8月公司向特定对象非公开发行人民币普通股(A股)206,440,957股,限售期为6个月,发行价格12.11元/股,募集资金总..."
