title,source,time,summary
奥动携20秒极速换电 打响换电爆发第一枪,新锐汽车观察,2020年11月26日,奥动新能源，以及它的联席董事长、中国换电第一人张建平敏锐地意识到，中国换电的商业环境和前景，都将发生巨大的反转。而奥动换电技术的积累，足以支撑这种变化。微信名为“换电张”的张建平，在换电领域坚持了20年。对于他来说，换...
"奥动发布20秒极速换电,2025年规划建5000座换电站",腾讯网,2020年11月25日,"2000年,张建平开始创业做换电,到2020年,正好20年。 奥动新能源联席董事长张建平发表《20·20·20》主题演讲 这20年间,张建平先是成立开创科技公司,从无到有,把换电从纸上变成现实。2005年,由他自掏腰包购买并改装的电动大巴在兰州..."
2020-11-22周日 新能源汽车资讯c'z'x,搜狐网,2020年11月22日,"基于国家电网公司自2006年以来积极开展的充换电技术研发、模式探索和工程示范,这张聚合百万充电桩资源的充电网络,已经在电动汽车与能源互联网的互动技术研究及商业模式创新方面积累了丰富的实践经验。零跑C11…"
"为了20秒坚守20年,28年装饰园林景观……这些“浦东工匠”告诉你...",搜狐网,2020年11月18日,"浦东“未来车”产业代表、上海电巴新能源科技有限公司张建平,浦东“创新药”产业代表、上海生物芯片有限公司徐祎春,浦东“环境美”代表、上海世纪公园管理有限公司曹利名等3名来自不同行业的“浦东工匠”作为大讲堂的首批演讲者,分享了他们..."
上海浦东工会举办浦东工匠故事分享会,工人日报,2020年11月18日,当天，浦东“未来车”产业代表、上海电巴新能源科技有限公司张建平，浦东“创新药”产业代表、上海生物芯片有限公司徐祎春，浦东“环境美”代表、上海世纪公园管理有限公司曹利名等3名来自不同行业的“浦东工匠”作为大讲堂的首批演讲者，...
振威充电设施展及电池展今日开幕 众多实力企业上演“竞技秀”,手机凤凰网,2020年8月27日,山东电工电气集团新能科技有限公司、西安特锐德智能充电科技有限公司、浙江万马新能源有限公司、万帮星星充电科技有限公司、泸州能源投资有限公司、小鹏汽车、上海电巴新能源科技有限公司、比亚迪、科林电气等组织单位将组团莅临现场参观交流、...
"唱响新时代劳动者之声,讴歌新片区筑梦者之魂",搜狐网,2020年8月18日,"张建平:“中国换电第一人” 上海电巴新能源科技有限公司换电技术工,主要从事换电技术。他首创世界上首个充换电站试验站,用“中国方案”化解了世界营运类电动车能源补给问题,是国家863计划中新能源电动车专家组成员和新能源汽车换电领域..."
"36氪首发|「臻驱科技」获1.5亿人民币B轮融资,研发新能源汽车电机...",36氪,2020年8月17日,本次B轮领投方君联资本曾投资宁德时代、药明康德、展讯、科大讯飞、高德地图等近450家公司；蔡东青是奥动新能源创始人、董事长兼首席执行官，也是上市公司奥飞娱乐创始人、董事长和大股东，曾投资晶丰明源、上海电巴、奇点汽车、快兔物流...
"从“上天”到“入海”,大国重器的奥秘都在临港6条工业旅游路线里!",新民晚报,2020年7月31日,■ 深蓝线路——宇宙遨游、深渊探秘（上海微小卫星工程中心+上海彩虹鱼海洋科技股份有限公司）；■ 黄色线路——挖机传奇、全球瞩目（上海三一重机股份有限公司）；■ 绿色线路——新兴能源、技术领先（上海电巴新能源科技有限公司+中曼石油...
值得收藏!2020年各省锂电企业分布名单,全国能源信息平台,2020年6月17日,飞毛腿电源（深圳）有限公司【飞毛腿】深圳中聚电池有限公司【中聚】深圳高能达电池有限公司【高能达】深圳市迪凯特电池科技有限公司【迪凯特】深圳市格瑞普电池有限公司【格瑞普】深圳华粤宝电池有限公司【华粤宝】深圳塔菲尔新能源科技有限公司【...
