title,source,time,summary
东方日升:安信证券股份有限公司关于公司创业板向不特定对象发行可...,中财网,2020年8月2日,"除非文中另有所指,本发行保荐书中所使用的词语释义与《东方日升新能源 股份有限公司公开发行可转换公司债券募集说明书》一致。 一、发行人基本情况 (一)发行人概况 中文名称 东方日升新能源股份有限公司 ..."
东方日升:第三届董事会第三次会议决议,中国财经信息网,2020年6月15日,东方日升新能源股份有限公司(以下简称“东方日升”、“公司”)第三届 董事会第三次会议于2020年6月15日上午在公司会议室以现场结合通讯方式召开。 会议通知于2020年6月12日通过专人送出、邮递、传真及电子邮件等方式发出。 会议应到...
东方日升拜访中国电建海外投资有限公司 寻求国际合作更大规模,机经网,2020年6月10日,"摘要:2020年6月5日,东方日升总裁谢健、总会计师杨钰、香港公司总经理袁建平、海外销售副总裁赵泽林等领导,在新能源海外发展联盟副理事长兼秘书长张世国一行的陪同下,拜访了中国电建海外投资有限公司,与电建海投总经理杜春国、副总经理何..."
东方日升:2020年第四次临时股东大会决议公告,同花顺财经,2020年6月9日,本次会议的召集、召开与表决程序符合《中华人民共和国公司法》(以下简称“《公司法》”)、《上市公司股东大会规则》(以下简称“《股东大会规则》”)和《东方日升新能源股份有限公司章程》(以下简称“《公司章程》”)等法律、法规、规范...
林海峰开启“第二战场” - 北极星太阳能光伏网,北极星太阳能光伏网,2020年6月3日,"先是5月13日,东方日升董事会换人,法定代表人和董事长林海峰卸任,年少三岁的公司总裁谢健接棒。这次高层变动被外界解读为因一季度业绩暴跌所致。 十天后,东方日升公告称,拟将控股子公司江苏斯威克新材料股份有限公司(下称“江苏斯威克”..."
东方日升开讲资本“新故事” 拟分拆子公司上市,北极星太阳能光伏网,2020年5月25日,"北极星太阳能光伏网讯:在深交所创业板上市近10年后,全球知名光伏组件企业东方日升(300118.SZ)在资本赛道上又有了“新规划”。 5月22日晚间,东方日升发布公告称,拟将其控股子公司江苏斯威克新材料股份有限公司(以下简称“江苏斯威克”..."
东方日升子公司300吨污泥倾倒农田处罚决定被撤销 关联方延安必康...,中国经济网,2020年4月3日,记者发现，日升常州为上市公司东方日升新能源股份有限公司旗下子公司。根据披露的处罚文件显示：2020年2月27日，连云港市灌云生态环境局接信访举报发现在灌云县伊山镇丁庄村农田内倾倒有白色固体废物。经调查发现，日升常州与泰兴市格奥展泰...
"东方日升捷报频传,中标深能52.1MW平价项目",世纪新能源网,2020年3月17日,"近日,A股光伏龙头企业东方日升(300118)凭借优异的产品性能和价格等多方面的综合实力,成功中标深能北方能源控股有限公司(以下简称深能)酒泉肃州区东洞滩52.1MW平价项目,并为其提供项目所需的高效单晶硅双面双玻半片组件。"
东方日升成功中标深能酒泉肃州区东洞滩平价项目,世纪新能源网,2020年3月17日,"近日,东方日升凭借优异的产品性能和价格等多方面的综合实力,成功中标深能北方能源控股有限公司(以下简称深能)酒泉肃州区东洞滩52.1MW平价项目,并为其提供项目所需的高效单晶硅双面双玻半片组件。"
"东方日升携手上海电气,开启一带一路能源新篇章",世纪新能源网,2020年2月25日,"东方日升总裁谢健表示:“感谢上海电气集团对东方日升优质组件产品和专业服务的认可,在该项目的合作中我们一直保持着紧密的沟通,希望以后和上海电气能够有更多的合作机会。未来,我们将持续推进高效技术创新与服务质量的提升,期待与更多的合作伙..."
...| 国家能源集团浙江电力公司副总经理任井利一行来访东方日升,搜狐网,2020年12月22日,"2020年12月22日,国家能源集团浙江电力有限公司副总经理任井利一行莅临东方日升新能源股份有限公司集团总部参观调研,并就十四五期间在光伏电站投资开发、储能、售电等领域进行深入的交流。东方日升总裁谢健、东方日升营销副总裁邱新、点点云智..."
东方日升:公司及控股子公司累计对外担保总额度约为98亿元,每日经济新闻,4月6日,每经AI快讯，东方日升（SZ 300118，收盘价：14.9元）4月6日晚间发布公告称，东方日升（常州）新能源有限公司与招商银行股份有限公司宁波分行于2021年4月6日签订《最高额不可撤销担保书》，日升常州为东方日升新能源股份有限公司与宁波...
东方日升:公司全资子公司获得政府补助1032.09万元,每日经济新闻,2月5日,每经AI快讯，东方日升（SZ 300118，收盘价：13.63元）2月5日晚间发布公告称，东方日升新能源股份有限公司全资子公司东方日升（义乌）新能源有限公司于近日收到与资产相关的政府补助资金人民币1032.09万元。2020年半年报显示，东方日升的...
滁州市委副书记、市长许继伟一行莅临东方日升,搜狐网,1月30日,"2021年1月30日,滁州市委副书记、市长许继伟一行莅临东方日升新能源股份有限公司考察调研,公司总裁谢健及管理层陪同。 一行人考察东方日升国家级CNAS实验室、储能事业、大数据物联网集控中心等地,…"
