title,source,time,summary
杨青:竺延风新搭档 东风汽车第六任总经理,汽势传媒,3月1日,去年7月份升任东风汽车集团有限公司董事、党委副书记。目前，东风汽车领导班子的具体分工还没有明确对外公布。按照此前的分工情况来看，东风公司董事长、党委书记竺延风负责公司董事会和党委全面工作。前东风公司总经理、党委副书记李绍烛负责...
郄英才与东风汽车集团有限公司董事长、党委书记竺延风座谈,湖北身边的事,2月7日,襄阳将进一步完善对东风汽车集团有限公司在襄企业的服务机制，加大支持力度，更好更精准地提供服务，与东风同频共振，共同促进发展，全力支持东风襄阳基地“十四五”期间实现新跨越。竺延风感谢襄阳市委、市政府长期以来对东风汽车集团有限公司...
"两会专访丨东风公司董事长竺延风:科技公司入局,对传统车企而言是...",每日经济新闻,3月10日,在今年两会期间，竺延风带来了关于优化智能网联汽车发展环境，积极创造商业化落地条件的建议，为推动智能网联汽车产业发展建言献策。东风汽车集团有限公司董事长、党委书记竺延风（图片来源：企业供图）建议创造智能网联汽车商业落地条件 在新一...
竺延风:东风有限是东风的“擎天柱”,腾讯网,1月20日,"1月20日,东风汽车有限公司2021年党委扩大会以线上线下相结合的形式召开,全面总结东风有限2020年生产经营管理、党建思想政治工作,深刻分析东风有限面临的新形势,安排部署2021年各项工作。 东风公司党委书记、董事长、东风有限董事长竺延风在主..."
【东风公司领导班子成员调整:陈昊任副总经理、党委常委】12月29日...,市商网,2020年12月29日,"【东风公司领导班子成员调整:陈昊任副总经理、党委常委】12月29日,东风汽车集团有限公司对外发布消息称,陈昊任东风汽车集团有限公司副总经理、党委常委。当日,东风公司召开领导班子(扩大)会。受中组部委托,东风公司董事长、党委书记竺延风宣布..."
2020中国5G+工业互联网大会丨东风汽车集团有限公司董事长竺延风...,腾讯网,2020年11月20日,"“在数字化浪潮驱动下,汽车产业正在发生前所未有的巨大变化。”在日前举办的2020中国5G+工业互联网大会上,东风汽车集团有限公司董事长竺延风发表了演讲。他表示,我国正在从“制造大国”迈向”制造强国”,汽车产业是我国制造业转型升级的一..."
东风汽车竺延风:数字化时代汽车企业正从卖产品向卖服务转变,新京报,2020年11月20日,新京报贝壳财经讯（记者 陈维城）11月20日，2020中国5G+工业互联网大会在武汉举行，东风汽车集团有限公司董事长竺延风在“数字化赋能汽车产业持续发展”的演讲中提到，数字化时代同时催生了新的商业模式，汽车企业加速从传统的产品制造商，向...
东风汽车竺延风:推动高质量平衡发展,腾讯网,2020年9月5日,"在上午举办的“政策与市场双驱动下的业态重构”开幕大会上,东风汽车集团有限公司董事长、党委书记竺延风发表了精彩演讲,以下为演讲实录: 今天的泰达论坛全新定位为智库论坛,以产业消费双升级、重构生态新格局为主题,具有很强的现实意义。听..."
“岚图”汽车品牌发布 东风汽车和竺延风 到底谁更需要它?,车快评新媒体,2020年8月3日,2015年，竺延风成为东风汽车的当家人，已经年近60岁的他也许是想在任期内，为东风汽车的发展开创新的篇章。如果岚图汽车大获成功，那么他的成就将会永远载入东风汽车的史册，成为传奇。如此看来，无论是东风汽车，还是竺延风，都需要“岚...
东风访谈 | 东风汽车集团有限公司董事长、党委书记竺延风:岚图是...,封面新闻,2020年7月30日,"长江网7月29日讯(记者康鹏)7月29日21时30分,在东风岚图发布会后,东风汽车集团有限公司董事长、党委书记竺延风接受了媒体现场采访。他表示,岚图概念车发布,是东风的新起点、新征程,将引领东风品牌向上。"
「新时代企业家」东风汽车竺延风:新基建+汽车=?,网易订阅,2020年6月16日,"东风汽车集团有限公司董事长、党委书记竺延风 面对重大产业发展机遇,东风汽车加快供给侧结构性改革,狠抓市场、升级产品和服务,构建可以满足美好出行需求的智慧交通生态体系,担当新基建的实践者与推动者。今年两会期间,竺延风针对物流配送 “最后..."
专访东风汽车竺延风:关键“卡脖子”技术和部件要本土化,新京报,2020年5月29日,”近日，全国政协委员、东风汽车集团有限公司董事长、党委书记竺延风在接受新京报记者采访时如是说。不过，在他看来，国家出台的扩大消费政策还将会对市场恢复起到积极作用，并且在一定程度上带动整个市场循环加速和转型升级。东风公司将充分...
"...东风公司董事长竺延风:优化发展环境,推进智能网联汽车商业化落地",工人日报,3月10日,工人日报客户端记者 邹明强 全国政协委员、东风汽车集团有限公司（简称“东风公司”）董事长、党委书记竺延风，政协会上提交了《关于优化智能网联汽车发展环境 积极创造商业化落地条件的建议》，为推动智能网联汽车产业发展建言献策。竺延风指出...
"东风汽车董事长竺延风:今天就不念稿了,说说红海和“蓝皮书”",潇湘晨报,2020年8月11日,“汽车要做‘变形金刚’，做‘魔方’!”11日，2020第十二届中国汽车蓝皮书论坛开幕，东风汽车集团有限公司董事长、党委记竺延风脱稿做主题演讲时，这样表述他对下一代汽车的“梦想”。东风汽车集团董事长、党委书记竺延风发言。 记者 任勇 ...
"东风""打虎""追踪:两名高管落马,竺延风首度表态",网易订阅,2020年7月2日,"汽车头条APP注意到,同日,就在竺延风参加越野车事业部干部大会之际,东风的官方媒体——东风汽车报刊发了一则评论员文章,文章中振聋发聩地提到,“当下东风公司的反腐败斗争形势依然严峻复杂,反腐震慑效应还未完全形成,风清气正的政治生态..."
东风汽车股份有限公司2020年度报告摘要,网易订阅,3月30日,"东风汽车股份有限公司(以下简称“公司”)第六届董事会第四次会议通知于2021年3月2日以邮件的方式送达全体董事。本次董事会会议于2021年3月26日以现场与通讯会议相结合的方式召开。本次会议由董事长赵书良先生主持,应当出席本次会议的董..."
陈昊任东风汽车集团有限公司副总经理,北京商报,2020年12月29日,2020年12月29日，东风汽车集团有限公司（以下简称东风公司）召开领导班子（扩大）会。受中组部委托，东风公司董事长、党委书记竺延风同志宣布了中组部关于干部任职的决定：陈昊任东风汽车集团有限公司副总经理、党委常委。相关职务任免按有关...
东风汽车集团有限公司领导班子成员调整,西迁人,2020年6月12日,6月12日，东风汽车集团有限公司召开领导班子（扩大）会。受中组部委托，东风汽车集团有限公司董事长、党委书记竺延风同志宣布了中组部关于干部任职的决定：乔阳任东风汽车集团有限公司副总经理，不再担任东风汽车集团有限公司总会计师职务；...
竺延风很重视的东风全新高端品牌岚图有成功的希望吗?,对话汽车人,2020年7月21日,岚图品牌是东风汽车向高端品牌的又一次冲锋，同时也弥补了东风汽车在新能源领域的空白，毫无疑问，这对东风汽车集团来说意义重大，就连东风汽车集团有限公司董事长、党委书记竺延风也高度重视。但实实在在地来看，东风全新高端品牌岚图有...
竺延风:东风在鄂企业年内可恢复常态,荆楚网,2020年11月20日,"湖北日报讯(记者周三春、肖丽琼)11月20日上午,中国5G+工业互联网大会“5G+工业互联网”技术前沿与产业发展专题会议举行。东风汽车集团有限公司董事长竺延风以“数字化赋能汽车产业持续发展”为题演讲。"
东风集团竺延风——把握产业变化 促进平衡发展,搜狐网,2020年9月6日,"9月5日,东风汽车集团有限公司董事长、党委书记竺延风在2020中国汽车产业发展(泰达)国际论坛上作了题为《把握产业变化 促进平衡发展》的演讲,提出了多方面的重要观点。 01 当前,我国汽车产业告别高速增长的时期,到了平稳发展的阶段,产业生..."
东风竺延风:产品研发要把握好节奏 落后一步等死、领先两步也可能...,腾讯网,2020年9月4日,"在产品和研发投入上把握好节奏,落后一步是等死,领先两步有时候也成为烈士,最好要保持领先市场需求。 打开腾讯新闻,查看更多图片 > 9月5日,东风汽车集团有限公司董事长、党委书记竺延风在2020中国汽车产业发展(泰达)国际论坛上表示,中国..."
东风集团股份(00489)提名竺延风、李绍烛及尤峥为执行董事,金融界,2020年9月10日,来源：智通财经网 智通财经APP讯，东风集团股份(00489)发布公告，由于公司第四届董事会任期已届满，根据《中华人民共和国公司法》及《东风汽车集团股份有限公司章程》的有关规定，经控股股东推荐、董事会提名委员会审查并提出推选建议，公司...
