title,source,time,summary
东风的求生欲,ZAKER资讯,2020年9月10日,"9月 2 日,东风汽车集团发布消息称,周先鹏将任东风汽车集团有限公司总经理助理,陈昊任东风汽车集团有限公司总经理助理。同日,东风还宣布,陈彬将任东风汽车集团股份有限公司总裁助理、神龙汽车有限公司执行副总经理、党委书记。而在几天之前..."
"神龙,见首不见尾!|竺延风|东风公司|神龙公司|一汽|邱现东|东风...",网易订阅,2020年9月7日,"今年9月,东风汽车集团有限公司、神龙汽车有限公司、东风汽车股份有限公司、东风进出口公司等单位主要领导均进行了相应的调整。 频繁的人事调整背后,竺延风到底打的什么算盘?即便你我皆是棋子,但也架不住来回折腾啊。从棋子到弃子,在领导眼..."
"不做造车新势力,但有新实力的“岚图”后浪来袭",腾讯网,2020年7月15日,"今年五一小长假上班的第一天,东风汽车集团有限公司董事长、党委书记竺延风向h事业部全体员工发出了一封内部信。作为东风全新高端品牌,竺延风在信中也首次透露了关于h事业部的更多细节。 打开腾讯新闻,查看更多图片 > ..."
李乐成会见东风汽车集团董事长竺延风,华夏经纬网,2020年5月6日,"【襄阳政府网消息】5月4日,省委常委、襄阳市委书记李乐成在南湖宾馆会见了东风汽车集团有限公司董事长、党委书记竺延风。 疫情防控期间,我市积极推进东风公司在襄企业惠企政策落实、重大项目奖补政策兑现、新能源汽车推广应用补贴资金兑现等事..."
竺延风5天内走访湖北省内三大基地:东风汽车集团复工情况怎么样了?,网易订阅,2020年3月21日,"作为湖北省最重要的央企之一,东风汽车集团带动的湖北省汽车和零部件制造业,是当地的支柱产业。东风集团的复工复产情况备受关注。 据东风汽车集团官方消息,3月14日至3月18日,东风汽车集团有限公司董事长、党委书记竺延风,走访了公司在湖北..."
东风汽车集团有限公司第十一届职工运动会盛大开幕 张维国致贺词...,搜狐网,2019年9月28日,"9月27日上午,以“奋进五十年、卓越创未来”为主题的东风汽车集团有限公司第十一届职工运动会在十堰市体育中心盛大开幕。省政协副主席、市委书记张维国致贺词,东风汽车集团有限公司董事长、党委书记竺延风宣布运动会开幕,东风汽车集团有限公司..."
十堰市与东风汽车集团有限公司举行经济形势通报会 张维国竺延风...,搜狐网,2019年9月27日,"9月26日,十堰市与东风汽车集团有限公司举行经济形势通报会,市企双方畅叙建市建厂50年来的深情厚谊,共谋携手并进的崭新篇章。省政协副主席、市委书记张维国,东风汽车集团有限公司董事长、党委书记竺延风出席并讲话。市委副书记、市长陈新武,..."
竺延风亲临!东风汽车股份发布全新品牌战略 并斩获万辆大单,搜狐网,2019年9月17日,"长竺延风,东风汽车集团有限公司工会主席何伟,襄阳市人民政府副市长张建友,东风汽车有限公司执行副总裁周先鹏,东风汽车有限公司党委书记赵书良等,以及东风汽车股份经销商、供应商、客户代表及众多媒体朋友共700人,共同见证了这次东风汽车股份品牌..."
东风汽车董事长竺延风:推动公司向出行服务综合提供商转型,新京报,2020年10月12日,随着全国复工复产，东风汽车也展现出极大的生命力，加码品牌与产品，在智能网联和电动化领域不断突破。东风汽车集团有限公司董事长、党委书记竺延风在接受新京报记者采访时表示，近几年，东风自主产品在智能化方面取得了长足进展，本次车展...
陈敏尔会见东风汽车集团董事长竺延风、中铝集团董事长葛红林,人民网,2019年10月20日,"本报讯 (记者 张珺)10月19日,市委书记陈敏尔,市委副书记、市长唐良智会见了东风汽车集团党委书记、董事长竺延风,中铝集团党组书记、董事长葛红林一行。 市领导吴存荣、王赋、熊雪参加。 陈敏尔、唐良智对竺延风、葛红林来渝加强战略合作表示..."
全国政协委员、东风汽车集团董事长竺延风:建议优化智能网联汽车...,证券时报e公司,3月11日,”近日，全国政协委员、东风汽车集团有限公司（下称“东风公司”）董事长、党委书记竺延风在接受证券时报记者专访时透露道，在今年全国两会期间，他提交了《关于优化智能网联汽车发展环境 积极创造商业化落地条件的建议》，旨在进一步推动智能...
郄英才与东风汽车集团有限公司董事长、党委书记竺延风座谈,湖北身边的事,2月7日,襄阳将进一步完善对东风汽车集团有限公司在襄企业的服务机制，加大支持力度，更好更精准地提供服务，与东风同频共振，共同促进发展，全力支持东风襄阳基地“十四五”期间实现新跨越。竺延风感谢襄阳市委、市政府长期以来对东风汽车集团有限公司...
"两会专访丨东风公司董事长竺延风:科技公司入局,对传统车企而言是...",每日经济新闻,3月10日,在今年两会期间，竺延风带来了关于优化智能网联汽车发展环境，积极创造商业化落地条件的建议，为推动智能网联汽车产业发展建言献策。东风汽车集团有限公司董事长、党委书记竺延风（图片来源：企业供图）建议创造智能网联汽车商业落地条件 在新一...
"...东风汽车集团有限公司对外发布消息称,陈昊任东风汽车集团有限...",市商网,2020年12月29日,"【东风公司领导班子成员调整:陈昊任副总经理、党委常委】12月29日,东风汽车集团有限公司对外发布消息称,陈昊任东风汽车集团有限公司副总经理、党委常委。当日,东风公司召开领导班子(扩大)会。受中组部委托,东风公司董事长、党委书记竺延风宣布..."
2020中国5G+工业互联网大会丨东风汽车集团有限公司董事长竺延风...,腾讯网,2020年11月20日,"“在数字化浪潮驱动下,汽车产业正在发生前所未有的巨大变化。”在日前举办的2020中国5G+工业互联网大会上,东风汽车集团有限公司董事长竺延风发表了演讲。他表示,我国正在从“制造大国”迈向”制造强国”,汽车产业是我国制造业转型升级的一..."
陈昊任东风汽车集团有限公司副总经理、党委常委,证券时报,2020年12月29日,据东风汽车，12月29日，东风汽车集团有限公司召开领导班子（扩大）会。受中组部委托，东风汽车集团董事长、党委书记竺延风宣布了中组部关于干部任职的决定：陈昊任东风汽车集团有限公司副总经理、党委常委。简历显示，陈昊，1970年出生，浙江...
东风访谈 | 东风汽车集团有限公司董事长、党委书记竺延风:岚图是...,封面新闻,2020年7月30日,"长江网7月29日讯(记者康鹏)7月29日21时30分,在东风岚图发布会后,东风汽车集团有限公司董事长、党委书记竺延风接受了媒体现场采访。他表示,岚图概念车发布,是东风的新起点、新征程,将引领东风品牌向上。"
"东风迎战新能源高端市场,岚图首款新车为“零焦虑”出行而来",搜狐网,2020年12月23日,"当车主靠近时,岚图FREE的贯穿式羽翼灯组会自动开启,门把手也会自动弹出,迎接车主到来,车主进入车内后,岚图FREE的座椅还会自动调到习惯位置,导航等功能也会自动与车主的手机同步。 东风汽车集团有限公司董事长、党委书记竺延风 ..."
中央决定:东风汽车集团有限公司领导班子成员调整(简历),潇湘晨报,2020年7月30日,2020年7月30日上午，东风汽车集团有限公司召开领导班子（扩大）会，东风汽车集团有限公司董事长、党委书记竺延风同志宣布了中央关于干部任免的决定：杨青同志任东风汽车集团有限公司董事、党委副书记，不再担任东风汽车集团有限公司副总经理职务...
杨青出任董事、党委副书记!东风汽车集团公司领导成员调整,腾讯网,2020年7月24日,"2020年7月30日上午,东风汽车集团有限公司召开领导班子(扩大)会,东风汽车集团有限公司董事长、党委书记竺延风同志宣布了中央关于干部任免的决定:杨青同志任东风汽车集团有限公司董事、党委副书记,不再担任东风汽车集团有限公司副总经理职务;程道..."
专访东风汽车竺延风:关键“卡脖子”技术和部件要本土化,新京报,2020年5月29日,”近日，全国政协委员、东风汽车集团有限公司董事长、党委书记竺延风在接受新京报记者采访时如是说。不过，在他看来，国家出台的扩大消费政策还将会对市场恢复起到积极作用，并且在一定程度上带动整个市场循环加速和转型升级。东风公司将充分...
"...东风公司董事长竺延风:优化发展环境,推进智能网联汽车商业化落地",工人日报,3月10日,工人日报客户端记者 邹明强 全国政协委员、东风汽车集团有限公司（简称“东风公司”）董事长、党委书记竺延风，政协会上提交了《关于优化智能网联汽车发展环境 积极创造商业化落地条件的建议》，为推动智能网联汽车产业发展建言献策。竺延风指出...
两会快讯|全国政协委员、东风汽车集团董事长竺延风:重大关键装备...,新浪财经,2020年5月25日,两会快讯｜全国政协委员、东风汽车集团董事长竺延风：重大关键装备建造应当采取“揭榜”模式 来源：中国证券网 上证报中国证券网讯 5月24日下午，在全国政协经济界别小组讨论上，全国政协委员、东风汽车集团有限公司党委书记、董事长竺延风表示...
