title,source,time,summary
"中兴通讯董事长李自学:5G联结视界,创新开启未来",数字电视中文网,2020年11月4日,"中兴通讯以“超视界,新未来”为主题参展,展示了中兴通讯在5G+大视频、5G+智慧场馆、5G+Cloud VR、2D转3D、5G+超清视讯、5G+行业应用等方面的创新方案及应用成果。中兴通讯董事长李自学受邀在主论坛发表《5G联结视界,创新开启未来》..."
中兴通讯股份有限公司第八届董事会第三十二次会议决议公告,搜狐网,2月19日,"中兴通讯股份有限公司(以下简称“中兴通讯”或“公司”或“本公司”)已于2021年2月5日以电子邮件的方式向公司全体董事发出了《关于召开中兴通讯股份有限公司第八届董事会第三十二次会议的通知》。2021年2月10日,公司第八届董事会第三..."
鲍毓明退出中兴通讯股份有限公司董事行列 曾遭司法部点名:取得...,每日经济新闻,2020年7月20日,每经编辑：胡玲 据启信宝数据显示，7月17日，中兴通讯股份有限公司发生工商变更，Yuming Bao（鲍毓明）退出公司董事，新增董事为庄坚胜。工商信息显示，中兴通讯股份有限公司成立于1997年11月，注册资本41.9亿人民币，法定代表人为李自学...
BlackRock Inc.减持中兴通讯股份约192.74万股,腾讯网,2020年9月24日,"中兴通讯股份有限公司的董事长是李自学,男,56岁,于1987年毕业于西安交通大学电子元件与材料专业,获工学学士学位,具备研究员职称。 中兴通讯股份有限公司的总裁是徐子阳,男,48岁,于1994年毕业于电子科技大学物理电子技术专业,获得工学学士..."
中兴通讯董事长 李自学,人民邮电报,2020年10月14日,"中兴通讯定位为数字经济的筑路者,以联接和计算两大能力为核心,为行业赋能。即致力于提供极致性能、全场景接入的精品网络,让数据连接无处不在;提供精准云网方案,让计算和智能触手可及,为千行百业提供贴身化服务;搭建赋能平台,广聚行业..."
戴厚良会见中兴通讯董事长李自学,中国石油新闻中心,2020年11月11日,"中国石油网消息(记者李妍楠)11月10日,中国石油集团党组书记、董事长戴厚良在北京会见了中兴通讯党委书记、董事长李自学,双方围绕5G应用、物联网建设等方面深入交换了意见。 戴厚良对李自学一行的到访表示欢迎。他说,今年以来,面对新冠..."
鲍毓明退出中兴通讯股份有限公司董事行列,站长之家,2020年7月20日,"DoNews 7月20日消息(记者 刘文轩)天眼查数据显示,近日,中兴通讯股份有限公司发生工商变更,Yuming Bao(鲍毓明)退出公司董事,新增董事为庄坚胜。中兴通讯股份有限公司成立于1997年11月,注册资本41.9亿人民币,法定代表人为李自学,公司经营..."
鲍毓明退出中兴通讯股份有限公司董事行列 新增董事庄坚胜,腾讯网,2020年7月20日,"中兴通讯股份有限公司是国内仅次于华为的第二大通讯企业,成立于1997年,注册资本为41.9亿人民币,法定代表人为李自学。 对于此次工商的变更,有报道指出是因鲍毓明个人问题,而给公司企业带来巨大不利的负面影响,故而辞退做变更处理,维护公司..."
BlackRock Inc.增持中兴通讯股份约179.94万股,每日经济新闻,2020年8月21日,中兴通讯股份有限公司的董事长是李自学，男，56岁，于1987年毕业于西安交通大学电子元件与材料专业，获工学学士学位，具备研究员职称。 中兴通讯股份有限公司的总裁是徐子阳，男，48岁，于1994年毕业于电子科技大学物理电子技术专业，获得工...
陕西省与中兴通讯股份有限公司举行会谈 胡和平刘国中李自学出席,中国共产党新闻网,2019年9月4日,"本报讯 9月3日,我省与中兴通讯股份有限公司在西安举行会谈。 省委书记胡和平主持并讲话。省长刘国中介绍陕西经济高质量发展、工业产业布局、营商环境等情况。中兴通讯股份有限公司董事长李自学介绍企业发展情况。"
中兴高管大换血 新董事长李自学何以“中兴”? |深读,新京报,2018年6月30日,西安微电子技术研究所是中兴通讯控股股东中兴新的股东之一，公告称李自学不持有公司股份，并且与董事、监事、管理高级人员不存在关联。事实上，1997年10月，中兴通讯申请IPO时发布的招股书显示，筹委会主任张太峰时任是西安微电子技术研究所...
中兴通讯:选举李自学先生为公司第七届董事会董事长,金融界,2018年6月29日,今日晚间消息，中兴通讯公告称，选举李自学先生为公司第七届董事会董事长。殷一民、张建恒等原十四名董事一致同意立即辞去本公司董事职务以及所担任的董事会下设各专业委员会的职务。当日公司举行的年度股东大会上，《公司2017年度利润分配预案...
