title,source,time,summary
"刚刚,中国大唐集团宣布换帅",搜狐网,2020年12月7日,"内蒙古化工微信公众号最新了解到,12月7日上午,中国大唐集团有限公司召开中层以上管理人员大会。 中央组织部有关负责人宣布了中央关于中国大唐集团有限公司董事长、党组书记调整的决定:邹磊任中国大唐集团有限公司董事长、党组书记,免去其中国东..."
邹磊正式接棒陈飞虎任中国大唐一把手,能源100,2020年12月8日,据中国大唐官网消息，2020年12月7日上午，中国大唐集团有限公司召开中层以上管理人员大会。中央组织部有关负责同志宣布了中央关于中国大唐集团有限公司董事长、党组书记调整的决定：邹磊同志任中国大唐集团有限公司董事长、党组书记，免去其中国...
"大唐集团今日换帅,邹磊出任董事长",第一财经,2020年12月7日,五大电力集团之一的大唐集团今日迎来新任“一把手”，原中国东方电气集团有限公司董事长邹磊出任大唐集团董事长。12月7日，中国大唐集团在官网公告称，邹磊任中国大唐集团有限公司董事长、党组书记，免去其中国东方电气集团有限公司（下称东方...
定了!邹磊接任大唐集团集团董事长、党组书记,腾讯网,2020年12月7日,"刚刚,大唐集团官网宣布集团董事长、党组书记人事调整。 今天上午,中国大唐集团有限公司召开中层以上管理人员大会。中央组织部有关负责人宣布了中央关于中国大唐集团有限公司董事长、党组书记调整的决定:邹磊任中国大唐集团有限公司董事长、党组书..."
"履新大唐集团董事长“满月”,邹磊都见了谁?谈了啥?",华夏能源网,1月8日,2020年12月7日，中国大唐集团有限公司（简称“大唐集团”）完成换帅：原董事长陈飞虎离任，邹磊从东方电气董事长位置上进京出任新董事长。作为近万亿资产的能源央企新掌门人，邹磊从上任伊始，其一举一动均备受关注。至今，邹磊出任大唐...
五大电力集团之一的大唐集团换帅!迎来新任“一把手”邹磊!转发,网易,2020年12月23日,"2020年12月7日上午,中国大唐集团有限公司召开中层以上管理人员大会。 中央组织部有关负责同志宣布了中央关于中国大唐集团有限公司董事长、党组书记调整的决定:邹磊任中国大唐集团有限公司董事长、党组书记,免去其中国东方电气集团有限公司董事长..."
进出口银行董事长胡晓炼与大唐集团董事长邹磊会谈,新华网客户端,2月8日,近日，进出口银行董事长胡晓炼与中国大唐集团有限公司（以下简称大唐集团）董事长邹磊举行会谈，就加强双方战略合作、实现互利共赢等主题进行了深入交流。进出口银行副行长谢平、大唐集团副总经理彭勇参加会谈。胡晓炼表示，进出口银行和大唐集团...
今日能源看点:重磅!东方电气董事长邹磊任大唐集团董事长!北京摇号...,网易新闻,2020年12月7日,"12月7日上午,中国大唐集团有限公司召开中层以上管理人员大会。 中央组织部有关负责同志宣布了中央关于中国大唐集团有限公司董事长、党组书记调整的决定: 邹磊同志任中国大唐集团有限公司董事长、党组书记,免去其中国东方电气集团有限公司董事长..."
"换帅!邹磊调任大唐集团董事长,原董事长陈飞虎另有任用",亿欧网,2020年12月7日,12月7日，中国大唐集团有限公司（下称大唐集团）官网显示，公司当日上午召开中层以上管理人员大会，中央组织部免去陈飞虎大唐集团董事长、党组书记职务，另有任用；邹磊任大唐集团董事长、党组书记，免去其中国东方电气集团有限公司（下称东方...
数字化|邹磊认识的中国大唐数字化转型路径,全国能源信息平台,1月22日,文/邹磊  中国大唐集团有限公司党组书记、董事长 党的十九大作出建设网络强国、数字中国、智慧社会的重大战略决策，并对培育具有全球竞争力的世界一流企业提出明确要求。习近平总书记高度重视发展数字经济，多次作出重要指示批示，强调要推动...
"刚刚,中国大唐集团宣布换帅",搜狐网,2020年12月7日,"内蒙古化工微信公众号最新了解到,12月7日上午,中国大唐集团有限公司召开中层以上管理人员大会。 中央组织部有关负责人宣布了中央关于中国大唐集团有限公司董事长、党组书记调整的决定:邹磊任中国大唐集团有限公司董事长、党组书记,免去其中国东..."
邹磊正式接棒陈飞虎任中国大唐一把手,能源100,2020年12月8日,据中国大唐官网消息，2020年12月7日上午，中国大唐集团有限公司召开中层以上管理人员大会。中央组织部有关负责同志宣布了中央关于中国大唐集团有限公司董事长、党组书记调整的决定：邹磊同志任中国大唐集团有限公司董事长、党组书记，免去其中国...
"大唐集团今日换帅,邹磊出任董事长",第一财经,2020年12月7日,五大电力集团之一的大唐集团今日迎来新任“一把手”，原中国东方电气集团有限公司董事长邹磊出任大唐集团董事长。12月7日，中国大唐集团在官网公告称，邹磊任中国大唐集团有限公司董事长、党组书记，免去其中国东方电气集团有限公司（下称东方...
定了!邹磊接任大唐集团集团董事长、党组书记,腾讯网,2020年12月7日,"刚刚,大唐集团官网宣布集团董事长、党组书记人事调整。 今天上午,中国大唐集团有限公司召开中层以上管理人员大会。中央组织部有关负责人宣布了中央关于中国大唐集团有限公司董事长、党组书记调整的决定:邹磊任中国大唐集团有限公司董事长、党组书..."
"履新大唐集团董事长“满月”,邹磊都见了谁?谈了啥?",华夏能源网,1月8日,2020年12月7日，中国大唐集团有限公司（简称“大唐集团”）完成换帅：原董事长陈飞虎离任，邹磊从东方电气董事长位置上进京出任新董事长。作为近万亿资产的能源央企新掌门人，邹磊从上任伊始，其一举一动均备受关注。至今，邹磊出任大唐...
五大电力集团之一的大唐集团换帅!迎来新任“一把手”邹磊!转发,网易,2020年12月23日,"2020年12月7日上午,中国大唐集团有限公司召开中层以上管理人员大会。 中央组织部有关负责同志宣布了中央关于中国大唐集团有限公司董事长、党组书记调整的决定:邹磊任中国大唐集团有限公司董事长、党组书记,免去其中国东方电气集团有限公司董事长..."
进出口银行董事长胡晓炼与大唐集团董事长邹磊会谈,新华网客户端,2月8日,近日，进出口银行董事长胡晓炼与中国大唐集团有限公司（以下简称大唐集团）董事长邹磊举行会谈，就加强双方战略合作、实现互利共赢等主题进行了深入交流。进出口银行副行长谢平、大唐集团副总经理彭勇参加会谈。胡晓炼表示，进出口银行和大唐集团...
今日能源看点:重磅!东方电气董事长邹磊任大唐集团董事长!北京摇号...,网易新闻,2020年12月7日,"12月7日上午,中国大唐集团有限公司召开中层以上管理人员大会。 中央组织部有关负责同志宣布了中央关于中国大唐集团有限公司董事长、党组书记调整的决定: 邹磊同志任中国大唐集团有限公司董事长、党组书记,免去其中国东方电气集团有限公司董事长..."
"换帅!邹磊调任大唐集团董事长,原董事长陈飞虎另有任用",亿欧网,2020年12月7日,12月7日，中国大唐集团有限公司（下称大唐集团）官网显示，公司当日上午召开中层以上管理人员大会，中央组织部免去陈飞虎大唐集团董事长、党组书记职务，另有任用；邹磊任大唐集团董事长、党组书记，免去其中国东方电气集团有限公司（下称东方...
数字化|邹磊认识的中国大唐数字化转型路径,全国能源信息平台,1月22日,文/邹磊  中国大唐集团有限公司党组书记、董事长 党的十九大作出建设网络强国、数字中国、智慧社会的重大战略决策，并对培育具有全球竞争力的世界一流企业提出明确要求。习近平总书记高度重视发展数字经济，多次作出重要指示批示，强调要推动...
大唐集团公司党组书记、董事长邹磊到北京高井热电厂调研 检查供热...,腾讯网,1月4日,"1月3日,中国大唐集团有限公司党组书记、董事长邹磊到大唐国际北京高井热电厂,就“双节”期间供热保电及安全生产工作进行调研检查,并亲切看望慰问节日期间奋战在生产一线的干部职工。 邹磊代表集团公司党组向坚守岗位的生产运营人员,向集团系统..."
国家电网董事长辛保安会见大唐集团董事长邹磊,电网头条,2月24日,2月23日，国家电网有限公司董事长、党组书记辛保安在公司总部会见中国大唐集团有限公司董事长、党组书记邹磊一行。大唐集团副总经理、党组成员曲波、彭勇，公司副总经理、党组成员庞骁刚参加会见。辛保安对邹磊一行到访国家电网公司表示欢迎，向...
王祥喜会见中国大唐集团董事长邹磊,中国电力网,2月5日,"2月4日,国家能源集团党组书记、董事长王祥喜在京会见来访的中国大唐集团党组书记、董事长邹磊,双方就进一步深化合作事宜深入交流。集团公司党组成员、副总经理高嵩、杨鹏,中国大唐集团党组成员、副总经理张传江、彭勇参加会见。"
邹磊任大唐集团董事长,界面新闻,2020年12月7日,12月7日上午，中国大唐集团有限公司召开中层以上管理人员大会。中央组织部有关负责人宣布了中央关于中国大唐集团有限公司董事长、党组书记调整的决定：邹磊任中国大唐集团有限公司董事长、党组书记，免去其中国东方电气集团有限公司董事长、党组...
中国大唐集团有限公司召开第五届董事会第一次会议,中国电力网,1月21日,"本网讯 2021年1月20日,中国大唐集团有限公司第五届董事会第一次会议在京召开。董事长邹磊主持会议并讲话,董事寇伟、时家林、陈琦良、杨海滨、王万春在集团公司总部参加会议,张国发、孙新国在上海分会场以视频方式参会。"
中国大唐集团有限公司党组成员、副总经理彭勇一行访问东方电气集团,全国能源信息平台,2020年8月27日,本网讯 8月25日，中国大唐集团有限公司党组成员、副总经理彭勇一行访问东方电气集团，受到集团公司党组书记、董事长邹磊，党组副书记、总经理俞培根，党组成员、副总经理徐鹏的热情接待。座谈中，双方共叙友谊、畅谈合作，并就如何推进现有...
张传江、彭勇任中国大唐集团有限公司副总经理,潇湘晨报,2020年7月11日,2020年7月9日下午，中国大唐集团有限公司召开领导班子扩大会议，宣布了中共中央组织部决定：张传江、彭勇同志任中国大唐集团有限公司副总经理、党组成员。【来源：新华网客户端】版权归原作者所有，向原创致敬 ...
中国大唐党组理论学习中心组赴香山革命纪念地开展党史学习教育,中国电力网,2021-05-08 12:47,"本网讯 5月7日,中国大唐集团有限公司党组书记、董事长邹磊带领集团公司党组中心组成员赴香山革命纪念地,瞻仰双清别墅革命旧址,参观香山革命纪念馆,重温入党誓词,以“发扬斗争精神,防范化解重大风险”为主题开展党组理论学习中心组专题研讨,回..."
中国大唐集团公司党组书记、董事长邹磊拜会国家乡村振兴局局长王...,网易订阅,3月31日,"3月30日,集团公司党组书记、董事长邹磊一行拜会国家乡村振兴局党组书记、局长王正谱,并就集团公司乡村振兴工作安排作汇报沟通。 国家乡村振兴局党组成员、副局长洪天云,集团公司党组副书记、董事时家林参加会见。"
中国大唐集团公司党组书记、董事长邹磊率队拜访国家电网党组书记...,全国能源信息平台,2月23日,集团公司党组成员、副总经理曲波、彭勇，国家电网党组成员、副总经理庞骁刚参加会见。邹磊对国家电网长期以来给予中国大唐的支持表示感谢，并简要介绍了中国大唐生产经营和改革发展情况。他指出，中国大唐认真贯彻党中央国务院决策部署，落实国家“...
邹磊参加博鳌亚洲论坛开幕式并代表中方企业在中外企业家座谈会上...,中国电力网,4月22日,"中国大唐集团党组书记、董事长邹磊参加开幕式,并在20日下午举办的中外企业家座谈会上代表中方企业发言。中国大唐集团党组成员、副总经理刘广迎参加开幕式和有关论坛。 习近平主席在演讲中倡议,亚洲和世界各国要回应时代呼唤,携手共克疫情,..."
中美企业家在博鳌亚洲论坛2021年年会期间举行对话会,澎湃新闻,4月21日,"国家中医药管理局副局长孙达,博鳌亚洲论坛前秘书长、前中国驻美大使周文重,亚洲基础设施投资银行行长金立群,中国石油化工集团股份有限公司董事长张玉卓,中远集团董事长许立荣,中国大唐集团有限公司董事长邹磊,中国投资有限责任公司副董事长、总..."
大唐海南公司迅速贯彻落实邹磊董事长在琼调研考察期间各项工作要求,中国电力网,4月27日,"中国电力网讯 4月22日,大唐海南公司召开专题会议,迅速传达贯彻落实集团公司党组书记、董事长邹磊在琼调研考察期间作出的要求布置。大唐海南公司党委书记、董事长陈智参加会议并讲话,党委副书记、副总经理申镇主持会议,公司领导班子成员分别就..."
2020年12月07日股市盘中盘后重要消息,腾讯网,2020年12月7日,"43、【邹磊任中国大唐集团有限公司董事长、党组书记】 12月7日讯,中国大唐集团有限公司召开中层以上管理人员大会。 44、【中指研究院:预计2021年房地产调控整体仍将保持连续性和稳定性】 12月7日讯,中指研究院对外发布《中国房地产2020..."
邹磊参加“贯彻落实习近平总书记重要指示批示精神、奋力推进海南...,中国电力网,4月20日,"国务院国资委党委书记、主任郝鹏,海南省委书记沈晓明,省长冯飞出席并讲话。中国大唐集团有限公司党组书记、董事长邹磊,党组成员、副总经理刘广迎参加座谈会。 郝鹏充分肯定三年来央企与海南取得的合作成果。他强调,国务院国资委和央企要坚决贯彻..."
中国大唐党组传达学习贯彻习近平总书记在福建考察时的重要讲话精神,中国电力网,4月7日,"本网讯 4月7日,中国大唐集团有限公司党组书记、董事长邹磊主持召开党组会议,传达学习贯彻习近平总书记在福建考察时的系列重要讲话精神,研究部署集团公司贯彻落实举措。集团公司党组副书记、总经理寇伟,集团公司领导时家林、刘广迎、王瑛、曲波、..."
国家管网集团与中国大唐签署战略合作框架协议,网易新闻,4月19日,"4月15日,国家管网集团与中国大唐在京签署战略合作框架协议。国家管网集团董事长、党组书记张伟,总经理、党组副书记侯启军和中国大唐董事长、党组书记邹磊,党组成员、副总经理张传江出席签约仪式并见证签约。 张伟对邹磊一行的到来表示欢迎..."
大唐集团陈飞虎会见东方电气集团董事长邹磊,国际电力网,2019年3月15日,"日期:2019-03-15 来源:中国大唐集团公司国际电力网201903/1514:14收藏手机扫码看新闻分享 关键词: 大唐集团 陈飞虎 东方电气 邹磊  3月13日,集团公司党组书记、董事长陈飞虎在总部会见了东方电气集团有限公司党组书记、董事长邹磊一行..."
彭清华会见大唐集团董事长邹磊、华电集团董事长温枢刚,四川在线,8天前,"4月30日,省委书记彭清华在成都分别会见大唐集团董事长邹磊、华电集团董事长温枢刚一行。双方围绕进一步深化和扩大能源领域互利合作、助力四川加快打造国家清洁能源示范省、更好服务国家碳达峰碳中和战略实施等交换了意见。省委常委、副省长罗文..."
中国电力新闻网,中国电力新闻网,4月13日,"中国电力新闻网讯 4月8日至10日,中国大唐集团有限公司召开2021年一季度经济运行分析会暨提质增效工作动员部署会,深入贯彻党的十九届五中全会、中央经济工作会议和全国两会精神,落实集团公司2021年工作会议部署要求,总结通报集团公司2021年一..."
"电力央企大巡视国网大唐打头阵,巡视动员会上做了这些安排……",华夏能源网,4月9日,在国家电网部署会议的前一天，大唐集团也召开了巡视动员部署会。根据安排，将对大唐内蒙古分公司、陕西公司、广西分公司、贵州公司党委开展常规巡视，对蒲城发电公司开展提级巡视。大唐集团党组书记、董事长、党组巡视工作领导小组组长邹磊出席...
中国大唐:扎实推进党史学习教育 汇聚接续奋斗的磅礴伟力,中国电力网,3月31日,"中国大唐深刻认识开展党史学习教育是开启“二次创业”新征程,加快推进建设世界一流能源供应商的迫切需要。结合集团公司“二次创业”,实施“四大攻坚战”“五大系统提升工程”等重点工作,结合落实“十四五”开局之年各项重点工作任务,将“我..."
大唐石门发电公司召开党委理论学习中心组(扩大)学习会议,中国电力网,3月23日,"中国电力网讯 3月22日上午,大唐石门发电公司召开党委理论学习中心组(扩大)学习会议,就习近平总书记近期重要讲话精神、党内党内法规、《安全生产法》以及集团公司近期重要会议和文件精神进行了重点学习,并以“第一议题”的形式就《论中国共产..."
大唐华银张水公司开展资产负债排查工作,中国电力网,3月21日,"中国电力网讯 为贯彻落实大唐集团公司董事长邹磊《保障全国两会电力安全 实现集团公司首季开门红动员部署会上的讲话》精神,尽快摸清家底,排查隐患,为二次创业、做强做优提供坚强保障。大唐华银张家界水电有限公司主动提升政治站位,迅速开展行动..."
大唐集团公司召开二级单位体制机制改革动员部署会议,中国电力网,3月20日,"集团公司党组书记、董事长邹磊出席会议并作动员讲话,董事、总经理、党组副书记寇伟宣布二级单位体制改革方案并提出工作要求,集团公司董事、党组副书记时家林主持会议。集团公司领导刘广迎、王瑛、曲波、张传江、彭勇、陶云鹏参加会议。"
大唐集团董事长邹磊率队拜访国家能源局局长章建华,北极星电力会展网,2020年12月30日,"12月29日,中国大唐党组书记、董事长邹磊率队拜访国家能源局党组书记、局长章建华,双方就深化落实能源安全新战略,全力保障国家能源安全,推动能源绿色低碳转型发展进行深入交流。集团公司党组副书记时家林,党组成员、副总经理彭勇参加座谈。"
大唐副董王野平会见哈电集团董事长邹磊,国际电力网,2015年4月24日,"4月23日,大唐集团公司副董事长、总经理、党组副书记王野平在总部会见了哈尔滨电气集团公司董事长、党委书记邹磊。 大唐集团公司副总经理金耀华;哈尔滨电气集团公司党委常委、副总经理吴伟章,党委常委、纪委书记白绍桐参加了会见。"
"468GW,八家电力央企十四五新能源装机规划",网易,前天14:13,"2021年1月21日,在大唐集团有的2021年工作会议上,党组书记、董事长邹磊提出:以“打造‘绿色低碳、多能互补、高效协同、数字智慧’的世界一流能源供应商”为发展愿景,实现“两个转型”(即实现从传统电力企业向绿色低碳能源企业转型,到2025..."
61岁新任国网董事长辛保安当选中电联理事长 努力推动电力工业高...,网易,6天前,同时共选举产生了20名副理事长:孟振平(南方电网党组书记、董事长)、舒印彪(华能集团党组书记、董事长)、邹磊(大唐集团党组书记、董事长)、温枢刚(华电集团党组书记、董事长)、刘国跃(国家能源集团总经理、党组副书记)、江毅(国家电投集团...
