title,source,time,summary
中国海洋石油集团有限公司总经理汪东进一行赴卓资县调研考察,乌兰察布市人民政府网站,2018年11月9日,"2018年11月6日,中国海洋石油集团有限公司党组副书记、总经理汪东进率队赴卓资县调研考察定点帮扶工作,并召开座谈会。 调研期间,汪东进总经理一行先后前往卓资县生态小区、“巧手手扶贫车间”考察易地扶贫搬迁及后续产业就业服务情况,并看望慰..."
"【头条】中海油中石化齐换将,汪东进马永生分别就任两公司二把手",搜狐网,2018年11月1日,"2018年10月31日下午,中国海洋石油集团有限公司召开领导班子(扩大)会议。受中组部领导委托,中组部有关干部局负责同志宣布了中央关于中国海洋石油集团有限公司总经理任职的决定:汪东进同志任中国海洋石油集团有限公司总经理。上述任职按有关..."
汪东进辞任中国石油总裁职务 出任中海油董事,界面新闻,2018年4月3日,中国石油天然气股份公司（下称中国石油 ，00857.HK）总裁汪东进，已转战中国海洋石油集团有限公司（下称中海油）任职。4月2日，中国石油发布公告称，汪东进因工作岗位调整，已辞去公司副董事长、董事及总裁职务。同时，汪东进卸任董事会投资...
中国海洋石油董事长汪东进:当前低油价是阶段性的 一季度盈利将...,新浪财经,2020年3月27日,中国海洋石油方面在媒体电话会议中表示，新一轮的油价大幅下跌为成本带来了巨大压力，公司已制定相关措施，调整和优化勘探与开发生产的计划，包括资本支出的压减、生产油气成本进一步压减等。针对疫情下的复工情况，汪东进表示，中国海洋石油已...
中国海洋石油(00883.HK)委任汪东进为董事长,新浪财经,2019年11月18日,中国海洋石油(00883.HK)委任汪东进为董事长 来源：格隆汇 格隆汇11月18日丨中国海洋石油(00883.HK)宣布，自2019年11月18日起，公司非执行董事汪东进获委任为公司董事长及提名委员会主席。汪东进不再担任副董事长一职，自2019年11月18日...
汪东进接替武广齐获任中国海洋石油(00883)非执行董事等职务,深圳智通财经,2018年4月27日,"智通财经APP讯,中国海洋石油(00883)发布公告,自2018年4月27日起,汪东进获委任为该公司非执行董事及薪酬委员会成员。 此外,武广齐于2018年4月27日辞任该公司非执行董事及薪酬委员会成员职务。"
中国海洋石油委任汪东进为董事长及提名委员会主席,同花顺财经,2019年11月18日,"同花顺财经 发布时间:11-1818:38浙江核新同花顺网络信息股份有限公司 中国海洋石油(00883)发布公告,自2019年11月18日起,汪东进,公司现任非执行董事,获委任为公司董事长及提名委员会主席。汪东进不再担任副董事长一职。 来源: 智通财经 ..."
[公告摘要]中国海洋石油(00883.HK):非执董汪东进获委任为副董事长,金融界,2018年12月5日,"来源:格隆汇 格隆汇12月5日丨中国海洋石油(00883.HK)宣布,自2018年12月5日起,公司非执行董事汪东进获委任为公司副董事长。 本文由百家号作者上传并发布,百家号仅提供信息发布平台。文章仅代表作者个人观点,不代表百度立场。未经作者许可..."
中国海油:汪东进出任集团董事长、党组书记,搜狐网,2019年10月24日,"新京报讯 10月24日,据中国海洋石油集团有限公司消息,中国海洋石油集团有限公司召开中层以上管理人员大会,中共中央组织部有关负责同志宣布了中央关于中国海洋石油集团有限公司董事长、党组书记调整的决定:汪东进同志…"
中央第二巡视组巡视中国海洋石油集团有限公司党组工作动员会召开,中央纪委国家监委网站,2019年4月3日,会前，中央第二巡视组组长薛利主持召开与中国海洋石油集团有限公司党组书记、董事长杨华，党组副书记、总经理汪东进的见面沟通会，传达学习了习近平总书记关于巡视工作的重要讲话精神，通报了有关工作安排。会上，薛利作了动员讲话，对做好...
