title,source,time,summary
"中国电科院关联公司申请""分接转换器及其触头""专利",网易新闻,昨天09:37,"天眼查App显示,近日,中国电科院关联公司中国电力科学研究院有限公司申请""分接转换器及其触头""专利。专利摘要显示,本实用新型揭示了分接转换器及其触头,包括:壳体、数组刀片式动触头和数组弹簧。壳体上两个相对的面形成安装面,连接两个..."
中国电机工程学会电磁环境专业委员会第18届学术会议在北京召开,搜狐网,2020年12月29日,"本届会议由电磁环境专业委员会(下称专委会)主办,中国电力科学研究院有限公司承办。专委会主任委员、中国电科院董事长赵鹏,专委会名誉委员、原国家电网有限公司总经理助理张文亮和来自科研、设计、运行、设备制造以及高等院校的专家学者共..."
2020(第四届)中国配电技术高峰论坛在京召开,人民政协网,2020年10月28日,"中国电力科学研究院有限公司董事长赵鹏在致辞中表示,近年来,中国电科院在配电领域发展取得了显著成效,研发了配电网在线/离线一体化仿真系统和配电网数模混合仿真平台,建立了配电网模式化故障诊断与安全保护方法库,突破了配电物联网设备即插..."
重大人事调整!中国电力科学研究院董事长、总经理调整,搜狐网,2019年9月3日,"小编在中国电力科学研究院官方网站发现中国电力科学研究院院长、常务副院长及相关领导已经调整。 赵鹏 董事长(院长)、党委书记,国家高电压计量站站长。教授级高级工程师,享受国务院政府特殊津贴专家。"
"揭秘国家电网二季度会,速看!",电网头条,4月16日,”国网新源控股有限公司董事长、党委书记侯清国说。绩溪抽水蓄能电站下水库。 唐祖怀 摄 会议提出，全力推进科技创新，提升科技自立自强水平。中国电力科学研究院有限公司董事长（院长）、党委书记赵鹏表示，中国电科院将设立专门的研究机构和...
研发成果落地 泛在电力物联网有望在配电领域“开花”,国际电力网,2019年7月8日,"6月26日,中国电力科学研究院有限公司总经理赵鹏在由中国电科院、中电联科技开发服务中心联合主办的2019年(第三届)中国配电技术高峰论坛上表示,“我们率先开展了配电物联网研究,从体系架构、通信协议、软件功能模块到安全防护方案,系统进行..."
“泛在电力物联网”在配电领域落地扎根,经济参考网,2019年7月2日,"“国网提出到2021年初步建成泛在电力物联网,配电领域由于量大面广复杂因而处在泛在电力物联网建设的主战场,面临巨大的挑战与机遇。”中国电力科学研究院有限公司总经理赵鹏表示,我们率先开展配电物联网的研究,从体系架构、通信协议、软件..."
应用配电物联网技术 助建设新一代电力系统,搜狐网,2019年4月10日,"中国电力科学研究院有限公司总经理赵鹏在会上说,当前,我国配电网规模迅速扩大,基于分布式、多负荷、多电源等特征的复杂配电架构正在形成,终端用户对供电可靠性要求逐步提高,源网荷协调发展、无线充电和直流配电等技术逐渐改变传统配电网。以..."
中国电科院研究生教育培养国内外院士7人,中国电力新闻网,2018年11月12日,"中国电力新闻网讯 记者 苏伟 报道 11月10日,中国电力科学研究院有限公司(以下简称中国电科院)研究生教育40周年学术研讨会在京召开,中国电科院总经理(常务副院长)赵鹏主持会议。中国工程院院士、中国电科院院长郭剑波在会上透露,该院自..."
2019年中国配电技术高峰论坛在京召开,经济参考网,2019年6月28日,"中国电力科学研究院有限公司总经理赵鹏在致辞中表示,电科院以智能配变终端为代表的配电物联网技术取得重大突破,实现了传统工业技术与物联网技术的深度融合,促进了配电网技术的转型升级。研发成果实现成功转化,产品在山东等7家单位开展试点..."
