title,source,time,summary
"徐留平出席中德汽车大会,奥迪一汽深化合作",搜狐网,2020年10月15日,"本届中德汽车大会以“深度融合升级版,协作共赢新机遇”为总主题,以“变局、趋势、共赢”为分主题,由商务部投资促进事务局、中国第一汽车集团有限公司、长春市政府、吉林省商务厅共同主办。 在大会现场,中国一汽集团董事长徐留平以“携手..."
徐留平董事长助阵 不一样的新奔腾如何破浪前行?,搜狐网,2020年10月1日,"在这场世界级的汽车焦点SHOW中,一汽奔腾亮出新的王牌——全新第三代奔腾B70首次亮相,纯电动新车奔腾E01正式上市,补贴后售价19.68-22.88万元。值得一提的是,中国第一汽车集团有限公司董事长、党委书记徐留平来到一汽奔腾展台,现场助阵,..."
徐留平站台一汽奔腾 第三代奔腾B70首发,网易新闻,2020年9月27日,"值得一提的是,中国第一汽车集团有限公司董事长、党委书记徐留平来到一汽奔腾展台,表现出对一汽奔腾的关注和期望,以及做好一汽自主事业的态度和决心。 发布会上,中国第一汽车集团有限公司党委常委、副总经理,一汽奔腾轿车有限公司董事长、..."
红旗H9初登场:徐留平在一汽的“第一战”,搜狐网,2020年7月17日,"徐留平于2017年8月2日开始接手一汽集团,任中国第一汽车集团有限公司董事长、党委书记,在其加入红旗后,红旗就曾先后推出了包括新型红旗H7(参数|图片)、红旗H5(参数|图片)、红旗HS5(参数|图片)、红旗HS7(参数|图片)与红旗红旗E-HS3(..."
一汽徐留平:落实促进汽车消费和发展,爱卡汽车,2020年5月28日,[爱卡汽车 行业资讯 原创]日前，爱卡汽车获悉，全国人大代表、中国第一汽车集团有限公司董事长徐留平在两会期间提出了《加快破除汽车消费限制，落实促进汽车消费和发展的相关政策》的建议。下载爱卡汽车App获取更多资讯 全国人大代表、中国第一...
"徐留平亲自站台,两款新车齐发,一汽奔腾开启""狂奔""模式",搜狐网,2020年9月28日,"9月26日北京车展,一汽奔腾带了两款重磅全新车型——全新第三代奔腾B70发布以及纯电动新车奔腾E01正式上市,双车齐发,现场观众大呼一汽奔腾这次又""开挂""了! 特别值得一提的是,中国第一汽车集团有限公司董事长、党委书记徐留平来到一汽奔..."
轩辕大学导师、中国第一汽车集团有限公司董事长徐留平,搜狐网,2020年3月2日,"搜狐首页 新闻 体育 汽车 房产 旅游 教育 时尚 科技 财经 娱乐 更多 登录 轩辕大学导师、中国第一汽车集团有限公司董事长徐留平 2020-03-02 10:07:31 声明: 本文由入驻搜狐公众平台的作者撰写,除搜狐官方账号外,观点仅代表作者本人,..."
中国品牌C级SUV“高点”:红旗HS7上市34.98万起,易车网,2019年7月12日,"中国第一汽车集团有限公司董事长徐留平表示,红旗HS7作为红旗工厂第一款全新产品,在产品意义、产品规划、研发、制造、采购、供应、质量等方面,都凝聚了红旗人披星戴月、日夜奋战的干劲和热情。红旗HS7是红旗的旗舰产品,下一步要从质量、..."
"车界两会代表又多了几张新面孔,个个都是顶级大佬",手机凤凰网,2018年2月8日,"日前,在吉林省第十三届人民代表大会第一次会议上,中国第一汽车集团有限公司党委书记、董事长徐留平当选第十三届全国人民代表大会代表。在接管一汽集团的半年多时间里,徐留平接连推出势大力沉的改革举措在社会上引起积极反响。坚决果断的徐留..."
中国一汽集团董事长徐留平:汽车行业也要形成联盟矩阵,新浪财经,2019年11月26日,中国第一汽车集团有限公司党委书记、董事长徐留平 图片来源：主办方供图 今日（11月26日），京东方全球创新伙伴大会·2019（BOE IPC·2019）在北京举行。中国第一汽车集团有限公司党委书记、董事长徐留平在大会演讲时称，汽车是每一个消费...
"徐留平出席中德汽车大会,奥迪一汽深化合作",搜狐网,2020年10月15日,"本届中德汽车大会以“深度融合升级版,协作共赢新机遇”为总主题,以“变局、趋势、共赢”为分主题,由商务部投资促进事务局、中国第一汽车集团有限公司、长春市政府、吉林省商务厅共同主办。 在大会现场,中国一汽集团董事长徐留平以“携手..."
徐留平董事长助阵 不一样的新奔腾如何破浪前行?,搜狐网,2020年10月1日,"在这场世界级的汽车焦点SHOW中,一汽奔腾亮出新的王牌——全新第三代奔腾B70首次亮相,纯电动新车奔腾E01正式上市,补贴后售价19.68-22.88万元。值得一提的是,中国第一汽车集团有限公司董事长、党委书记徐留平来到一汽奔腾展台,现场助阵,..."
徐留平站台一汽奔腾 第三代奔腾B70首发,网易新闻,2020年9月27日,"值得一提的是,中国第一汽车集团有限公司董事长、党委书记徐留平来到一汽奔腾展台,表现出对一汽奔腾的关注和期望,以及做好一汽自主事业的态度和决心。 发布会上,中国第一汽车集团有限公司党委常委、副总经理,一汽奔腾轿车有限公司董事长、..."
红旗H9初登场:徐留平在一汽的“第一战”,搜狐网,2020年7月17日,"徐留平于2017年8月2日开始接手一汽集团,任中国第一汽车集团有限公司董事长、党委书记,在其加入红旗后,红旗就曾先后推出了包括新型红旗H7(参数|图片)、红旗H5(参数|图片)、红旗HS5(参数|图片)、红旗HS7(参数|图片)与红旗红旗E-HS3(..."
一汽徐留平:落实促进汽车消费和发展,爱卡汽车,2020年5月28日,[爱卡汽车 行业资讯 原创]日前，爱卡汽车获悉，全国人大代表、中国第一汽车集团有限公司董事长徐留平在两会期间提出了《加快破除汽车消费限制，落实促进汽车消费和发展的相关政策》的建议。下载爱卡汽车App获取更多资讯 全国人大代表、中国第一...
"徐留平亲自站台,两款新车齐发,一汽奔腾开启""狂奔""模式",搜狐网,2020年9月28日,"9月26日北京车展,一汽奔腾带了两款重磅全新车型——全新第三代奔腾B70发布以及纯电动新车奔腾E01正式上市,双车齐发,现场观众大呼一汽奔腾这次又""开挂""了! 特别值得一提的是,中国第一汽车集团有限公司董事长、党委书记徐留平来到一汽奔..."
轩辕大学导师、中国第一汽车集团有限公司董事长徐留平,搜狐网,2020年3月2日,"搜狐首页 新闻 体育 汽车 房产 旅游 教育 时尚 科技 财经 娱乐 更多 登录 轩辕大学导师、中国第一汽车集团有限公司董事长徐留平 2020-03-02 10:07:31 声明: 本文由入驻搜狐公众平台的作者撰写,除搜狐官方账号外,观点仅代表作者本人,..."
中国品牌C级SUV“高点”:红旗HS7上市34.98万起,易车网,2019年7月12日,"中国第一汽车集团有限公司董事长徐留平表示,红旗HS7作为红旗工厂第一款全新产品,在产品意义、产品规划、研发、制造、采购、供应、质量等方面,都凝聚了红旗人披星戴月、日夜奋战的干劲和热情。红旗HS7是红旗的旗舰产品,下一步要从质量、..."
"车界两会代表又多了几张新面孔,个个都是顶级大佬",手机凤凰网,2018年2月8日,"日前,在吉林省第十三届人民代表大会第一次会议上,中国第一汽车集团有限公司党委书记、董事长徐留平当选第十三届全国人民代表大会代表。在接管一汽集团的半年多时间里,徐留平接连推出势大力沉的改革举措在社会上引起积极反响。坚决果断的徐留..."
中国一汽集团董事长徐留平:汽车行业也要形成联盟矩阵,新浪财经,2019年11月26日,中国第一汽车集团有限公司党委书记、董事长徐留平 图片来源：主办方供图 今日（11月26日），京东方全球创新伙伴大会·2019（BOE IPC·2019）在北京举行。中国第一汽车集团有限公司党委书记、董事长徐留平在大会演讲时称，汽车是每一个消费...
中国一汽集团董事长徐留平:2019年第一季度红旗品牌销量同比,中国经营报,2019年4月16日,"红旗品牌作为中国一汽旗下高端轿车品牌,携14台展车、2款技术设备共16件展品盛大亮相。 中国第一汽车集团有限公司董事长徐留平在红旗展台表示:“自去年1月8日在人民大会堂正式发布新红旗品牌战略,距今已一年又三个多月,这期间红旗在品牌..."
现身奥迪Q工厂投产仪式 徐留平在致辞中说了哪些重点,腾讯汽车,2018年3月29日,"3月28日晚,一汽-大众奥迪Q工厂建成投产仪式在长春举行,活动现场,中国第一汽车集团有限公司董事长、一汽-大众董事徐留平也亲自到场并做了致辞。 事实上自去年8月掌舵一汽以来,徐留平的大部分时间都放在了处理公司内部事务上,出席集团品牌活..."
中国第一汽车集团公司党委书记、董事长徐留平:“做好红旗是一汽的...,机经网,2018年3月7日,"全国人大代表、中国第一汽车集团公司党委书记、董事长徐留平接受了《中国汽车报》记者的采访。“做好红旗是国家对我们的要求,得到了地方政府的大力支持,同时也是一汽的使命和责任。”徐留平表示。"
等深线|少帅徐留平挺进一汽 四大汽车集团高管调整进入第二波,中国经营网,2017年8月2日,"辉煌的汽车大并购时代里,戴着墨镜显得帅气的徐留平拥有足够的自信。 又是在最热的夏日里,还有两个月年满53岁的徐留平迎来了人生中极为重要的一步:接任一汽集团董事长。2017年8月2日上午,中国第一汽车集团公司召开中层以上管理人员大会..."
一汽集团徐留平:中国汽车工业4.0时代 谁主沉浮?,浙江在线,2018年11月8日,"这是中国民族汽车品牌首次鼎力支持国际顶级峰会,向世界展示中国强大的制造实力和创新姿态。中国第一汽车集团有限公司董事长徐留平在大会现场发表主旨演讲,与众多重量级嘉宾共同探讨“工业互联网的创新与突破”。"
长安汽车集团徐留平:缔造中国第一自主,手机凤凰网,2012年12月19日,"2009年,在国家汽车产业调整和振兴规划的大背景下,徐留平和长安汽车把握汽车行业兼并重组契机,2009年11月与中航集团签订协议,完成对昌河汽车、哈飞汽车、东安动力、昌河铃木、东安三菱的兼并重组。同年,长安汽车正式被列为中国汽车产业第一..."
一汽徐留平:红旗要成为中国第一和唯一豪华品牌,澎湃新闻,2017年9月12日,"曾成功推动长安汽车(000625.SZ)整体上市,并把长安汽车打造成中国汽车第一自主品牌的徐留平,履新一汽集团已经满月。对于身陷困境的一汽集团而言,徐留平的到来,给了不少员工新的信心。而徐留平将如何改造功勋卓著的“共和国长子”,成为外界颇..."
辣评| 徐留平履新一汽立军令状 自主板块5年内成“中国第一”?,搜狐网,2017年8月10日,"“要背水一战。尽快争取通过3-5年左右的拼搏,坚决把自主品牌搞上来,使一汽集团成为中国汽车业第一品牌,世界上的金字招牌。”在8月2日到岗之后,作为中国第一汽车集团公司董事长、党委书记的徐留平在当日的干部大会上立下“军令状”。"
中国一汽董事长徐留平:中国特色汽车产业迎来4.0时代,中国青年网,2018年11月9日,"中国青年网乌镇11月9日电(记者 杨月 宋继祥 卢冠琼 陈琛)11月8日,在第五届世界互联网大会“工业互联网的创新与突破”分论坛上,中国第一汽车集团有限公司董事长徐留平发表演讲时,阐述了新时代中国特色的汽车产业。他指出,新时代中国汽..."
