title,source,time,summary
中国长江三峡集团党组书记、董事长雷鸣山一行视察环太湖有机废弃...,中国农业大学新闻网,4月25日,"本网讯为加快推进吴中模式向苏州市以及环太湖其它地区的推广,研究院于2020年底开始了与长江生态环保集团有限公司的合作洽谈。4月21日上午,中国长江三峡集团党组书记董事长雷鸣山、我校党委副书记王勇一行莅临视察环太湖有机废弃物处理利用示范..."
省政府与中国长江三峡集团签署合作备忘录 郑栅洁雷鸣山见证签约,杭州网,4月20日,"浙江日报讯 19日下午,省政府与中国长江三峡集团签署合作备忘录,省长郑栅洁、中国长江三峡集团董事长雷鸣山见证签约。双方表示要深入贯彻习近平总书记关于推动长江经济带发展的重要论述和考察浙江重要讲话精神,深入践行“绿水青山就是金山银山”..."
中国长江三峡集团有限公司董事长雷鸣山:将在武汉投资超400亿元...,潇湘晨报,2020年5月15日,中国长江三峡集团有限公司董事长雷鸣山：将在武汉投资超400亿元，建设11个重大项目 长江日报-长江网5月15日讯（记者胡义华）5月15日上午，2020武汉“云招商”央企专场举行。中国长江三峡集团有限公司董事长雷鸣山说，中国长江三峡集团有限...
王伟中会见中国长江三峡集团董事长雷鸣山,金台资讯,2020年11月29日,11月27日，深圳市委书记王伟中会见中国长江三峡集团有限公司党组书记、董事长雷鸣山一行。双方表示，要认真学习贯彻党的十九届五中全会精神，深入学习贯彻习近平总书记出席深圳经济特区建立40周年庆祝大会和视察广东、深圳重要讲话、重要指示精神...
中国长江三峡集团董事长雷鸣山一行到雄安新区考察,中国雄安,2020年8月10日,陈刚对雷鸣山一行来访表示热烈欢迎。陈刚介绍了三年多来雄安新区规划建设工作取得的进展，强调新区发展需要社会各界广泛参与。中国长江三峡集团设立以来，服务长江经济带发展、“一带一路”建设等国家重大战略，体现了央企政治站位和发展主力军...
"三峡集团党组书记、董事长雷鸣山,党组副书记、总经理王琳拜会福建...",全国能源信息平台,9天前,"本网讯(雷海超)4月27日,三峡集团党组书记、董事长雷鸣山,党组副书记、总经理王琳在福州市与福建省委书记、省人大常委会主任尹力,省委副书记、省长王宁举行座谈,就共同贯彻落实习近平总书记在福建考察时的重要讲话精神,携手实现“双碳”目标..."
中国长江三峡集团党组书记、董事长雷鸣山:建设世界一流清洁能源...,中证网,3月11日,"中证网讯(记者 刘丽靓)国务院国资委3月11日消息,中国长江三峡集团有限公司党组书记、董事长雷鸣山近日在“对话新国企”系列融媒体访谈中表示,落实国企改革三年行动方案,三峡集团要激活改革推动力,完善法人治理结构、深化混合所有制改革、建立..."
阮成发王予波会见三峡集团董事长雷鸣山一行,潇湘晨报,2020年12月26日,12月26日下午，省委书记阮成发、代省长王予波在昆明会见了中国长江三峡集团有限公司董事长雷鸣山一行，对三峡集团长期以来给予云南经济社会发展和脱贫攻坚的大力支持表示感谢。双方围绕加快推进相关重大水电项目建设进度，在清洁能源开发、水风光...
中国长江三峡集团有限公司董事长、党组书记调整,搜狐网,2018年8月31日,"2018年8月30日下午,中国长江三峡集团有限公司召开中层以上管理人员大会。中共中央组织部副部长高选民宣布了中央关于中国长江三峡集团有限公司董事长、党组书记调整的决定:雷鸣山同志任中国长江三峡集团有限公司董事长、党组书记,免去其水利部副..."
中国三峡集团雷鸣山:提塑三峡品牌形象 建设世界一流企业,新浪财经,2020年5月10日,近年来，中国品牌在世界舞台上的角色越来越重要，在疫情肆虐全球的当下，中国企业亦通过自己的努力和担当，发挥着不可替代的作用，助力经济、振兴市场。文 / 雷鸣山 中国长江三峡集团有限公司党组书记、董事长 品牌是企业核心竞争力的重要...
彭清华会见三峡集团董事长雷鸣山,四川省人民政府,2018年11月13日,"11月12日,省委书记彭清华在成都会见了中国长江三峡集团公司董事长、党组书记雷鸣山。双方围绕加快推进在川重大水电项目建设、促进富余水电消纳、扎实抓好库区移民安置和脱贫攻坚工作等交换了意见。"
千亿三峡新能源IPO获批!,腾讯网,4月25日,"4月23日,经中国证监会核准,中国长江三峡集团有限公司(以下简称“三峡集团”)旗下中国三峡新能源(集团)股份有限公司(以下简称“三峡新能源”)获得首次公开发行股票(IPO)批文,向登陆资本市场迈出关键一步。接下来,三峡新能源及其主承销商将..."
章建华调研重庆三峡水利电力(集团)股份有限公司 先行先试 勇当...,中国电力网,4月27日,"雷鸣山表示,三峡集团及三峡水利要深入落实章建华局长讲话要求,统筹发展和安全,以改革创新驱动高质量发展,进一步抓好党建工作,以高质量党建引领三峡集团高质量发展。 三峡水利控股股东为三峡集团长江电力,实际控制人为国务院国资委,以“打造以配售..."
投资6.7亿!三峡集团&中船黄埔文冲座合力建2000吨自升自航式海上风...,世纪新能源网,10天前,"4月26日,在中国三峡集团海上风电关键施工船机建造项目签约仪式上,中国船舶集团旗下中船黄埔文冲船舶有限公司(简称黄埔文冲)与中国三峡集团旗下长江三峡设备物资有限公司(简称三峡物资)签署了1座2000吨自升自航式海上风电安装平台建造合同..."
"百余人组团参观三峡,都说出了哪些心里话?",网易,4月27日,"据悉,三峡集团将进一步完善“国企开放日”活动机制,让更多的公众走进三峡、了解三峡,充分发挥三峡工程全国爱国主义教育基地的作用,充分展示三峡集团高质量发展的形象。 来源:中国长江三峡集团有限公司 ..."
"“十四五”的长江之歌,三峡这样唱起",科技日报,4月22日,"4月22日,在“第三届水安全与可持续发展国际高端论坛”中,中国长江三峡集团有限公司(以下简称三峡集团)董事长雷鸣山指出,目前长江水环境还受到城镇污水垃圾、化工污染、农业面源污染、船舶污染以及尾矿库的“威胁”。 他表示,长江的水..."
中国三峡集团召开党史学习教育推进会,党史频道,4月13日,"三峡集团纪检监察组、人力资源部、党群工作部、党组巡视办公室负责人,各二级单位党委书记、专职副书记、纪委书记,党建、纪检、人资等有关部门负责人,工会、共青团组织负责人参加会议。 (供稿:中国长江三峡集团有限公司)..."
三峡集团主办长江三峡中华鲟增殖放流活动,中国电力新闻网,4月12日,"集团深入践行生态文明思想,持续在共抓长江大保护中发挥骨干主力作用的具体体现,也是三峡集团贯彻落实《长江保护法》,积极服务长江经济带高质量发展,推动长江流域在保护中发展、在发展中保护的重要举措。”中国三峡集团党组书记、董事长雷鸣山..."
奋斗百年路 启航新征程|百年逐梦今朝圆——三峡工程见证国家发展,新华社新媒体,8天前,2021年4月10日，中华鲟从放流通道滑入长江。当日，长江三峡放流10000尾子二代中华鲟。（郑家裕摄）雄关漫道真如铁，而今迈步从头越。三峡集团董事长雷鸣山说，从长江三峡走出的三峡集团将继续聚焦长江，在促进长江经济带发展中发挥基础...
尹力王宁与三峡集团雷鸣山、新华三集团于英涛座谈,闽南网,9天前,"尹力王宁与三峡集团雷鸣山、新华三集团于英涛座谈 4月27日,省委书记尹力、省长王宁在福州,与前来参加第四届数字中国建设峰会的三峡集团董事长雷鸣山和紫光股份董事长、新华三集团总裁于英涛等分别座谈交流。"
服务支撑三峡集团战略发展 以科技创新驱动三峡上海院高质量发展,中国电力网,4月25日,"本网讯(雷海超)4月23日,三峡集团党组书记、董事长雷鸣山在上海市调研三峡集团所属上海勘测设计研究院有限公司(以下简称“三峡上海院”)承担前期规划研究、勘测设计以及检监测、监理等工作的长江口青草沙水源地水库工程。"
传承红色基因 汲取奋进力量 ——三峡集团全面推进党史学习教育,国务院国有资产监督管理委员会,4月6日,"三峡工程,是改革开放后党和人民一手缔造的伟大工程,是中国特色社会主义制度优越性的生动实践和创新结晶;三峡集团,因建设三峡工程而生,因打造大国重器而荣。姓党为民,是三峡集团与生俱来的政治本色。"
三峡集团党组举办专题读书班学党史,中国电力新闻网,3月30日,"中国电力新闻网讯 通讯员 陈磊 陈雍容 报道 为贯彻落实中央党史学习教育部署,扎实推进中国长江三峡集团有限公司党史学习教育,3月16~18日,三峡集团党组在京举办党史学习教育专题读书班。三峡集团党组书记、董事长雷鸣山作开班动员,党组副书记..."
三峡集团传达学习习近平总书记在福建考察时重要讲话精神,中国电力网,3月30日,"本网讯(雷海超)3月29日,三峡集团在京召开专题会议,传达学习习近平总书记在福建考察时重要讲话精神,并对贯彻落实工作作出部署。三峡集团党组书记、董事长雷鸣山,党组副书记、总经理王琳出席会议并讲话,集团领导王良友、范夏夏、张定明、陈瑞武..."
千亿级风电巨无霸即将登陆A股,界面新闻,4月24日,三峡新能源成立于1985年，前身是水利部水利工程综合经营公司，2008年12月并入中国长江三峡集团有限公司（下称三峡集团）。2010年6月，更名为中国三峡新能源公司。2015年6月，改制为中国三峡新能源有限公司。2016年，三峡新能源提出上市计划...
万尾中华鲟放归长江!鱼龄超10岁雄性个体有16尾,中国经济周刊,4月12日,”中国三峡集团党组书记、董事长雷鸣山表示。另外，中国医药集团有限公司、中国国际发展知识中心、湖北省农业农村厅、共青团湖北省委等参与本次活动。EDF（法国电力集团）、IAHR（国际水利与环境工程学会）也对此次放流活动给予了支持。4月10...
新发展阶段有新作为——央企负责人展望“十四五”,网易,3天前,"“我们年产氢气350万吨,是国内最大氢气生产企业,我们将锚定建设中国第一大氢能公司的目标,加快推进氢源由灰氢向蓝氢、绿氢转变。加快氢能产业发展,保障国家能源安全。” 三峡集团党组书记、董事长雷鸣山表示,我国能源加速转型与创新发展..."
三峡人勇担护江新使命 牢记嘱托再出发,中国电力网,4月27日,"“我们提出了清洁能源和长江生态环保‘两翼齐飞’的发展思路。”三峡集团党组书记、董事长雷鸣山表示,“在共抓长江大保护中‘发挥好应有作用’是三峡集团义不容辞的政治责任和历史使命,也是拓展新领域、培育新动能、实现新发展的重大历史..."
国内外千余名专家学者线上线下聚会第三届水安全与可持续发展国际...,新华报业网,4月22日,"三峡集团董事长雷鸣山,全国人大常委会委员、水利部原副部长、长江保护与绿色发展研究院学术委员会主任委员矫勇等先后作主题报告。 会议采取线下与线上视频相结合的方式进行,来自中国、美国、英国、加拿大、澳大利亚、瑞士等十多个国家相关..."
博鳌亚洲论坛2021年年会发布部分确认嘉宾名单,央广网,4月14日,56.中国长江三峡集团有限公司党组书记、董事长雷鸣山 57.兴业证券股份有限公司董事长杨华辉 58.康希诺生物创始人兼董事长宇学峰 59.广州亿航智能技术有限公司负责人薛鹏 60.极飞科技创始人彭斌 ...
