title,source,time,summary
中国燃气(00384):中燃海油与福建新能源及福投股份订立合作框架...,金融界,2020年11月3日,智通财经APP讯，中国燃气(00384)发布公告，于2020年11月3日，该集团与气电集团旗下公司成立的合资公司广东中燃海油能源发展有限公司与中海石油福建新能源有限公司及福投股份订立合作框架协议，三方同意共同投资福建新能源现有的城市燃气项目...
福建新能源“三合一”重组合并圆满完成,国务院国有资产监督管理委员会,2013年2月25日,"2013年1月28日,随着福建中闽物流有限公司工商变更登记工作的完成,由原中海石油福建新能源有限公司、福建中闽海油燃气有限责任公司、福建中闽物流有限公司合并重组,成立新的中海石油福建新能源有限公司(以下简称“福建新能源”)的“三合一”..."
"突发!两桶油后,中海油发力城燃终端!与中燃联手深挖福建市场!",熙时大话财经,2020年11月4日,这次中海油要与中燃合作的，是中海石油福建新能源有限公司。中海石油福建新能源有限公司成立于于2007年3月，2013年1月28日，随着福建中闽物流有限公司工商变更登记工作的完成，由原中海石油福建新能源有限公司、福建中闽海油燃气有限责任公司...
【名单】中国远洋海运集团2020年度表彰名单|航运|船舶|中海地产|...,网易订阅,1月20日,39.丁文平 深圳分公司船舶船长 中波轮船股份公司 40.汤红兵 船长 中远海运(厦门)有限公司 41.庄绍煌 战略发展部总经理 中国船舶燃料有限责任公司 42.张燕 舟山中燃公司总经理 中石化中海船舶燃料供应有限公司 ...
快讯!莆田市2020年度突出经济贡献企业光荣榜出炉!,搜狐网,1月10日,95 145 中海石油福建新能源有限公司仙游分公司 韩飞 1915 96 146 莆田市祥和房地产开发有限公司 俞国荣 1899 97 147 国投湄洲湾产业园开发有限公司 王宏 1896 98 148 莆田市力奴鞋业有限公司 林东 1882 99 149 福建省天泰置业发展有...
2018莆田纳税排行榜表格 莆田纳税大户企业名单,闽南网,2019年2月14日,59 121 中海石油福建新能源有限公司仙游分公司 王清寰 2272 60 122 福建奥元房地产开发有限公司 吴元鹏 2237 61 123 兴业证券股份有限公司仙游鲤城街证券营业部 张新春 2215 62 124 福建鑫和华林置业有限公司 林建国 2195 63 125 福建...
2018年莆田仙游纳税大户排行榜 仙游企业纳税排名,闽南网,2019年2月14日,2018年莆田仙游纳税大户排行榜 仙游企业纳税排名 2018年仙游县500万元以上纳税大户企业名单 单位:万元 仙游县人民政府 2019年1月29日
盘点国网这些年布局的新能源市场,网易订阅,2月19日,"2021年1月26日,国网湖南电动汽车公司与中石化湖南分公司在长沙签约,双方决定按50:50比例合资组建潇湘新科技有限责任公司,这是国家电网和中石化系统成立的首家合资公司。 该公司建设和经营管理充电站、光伏发电站、电动汽车销售、综合能源业务..."
2021-2-19周五 新能源汽车资讯,搜狐网,2月19日,"企查查APP显示,近日,广东瑞庆时代新能源科技有限公司成立,法定代表人为曲涛,注册资本10亿元,经营范围包括新兴能源技术研发、电池制造、电池销售、电子专用材料研发、新材料技术研发、工程和技术研究和试验发展、以自有资金从事投资活动等。企查..."
"继中石油、中石化之后,中国海油也要扩张城燃市场了",网易订阅,2020年11月10日,"11月3日,中国燃气公告显示,中国海油旗下中海石油福建新能源有限公司(以下简称“福建新能源”)与福建省福投新能源投资股份公司、中国燃气签订合作框架协议,三方共同投资福建新能源现有的城市燃气项目。"
