title,source,time,summary
...专访国家电投中电国际新能源控股有限公司高级工程师王建军,搜狐网,2018年8月15日,高标准为何会有争议?海南省新地标会对垃圾焚烧行业发展产生何种影响?环卫科技网特邀请国家电投中电国际新能源控股有限公司高级工程师、环卫科技网环卫专家库专家王建军先生进行了专访。 问:最近海南省环保厅发函要求新建扩建生活垃圾焚烧项目...
中电国际新能源控股有限公司招聘公告!,搜狐网,2018年7月11日,"中电国际新能源控股有限公司(以下简称""中电新能源"")于2006年12月在上海成立,是中国电力清洁能源发展有限公司在境内设立的管理运营平台,目前投资和管理70余家基层企业,主要分布在海南、广东、福建、云南、江苏、黑龙江、内蒙及甘肃等23个省市..."
国企+招6人|中电国际新能源海南有限公司校园招聘公告,搜狐网,2019年3月13日,"中电国际新能源海南有限公司(以下简称“海南公司”)是中电国际新能源控股有限公司的全资子公司,成立于2008年12月,注册地为海南省海口市,项目所在地为海南省澄迈县老城经济开发区,具体经营范围为垃圾环保发电及其他新能源项目的开发、建设、..."
我市与中电国际新能源公司洽谈项目合作,黄冈市人民政府,2017年1月26日,"1月25日,中电国际新能源控股有限公司副总经理柴茂带队来到我市,就有关项目合作事宜进行洽谈。市委副书记刘美频出席座谈会,市委常委、常务副市长张社教主持座谈会。 刘美频对柴茂一行的到来表示欢迎,对中电国际新能源控股有限公司为黄冈经济..."
国家电投王炳华出席中国电力、中电新能源董事局会议,搜狐网,2016年8月22日,"国家核电总会计师韩志伟、中电国际总经理余兵、中电国际原副总经理、上海新能源原总经理王志颖及中电国际总工程师、上海新能源总经理孙贵根等列席会议。返回搜狐,查看更多"
昆明东郊垃圾发电厂也要搬迁 经开区东部项目受益,腾讯网,2019年4月30日,"继五华区垃圾焚烧发电厂确定将于年内关闭并启用新厂之后,位于经开区东部的昆明东郊垃圾焚烧发电厂也计划异地重建。 据昆明经开区官方消息,3月15日下午,党工委书记赵学锋会见了中电国际新能源控股有限公司党委书记、总经理孙贵根一行,双方..."
商丘市生活垃圾焚烧发电项目正式开工,搜狐网,2017年12月19日,"12月16日上午,商丘市生活垃圾焚烧发电项目开工动员会在睢阳区郭村镇举行,市长张建慧出席动员会并宣布项目开工。中国电力国际有限公司副总经理、中电国际新能源控股有限公司总经理孙贵根,副市长王仲田出席开工动员会。"
孙贵根出席中电新能源与河南省郏县风电项目签约仪式,搜狐网,2017年6月21日,"中电国际党委委员、总工程师、中电新能源党委副书记、总经理孙贵根在中电新能源上海本部会见了河南省平顶山市郏县县长丁国浩一行,并代表中电新能源与郏县人民政府签署了100MW风电项目投资框架协议。"
中电国际:十年深耕垃圾环保发电,同花顺财经,2019年8月20日,"“德阳环保1号汽轮发电机组冲转和并网一次成功!1号机低加已投入,机组负荷6MW,参数正常,运行平稳!”7月17日13点46分,中电国际新能源控股有限公司(下称“中电新能源”)投资建设的四川德阳生活垃圾焚烧发电项目1号机组按计划成功并网发电..."
2020灵动核心(第二届)中国垃圾焚烧发电技术应用创新论坛圆满落幕,搜狐网,2020年8月10日,北京全四维动力科技有限公司大客户经理王琦 《新型高效垃圾焚烧发电汽轮机技术》 中电国际新能源控股有限公司生产运营部经理苏猛业 《生活垃圾焚烧厂渗沥液处理设计要点分析》 靖江市鑫盛环保科技有限责任公司董事长张元才 ...
