title,source,time,summary
聊城中通客车控股股份有限公司党委书记、董事长 宓保伦,聊城新闻网,2月8日,"当今世界经济正经历新一轮大发展、大变革、大调整。变局之下,作为制造行业重要一环以及国计民生重要支柱的客车产业,应如何思考并做好战略布局规划?中通客车党委书记、董事长宓保伦给了我们一个答案。"
中通客车控股股份有限公司公告(系列),证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2020年7月28日,"公司董事会定于2020年8月13日召开2020年第二次临时股东大会(详见公司关于召开2020年第二次临时股东大会的公告)。 表决结果:7票赞成,0票反对,0票弃权。 特此公告 中通客车控股股份有限公司董事会 2020年7月28日 个人简历 宓保伦先生,..."
中通客车起诉力神电池 案由为买卖合同纠纷,乐居财经,3月12日,中通客车成立于1994年11月7日，注册资本约为5.9亿元，法人代表为宓保伦，由中通汽车工业集团有限责任公司持股21.07%。经营范围包括汽车新车销售、汽车租赁、汽车零部件研发等。据查阅，中通客车曾涉司法案件407起，法律诉讼391起，历史被...
中通客车:获聊城首张智能网联汽车测试牌照,商用车界,2020年12月26日,局长高峰，市工业和信息化局党组成员、副局长赵松俭，市公安局交巡警支队党委委员、副支队长胡全仓，聊城交通投资开发公司经理李纪亭，聊城经济技术开发区管委会副主任李光，中通客车控股股份有限公司党委书记、董事长宓保伦等领导，以及新闻...
中通客车扣非净利降66%:新能源弯道超车计划遭遇重大挑战,新浪财经,2020年9月21日,危难之际，中通客车高管层也开始动荡。今年8月，中通客车发布的第十届四次董事会决议公告显示，选举宓保伦先生为公司第十届董事会董事长，聘任李晨先生、翟正坤先生为公司副总经理。此前的7月，公司业绩刚一公布，便传出了董事长及高管...
两名70后高管到位!中通客车“新班子”布局有何深意?,商用车新网官方号,2020年8月18日,公告显示，8月17日，中通客车控股股份有限公司（以下简称“中通客车”）第十届四次董事会以通讯表决方式召开，8名董事全部与会，会议审议并通过了两项议案：一是关于选举公司董事长的议案，董事会以8票赞成的结果同意选举宓保伦为中通客车...
重温峥嵘岁月 不忘初心使命!中通客车召开庆祝建军93周年暨退役...,海报新闻,2020年8月1日,随后，宓保伦向退役军人员工们表达了节日的祝福，肯定了大家过去的工作，并对与会的退伍军人代表谈了几点希望。他说，希望大家做到“离军不离党、退役不褪色”，做一个政治坚定、思想上进、工作努力的新时代中通人;希望大家在中通客车的...
火热开赛!“中通杯”济南市公交驾驶员技能竞赛成功举办,中国客车网,9天前,"据客车网获悉,2021年4月27日—28日,“中通杯”第三届济南市公交行业驾驶员暨维修工技能竞赛在济南举行。中通客车党委书记、董事长宓保伦受邀出席开幕式并致辞讲话。 以赛代练,为公交高效运营锤炼技能 在济南、莱芜、章丘公交一万余名驾..."
点赞!又一家客车企业获得智能网联汽车测试牌照,网易,2020年12月25日,"聊城市工业和信息化局党组成员、副局长赵松俭,聊城市公安局交巡警支队党委委员、副支队长胡全仓,聊城交通投资开发公司经理李纪亭,聊城经济技术开发区管委会副主任李光,中通客车控股股份有限公司党委书记、董事长宓保伦等领导,以及新闻媒体等..."
【视频】聊城无人驾驶首测!,澎湃新闻,2020年12月25日,"会上,市政府副秘书长侯德功介绍聊城市智能网联汽车道路测试工作进展情况,聊城交通投资开发公司经理李纪亭公布聊城市智能网联汽车道路测试路段,中通客车控股股份有限公司董事长宓保伦介绍中通智能驾驶公交车有关情况;市工业和信息化局党组成员、..."
【视频】聊城无人驾驶首测!,澎湃新闻,2020年12月25日,"会上,市政府副秘书长侯德功介绍聊城市智能网联汽车道路测试工作进展情况,聊城交通投资开发公司经理李纪亭公布聊城市智能网联汽车道路测试路段,中通客车控股股份有限公司董事长宓保伦介绍中通智能驾驶公交车有关情况;市工业和信息化局党组成员、..."
视频|聊城首辆智能网联汽车在测试路线内进行道路测试,海报新闻,2020年12月25日,12月25日，聊城市人民政府新闻办公室召开聊城市智能网联汽车道路测试新闻发布会暨首张测试牌照发放仪式。据大众网·海报新闻记者了解，聊城首辆智能网联汽车在测试路线内进行道路测试。中通客车控股股份有限公司董事长宓保伦说道，2020年10...
