title,source,time,summary
【行业新闻】新时代种植牛人齐聚西安 云天化推新品古城论道,吾谷网,2018年11月9日,"2018年11月7日,以“携手 聚能 耘天下”为主题的2018年云天化营销峰会在十三朝古都陕西西安隆重召开。云南云天化股份有限公司党委书记、总经理段文瀚,西北农林科技大学教授、博士生导师同延安,巴斯夫(中国)有限公司作物解决方案部肥料项目高级..."
"顺大势,成大事,云天化用“绿色科技”引领未来!",吾谷网,2018年11月8日,"“这些成绩的取得,离不开广大经销商朋友们信任、支持和帮助。几十年来,我们厂商始终立足农业、服务农业,我们始终栉风沐雨、携手奋进,在我国农业现代化进程中,留下了浓墨重彩的一笔。”云南云天化股份有限公司党委书记、总经理段文瀚在致辞..."
云天化发布三季报:行业持续回暖 “双百企业”业绩丰收,每日经济网,2018年10月26日,"“聚甲醛自2016年起成为云天化盈利提升幅度最快的‘明星产品’,2017年就贡献了2个多亿的利润。”云天化总经理段文瀚表示。 值得一提的是,根据《关于印发<国企改革“双百行动”工作方案>的通知》,云天化被纳入百余户中央企业子企业和百..."
云天化产业链“遍地开花” 打破国外聚甲醛垄断填补国内空白,同花顺财经,2018年8月21日,"经历2016年度较大额度亏损后,云南云天化股份有限公司(600096.SH,以下简称:云天化)2017年业绩实现蜕变,实现扭亏为盈。2018年半年报又传喜讯,盈利0.66亿元。作为国内化肥市场和聚甲醛市场的“一哥”,云天化这颗“大树”未被..."
现场订货近30万吨!云天化股份营销峰会推出“云套餐”或成为行业新...,搜狐网,2018年8月15日,"云南云天化股份有限公司党委书记、总经理段文瀚在致辞中说,近年来,云天化发展进入了新的阶段,公司继续秉承“绿色科技,服务现代农业”的发展理念,践行国家乡村振兴战略,坚持绿色发展,持续深化改革,提升价值创造,不断推进产业优化升级,推动商业..."
云天化“玩转”国际化肥市场 乘“一带一路”专列布局海外战场,东方财富网,2018年8月7日,"“机会是留给有准备的人!”云南云天化股份有限公司(600096.SH,以下简称:云天化)这次就抓住了一个大大的良机。 随着国家“”一带一路“战略的提出,云南省从开放的”末端“归位于”前沿“地带,成为面向南亚、东南亚的辐射中心。云天化抓住..."
云天化绿色科技众创空间开园 8企业26个内部项目入驻,华龙网,2018年6月6日,"6月6日,云天化绿色科技众创空间举行开园剪彩暨入驻企业签约仪式,标志着云南云天化股份有限公司经过一年筹建打造的众创空间正式落地云南昆明。“云天化股份于2017年成功举办第一届创客大赛,并甄选出一批优质项目进行孵化,云天化众创空间也应运..."
云天化:将逐步与摩洛哥磷酸盐集团开展合作,证券时报e公司,2018年4月25日,e公司讯，e公司记者从云天化获悉，近日，云天化集团总经理胡均、云天化股份有限公司总经理段文瀚与摩洛哥磷酸盐集团执行副总裁MohamdeBelhoussain在北京举行会晤。双方表示，今后将逐步在全球化肥产品生产、销售、服务等方面开展全面深度的合作。...
...报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司...,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2018年1月3日,"同意委派师永林先生为云南磷化集团海口磷业有限公司董事,李卫先生不再担任云南磷化集团海口磷业有限公司董事;委派张晓燕女士为内蒙古云天化农业科技发展有限公司董事,推荐为董事长人选,段文瀚先生不再担任内蒙古云天化农业科技发展有限公司董事、董..."
云天化2017年第七次临时股东大会会议资料,同花顺财经,2017年12月12日,云南云天化股份有限公司 董事会 2017 年 12 月 18 日 议案一 关于子公司云南磷化集团有限公司引入 投资者增资扩股 的议案 各位股东及股东代表: 公司拟引入投资者宁波云信经熹投资管理有限公司 (以下简称 “宁波云信”或“投资方”) ...
