title,source,time,summary
乘风破浪丨郑元豹:在乘风破浪中走向未来,网易订阅,2020年11月4日,"人民电器将在推动传统产业板块快速、健康、持续成长的同时,高举“放眼世界,思维全球,梦想未来”的旗帜,用新观念、新思想、新模式、新创意,走出一条新的发展道路。 作者系人民电器集团有限公司董事长 郑元豹 来源:温州日报..."
人民电器集团董事长郑元豹出席中国500强高峰论坛,搜狐网,2019年9月2日,"人民电器集团董事长郑元豹、人民电器集团上海公司销售副总黄飞鸣应邀出席大会,与嘉宾共同探讨数字化应用深化企业改革发展。 中国企业联合会副理事长李建明与郑元豹亲切合影 当日上午,人民电器集团董事长郑元豹在“世界一流企业最佳实践圆桌会..."
"人民电器集团董事长郑元豹:中国企业要做强做大,做投资而不是投机",第一财经,2019年1月23日,"《第一财经日报》和一财网端配合刊发访谈企业家的精彩观点。本期访谈嘉宾为中国人民电器集团董事长郑元豹,本文根据访谈录音整理而成。] 本文由百家号作者上传并发布,百家号仅提供信息发布平台。文章仅代表作者个人观点,不代表百度立场。"
人民电器集团董事长郑元豹应邀参加第二届中国匠心企业家峰会,搜狐网,2019年11月29日,"日前,以“新智造·新创造”为主题的第二届中国匠心企业家峰会在杭州太虚湖隆重启幕,人民电器集团董事长郑元豹受邀出席本次盛会。 制造业是国民经济的主体,是科技创新的主战场,是立国之本、兴国之器、强国之基。为弘扬企业家创新发展..."
人民电器集团董事长郑元豹谈价值投资,搜狐网,2018年9月27日,"中国人民电器集团董事长郑元豹认为“投资”不等于“投机”。一个真正做事业的人不会投资了一家公司后一直在那等。而是调动一切资源和资本去开始自己的事业。 真正的投资者和投机者的区别是:投机者只看到每天的回报和收益,而投资者看重..."
人民电器集团董事长郑元豹当选浙江省高新技术企业协会副理事长,中国经济网,2012年5月2日,"据了解,郑元豹所率领的人民电器集团有限公司为中国质量检验协会团体会员单位,是中国500强企业之一,以工业电器为核心产业,横跨船舶制造、基础能源、城市建设、现代物流、国际贸易、金融投资、电子信息、水电开发等多元领域,拥有浙江、上海、江..."
郑元豹 中国人民电器集团董事长,中国青年网,2011年6月10日,"现任中国·人民电器集团董事长,公司法人代表。  1996年,郑元豹同志领导了人民电器集团的组建工作,经董事会表决通过,担任集团董事长至今。自1996年组建以来,集团跨行业、跳跃式、超常规的发展模式,取得了非凡的成功。回顾集团十四年的风雨..."
人民电器集团有限公司董事长郑元豹,手机凤凰网,2010年9月6日,"图为人民电器集团有限公司董事长郑元豹。  相关专题: 2010中国企业500强发布会 【独家稿件声明】凡注明“凤凰网财经”来源之作品(文字、图片、图表或音视频),未经授权,任何媒体和个人不得全部或者部分转载。如需转载,请与凤凰网财经..."
人民电器集团连续17年荣登中国企业500强,搜狐网,2019年9月3日,"中国工程院院士王基铭发布了2019中国企业500强等榜单。人民电器集团董事长郑元豹应邀出席高峰论坛,与2000多位院士专家、精英翘楚共同探讨当前经济形势,交流思想、共商合作、共谋发展。 面对外部复杂多变的环境,国内宏观经济不确定性因素,人民..."
中国人民电器集团董事长郑元豹,温州财经网,2009年4月30日,"1996年,成立浙江人民电器集团,任董事长、公司法人代表。 1997年6月,组建中国·人民电器集团,任集团董事长、法人代表。 郑元豹从一贫如洗的家庭中成长起来,经过持续不懈的努力,终于打造出中国·人民电器集团这个著名的电器企业。1995年,..."
...访浙江省电气行业协会会长、人民电器集团董事长郑元豹,浙江新闻官网,2019年6月4日,"人民电器集团董事长郑元豹表示,所有的技术都可以与阿拉伯人民分享。而这句话背后所折射出的更深层次的含义是,借助中国“一带一路”建设契机,郑元豹想把人民电器集团的商业版图扩展到全球,要打造世界级民族品牌。"
情系江西 共谋发展 人民电器集团董事长郑元豹参加首届世界赣商大会,搜狐网,2017年12月13日,"郑元豹董事长与江西省政协主席黄跃金 郑元豹指出,人民电器集团自2005年1月开始在江西省投资以来,成功收购重组在全国同行业排名第二位的江西变压器设备总厂,顺利筹建高压及超高压电力变压器工业园,先后创立江西输变电公司、江西变电设备公司..."
温州市政协副主席、乐清市委书记林亦俊慰问人民电器集团董事长郑...,搜狐网,2019年10月31日,"10月30日,值此首个“温州民营企业家节”到来之际,温州市政协副主席、乐清市委书记林亦俊率乐清市委常委、柳市镇党委书记董庆标等四套班子领导,代表温州市委、市政府走访人民电器集团,并慰问集团董事长郑元豹。人…"
访出席进博会开幕式嘉宾、人民电器集团董事长郑元豹,温州新闻网,2018年11月6日,"温州网讯 “以后,走出去的步子还要更大!”昨天上午,与中外嘉宾一同走出首届进博会开幕式主会场,人民电器集团董事长郑元豹对记者说出这番话时,语气铿锵有力,十分坚定。在进博会开幕式上,国家主席习近平发表的主旨演讲,吸引全球目光,更令..."
人民电器集团再次入围中国企业500强丨郑元豹应邀出席高峰论坛,人民电器集团,2018年9月4日,人民电器集团董事长郑元豹应邀出席高峰论坛，共同探讨在国内外新形势下企业发展面临的机遇和挑战。（陕西省委书记胡和平亲切接见人民电器集团董事长郑元豹）（陕西省委副书记、省长刘国中亲切接见人民电器集团董事长郑元豹）2018中国企业500强...
蔡甸区委书记刘子清与人民电器集团董事长郑元豹亲切会谈,搜狐网,2017年9月27日,"9月26日下午,武汉市蔡甸区委书记、中法武汉生态示范城管委会主任刘子清会见了人民电器集团董事长郑元豹,就人民电器集团武汉智能制造产业园项目选址、政策支持等方面进行了沟通交流。武汉市蔡甸区长彭巧娣、副区长许永周、蔡甸经开区党工委书..."
人民电器集团董事长郑元豹分享创业必须经历的三个阶段,中国青年网,2011年6月14日,"团中央网络影视中心副主任郝向宏,共青团温州市委书记王彩莲,人民电器集团董事长郑元豹,亚太总裁协会全球执行主席郑雄伟等应邀出席并作主题演讲,与创业学子们进行了交流对话。 “和谐创业”全国报告会自2005年6月启动以来,在北京高校举行了5场..."
温州有个郑元豹 中国人民电器集团产值100亿元,搜狐网,2005年8月19日,"郑元豹,47岁,中国人民电器集团董事长,曾被人誉为“电器王国的猎豹”。他1988年接管乐清人民低压电器厂;1996年组建浙江人民电器集团;2001年控股86家企业;2005年,人民集团实现产值100亿元。"
人民电器集团董事长郑元豹对人民汽车城工作做出重要指导,搜狐网,2018年8月1日,"2018年7月29日,人民电器集团旗下地产业务版块——人民万福集团上半年总结暨下半年工作计划汇报大会在荆门顺利召开,半年度大会结束后,人民汽车城(武汉)项目有幸邀请到人民电器集团董事长郑元豹先生前来指导工作并做重要指示。"
人民电器集团董事长郑元豹参加第三届楚商大会“一带一路”企业...,搜狐网,2017年11月17日,"11月16日下午,由湖北省人民政府主办、湖北省企业国际合作协会承办的第三届楚商大会“一带一路”企业国际合作高峰论坛在东湖国际会议中心圆满举行。人民电器集团董事长郑元豹应邀参会,并发表主题演讲。"
"并购狂人郑元豹:靠3万元小作坊发家,如今坐拥4000家公司",百年磨一剑,2020年9月27日,据不完全统计，中国人民电器集团目前亿拥有12家全资子公司、85家控股公司、800多家加工协作企业，以及3000多家销售公司。大家熟知的三峡水电、浦东机场、奥运场馆、青藏铁路、嫦娥探月工程等重大项目中，都有中国人民电器集团的参与。郑元豹...
法律管理创新模式年丨人民电器集团召开法律专家座谈会,搜狐网,2020年1月6日,"1月3日,人民电器集团在集团总部召开法律管理创新模式年法律专家座谈会。集团董事长郑元豹,集团副董事长、浙江公司董事长郑经洁及各分公司高层领导、法律顾问数十人参加座谈会。 集团监事会监事包贤芳在发言中指出,法律工作是企业经营管理..."
曾菁华赴浙江人民电器集团考察:把握机遇 携手共进 实现企地互利共赢,凤凰重庆,2020年7月16日,"7月16日上午,潼南区委书记曾菁华赴浙江人民电器集团有限公司(下称人民电器集团)考察,了解集团总体规化、产业布局、企业文化和发展规划等情况,并就双方加强产业合作进行交流。 重庆市招商投资促进局副局长李坚平、区委常委、统战部长沈蓉、副..."
"中国人民电器集团一行到访融象咨询,共同见证民营力量的发展",融象数科控股,2020年4月23日,郑元豹作为集团创始人，一路走来的每一步都见证着中国民营经济的发端、挫折、嬗变和转型。此次到访，也是在新经济发展背景下，中国人民电器与投融象在多项业务合作层面的初步探索与尝试。中国人民电器集团董事长郑元豹在会上表示，在...
人民电器集团与中铁二十一局集团签订战略合作,搜狐网,2019年11月16日,"11月14日,人民电器集团与中铁二十一局集团于北京就深化合作、实现共赢签订战略合作协议。中铁二十一局国际工程有限公司董事长王显春代表中铁二十一局董事长出席签约仪式。 郑元豹在仪式上简要介绍了人民电器集团概况及业务板块。他说,时代..."
人民电器集团隆重举行2018年经营管理总结暨2019年经营工作计划会议,搜狐网,2019年2月14日,"1月30日,人民电器集团在集团总部召开2018年经营管理总结暨2019年经营工作计划会议。集团领导郑元豹、郑经洁、叶林、陈林锋、郑纬宇、包巨文、叶向宇等高层领导出席会议。 浙江温州、上海嘉定、江西南昌、江西崇仁四大制造基地经营管理主要负责..."
问鼎中原丨人民电器集团2018半年度营销大会在郑州隆重举行,搜狐网,2018年7月2日,"郑州市高新区管委会党工委书记王新亭,人民电器集团董事长郑元豹,西安交通大学研究院副院长沈永华,集团副董事长、电气深化改革委员会会长兼人民电器浙江公司董事长郑经洁,人民电器上海公司董事长叶林,人民万福集团总裁陈林峰,人民控股集团副董事..."
人民电器集团英德智能电网产业园奠基仪式隆重举行,OFweek智能电网,2012年1月4日,"清远市人民政府王德坤副市长,英德市委书记徐建文,英德市委副书记、市长马家庆,人民电器集团董事长郑元豹,集团英德智能电网产业园董事长郑纬宇,副董事长夏华义,乐清鑫业置业有限公司胡国平,执行董事黄明金及嘉宾近400人参加了庆典仪式。王..."
人民电器集团董事长郑元豹受邀参加浙江省职业教育改革座谈会,电气宝宝,2020年5月13日,5月9日，浙江省职业教育改革座谈会在省教育厅召开，副省长成岳冲，省政府秘书长蔡晓春，省教育厅厅长陈根芳等领导和行业企业协会代表参加了此次座谈。浙江电器行业协会会长、人民电器集团董事长郑元豹受邀参加此次座谈会。座谈紧密围绕《浙江...
"郑元豹 ""打""出来的富豪",华夏经纬网,2006年9月20日,"在此基础上,郑元豹的企业动力引擎转得越来越快。1995年,郑元豹的事业上了一个新的台阶。郑元豹以迅雷不及掩耳之势,一举吞并了66家企业,并于1996年组建成立浙江人民电器集团。 在家不和老婆斗郑元豹笑言:“在世,不能和天斗;在..."
"""并购狂人""人民电器董事长郑元豹细解成功奥秘",网易商业,2006年9月18日,"郑元豹向记者讲述了这样一例事件:“2001年6月,人民电器集团成功兼并位居国内输变电设备行业第二的大型国企———江西变电设备总厂后,我只派过去两个人,一个财务总监,一个监事,总经理和董事长都不派。结果这个处于亏损的企业奇迹般生..."
喜讯!人民电器集团再次入榜中国企业500强榜单,网易,2020年10月15日,"人民电器集团在集团董事长郑元豹的带领下,以二次创业为内容核心,调整产业结构,制定未来40年发展标准,同时,结合智能制造技术,深化转型发展道路。以全球化视野格局和发展思路,打造以智慧电网为核心,具备国际竞争力的五大产业,并通过加强与..."
电老虎网组织50多名企业家走访电器之都乐清市!,凤凰网,4月6日,"之后电老虎访团分别走访了人民电器集团、万控智造、美硕电气、巨邦集团、西屋电气等乐清代表性企业。人民电器集团董事长郑元豹先生、万控智造董事长木晓东等,分别携高管接待了电老虎网来访团队。同时,柳市政府副市长郑巨化等政府领导与来访客..."
浙江新邦控股集团陈锵董事长一行到访人民电器考察交流,网易,1月3日,"临近阳历新年,浙江新邦控股集团董事长陈锵,浙江新邦控股集团执行董事陈鸿旭,浙江新邦控股集团总裁范小青以及下属子公司负责人一行到访人民电器集团进行考察交流。人民控股集团董事长郑元豹,人民电器集团副董事长、浙江公司董事长郑经洁,人民控股..."
2019中国企业500强名单 在山东济南发布,电子报,2019年9月3日,"湖南建工集团有限公司董事长叶新平,内蒙古电力(集团)有限责任公司董事长王玉成,人民电器集团有限公司董事长郑元豹,远东控股集团有限公司董事局主席蒋锡培,亿达集团有限公司董事局主席孙荫环,红太阳集团董事长杨寿海,北京江南投资集团有限公司董事..."
致敬先行者 贡献新力量|乐清市改革开放40年重大影响力企业家揭晓,浙江新闻官网,2019年2月25日,此次揭晓的18位(个)乐清改革开放40年重大影响力企业家(群体)分别是:正泰集团董事长南存辉、德力西集团董事局主席胡成中、天正集团有限公司董事长高天乐、人民集团董事长郑元豹、北京章光101控股集团创始人赵章光、华仪集团有限公司董事长陈...
以“人民”的名义让品牌与世界共享共赢,中国产业经济信息网,2018年11月8日,"人民电器集团董事长郑元豹在谈及企业发展时表示,这是一个强强联合的时代,这也是一个不断变化的时代,人民电器在维护传统产业快速、健康、持续成长的同时,将传统产业与物联网、互联网等相结合,大力推行降本增效,做到创新、创业、创意“三..."
中法生态城昨签下1262亿元投资大单,荆楚网,2017年9月28日,"人民电器集团董事长郑元豹先生和东裕电器集团丹尼斯集团总裁王任生先生颁发“中法武汉生态示范城招商顾问”聘书,为国务院发展研究中心研究员丁一凡先生和北京优炫软件股份有限公司董事长、北京大学教授梁继良先生颁发“中法武汉生态示范城招才..."
...巴菲特 郑元豹 网友质疑 企业 天价 80后 人民电器集团 午餐...,东方网,2010年7月21日,"昨天,记者与拍卖午餐时间的主人公——温州人民电器集团董事长郑元豹面对面,把网友的问题一一抛给他。 目前最高出价才1万元 7月17日,拍卖帖子首先在温州的一家网站发出。拍卖帖子的主人公正是中国500强企业之一——温州人民电器集团的..."
中国最有潜力的十位企业家 IT行业占大半,TechWeb,2007年1月17日,"郑元豹的突出能力表现在对资源的充分整合上。他认为,“一个民营企业要想从有限的规模变成无限规模,有限的实力变成无限实力,只有进行资源整合,这样才可以建起一艘航空母舰。” 郑在人民电器集团旗下11家子公司内建立了一个基金会,每个子..."
喜讯!人民电器集团再次入榜中国企业500强榜单,网易,2020年10月15日,"人民电器集团在集团董事长郑元豹的带领下,以二次创业为内容核心,调整产业结构,制定未来40年发展标准,同时,结合智能制造技术,深化转型发展道路。以全球化视野格局和发展思路,打造以智慧电网为核心,具备国际竞争力的五大产业,并通过加强与..."
人民电器董事长郑元豹:并购狂人细解成功奥秘,搜狐网,2006年9月18日,"又是6年后,郑元豹感觉到温州才是中国电器产业最好的温床。1988年,郑元豹果断地杀回温州,接管了一个当时仅有12名员工、3万元资产、生产单一CJ10交流接触器的乐清人民低压电器厂。这就是如今庞大的人民电器集团的雏形。"
"""并购狂人""人民电器董事长郑元豹细解成功奥秘",网易商业,2006年9月18日,"郑元豹向记者讲述了这样一例事件:“2001年6月,人民电器集团成功兼并位居国内输变电设备行业第二的大型国企———江西变电设备总厂后,我只派过去两个人,一个财务总监,一个监事,总经理和董事长都不派。结果这个处于亏损的企业奇迹般生..."
电老虎网组织50多名企业家走访电器之都乐清市!,凤凰网,4月6日,"之后电老虎访团分别走访了人民电器集团、万控智造、美硕电气、巨邦集团、西屋电气等乐清代表性企业。人民电器集团董事长郑元豹先生、万控智造董事长木晓东等,分别携高管接待了电老虎网来访团队。同时,柳市政府副市长郑巨化等政府领导与来访客..."
浙江新邦控股集团陈锵董事长一行到访人民电器考察交流,网易,1月3日,"临近阳历新年,浙江新邦控股集团董事长陈锵,浙江新邦控股集团执行董事陈鸿旭,浙江新邦控股集团总裁范小青以及下属子公司负责人一行到访人民电器集团进行考察交流。人民控股集团董事长郑元豹,人民电器集团副董事长、浙江公司董事长郑经洁,人民控股..."
