title,source,time,summary
厉害了!金彭新能源电动车项目落户枣庄!,枣庄壹点,4月10日,4月10日上午，枣庄高新区重点项目金彭智能新能源电动车制造基地项目和智光通信产业园三期项目分别举行开工仪式。在金彭智能新能源电动车制造基地项目开工仪式现场，江苏金彭集团董事长鹿守光、保力新能源科技股份有限公司董事长高保清和孙起生分别...
70亿元!保力新拟投建10GWhPACK等项目,腾讯网,4月20日,"2019年底,常德中兴投资7.1亿元参与重整坚瑞沃能。经过重整,常德中兴实际控制人高保清成为坚瑞沃能实际控制人(单一大股东)。去年9月28日,坚瑞沃能正式更名为“保力新能源科技股份有限公司”,证券简称变更为“保力新”。"
保力新:2020年年度报告摘要,同花顺财经,4月20日,"保力新能源科技股份有限公司2020年年度报告摘要 一、重要提示 本年度报告摘要来自年度报告全文,为全面了解本公司的经营成果、财务状况及未来发展规划,投资者应当到证监会指定媒体仔细阅读年度报告全文。"
保力新:公司于2020年6月3日完成董事会的改组,金融界,1月11日,在董事会完成改组后，经高保清女士提议，并经公司董事会及股东大会审议通过，坚瑞沃能也将公司名称变更为保力新能源科技股份有限公司。同时，经高保清女士及其领导的保力新经营管理层频繁调研、反复论证，确立了保力新未来战略聚焦于低速电动...
保力新: 关于补充确认2020至2021年度日常关联交易及2021年度日常...,证券之星,4月20日,证券代码:300116      股票简称:保力新          公告编号:2021-033               保力新能源科技股份有限公司 ...
保力新:关于第一大股东进行股票质押的公告,同花顺财经,3月26日,"保力新能源科技股份有限公司 关于第一大股东进行股票质押的公告 本公司及董事会全体成员保证公告内容真实、准确和完整,没有虚假性记载、误导性陈述或重大遗漏。 特别提示: 截至本公告披露日,公司第一大股东常德中兴投资管理中心(有限合伙)..."
保力新:2021年第一次股东大会决议公告,同花顺财经,1月18日,"保力新能源科技股份有限公司(以下简称“公司”)2021年第一次临时股东大会会议通知于2020年12月31日以公告形式发出。本次会议采取现场投票与网络投票相结合的方式召开,其中,现场会议于2021年1月18日(星期一)上午10:30在广东省深圳市南山..."
保力新(300116.SZ):实控人拟增持0.7亿元-1亿元股份,格隆汇,2020年12月3日,格隆汇12月3日丨保力新(300116.SZ)公布，公司于2020年12月2日披露了《保力新能源科技股份有限公司关于实际控制人、董事长兼总经理计划增持公司股份的公告》。现对原公告中关于增持主体高保清增持股份金额的情况进行补充说明：公司实际控制...
"锂电巨头保力新重磅入局!重塑锂电,界定未来!",网易订阅,2020年10月29日,"保力新能源科技股份有限公司董事长兼总裁-高保清,中国企业联合会、中国企业家协会常务副会长兼理事长,工业和信息化部原总工程师-朱宏任,中国自行车行业协会助力车专委会主任委员-陆金龙,中材科技股份有限公司董事长-薛忠民,中国企业联合会..."
坚瑞沃能:9月28日起中文简称暨证券简称变更为保力新,金融界,2020年9月27日,公司第四届董事会第四十六次会议和2020年第二次临时股东大会审议通过了《关于拟变更公司名称、证券简称及注册资本的议案》，同意公司将中文名称变更为“保力新能源科技股份有限公司”，英文名称变更为“BaoliNewEnergyTechnologyCo.，Ltd”...
坚瑞沃能中报电芯及电池组产品收入1324万元 已恢复4GWh产能,上海有色网,2020年9月2日,"8月19日晚间,坚瑞沃能还发布公告称,为适应公司重整后的战略规划跟经营发展需要,公司拟将公司名称变更为“保力新能源科技股份有限公司”,简称变更为“保力新”,公司证券代码不变,仍为“300116”。公司注册资本45亿元变更为42.81亿元。"
一度危如累卵是什么令这些公司股价暴涨,云财经网,2020年9月1日,"8月19日晚间,坚瑞沃能(300116)公告,公司拟更名为保力新能源科技股份有限公司,中文简称为“保力新”。 坚瑞沃能(300116)表示,高保清2012年入主湖南中锂新材料有限公司(简称“湖南中锂”),4年半的时间,她让一个负债的企业扭亏为盈,..."
曾深陷危机、三年巨亏128亿!这家公司股价突然大涨120%,新浪财经,2020年8月26日,8月19日晚间，坚瑞沃能发布公告称，为适应公司重整后的战略规划跟经营发展需要，公司拟将公司名称变更为“保力新能源科技股份有限公司”，简称变更为“保力新”，公司证券代码不变，仍为“300116”。面对狂飙突进的股价，深交所25日对其...
三年亏损128亿:股价7天狂飙120% 坚瑞沃能遭交易所火线追问,新浪财经,2020年8月26日,深交所同时要求说明，公司是否存在利用更名配合相关股东减持的问题，以及截至目前的生产经营状况。8月19日晚间，坚瑞沃能发布公告称，为适应公司重整后的战略规划跟经营发展需要，公司拟将公司名称变更为“保力新能源科技股份有限公司”，简称...
坚瑞沃能五日四涨停 遭深交所关注“是否利用更名炒作股价”,经济观察报,2020年8月25日,在公告中，陕西坚瑞沃能股份有限公司表示，为适应公司重整后的战略规划跟经营发展需要，公司拟将公司名称、证券简称及注册资本等做相应的变更：公司名称变更为保力新能源科技股份有限公司，中文名简称“保力新”，注册资本由45.00亿元变更为...
连续2日涨20% 更名换新掌舵人:坚瑞沃能要翻身?,全国能源信息平台,2020年8月25日,二级市场表现火热，或与坚瑞沃能重整事项新进展相关：8月19日，坚瑞沃能公告，公司拟更名为保力新能源科技股份有限公司，公司中文简称为“保力新”。公司注册资本45亿元变更为42.81亿元。此外，坚瑞沃能还作出了拟修改公司章程、使用1823....
"坚瑞沃能两天涨超40%,业绩成色如何?",搜狐网,2020年8月25日,"8月19日,坚瑞沃能公告称,公司拟更名为保力新能源科技股份有限公司,公司中文简称为“保力新”。在2016至2017年迎来短暂的事业高光期后,坚瑞沃能于2018年陷入债务旋涡。 2020年最新业…"
"注册制两天,坚瑞沃能两个20%,创业板低价股集体发飙!",钱江晚报,2020年8月25日,消息面上，8月19日晚间，坚瑞沃能发布公告称，为适应公司重整后的战略规划跟经营发展需要，公司拟将公司名称变更为“保力新能源科技股份有限公司”，简称变更为“保力新”。公告强调，公司经过破产重整，已彻底解脱了以往债务的桎梏，资产...
经历了巨变的坚瑞沃能 股价连涨两日 昔日电池巨头浴火重生?,上海有色网,2020年8月25日,"2020年8月20日,坚瑞沃能表示,拟改名“保力新能源科技股份有限公司”,简称变更为“保力新”。目前公司经过破产重整,已彻底解脱了以往债务的桎梏,资产状况、资产结构得到极大改善,从此可以一心一意谋发展。同时,公司在破产重整期间引入的重..."
这四家创业板存量公司 20% 涨停 什么原因?,ZAKER资讯,2020年8月24日,"从消息面来看,坚瑞沃能股价的 "" 高歌猛进 "" 或与重整事项取得新进展有关。8 月 20 日,坚瑞沃能公告,公司拟更名为保力新能源科技股份有限公司,公司中文简称为 "" 保力新 ""。 今年4 月 29 日,西安市中级人民法院裁定坚瑞沃能重整..."
