title,source,time,summary
全省首个具有整车出口资质的企业在新区诞生,搜狐网,2019年4月19日,"兰州广通新能源汽车有限公司董事长杨健说,为积极抢抓“一带一路”建设机遇,开拓海外新能源汽车市场。 2018年9月兰州广通与塞尔维亚政府在北京签订了并购塞尔维亚伊卡布斯汽车厂的协议,并购重组工作将于今年7月份完成,届时将积极引进欧洲的先..."
专访全省招商引资暨陇商大会陇商代表,搜狐网,2019年4月15日,"天天天水网讯“我以前来过天水,这次再来,感受很不一样,这里的变化很大,不管是城市建设还是政府部门的工作态度,都让我感觉很惊喜。” 兰州广通新能源汽车有限公司董事长兼总经理杨健说,这次全省招商引资暨陇商大会在天水举办,使他对天水..."
——我省改善营商环境大力招商引资侧记,中国·甘肃,2019年4月12日,"兰州广通新能源汽车有限公司董事长兼总经理杨健说。兑现承诺是招商引资工作中最为关键的一环,关系到项目的落地见效,更关系到一个地方的发展形象。 近两年来,我省建立健全招商引资跟踪问效机制和责任追究制度,开展多部门联合督办检查,..."
甘肃:企业建项目 政府做服务,中国经济网,2019年4月11日,"从开展项目前期工作到建成投产,两年时间里,兰州广通新能源汽车有限公司董事长杨健不知道兰州新区秦川园区管委会的大门朝哪边开,“有事打个电话,园区工作人员就上门服务,来现场办公协调解决问题。政府部门的工作太到位了,是真正的‘保姆式’..."
"新京报 - 好新闻,无止境",新京报网,2018年11月5日,"据中新网报道,兰州广通新能源汽车有限公司首批新能源汽车2日在兰州新区投产,事实上,早在2016年6月,珠海银隆新能源有限公司就与兰州市政府共同签署了《新能源汽车及电力储能项目合作框架协议》。2017年5月,珠海银隆新能源兰州广通新能源汽..."
大公司要闻速览|中国IG电竞夺冠;苹果拟2020年推5G手机,腾讯网,2019年4月16日,"11月2日,兰州广通新能源汽车有限公司首批新能源汽车2日在兰州新区投产,该公司董事长兼总经理杨健表示,生产线的正式投产,标志着这个82岁的“汽车老兵”翻开了崭新的一页。 据悉,2017年5月,珠海银隆新能源兰州广通新能源汽车生产基地开工..."
董明珠斥巨资在兰州新区打造的新能源汽车正式投产,中国新闻网,2018年11月3日,中新网兰州11月3日电 (记者 魏建军)兰州广通新能源汽车有限公司首批新能源汽车2日在兰州新区投产，该公司董事长兼总经理杨健表示，生产线的正式投产，标志着这个82岁的“汽车老兵”翻开了崭新的一页。兰州广通新能源汽车有限公司，其前身...
珠海银隆新能源汽车项目落子兰州,搜狐网,2017年5月9日,"地区,但是拥有非常丰富的可再生能源。我们将抓住这次机遇,先行先试,大胆开拓,充分利用和挖掘甘肃在新能源行业的资源优势,将其转化为产业优势,成为能源革命的排头兵。”银隆新能源兰州园区总经理、兰州广通新能源汽车有限公司总经理杨建说..."
珠海银隆兰州新区投资开工 打造新能源客车产业基地,中国新闻网,2017年5月3日,"中新网兰州5月3日电 (记者 徐雪)3日,珠海银隆兰州广通新能源汽车生产基地开工仪式在兰州新区举行,该项目力争通过3至5年,最终形成新能源汽车、动力电池、储能电站全覆盖的全产业链生产及研发园区,实现产值500亿元。"
兰州广通与甘肃银行签订战略合作协议,搜狐网,2019年9月4日,"兰州新区党工委副书记、新区管委会主任李东新,甘肃银行党委副书记、行长王文永,兰州广通新能源汽车有限公司董事长兼总经理杨健共同见证签约。   甘肃银行是省政府直接管理的唯一一家省级法人股份制商业银行,自入驻兰州新区以来,..."
兰州新区珠海银隆新能源项目的建设进度,搜狐网,2017年8月17日,"(珠海银隆兰州广通新能源汽车生产基地效果图) 珠海银隆新能源有限公司是中国新能源产业大型现代化高新技术企业,目前,该公司已分别在广东珠海、河北石家庄及武安建成三大生产基地,资产规模已逾百亿元,实现营业收入30余亿元,净利润超过4亿元。"
杨健:“我对在天水投资创业充满信心”,搜狐网,2019年4月15日,"天天天水网讯“我以前来过天水,这次再来,感受很不一样,这里的变化很大,不管是城市建设还是政府部门的工作态度,都让我感觉很惊喜。” 兰州广通新能源汽车有限公司董事长兼总经理杨健说,这次全省招商引资暨陇商大会在天水举办,使他对天水..."
甘肃省首台自产纯电动公交车在兰州新区下线,乐居财经,2018年11月7日,车身中部白色巧妙引用“搏浪”的抽象特征，同时也展现了黄河九曲十八弯的独有特性，形成一个“兰”字，既体现了黄河文化，也寄寓兰州人民对美好生活的向往。据兰州广通新能源汽车有限公司董事长、总经理杨健介绍，目前，银隆新能源汽车已在...
珠海银隆兰州广通新能源汽车生产基地项目在新区奠基,第一电动网,2017年5月4日,"5月3日,珠海银隆兰州广通新能源汽车生产基地开工仪式在兰州新区石化园区举行。该项目投资40亿元,建设纯电动商务车,suv、物流车、环卫车、公务车、工程车、邮政车等纯电动乘用车和特种车辆专用生产线项目,规划年产能10万辆,年产值300亿。"
「走进兰州新区」全球“逐”梦 乘风“飞”翔——探寻兰州新区逆势...,每日甘肃,2020年9月28日,“通过兰州新区打造的陆港，广通生产的新能源汽车将能够以最快速度把新能源客车、物流车产品打进欧洲市场。”兰州广通新能源汽车有限公司董事长兼总经理杨健说。在兰州新优联实业有限公司生产车间，机器轰鸣，工人正加紧施工赶订单。“进口...
兰州新区全力推动产业链供应链协同发展,潇湘晨报,2020年8月1日,""" 在企业观摩过程中，我也找到了产品信息与本公司产业链相配套的企业，找到 了合作方向。"" 兰州广通新能源汽车有限公司董事长杨健认为，举办产业链供应链协调发展推介会，不仅以便于企业了解各个兄弟单位的生产经营情况和产品研发情况，还..."
全省首个具有整车出口资质的企业在新区诞生,搜狐网,2019年4月19日,"兰州广通新能源汽车有限公司董事长杨健说,为积极抢抓“一带一路”建设机遇,开拓海外新能源汽车市场。 2018年9月兰州广通与塞尔维亚政府在北京签订了并购塞尔维亚伊卡布斯汽车厂的协议,并购重组工作将于今年7月份完成,届时将积极引进欧洲的先..."
专访全省招商引资暨陇商大会陇商代表,搜狐网,2019年4月15日,"天天天水网讯“我以前来过天水,这次再来,感受很不一样,这里的变化很大,不管是城市建设还是政府部门的工作态度,都让我感觉很惊喜。” 兰州广通新能源汽车有限公司董事长兼总经理杨健说,这次全省招商引资暨陇商大会在天水举办,使他对天水..."
——我省改善营商环境大力招商引资侧记,中国·甘肃,2019年4月12日,"兰州广通新能源汽车有限公司董事长兼总经理杨健说。兑现承诺是招商引资工作中最为关键的一环,关系到项目的落地见效,更关系到一个地方的发展形象。 近两年来,我省建立健全招商引资跟踪问效机制和责任追究制度,开展多部门联合督办检查,..."
甘肃:企业建项目 政府做服务,中国经济网,2019年4月11日,"从开展项目前期工作到建成投产,两年时间里,兰州广通新能源汽车有限公司董事长杨健不知道兰州新区秦川园区管委会的大门朝哪边开,“有事打个电话,园区工作人员就上门服务,来现场办公协调解决问题。政府部门的工作太到位了,是真正的‘保姆式’..."
"新京报 - 好新闻,无止境",新京报网,2018年11月5日,"据中新网报道,兰州广通新能源汽车有限公司首批新能源汽车2日在兰州新区投产,事实上,早在2016年6月,珠海银隆新能源有限公司就与兰州市政府共同签署了《新能源汽车及电力储能项目合作框架协议》。2017年5月,珠海银隆新能源兰州广通新能源汽..."
大公司要闻速览|中国IG电竞夺冠;苹果拟2020年推5G手机,腾讯网,2019年4月16日,"11月2日,兰州广通新能源汽车有限公司首批新能源汽车2日在兰州新区投产,该公司董事长兼总经理杨健表示,生产线的正式投产,标志着这个82岁的“汽车老兵”翻开了崭新的一页。 据悉,2017年5月,珠海银隆新能源兰州广通新能源汽车生产基地开工..."
专访全省招商引资暨陇商大会陇商代表,搜狐网,2019年4月15日,"天天天水网讯“我以前来过天水,这次再来,感受很不一样,这里的变化很大,不管是城市建设还是政府部门的工作态度,都让我感觉很惊喜。” 兰州广通新能源汽车有限公司董事长兼总经理杨健说,这次全省招商引资暨陇商大会在天水举办,使他对天水..."
——我省改善营商环境大力招商引资侧记,中国·甘肃,2019年4月12日,"兰州广通新能源汽车有限公司董事长兼总经理杨健说。兑现承诺是招商引资工作中最为关键的一环,关系到项目的落地见效,更关系到一个地方的发展形象。 近两年来,我省建立健全招商引资跟踪问效机制和责任追究制度,开展多部门联合督办检查,..."
甘肃:企业建项目 政府做服务,中国经济网,2019年4月11日,"从开展项目前期工作到建成投产,两年时间里,兰州广通新能源汽车有限公司董事长杨健不知道兰州新区秦川园区管委会的大门朝哪边开,“有事打个电话,园区工作人员就上门服务,来现场办公协调解决问题。政府部门的工作太到位了,是真正的‘保姆式’..."
"新京报 - 好新闻,无止境",新京报网,2018年11月5日,"据中新网报道,兰州广通新能源汽车有限公司首批新能源汽车2日在兰州新区投产,事实上,早在2016年6月,珠海银隆新能源有限公司就与兰州市政府共同签署了《新能源汽车及电力储能项目合作框架协议》。2017年5月,珠海银隆新能源兰州广通新能源汽..."
大公司要闻速览|中国IG电竞夺冠;苹果拟2020年推5G手机,腾讯网,2019年4月16日,"11月2日,兰州广通新能源汽车有限公司首批新能源汽车2日在兰州新区投产,该公司董事长兼总经理杨健表示,生产线的正式投产,标志着这个82岁的“汽车老兵”翻开了崭新的一页。 据悉,2017年5月,珠海银隆新能源兰州广通新能源汽车生产基地开工..."
