title,source,time,summary
冀中能源峰峰集团董事长刘存玉到磁县洽谈合作,潇湘晨报,2月7日,张力超表示，磁县将继续支持好服务好企业发展。相信在企地双方的共同努力下，冀中能源峰峰集团有限公司和磁县的联系会更加紧密，合作将更加深入，成果将更加丰硕。刘存玉介绍了冀中能源峰峰集团有限公司生产经营、产业优势、发展思路等情况，...
冀中能源峰峰集团有限公司董事长和总经理发生变动的公告 20冀峰01...,中国财经信息网,2020年7月2日,"公司董事长、总经理发生了变动,主要事项如下: 赵兵文先生不再任冀中能源峰峰集团有限公司董事长、党委书记。刘存玉先 生任冀中能源峰峰集团有限公司董事长、党委书记。 刘存玉先生不再任冀中能源峰峰集团有限公司副董事长、总经理。孟宪..."
喜报!冀中能源峰峰集团团委荣获“全国煤炭行业五四红旗团委”等...,网易新闻,昨天18:46,"近日,全国煤炭行业共青团工作指导和推进委员会下发了《关于表彰2020年度全国煤炭行业优秀共青团员、优秀共青团干部和“五四”红旗团委(团支部)的决定》。其中,峰峰集团公司团委荣获“2020年度全国煤炭行业五四红旗团委”、“2020年度河北省国资..."
冀中能源峰峰集团九龙矿幸福创建之路,潇湘晨报,4月20日,冀中能源峰峰集团九龙矿坚持服务职工的宗旨不动摇，在职工“最盼”上用真心，在职工“最急”上动真情，在职工“最需”上办实事，努力让矿工兄弟的获得感成色更足、幸福感更可持续、安全感更有保障，走上了一条职工对美好生活的期待...
冀中能源峰峰集团:强化科技创新引领 整合资源推进项目建设,长城网,2020年8月13日,“我们以项目建设为突破口，全力打造化工新材料产业园区和精细化工及医药系列项目产业园区，通过整合优质资源，重构化工产业链条，为企业转型发展注入‘强心剂’。”冀中能源峰峰集团党委书记、董事长刘存玉说。冀中能源峰峰集团在内蒙古开鲁...
阻击疫情保安全 雪中送炭保供应——冀中能源峰峰集团彰显国企担当,中原新闻网,2020年2月26日,中原新闻网邯郸讯（记者张飞涛通讯员张和平王献平）2月8日武汉钢铁公司、10日大唐河北马头热电分公司、18日山东钢铁股份公司、20日大唐安阳发电有限责任公司、21日河北邯峰发电有限责任公司……相继给冀中能源峰峰集团发来感谢信，感谢峰峰...
冀中能源峰峰集团召开十一月份安全办公会,河北新闻网,2017年10月24日,"10月23日,冀中能源峰峰集团召开11月份安全办公会,总结10月份安全工作,安排11月份安全工作,要求有关部室强化责任抓督导、严细排查除隐患。峰峰集团领导赫孟合、郭志武、陈宇、郭军、张建峰、孟庆华、成光星、王殿录、闫云胜、王晓明、刘存玉..."
峰峰集团到冀南新区考察交流,冀南新区管委会,2月5日,刘存玉代表冀中能源峰峰集团感谢冀南新区多年来对冀中能源峰峰集团的大力支持，并介绍了企业架构、发展历程、产业优势、发展思路等情况，表示将加强与新区产业合作，强化企地共建，支持新区事业发展，造福当地百姓。孟宪营表示，峰峰集团要与...
从百米井下到最高领奖台——记全国劳动模范、峰峰集团新屯矿机电...,阳帆起航正当时,2020年12月5日,12月1日下午冀中能源峰峰集团党委书记、董事长刘存玉接见顾博 今年7月份，应全国总工会技能强国平台邀请，顾博参加了全国产业工人技能学习平台“大国工匠技术课堂”系列直播活动，他以《以匠心守初心，用技能践使命，做新时代煤矿机电专业高...
冀中能源股份有限公司,搜狐网,9天前,"《深圳证券交易所股票上市规则》和《公司章程》的相关规定,此项议案尚需经公司股东大会批准,关联股东冀中能源集团有限责任公司、冀中能源峰峰集团有限公司、冀中能源邯郸矿业集团有限公司和冀中能源张家口矿业集团有限公司将在股东大会上对该..."
通辽新闻晚餐│2020-06-10 周三,澎湃新闻,2020年6月10日,"◉ 6月9日,冀中能源峰峰集团医药系列项目在开鲁县工业园区举行开工仪式。市委书记冯玉臻,冀中能源峰峰集团党委书记、董事长刘存玉,市政府副市长郝明胜出席。 ◉ 6月9日,市委党校(行政学院、社会主义学院)2020年度开学典礼举行。市委副..."
冀中能源峰峰集团新闻传媒通信中心工会开展“学党史、知形势、明...,搜狐网,3月11日,冀中能源峰峰集团新闻传媒通信中心工会开展“学党史、知形势、明方向、鼓干劲”知识答题活动 “党史学习的目标是什么?” “习近平总书记要求各级领导干部提高的‘七种能力’是什么?” “刘存玉董事长近期的署名文章题目是什么?” ...
喜报!冀中能源峰峰集团团委荣获“全国煤炭行业五四红旗团委”等...,网易新闻,昨天18:46,"近日,全国煤炭行业共青团工作指导和推进委员会下发了《关于表彰2020年度全国煤炭行业优秀共青团员、优秀共青团干部和“五四”红旗团委(团支部)的决定》。其中,峰峰集团公司团委荣获“2020年度全国煤炭行业五四红旗团委”、“2020年度河北省国资..."
峰峰集团:学史践初心 实干开新局,腾讯网,3月25日,"“各级领导要做到以上率下、先学一步、学深一层,切实当好党史学习教育的组织者、参与者和示范者。”冀中能源峰峰集团党委书记、董事长刘存玉在中心组专题学习会上说。 高度重视、迅速行动、强化组织 ..."
冀中能源:第六届董事会第二十九次会议决议,中财网,2020年9月4日,"有限公司股份暨关联交易的公告》)。 由于冀中能源集团是公司的控股股东,根据《深圳证券交易所股票上市规 则》10.1.3 的相关规定,本次交易构成关联交易。 根据《公司章程》及《深圳证券交易所股票上市规则》的相关规定,本次 ..."
