title,source,time,summary
...记全国“工人先锋号”内蒙古大唐国际新能源公司安全生产部...,搜狐网,2017年6月12日,"五月,激情如火,劳动者和青年人共同的节日,内蒙古大唐国际新能源有限公司得传喜讯,该公司安全生产部集控中心喜获“全国工人先锋号”荣誉称号,这是全国工人战线的最高集体荣誉。这个现有成员15人,平均年龄只有29岁的年轻集体,用责任守护风机..."
做活新能源产业文章 大唐内蒙古分公司为绿色发展“输能”,和讯网,2020年11月30日,"新华社呼和浩特11月30日电(记者李新民王文博)初冬的内蒙古浑善达克沙地,一排排光伏电板在阳光下熠熠生辉,中国大唐集团内蒙古分公司正在搭建的光伏生态电站年底前将生成“绿色电流”,源源不断汇入电网,将充足的光能转化为电能输出。项目建成..."
总投资93亿 内蒙古大唐托克托积极推进开发新能源,全国能源信息平台,2020年4月28日,【能源人都在看，点击右上角加'关注'】清洁能源是能源企业产业升级、推动高质量发展的主战场。近年来，坐落在黄河岸边的内蒙古大唐国际托克托发电有限责任公司积极加速推进新能源开发工作，推动优质风光能源项目落地，走出了以生态优先，绿色...
内蒙古大唐国际呼和浩特铝电有限责任公司招聘简章,搜狐网,2020年10月13日,"内蒙古大唐国际呼和浩特铝电有限责任公司(以下简称“公司”)前身为内蒙古大唐国际再生资源开发有限公司,位于呼和浩特市托克托工业园区,2007年注册成立,2008年开工建设,2014年建成投产,拥有28.2万吨电解铝、6万吨炭素产能。2020年7月28日,公司..."
[公告]东华科技:关于与内蒙古大唐国际克什克腾煤制天然气有限责任...,中国财经信息网,2018年7月27日,[公告]东华科技:关于与内蒙古大唐国际克什克腾煤制天然气有限责任公司签订第二系列调峰改造项目乙二醇合同装置EPCM合同..
总投资93亿元!大唐托克托发电公司签订145万千瓦新能源项目资源...,机经网,2020年4月28日,"摘要:清洁能源是能源企业产业升级、推动高质量发展的主战场。近年来,坐落在黄河岸边的内蒙古大唐国际托克托发电有限责任公司积极加速推进新能源开发工作,推动优质风光能源项目落地,走出了以生态优先,绿色发展为导向的高质量发展新路子。"
"更换总经理,买回5家新能源公司股权,大唐发电将开启怎样新局?",搜狐网,2019年9月4日,其中包括辽宁大唐国际新能源有限公司(“辽宁新能源”)46.15%的股权、河北大唐国际新能源有限公司(“河北新能源”)48.06%的股权、内蒙古大唐国际新能源有限公司(“内蒙古新能源”)49%的股权、福建大唐国际新能源有限公司(“福建新能源”...
"大唐内蒙古分公司召开座谈会,科学谋划部署2021年工作",腾讯网,1月11日,"近日,中国大唐集团有限公司内蒙古分公司召开2021年工作座谈会,全面总结2020年工作,科学分析新形势新任务,研究谋划2021年工作思路和奋斗目标。该公司党委书记、董事长王顺启主持会议并讲话,党委副书记、总经理赵海军对全年工作完成情况进行了..."
播报:300亿!大唐5GW清洁能源项目落户内蒙古,网易新闻,3月9日,"近日,兴和县与大唐内蒙古分公司签订清洁能源开发合作框架协议。 根据协议,大唐内蒙古分公司计划在兴和县规划开发容量为500万千瓦清洁能源项目,项目总投资约为300亿(人民币)。具体规划建设150万千瓦“清洁能源制氢”项目,建设150万千瓦“清洁..."
内蒙古大唐国际克什克腾煤制天然气有限责任公司2018年招聘公告,搜狐网,2017年11月17日,"内蒙古大唐国际克什克腾煤制天然气有限责任公司(以下简称公司)于2010年12月23日注册成立。公司担负的内蒙古大唐国际克什克腾煤制天然气及其配套输气管线项目(以下简称项目),于2009年8月20日获得国家发展和改革委员会核准(发改能源〔2009〕216..."
