title,source,time,summary
...有限公司全自动集热管生产线投产暨北京华业阳光新能源有限公司...,南海网,2016年11月8日,"北京华业阳光新能源有限公司总经理孙斌,中国太阳能热利用产业联盟执行理事长张晓黎、秘书长贾铁鹰,山东省太阳能行业协会会长申文明、秘书长李衍山,国家太阳能热水器质量监督检验中心(北京)主任何涛,国家太阳能热水器质量监督检验中心(武汉)..."
圆桌对话:探讨能源产业热点话题 寻找能源革命新机遇,腾讯网,8天前,"“在创新驱动下的能源革命新机遇”圆桌对话上,国家能源集团科技部副主任李全生、海尔总经理柴纪强、智慧能源行业总经理王磊、环境保护组织公众环境研究中心创始人马军、华业阳光新能源有限公司常务副总经理陈海靖分别进行深入探讨。他们表示:包头..."
邹平煤改电中标信息最终确认:长虹、TCL智能暖通、海尔、纽恩泰...,慧聪网,2020年8月21日,"10、合肥荣事达太阳能有限公司,中标金额:名义制热量3kW:4700元/台;名义制热量4kW:5100元/台;  11、广东志高暖通设备股份有限公司,中标金额:名义制热量3kW:5000元/台;名义制热量4kW:5600元/台;  12、北京华业阳光新能源有限公司,中..."
一周太阳能光热资讯(7.19-7.24),搜狐网,2020年7月24日,"近日,北京启迪清洁能源科技有限公司的全资子公司北京华业阳光新能源有限公司荣获“2020中国热泵行业优秀工农业烘干品牌”称号。 玉门市将加快首航100MW太阳能光热发电项目建设 近日,玉门市人民政府办公室发布关于印发《玉门市“六保”工作实施..."
华业阳光烟草烘干项目荣获2020“节能杯”热泵系统设计大奖,搜狐网,2020年7月16日,"依托“清华阳光”空气源热泵耦合中温太阳能烟草烘干系统在实际项目中的良好应用,启迪清洁能源集团全资子公司——北京华业阳光新能源有限公司(简称华业阳光)在本次大会中荣获2020 “节能杯”空气源热泵干燥最佳应用奖,强劲实力荣获权威认定!"
2020年度中国太阳能热水器行业十大品牌榜单,优品牌网,2020年4月22日,2010年，中能华辰集团以战略投资的形式入主北太所，新一届领导班子推出九年规划以培育桑普“第一文化”，将使北太所集团在技术和产业两方面同时向行业的顶峰迈进。第九名: 清华阳光 北京华业阳光新能源有限公司成立于1998年，是启迪清...
国内太阳能跨季节蓄热供暖技术厂商一览,北极星太阳能光伏网,2020年2月19日,"北京华业阳光新能源有限公司成立于1998年,是北京启迪清洁能源科技有限公司的全资子公司,也是中国太阳能热利用行业的创始人、产业推动者及标准制订者之一。公司注册资金1.01亿元,是国家级高新技术企业,取得各项专利一百多项,参与制定国际国家..."
吉林省能源局党组书记局长王相民一行来访共促吉林绿色高质量发展,搜狐网,2019年12月23日,"启迪清洁能源常务副总裁、启迪清洁能源研究院常务副院长李旭光,启迪清洁能源副总裁、华业阳光总经理赵娟,启迪环境总裁助理、零碳能源中心副总经理、城市热力事业部总经理赵宇楠,中国科学院过程工程研究所副研究员、启迪德格董事武荣成分别就相关..."
平度引进首个BOT校园热水项目,半岛网官网,2019年12月1日,"长期以来,校园内饮水、洗衣,尤其是学生洗浴问题一直是困扰平度职教中心师生的烦心问题。近日,该校与北京华业阳光新能源有限公司签订协议,全面引进该公司的校园BOT热水系统,并安装两台直饮水机供学校教职工免费使用。一期工程建设六栋学生公寓..."
刘立新:太阳能热+热泵供热系统,北极星太阳能光伏网,2019年5月30日,"北极星太阳能光伏网讯:2019年5月30日,全国工商联新能源商会与河北省邢台市人民政府主办的“2019中国(邢台)清洁能源供暖峰会”在邢台召开,北京华业阳光新能源有限公司技术总监刘立新作了题为《太阳能热+热泵供热系统》的主题演讲。北极星..."
