title,source,time,summary
从信息化迈向智能化 百度以AI平台赋能能源产业升级,砍柴网,4月27日,"国务院发展研究中心原副主任侯云春、百度集团副总裁吴甜、厦门大学中国能源政策研究院院长林伯强、中国华电福新集团董事长黄少雄、国网福建省电力有限公司总经理蔡鸿贤等5位嘉宾从各自领域,就实现“碳达峰、碳中和”目标、推进能源绿色低碳..."
华电苇湖梁新能源公司系列报道之二:创新思维开启高质量发展新篇章,搜狐网,3月15日,"【高质量能源内容,点击右上角加'关注'】近日,苇湖梁新能源公司集控中心组织开展“每月一讲”特色培训活动,一期以“电能质量技术监督实施细则”为题的培训课正式拉开序幕。 培训课以大家喜闻乐见的PPT授课方式进行,组织班组成员对电能质量..."
电科e周 | 院新闻周刊第10期,搜狐网,2019年7月8日,"•近日,院党委书记、执行董事李立新会见了华电福新能源股份有限公司党委书记、董事长黄少雄。院党委副书记陈远台陪同会见。李立新对黄少雄一行的到访表示热烈欢迎。李立新表示,近年来院在水电、风电、太阳能发电的技术监督、技术服务、科技研..."
[关联交易]*ST金山:关于对外投资暨关联交易的公告,中国财经信息网,2019年6月27日,企业名称:华电福新能源股份有限公司 统一社会信用代码:91350000768574458E 成立日期:2004年11月30日 企业类型:股份有限公司 公司法人:黄少雄 注册资本:840796.152万人民币 注册地:福建省福州市鼓楼区湖东路231号前田大厦20层 ...
江西省人民政府 工作动态 中国华电集团新能源发展有限公司霍广明...,江西省人民政府,2018年8月16日,"2009年8月19日,中国华电集团新能源发展有限公司副总经理霍广钊、计划投资部主任吴韶华、谭建明高工一行,专程来九江市就分布式能源项目与九江市发改委进行交流。市发改委主任彭敏、副主任彭松华,市驻北京办事处主任薛飞,市规划局副局长陈..."
【招商引资】华电新能源项目落户常德经开区 总投资20亿元,搜狐网,2018年8月5日,"8月2日,常德经开区与中国华电集团有限公司湖南分公司签署能源战略合作框架协议。常德经开区管委会主任李育智,华电湖南分公司副总经理何辉出席活动并代表双方签约。 ▲李育智、何辉代表双方签约"
又一重大项目落户增城!较同等规模燃煤电厂减排的二氧化碳量相当于...,搜狐网,2017年8月11日,"新塘镇、仙村镇和石滩镇西部区域的企业提供综合能源供应。”华电福新能源股份有限公司董事长黄少雄表示,华电增城项目是华电系统在广东省乃至全国的第一个9H级大型燃机项目,也是中国华电加快战略转型、优化区域布局而重点推进的重大投资项目..."
中国华电清洁能源项目在增城开工建设,南方新闻网,2017年8月11日,"新塘镇、仙村镇和石滩镇西部区域的企业提供综合能源供应。”华电福新能源股份有限公司董事长黄少雄表示,华电增城项目是华电系统在广东省乃至全国的第一个9H级大型燃机项目,也是中国华电加快战略转型、优化区域布局而重点推进的重大投资项目..."
总投资约44亿元 华电广州燃气冷热电三联供工程动工,南方新闻网,2017年8月10日,"华电福新能源股份有限公司董事长黄少雄表示,华电增城项目是华电系统在广东省乃至全国的第一个9H级大型燃机项目,也是中国华电加快战略转型、优化区域布局而重点推进的重大投资项目之一。“我们将致力于打造9H级大型高效、清洁燃机示范精品工..."
44 亿华电广州增城燃气冷热电三联供项目开工 可减排的二氧化碳...,ZAKER资讯,2017年8月10日,"华电福新能源股份有限公司董事长黄少雄表示,华电增城项目是华电系统在广东省乃至全国的第一个 9H 级大型燃机项目,也是中国华电加快战略转型、优化区域布局而重点推进的重大投资项目之一。我们将认真履行央企承担的社会责任,始终秉承华电 "" ..."
