title,source,time,summary
奥特佳新能源科技股份有限公司关于诉讼事项相关进展的公告,搜狐网,2019年7月3日,"奥特佳新能源科技股份有限公司 关于诉讼事项相关进展的公告 本公司及董事会全体成员保证本次信息披露的内容真实、准确和完整,没有虚假记载、误导性陈述或者重大遗漏。 本公司7月2日收到股东王进飞发来的消息,称其已就前期私刻本公司公章并..."
奥特佳(002239.SZ)旗下南京奥特佳成为一汽-大众电动空调压缩机...,和讯港股,2019年3月4日,"格隆汇3月4日丨奥特佳(002239.SZ)公布,公司3月4日收到子公司南京奥特佳新能源科技有限公司(“南京奥特佳”)的信息,称该公司收到一汽-大众汽车有限公司(“一汽-大众”)的供应商提名函,南京奥特佳将按最终合同为一汽-大众的新能源汽车..."
新能源汽车热泵空调市场及主要企业分析,搜狐网,2019年1月29日,"奥特佳:南京奥特佳新能源科技有限公司主要产品为空调压缩机,近年来不断推出热泵压缩机等新产品,业务增长稳健。 银轮股份:公司热交换器市场优势明显,主要产品包括油冷器、冷却模块、EGR冷却器、SCR系统等。近期公司不断加码热泵空调研发。"
【行业资讯】汽车空调压缩机配套供应商盘点,搜狐网,2019年1月21日,"17.南京奥特佳新能源科技有限公司 公司简介: 南京奥特佳新能源科技有限公司集研发、生产、销售为一体的专业汽车空调压缩机厂商。产值20亿元,利税3.5亿元。压缩机产能600万台。 公司已通过ISO/TS 16949:2002国际汽车供货商质量体系认证和中..."
南京奥特佳计划用五年时间晋身全球前三,南报网,2018年12月17日,"南报网讯(通讯员 刘尊瑞 王卫国 记者 史亮 管伟)“我们的目标是用五年的时间,晋身全球汽车空调压缩机行业前三。”南京奥特佳新能源科技有限公司董事长丁涛在接受南京日报记者采访时信心满满地表示,目前,作为专业汽车空调压缩机厂商,南京..."
奥特佳新能源科技股份有限公司2018第三季度报告,搜狐网,2018年10月24日,"公司全资子公司南京奥特佳新能源科技有限公司位于南京市秦淮区大明路的厂区前期被当地政府纳入旧城改造搬迁范围,南京奥特佳与政府相关部门签署了土地征收补偿协议。目前,南京奥特佳已收到政府给付的全部征收补偿款4.95亿元。"
[董事会]奥特佳:第四届董事会第二十九次会议决议公告,中国财经信息网,2018年9月21日,"二、审议通过《关于选举公司第五届董事会非独立董事的议案》; 根据《中华人民共和国公司法》和《奥特佳新能源科技股份有限公司章程》的有关规 定,经公司股东推荐并经董事会提名委员会审查通过:张永明、丁涛、刘德旺、周建国、 ..."
奥特佳:关于2016年度利润分配预案的预披露公告,搜狐网,2017年2月27日,"奥特佳新能源科技股份有限公司 股票简称:奥特佳 股票代码:002239 公告编号:2017-018 奥特佳新能源科技股份有限公司 关于 2016 年度利润分配预案的预披露公告 本公司及董事会全体成员保证信息披露的内容真实、准确和完整,没有虚假记载、误导..."
布瑞特邀您共襄盛举!2021第九届中国整车热管理技术年会,腾讯网,4月15日,新能源汽车热管理技术走向、趋势政策解读 中冷协汽车热系统分会(原“汽车空调工委会”) R290与CO2在热管理系统应用中的全产业链分析对比 奥特佳 汽车HVAC用户端市场需求调研 中汽研 版块二
奥特佳:关于向激励对象首次授予股票期权的公告,同花顺财经,3月20日,"2.2021年1月21日,公司召开第五届监事会第十三次会议审议并通过了《关于公司<2021年股票期权激励计划(草案)>及其摘要的议案》《关于公司<2021年股票期权激励计划实施考核管理办法>的议案》《关于核实<奥特佳新能源科技股份有限公司2021年..."
奥特佳:对全资子公司提供8000万元担保,东方财富网,3月15日,"奥特佳(SZ 002239,收盘价:3.78元)3月15日晚间发布公告称,公司于3月11日与中国银行南京江宁经济开发区支行签署了担保协议,为全资子公司南京奥特佳新能源科技有限公司向该行申请8000万元贷款提供最高额保证担保额度,担保期限自2021年3月..."
奥特佳:对子公司提供不超过17.61亿元担保,每日经济新闻,3月15日,公司拟对全资子公司南京奥特佳新能源科技有限公司（以下简称南京奥特佳）、南京奥特佳祥云冷机有限公司（以下简称祥云冷机）、安徽奥特佳科技发展有限公司（以下简称安徽奥特佳）、牡丹江富通汽车空调有限公司（以下简称牡丹江富通）、南京奥特...
奥特佳:子公司为祥云冷机提供1000万元担保,东方财富网,3月5日,"奥特佳(SZ 002239,收盘价:4.05元)3月5日晚间发布公告称,公司全资子公司南京奥特佳新能源科技有限公司于3月3日与南京银行股份有限公司紫金支行签署了担保协议,为全资子公司南京奥特佳祥云冷机有限公司向该行申请1000万元贷款提供最高额..."
奥特佳:聘任朱光任公司财务总监 获英国伯明翰大学硕士学位 英国...,东方财富网,2月4日,"现任南京奥特佳新能源科技有限公司财务负责人。 2020年半年报显示,奥特佳的主营业务为机械制造,占营收比例为:100.0%。 奥特佳的董事长是张永明,男,49岁,中国国籍,管理学博士,中欧国际工商学院工商管理硕士。 奥特佳的总经理是丁涛,男..."
"精准助力企业,南京去年前11月减税降费超430亿元",新华日报,1月8日,"“国家的优惠政策为我们企业发展提供了动力。有了国家的保障,我们发展生产也更有信心。”南京奥特佳新能源科技有限公司法定代表人丁涛说道。 一系列减税降费政策不仅助力企业迈过了“资金坎”,也为企业自主研发奠定了基础,为企业创新发展注..."
【调研快报】奥特佳接待汇安基金等5家机构调研,东方财富网,2020年11月17日,"奥特佳具备完备的汽车热管理系统产能,实施两种主要产品的布局,可以实现产品间的取长补短,相互借鉴,在技术、市场上存在较强的协同效用,有助于公司进一步拓展市场。2.奥特佳新能源汽车热泵空调系统的出货情况及预期公司自2018年开始向蔚来..."
全球智慧出行大会GIMC 2020落幕!2021年我们再相聚,掌上卡车,2020年9月23日,安徽明天氢能科技、江苏可兰素环保科技、南京越博动力系统、南京奥特佳新能源科技、山东先河汽车转向器、江苏金湖输油泵、沈阳中大环新制冷技术、南京泓凯动力系统科技、特百佳动力科技、厦门新页科技、北京创四方电子、北京军腾智能科技、...
"新能源与智能网联汽车大PARTY,GIMC 2020金陵共话新机遇",第一电动网,2020年9月2日,零部件及其他关联公司参展企业有:苏州绿控、深圳百盛兴业、清华大学苏州汽车研究院、华为、阳光出行、越博动力、可兰素、南京奥特佳新能源科技、深南(无锡)车联网、昆山泓源链条、春风、常州市龙卓机电科技、联动云、南京莱斯、嘉善巨力轴承...
"特斯拉“带货”,热泵空调市场静待起飞?",全国能源信息平台,2020年5月3日,“目前，国内在售电动汽车的热泵空调装机率还不到5％，但我们预计两年后上市的车型40％以上都会配装该系统，5年后热泵系统的渗透率会达到90％以上，成为新能源汽车的标配。”奥特佳新能源科技股份有限公司总经理丁涛对记者表示，奥特佳...
