title,source,time,summary
今日新股申购:博众精工,腾讯网,4月27日,"博众精工科技股份有限公司 保荐人(主承销商):华泰联合证券有限责任公司 发行情况: 打开腾讯新闻,查看更多图片 > 公司简介: 截至2021年4月16日,乔岳投资有限公司直接持有博众精工36.02%的股份份,为公司的控股股东;实际控制人为吕绍林、程..."
博众精工:苹果公司是第一大客户,每日经济新闻,2019年7月8日,公司全称:博众精工科技股份有限公司 实控人:吕绍林、程彩霞(夫妻) 控股股东:乔岳投资有限公司 主营:自动化设备、自动化柔性生产线、自动化关键零部件以及工装夹(治)具等产品的研发、设计、生产、销售及技术服务。 所属行业:专用设备制...
"博众精工:抓住“智”造机遇,成就行业领袖",中国机器人网,2018年11月5日,"博众精工董事长吕绍林和另外两个合作人在街边租了200多平方米的门面房,购买了一台3500元的二手机床,走上创业路。由于长期在生产线上调试夹具,2006年,吕绍林看准自动化发展的契机,带领博众精工开始进军半自动化设备,但是,当时客户只相信..."
博众精工、聚辰股份、八亿时空、泽璟制药等四家公司IPO审核通过...,同花顺财经,2019年10月31日,"博众精工:面临现金流进一步恶化压力? 博众精工成立于2006年9月22日,是一家数字化工厂系统解决方案提供及服务商,目前的实际控制人为吕绍林和程彩霞夫妇,该公司客户有苹果公司、华为、格力、蔚来汽车、富士康、和硕联合、广达、纬创等,其中,苹..."
博众精工IPO竟是欠税惯犯 香港子公司成财务谜团漩涡,新浪财经,2020年12月28日,股东方面，博众精工的实控人吕绍林、程彩霞夫妇通过乔岳投资、苏州众一、苏州众二、苏州众六、苏州众之七、苏州众之八、苏州众十，间接控制博众精工合计91.00%的股份，存在实际控制人控制权集中的风险。博众精工在招股书中称，吕绍林与...
首家终止注册公司返场 博众精工二次闯关科创板,中国财富网,2020年8月25日,本次发行前，博众精工实际控制人为吕绍林、程彩霞夫妇，他们通过乔岳投资、苏州众一、苏州众二、苏州众六、苏州众之七、苏州众之八、苏州众十间接控制公司合计91%的股份。需要注意的是，此次系博众精工二次闯关科创板。去年4月，博众精...
博众精工:今年科创板过会第215家 华泰联合过22单,中国经济网,2020年12月31日,博众精工的实际控制人为吕绍林、程彩霞夫妇。截至招股说明书签署日，两人通过乔岳投资、苏州众一、苏州众二、苏州众六、苏州众之七、苏州众之八、苏州众十间接控制博众精工合计91.00%的股份。博众精工拟在上交所科创板公开发行新股不低于...
首家终止注册再闯关企业 博众精工二度冲刺科创板IPO,搜狐网,2020年8月26日,"苏州众三、苏州众六、苏州众之七、苏州众之八、苏州众十、吕绍林、程彩霞签署了《博众精工科技股份有限公司股东权利安排协议》,约定若截至2024年1月1日发行人未实现合格上市,招银成长贰号等8家机构股东有权要求苏州众二回购其所持股份..."
"博众精工科创板上市申请获受理,苹果、蔚来汽车、富士康都是它的客户",界面新闻,2019年4月2日,"4月初始,上海证券交易所继续公布科创板获得受理企业名单,博众精工科技股份有限公司(下称博众精工)跻身其中。 根据《招股说明书》,该公司此次拟募集资金共计11.03亿元,其中,拟投资5.6亿元扩产建设消费电子行业自动化设备,3.5亿元补充流动资..."
"申报期间曾被举报,通过审核半年后证监会终止发行注册程序",搜狐网,2020年4月27日,"博众精工科技股份有限公司 发行人名称 博众精工科技股份有限公司 成立日期 2006 年 9 月 22 日 注册资本 36,000 万元 法定代表人 吕绍林 注册地址 吴江经济技术开发区湖心西 路666 号"
