title,source,time,summary
公司动态│重庆长帆与合普新能源等签订锂电池包项目合作协议,搜狐网,2017年4月15日,"4月14日上午,重庆长帆新能源汽车有限公司、合普新能源科技有限公司与忠县人民政府,在合普新能源科技有限公司(上海)签订战略合作协议书,三方合资在忠县建设年产20万套电动汽车锂电池包生产项目。"
猛狮科技拟12.46亿元并购合普上海 拓展新能源产业链,公告解读,2017年10月19日,"中国证券网讯(记者 骆民)猛狮科技19日晚间公告,公司拟通过发行股份并支付现金的方式购买合普新能源持有的合普(上海)新能源充电设备有限公司95.85%股权。标的资产的交易价格暂定为人民币124,600万元,发行股份支付对价金额为74,760.00万元..."
ANSYS成功案例| 合普动力基于ANSYS仿真技术驱动新能源汽车电机...,搜狐网,2018年1月29日,"行业类型(新能源电机) 合普动力股份有限公司成立于2010年3月,是一家专注于提供环保节能、绿色动力系统的国家高新技术企业,坐落于广东肇庆国家高新区迎宾大道26号,占地80亩,建筑面积57,000平方米,可年产电动客车电机50,000台,电动汽车电机..."
广东猛狮新能源科技股份有限公司关于深圳证券交易所2018年年报...,搜狐网,2019年7月19日,"其中,合普(上海)新能源充电设备有限公司、苏州市京达环卫设备有限公司和北京汽车制造厂有限公司已陷入经营极度困难局面,经综合评估,公司认为该等公司还款能力存在极大不确定性,因此对其计提全额坏账准备。LEE SANGMIN为公司子公司福建新能源进..."
工信部&旺材新媒体&西莫电机论坛#强强联手 | 2018中国新能源汽车...,搜狐网,2018年1月30日,"新能源汽车电机驱动系统占到整车成本的近 25%,据此预计“十三五” 末我国新能源汽车电机驱动系统整体市场容量将达到 2500 亿元左右。 本次评选旨在推动我国新能源电机辅料生产企业重视技术革新、售后服务,同时促进新能源电机生产单位将质量、..."
猛狮科技拟12.46亿元并购新能源项目,中国证券网,2017年10月20日,"猛狮科技今日披露,公司拟通过发行股份和支付现金的方式,在公司所处的新能源产业链展开并购。 据预案,猛狮科技拟以12.46亿元的交易对价向合普新能源收购其持有的合普上海95.85%的股权。其中,以发行股份的方式支付60%对价,即猛狮科技拟..."
干货!重要公告速读,搜狐网,2018年1月10日,"猛狮科技公告,公司重大资产重组方案可能涉及调整,预计将构成方案重大调整,公司股票自1月10日起停牌。早前公告,公司拟发行股份及支付现金购买合普新能源公司所持有的合普(上海)新能源充电设备有限公司95.85%股权,并募集配套资金。"
【海目星·高工年会】2017动力电池行业大事记,搜狐网,2017年12月19日,"10月23日,猛狮科技公告称,拟购买合普新能源持有的Pack企业合普上海95.85%股权,交易价格暂定为12.46亿元,其中拟募资7.476亿元,占全部收购价款的60%。 衡远新能源获吉利15亿三元动力电池包订单 ..."
资讯丨2017动力电池行业大事记,搜狐网,2017年12月7日,"10月23日,猛狮科技公告称,拟购买合普新能源持有的Pack企业合普上海95.85%股权,交易价格暂定为12.46亿元,其中拟募资7.476亿元,占全部收购价款的60%。 衡远新能源获吉利15亿三元动力电池包订单 ..."
并购高烧不退:迄今为止锂电池行业并购案31起 涉及资金已超过320...,搜狐网,2017年10月27日,"10月20日,广东猛狮新能源科技股份有限公司发布公告,拟通过发行股份并支付现金的方式购买合普新能源持有的合普上海95.85%股权,交易价格暂定为人民币12.46亿元。依据《购买资产协议》,发行股份支付对价金额为7.476亿元,占全部收购价款的60..."
