title,source,time,summary
吉林电力股份有限公司公告(系列),证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2019年12月11日,"同意公司全资子公司一一吉林吉电新能源有限公司(以下简称“吉电新能源”)以整体吸收合并的方式合并公司另一家全资子公司一一潍坊景世乾控股有限公司(以下简称“潍坊景世乾”)的全部资产、负债和业务。吸收合并完成后,潍坊景世乾独立法人资格..."
吉林电力股份有限公司2019半年度报告摘要,搜狐网,2019年8月29日,"新能源板块同比大幅增利,得益于公司加强内部管理,强化市场营销,存量项目发电量大幅增加,盈利能力显著提升;同时2018年并购的上海成瑞风电及2019年投产的白城光伏领跑者等增量项目利润贡献较大。"
吉林电力股份有限公司2015年度股东大会决议公告,网易财经,2016年4月16日,"(八)《与中电投财务有限公司办理存款、贷款业务的议案》 表决情况:关联方吉林能源交通总公司(以下简称“能交总”)和国家电力投资集团公司(以下简称“国家电投”)回避了表决。 (1)能交总是国家电投的全资子公司,是公司的大股东;国家电..."
吉电股份增发20亿背后:中电投发力东北,和讯网,2009年6月17日,"金融危机肆虐下,中国电力投资集团(以下简称中电投)终于加大投资吉电股份(000875,股吧)(000875,SZ),并借机重整东北电力市场。 6月15日,吉电股份公告称,吉林省发改委批准吉林中电投新能源有限公司全面承接2大风电场项目的建设与运营 (即长..."
吉电股份:中电投高价收购 井喷突破,全景网,2007年1月18日,"目前为止,吉电股份是国内唯一一家没有通过资本市场融资而上市的公司,上市后也一直没有再融资。同时,吉电股份换股上市以来也没有获得溢价发行带来的资本增值。2005年7月,吉林省国资委与中电投集团签署《关于吉林省能源交通总公司产权转让..."
吉林电力股份有限公司2021年度第一期超短期融资券募集说明书(初稿),同花顺财经,1月22日,"“吉林热电” 吉林热电检修安装工程有限公司  “中电新能源” 吉林中电投新能源有限公司  “协合新能源” 吉林吉电协合新能源有限公司  “青海新能源” 青海中电投吉电新能源有限公司  “CDM” 即清洁发展机制,是《京都议定书》中引入..."
吉电股份新能源装机遍布18省市 预计一季度盈利2.4亿超去年全年,搜狐网,2020年4月16日,"吉电股份的新能源发电布局主要通过资产收购及投资设立等途径来实施。 Wind数据显示,2014年以来,公司相继收购江西中电投新能源发电有限公司、陕西定边清洁能源发电有限公司、陕西定边光能发电有限公司、甘肃中电投吉能新能源有限公司等近20家新能..."
吉林电力股份有限公司2019第一季度报告,搜狐网,2019年4月30日,"经中国证券监督管理委员会(以下简称“中国证监会”)《关于核准吉林电力股份有限公司非公开发行股票的批复》(证监许可[2016]1994号)核准,向国家电投集团吉林省能源交通总公司等不超过十名的特定对象非公开发行股票685,701,785股新股,发行价..."
内蒙古霍林河露天煤业股份有限公司第六届董事会第八次会议决议公告,搜狐网,2月26日,"此关联交易议案尚须获得股东大会的批准,与该项议案中交易事项存在关联关系的股东中电投蒙东能源集团有限责任公司和内蒙古霍林河煤业集团有限责任公司将放弃在股东大会上对该议案的投票权。 (二)公司 2021年度部分日常关联交易预计情况..."
国家电投集团远达环保股份有限公司2021第一季度报告,网易,4月24日,"3. 其他流动资产变动的主要原因系公司控股子公司国家电投集团远达环保工程有限公司向公司原全资孙公司盐城远中能源有限公司与盐城经济技术开发区抱日新能源有限公司提供的委托贷款,因公司于2021年3月31日转让远中能源与抱日新能源公司股权..."
