title,source,time,summary
"二季度会后,国家电网各单位这样贯彻落实",电网头条,4月20日,"国网上海电力董事长、党委书记 梁旭 国网上海电力将围绕贯彻“一体四翼”布局和上海城市空间新格局,立潮头、勇争先,争当“一体”的主力军、“四翼”的生力军。国网上海电力将全力打造“韧性电网”和“钻石型”配电网,拓展电能替代广度..."
国网上海市电力公司争当“一体”发展主力军 打造“四翼”协同生力军,中国电力网,前天09:13,"国家电网有限公司2021年第二季度工作会议暨“一体四翼”发展工作会议对“一体四翼”发展布局进行了细化部署,阐明了重要意义、目标思路和实施要求。国网上海市电力公司将勇立潮头、奋勇争先,围绕贯彻公司“一体四翼”发展布局,争当“一体”..."
【要闻】沈军书记调研国网上海市电力公司,上观新闻,3月2日,3月2日，市经济信息化工作党委书记沈军赴国网上海市电力公司，调研公司智慧党建中心、电力调度控制中心，听取公司党建和经营发展情况介绍。公司董事长、党委书记梁旭，总经理、党委副书记阮前途参加调研。沈军指出，国网上海市电力公司作为系统...
国网上海市电力公司董事长、党委书记 梁旭:立潮头 勇争先 展现新...,中国电力网,1月20日,"辛保安董事长的报告明确了“五个不动摇”的战略思维、“四个统筹好”的系统观念,“一业为主、四翼齐飞、全要素发力”的总体布局,让我们明确了奋斗方向,更加坚定了奋斗的决心和信心。 国网上海电力确立了“立潮头、勇争先”的奋斗方向..."
上海电力大学领导到国网上海市电力公司座谈交流,未来网高校,2020年12月17日,12月14日，上海电力大学党委书记李明福，党委副书记、校长李和兴赴国网上海市电力公司拜会了国网上海市电力公司董事长、党委书记梁旭，董事、总经理、党委副书记阮前途。李明福介绍了学校近期发展概况，表示学校在办学的历程中，始终坚持“...
国网上海电力董事长梁旭:以公司战略为统领 推动企业高质量发展...,澎湃新闻,2月28日,"国网上海市电力公司有能力、有责任成为落实公司战略的先行者、推动城市能源转型的示范者、服务城市人民高品质生活的引领者,在“十四五”新征程中展现新担当、实现新作为。 面临新形势,做到“五个深刻把握”..."
方红卫会见国网陕西省电力公司董事长、党委书记梁旭,汉中市人民政府,2020年8月19日,"8月18日上午,市委书记、市长方红卫会见国家电网陕西省电力公司董事长、党委书记梁旭一行,双方就深化企地合作、共同推进汉中电网建设等事宜进行深入交流。 副市长周景祥参加会见。(汉中日报)"
国家电网两省公司董事长、党委书记调整,搜狐网,2020年9月14日,"原任网陕西省电力公司董事长、党委书记梁旭,调任国网上海市电力公司董事长、党委书记;原任网湖北省电力公司董事兼总经理胡卫东,调任国网陕西省电力公司董事长、党委书记。 此前在6月份,原任国网上海市电力公司董事长、党委书记钱朝阳调任..."
国网陕西省电力公司董事长、党委书记 梁旭:提质增效出真招 专项...,中国电力网,2020年7月16日,"今年,国网陕西省电力公司认真贯彻国家电网有限公司决策部署,以建设“具有中国特色国际领先的能源互联网企业”战略目标为引领,全面开展提质增效工作,定目标、追过程、抓结果,全力确保稳健经营,助推战略蓝图变为生动实践。"
国网山东省电力公司董事长、党委书记 蒋斌:找准定位 把握机遇...,中国电力网,1月20日,"国网山东电力将深入贯彻落实会议精神,全面落实新发展要求,深刻把握现代化主题,坚定不移在具有中国特色国际领先的能源互联网企业建设中永创最好、走在前列,为全面建设社会主义现代化国家、全面开创新时代现代化强省建设新局面作出更大贡献。"
国网新疆电力有限公司董事长、党委书记 谢永胜:乘势而上开新局...,中国电力网,1月20日,"国网新疆电力立足新发展阶段,践行新发展理念,服务新发展格局,以服务新疆经济社会发展和推动能源转型发展为主线,加快建设具有中国特色国际领先的能源互联网企业。一是服务新发展格局,支撑经济社会高质量发展。深入实施“阳光业扩”,加快构建供..."
能源局、国网双双展开人事调整,搜狐网,1月10日,"据报,国家电网的人事调整集中在省级电力公司领导班子层面。国网上海市电力公司原董事长、党委书记钱朝阳调任南方电网党组成员、副总经理后,他留下的职位空缺由国网陕西省电力公司董事长、党委书记梁旭接替。"
"国家电网两省公司董事长、党委书记调整,一位的前任刚调任南网党组...",全国能源信息平台,2020年9月12日,国网陕西省电力公司官网“公司领导”栏目更新显示：原任国网陕西省电力公司董事长、党委书记梁旭，调任国网上海市电力公司董事长、党委书记；原任国网湖北省电力公司总经理、党委副书记胡卫东 ，调任国网陕西省电力公司董事长、党委书记。
张建明副主任出席第三届进博会电力保障誓师大会,潇湘晨报,2020年11月4日,11月2日，国网上海市电力公司召开第三届进博会供电保障誓师大会，市经信委副主任张建明、市电力公司董事长梁旭、市电力公司总经理阮前途、华东能监局副局长杨梦云出席并分别为服务保障、安全保障、支援保障、党员先锋4支进博保障突击队...
陆晓春书记调研进博会能源保障、电力保障和央企服务工作,潇湘晨报,2020年11月4日,11月2日，市经济信息化工作党委书记陆晓春赴进博会能源保障组前方指挥部、电力前线指挥中心和央企服务前方指挥部调研。国网上海市电力公司董事长、党委书记梁旭，市经济信息化委副主任戎之勤分别参加调研。 在能源保障组前方指挥部，陆晓春...
美、葡研究人员制造首个数字孪生电力变压器;全网首座数字孪生变...,腾讯网,2020年9月30日,"近日据国网上海市电力公司、国网陕西省电力公司官网“公司领导”栏目更新显示:原任网陕西省电力公司董事长、党委书记梁旭,调任国网上海市电力公司董事长、党委书记,至此空缺了三个月的国网上海市电力公司董事长、党委书记职位补齐;原任国..."
三大能源央企低调“换将”!,能源100,2020年9月15日,国家电网地方一把手调整 继中国华电集团之后，资产达4.1万亿的国家电网也于近期展开了人事调整。据国网上海市电力公司、国网陕西省电力公司官网“公司领导”栏目更新显示：国网陕西省电力公司原董事长、党委书记梁旭，调任国网上海市电力...
【09.14】全球最大沙漠集中式电站将并网;中广核&三一重能;金风&...,搜狐网,2020年9月14日,"上海市电力公司、国网陕西省电力公司官网“公司领导”栏目更新显示:原任国网陕西省电力公司董事长、党委书记梁旭,调任国网上海市电力公司董事长、党委书记;原任国网湖北省电力公司总经理、党委副书记胡卫东,调任国网陕西省电力公司董事长..."
南京路“第一盏灯”可扫码观摩,新民晚报,2020年9月13日,国网上海电力董事长、党委书记梁旭表示，国网上海电力将认真贯彻市委市府各项决策部署，将“点亮第一盏灯”的首创精神发扬光大，充分发挥电力在国内国际双循环的枢纽节点作用，全力建设具有中国特色国际领先的能源互联网企业的“全球城市支点”...
李明远李毅与国网陕西省电力公司董事长梁旭座谈,渭南市人民政府,2018年11月15日,"(记者张向辉)11月14日上午,市委书记李明远、市长李毅与国网陕西省电力公司董事长、党委书记梁旭一行座谈,双方围绕推动我市清洁供暖“煤改电”工作、有关重点项目建设以及新能源产业发展等深入交流。"
上海:要对充电桩进行全生命周期管理,搜狐网,1月26日,"市人大代表、国网上海电力公司董事长、党委书记梁旭透露,他们已经在和政府部门研究,提高新建商品房小区的供电标准。 “规划设计一定要体现前瞻性!”市人大代表秦钠建议,新建住宅配建停车位必须100%建设充电设施或预留建设安装条件,相关标准..."
"新能源汽车骤增,上海多个小区电力容量告急!人大代表有这些建议",腾讯网,1月24日,"市人大代表、国网上海电力公司董事长、党委书记梁旭透露,他们已经在和政府部门研究,提高新建商品房小区的供电标准。 “规划设计一定要体现前瞻性!”市人大代表秦钠建议,新建住宅配建停车位必须100%建设充电设施或预留建设安装条件,相关标准..."
梁旭滨:小小草原绽放“铿锵玫瑰”,中国网,1月10日,"在科左后旗这片土地上,说起梁旭滨,所有人的第一反应就是“了不得的女同志”。她曾是巴胡塔苏木党委副书记、苏木达现任党委书记。巴胡塔,蒙语意思是“小草原”,这里有17个嘎查村、53个自然村、5092户农牧民,这些数字深植在梁旭滨..."
今日能源看点:国家正式发布氢能“以奖代补”政策!电力央企一人已...,网易订阅,2020年9月21日,"电力公司、国网陕西省电力公司官网“公司领导”栏目更新显示: 原任国网陕西省电力公司董事长、党委书记梁旭,调任国网上海市电力公司董事长、党委书记; 原任国网湖北省电力公司总经理、党委副书记胡卫东 ,调任国网陕西省电力公司董事长、..."
