title,source,time,summary
参加我省与清华大学中国人民大学战略合作协议签约仪式,河南省人民政府门户网站,2020年9月10日,"当天上午,马富国、郭浩还一同拜访了国网新源控股有限公司董事长侯清国。马富国对该公司长期以来对鹤壁的关心支持表示感谢,希望双方持续深化合作,共同谋划建设更多清洁能源项目。侯清国表示,将一如既往地关注鹤壁、支持鹤壁,助力鹤壁建设高质量发..."
平顶山市委书记周斌带队到北京、上海部分企业考察交流,河南省人民政府门户网站,2020年8月24日,"国网新源控股有限公司是全球最大的调峰调频专业运营公司,主要负责开发建设及经营管理抽水蓄能电站和常规水电站。周斌一行来到国网新源控股有限公司,与该公司董事长侯清国会谈,就加快推进鲁山县花园沟抽水蓄能电站项目有关事宜深入交流,达成了广泛..."
两会人物|毛伟明、舒印彪、张新等电力领域的代表委员名单更新,世纪新能源网,2020年5月22日,国网湖北省电力有限公司董事长、党委书记肖黎春 国网湖南省电力有限公司董事长、党委书记孟庆强 国网新源控股有限公司董事长、党委书记侯清国 国网辽宁省电力公司董事长、党委书记石玉东 国网河南省电力有限公司董事长、党委书记王金行 国网黑...
两会即将开幕!能源电力领域代表委员约140人 部分代表委员职务变动,北极星太阳能光伏网,2020年5月20日,"国网湖南省电力有限公司董事长、党委书记孟庆强,国网新源控股有限公司董事长、党委书记侯清国,国网辽宁省电力有限公司董事长、党委书记石玉东,国网河南省电力有限公司董事长、党委书记王金行,国网黑龙江省电力有限公司董事长、党委书记李永莱..."
马富国参加我省与清华大学中国人民大学战略合作协议签约仪式,腾讯网,2020年9月10日,"当天上午,马富国、郭浩还一同拜访了国网新源控股有限公司董事长侯清国。马富国对该公司长期以来对鹤壁的关心支持表示感谢,希望双方持续深化合作,共同谋划建设更多清洁能源项目。侯清国表示,将一如既往地关注鹤壁、支持鹤壁,助力鹤壁建设高质量发..."
"揭秘国家电网二季度会,速看!",电网头条,4月16日,”国网新源控股有限公司董事长、党委书记侯清国说。绩溪抽水蓄能电站下水库。 唐祖怀 摄 会议提出，全力推进科技创新，提升科技自立自强水平。中国电力科学研究院有限公司董事长（院长）、党委书记赵鹏表示，中国电科院将设立专门的研究机构和...
市政府与国网新源控股公司、春江集团在京签署合作意向书 总投资...,新乡网新闻中心,3月14日,"省人大常委会原党组书记、副主任刘春良,省人大常委会原副主任李文慧,国网新源控股公司董事长、党委书记侯清国,市领导张国伟、王登喜、李跃勇、谢松民、祁文华、张文慧,市政府秘书长刘勇,春江集团党委书记裴春亮等出席签约仪式。"
"今年全国两会,国家电网21位代表委员有话说",电网头条,3月11日,全国政协委员、国家电网有限公司产业发展部主任奚国富认为，大力推进电气化可促进清洁能源利用，是加快能源清洁低碳转型、实现“碳达峰、碳中和”目标的重要手段。国家电网公司近日发布的“碳达峰、碳中和”行动方案提到，在能源消费侧，全面...
鹤壁市将与清华大学、中国人民大学开展这些战略合作,潇湘晨报,2020年9月10日,鹤壁市与中国人民大学重点在乡村振兴、智慧农业、人工智能等方面开展战略合作，共同推进高质量发展城市建设。当天上午，马富国、郭浩还一同拜访了国网新源控股有限公司董事长侯清国。马富国对该公司长期以来对鹤壁的关心支持表示感谢，希望双方...
全国人大代表侯清国: 科学规划装机规模 完善抽水蓄能电价机制,机经网,2020年6月1日,"全国人大代表,国网新源控股有限公司董事长、党委书记侯清国认为,要着眼于构建清洁低碳、安全高效的现代能源体系,科学规划装机规模,进一步完善抽水蓄能电价机制,推动抽水蓄能高质量发展。 (责编:tdx)..."
