title,source,time,summary
「新春走基层」春节不停工 工地过大年,金台资讯,2月17日,春节前夕，国网江西省电力有限公司董事长、党委书记曹世强来到1000千伏南昌变电站场平施工现场督导慰问，为参建人员打气鼓劲的声音仍掷地有声：“要为江西经济社会发展、为品牌而战。坚持‘一盘棋’思维，安全第一、提前谋划、科学组织，...
让青春之花在奋斗中绽放,中国发展网,2020年9月16日,来自各个部门的15位选手紧紧围绕主题，深入贯彻国网江西省电力有限公司党委书记、董事长曹世强在公司调研时的讲话精神，并结合自己的日常工作，以昂扬的精神、火热的激情、生动的语言，阐述了作为团员青年的所思、所想、所感，把演讲比赛...
国家电网公司“两会”报告引发热议!听听他们都说些啥,网易订阅,2020年1月12日,"国网江西省电力有限公司董事长、党委书记 曹世强 寇伟董事长的工作报告围绕服务党和国家工作大局,强调关键是要保持战略定力,奋力突破传统经营发展方式制约,奋力突破重点改革难题,全面推进“三型两网”世界一流能源互联网企业建设,激发自主创新..."
国家电网公司34个项目获全国大奖,网易订阅,2020年1月5日,供电企业基于全面实时感知监测的输电设备数据智能管理 申报单位:国网江西省电力有限公司新余供电分公司 主要创造人:曹世强、晏锋 参与创造人:熊志明、何群、赵新民、谢慕林、汤国锋、周菊根、阙建华、邓飞凤、陈翔雁、汪洋 ...
曹世强:以“六个注重”推动公司新时代发展战略落地落实,中国电力网,2018年11月15日,"国网江西省电力有限公司董事长、党委书记:曹世强 国家电网有限公司2018年第四季度工作会议提出,要围绕实施“一六八”新时代发展战略,做好“七个坚持不懈”,大力推进公司和电网高质量发展。国网江西电力深入贯彻落实会议精神,立足实际,明确..."
国网宜春供电公司配网自主施工 完工率再获全省第一,中国日报网,10天前,“姚所，多申请一点自主施工项目，市县公司做强做实基层供电所政策让我这种老电工更有了干事创业激情”。宋永刚满满的信心。在2020年1月召开的省公司四届一次职代会暨2020年工作会议上，曹世强董事长指出，供电所（中心）是公司最基本...
电力建管人员春节不停工 奋战南昌~长沙特高压交流工程,ZAKER资讯,2月17日,"春节前夕,国网江西省电力有限公司董事长、党委书记曹世强来到 1000 千伏南昌变电站场平施工现场督导慰问,要求 "" 要为江西经济社会发展、为品牌而战。坚持‘一盘棋’思维,安全第一、提前谋划、科学组织,坚决打赢这场攻坚战。""..."
全南昌市2021年电网工程集中开工活动举行,江西省人民政府,3月10日,"经济发展,电力先行。3月9日,全市2021年电网工程集中开工活动举行。省委常委、南昌市委书记吴晓军下达开工令。南昌市长万广明致辞。省电力公司董事长曹世强、总经理姚格平,南昌市领导郭毅、肖云出席。"
南昌市2021年电网工程集中开工仪式在南昌县举行,搜狐网,3月9日,"3月9日上午,南昌市2021年电网工程集中开工仪式在南昌县举行,江西省委常委、南昌市委书记吴晓军,南昌市政府市长万广明,江西省电力公司董事长曹世强,省电力公司总经理姚格平,南昌市委常委、市委秘书长郭毅,市委常委、副市长肖云,南昌县委书记、..."
江西省人民政府办公厅关于印发江西省洪涝灾害灾后重建和恢复生产...,江西省人民政府,2020年7月28日,"王培 中国铁路南昌局集团有限公司董事长 曹世强 国网江西省电力公司董事长 领导小组办公室设在省发展改革委,由张和平兼任办公室主任,省发展改革委副主任李志刚、省应急厅副厅长钟世富、省农业农村厅副厅长刘光华、省河长办专职副主任姚毅臣..."
[快讯]威胜信息:2020年6月中标合同情况公告威胜信息:2020年6月...,中国财经信息网,2020年6月30日,1.企业名称 中国南方电网有限责任公司 国网江西省电力有限公司 2.法定代表人 孟振平 曹世强 3.注册资本 6000000万人民币 1764713.532284万人民币 4.注册地址 广东省广州市萝岗区科学城科翔路 11号 江西省南昌市青山湖区湖滨东路666号 ...
"江西11位设区市市委书记,最近在忙这些事……",江西日报,2020年5月10日,4月25日上午，主持召开彰显省会担当唱响“南昌品牌”城市建管十大提升行动动员大会；会见国网江西省电力有限公司董事长、党委书记曹世强；下午，调研绳金塔、万寿宫历史文化街区。4月26日上午，陪同省委书记刘奇在南昌考察调研并看望防疫一线...
特别报道|国网宜春供电公司顺利完成供区调整,中国江西网,2019年9月3日,"9月3日零时,丰城、樟树、高安、奉新、靖安等五家县(市)公司电力调度指挥系统正式接入国网宜春供电公司地区调度指挥系统,标志着宜春供电营业区与宜春市行政区域已对应一致。供电区划的快速调整,是省公司党委为优化内外发展环境,履职担当的..."
宁都供电为“一村一品”保驾护航_周刊杂志_经济网_国家一类新闻网站,经济网,2019年8月16日,"“对于省电力公司来说,安全、生产、经营、服务,包括企业的稳定与发展,其根本落脚点都在县级供电企业,县级供电企业肩负着电网企业重要责任和使命的具体落实工作。”担任江西省电力有限公司董事、董事长、党委书记未满一年的曹世强认为,农电管理..."
新疆国际实业股份有限公司2018年度报告摘要,搜狐网,2019年4月16日,"5、中亚能源贸易外资有限责任公司:根据代表乌兹别克斯坦共和国作出的决定(卷宗号1001-1712/19523),因《中亚能源贸易》有限责任公司超过6个月未进行经营活动,故于2018年1月19日向塔什干区经济法院通报《中亚能源贸易》有限责任公司的清算工作..."
2019年智能电网建设投资规模将达150亿元较去年增加70%,电子发烧友,2019年2月11日,"国网江西省电力有限公司印发的2019年1号文《关于进一步加快电网建设的意见》透露,2019-2023年,年度电网建设投资规模较“十三五”前三年平均增加50%以上,特高压、主网、配网投资均大幅增长,江西电网步入以特高压入赣和各级电网大规模建设..."
史无前例!江西电网2019年投资规模较去年增加70%,中国江西网,2019年1月25日,"国网江西电力党委书记、董事长曹世强认为,从长远看,要保障江西省电力安全可靠供应,必须在“电力内引、电网外联”上下功夫,通过扩大跨区跨省电力交易规模,积极引进省外区外的优质低价电力;通过加快建设特高压电网,加快融入全国特高压输电网络..."
"年底前,国网27个省公司准备这么干——尹积军:发挥好“顶梁柱”作用",凤凰江苏,2018年10月22日,"曹世强 国网江西电力董事长、党委书记 国网江西电力将紧紧围绕国家电网公司“一六八”新时代发展战略部署,认真贯彻国家电网公司四季度会精神,凝心聚力、开拓创新,高质量做好改革发展各项工作,奋力推动公司和电网高质量发展。我们将在当前和今..."
