title,source,time,summary
国网雄县供电公司掀起“大学习 大讨论 大落实”活动热潮,河北新闻网,2019年12月20日,"“我们要按照王昕伟董事长提出的打造“八个高地”、 实现“五个走在前面”重要讲话精神,满怀信心地投入到服务新区建设中去。”12月13日,在国网雄县供电公司党委第12支部开展的集中学习会议上,该支部组织委员张振鹏正在和党员们交流自己的..."
速看!清华大学、华北电力、西安交大分别与国家电网共建研究院/...,搜狐网,2019年11月18日,"国网=养老?这位学长三年从专职升为部门班长,用三年战绩给你答案 今年,国家电网与多所电气名校共建研究院/学院,小编知道的有(按时间倒序): 清华大学-国家电网新一代电力系统联合研究院 国家电网有限公司-华北电力大学能源互联网学院 ..."
“国企公开课”中国人民大学报告会暨“国企骨干担任校外辅导员...,搜狐网,2019年5月10日,"国家电网有限公司总信息师、互联网部主任孙正运,副总工程师、人资部主任吕春泉,办公厅主任王昕伟,研究室主任张玮,党组党建部主任王彦亮,党组宣传部主任李凯,副总工程师兼国网北京市电力公司党委书记、董事长李同智,国务院国资委以及国网北京市..."
国家电网天津电力公司领导到高新区企业调研座谈,中记联网,2016年8月16日,"滨海高新网讯 8月11日上午,国家电网天津电力公司党委书记、副总经理王昕伟一行到高新区企业天津合纵电力设备有限公司、富通集团(天津)科技有限公司、卡梅隆佩斯中国集团、航天五院参观调研,并与高新区领导座谈。高新区管委会主任尹继辉、副主任聂..."
国家电网今日召开干部大会 或涉主要领导人事变动(组图),搜狐网,2016年5月6日,"2016年03月——,国家电网公司董事长、党组书记,全球能源互联网发展合作组织主席。 第九届全国人大代表(山东),第十届全国人大代表(山西),十二届全国政协委员会常务委员。 国家电网现任总经理为舒印彪,1958年7月出生,河北省涿州市义和庄..."
国家电网向清华捐资千万,清华大学新闻网,2011年4月22日,"4月21日下午在清华工字厅举行的捐赠仪式上,清华大学副校长程建平代表学校接过捐赠支票,并向国家电网公司党组成员、副总经理舒印彪颁发捐赠证书。国家电网公益基金会秘书长、国家电网公司外联部副主任王昕伟与清华大学教育基金会副理事长黄建华..."
"""国家电网杯""城市夜景摄影大赛启动 最高奖金设3万元",央视网经济频道,2010年5月14日,"本次大赛是在新华社和国家电网共同指导下,由新华网和国家电网上海市电力公司共同主办。新华网副总裁白林、国家电网对外联络部副主任王昕伟以及人民日报、新华社、中国新闻摄影学会、工人日报、《人民摄影报》、《摄影世界》等单位一批摄影专..."
目前我国电网水平分析,国际电力网,2009年10月30日,"“作为全球做大的公用事业企业,供电服务人口超过10亿,确保国家能源安全和能源资源的优化配置,提供安全、经济、清洁、可持续的电力供应是其使命。”国家电网公司对外联络部副主任王昕伟认为,把企业社会责任理念根植于基层和日常运营中,对推动..."
国网山东省电力公司董事长、党委书记 蒋斌:找准定位 把握机遇...,中国电力网,1月20日,"国网山东电力将深入贯彻落实会议精神,全面落实新发展要求,深刻把握现代化主题,坚定不移在具有中国特色国际领先的能源互联网企业建设中永创最好、走在前列,为全面建设社会主义现代化国家、全面开创新时代现代化强省建设新局面作出更大贡献。"
国网阜平供电公司:全面开展“百日攻坚”行动,河北新闻网,2020年11月24日,"2020年是国家电网公司战略目标落地的起始之年,全面开展“百日攻坚”行动,对突出履行政治责任、经济责任、社会责任更好的服务社会发展具有重要意义。为提高供电水平,提升服务质量,打好“百日攻坚战”。国网阜平县供电公司认真贯彻落实王昕伟董..."
"联系思想实际围绕目标任务结合干事创业,学出真理力量学出奋进动力...",网易订阅,2020年11月8日,"“公司党组的决策部署充分彰显了‘大国重器’‘顶梁柱’的政治自觉和责任担当。”国网河北电力董事长、党委书记王昕伟说,“国网河北电力将充分把握新发展阶段的特征,科学编制电网‘十四五’规划,以雄安电网建设为引领,为推动公司战略落地添..."
市政府与省电力公司签署战略合作协议,澎湃新闻,2020年8月18日,"签约前,钱三雄、董晓宇等与王昕伟、王罡一行进行了座谈。钱三雄指出,经济发展,电力先行。长期以来,国网河北省电力公司对邢台给予关心关照和大力支持,我代表市委、市政府和全市人民向你们表示感谢。前不久召开的市委九届八次全会提出了“一..."
雄安新区首座500千伏变电站开工建设 将全面采用北斗技术,人民雄安网,2020年7月30日,国网河北省电力公司董事长王昕伟介绍，雄东500千伏变电站是国内首座全面应用北斗系统施工作业的变电站，首次实现了独立避雷针与5G通信天线塔共享，也是省内首座500千伏绿色星级变电站。工程建成后将与500千伏易水站共同构成环绕新区西北部的500...
