title,source,time,summary
"代表委员谈丨大力促进新能源发展和消纳,将“绿水青山”变“金山...",搜狐网,2020年5月25日,"全国人大代表, 国网河南电力董事长、党委书记 王金行 今年,王金行带来了关于加快“十四五”外电入豫新通道规划建设,推动河南能源高质量发展的建议。 “十三五”以来,河南省通过推进外电入豫第二通道建设、化解煤炭过剩产能、深化开展电能..."
全国人大代表王金行:建议加快“十四五”外电入豫新通道规划建设,映象网,2020年5月24日,"新华财经北京5月22日电(记者雷文芝 江宇娟)全国人大代表、国网河南省电力公司董事长、党委书记王金行表示,针对河南省能源保障能力偏弱、结构偏煤、环境约束偏紧等问题,建议加快“十四五”外电入豫新通道规划建设,推动河南能源高质量发展..."
「两会声音」提升“十四五”外电入豫能力,中国能源报,2020年5月22日,但是与清洁低碳、安全高效现代能源体系建设要求相比，河南能源保障能力偏弱、结构偏煤、环境约束偏紧等问题尚未根本改变。”全国人大代表，国网河南省电力公司董事长、党委书记王金行介绍，其问题主要体现在四个方面：一是能源电力供应保障压力...
两会人物|毛伟明、舒印彪、张新等电力领域的代表委员名单更新,全国能源信息平台,2020年5月22日,国网湖北省电力有限公司董事长、党委书记肖黎春 国网湖南省电力有限公司董事长、党委书记孟庆强 国网新源控股有限公司董事长、党委书记侯清国 国网辽宁省电力公司董事长、党委书记石玉东 国网河南省电力有限公司董事长、党委书记王金行 国网...
能源电力领域两会代表委员约140人,中国电力新闻网,2020年5月21日,"国网湖南省电力有限公司董事长、党委书记孟庆强,国网新源控股有限公司董事长、党委书记侯清国,国网辽宁省电力有限公司董事长、党委书记石玉东,国网河南省电力公司董事长、党委书记王金行,国网黑龙江省电力有限公司董事长、党委书记李永莱,..."
国网正阳县供电公司迅速学习传达省公司“两会”精神,网易订阅,2020年1月19日,"1月19日,国网正阳县供电公司迅速召开专题会议,传达贯彻落实省公司第七届职工代表大会第六次会议暨2020年工作会议精神,公司领导班子成员、各部门负责人参加会议。会议由公司党委书记常健主持。"
国网河南电力公司正在加快推进坚强智能电网和泛在电力物联网融合...,电子发烧友,2020年1月12日,"2019年年初,国家电网有限公司党组以习近平新时代中国特色社会主义思想为指导,从更好贯彻落实“四个革命、一个合作”能源安全新战略的高度,作出加快建设“三型两网”世界一流能源互联网企业的战略部署。一年来,国网河南省电力有限公司聚焦..."
河南电力72支供电保障队伍为本届运动会“保驾护航”,大河网,2019年9月5日,"在誓师大会上,国网河南省电力公司董事长、党委书记王金行号召省电力公司广大干部员工以“掉几斤肉、扒一层皮”的斗志,以“坚守、坚韧、坚强”的钢铁意志,践行“万无一失”的誓言。"
四位电力央企领导将“戴帽”参加两会!今年电力领域两会代表委员都...,搜狐网,2019年3月5日,国网湖北省电力有限公司董事长、党委书记肖黎春 国网湖南省电力有限公司董事长、党委书记孟庆强 国网河南省电力公司董事长、党委书记侯清国 国网辽宁省电力公司董事长、党委书记石玉东 国网吉林省电力有限公司董事长、党委书记王金行 ...
约150人!能源电力领域两会代表委员都有谁?,中国电力报,2019年3月4日,"有限公司董事长、党委书记孟庆强,国网河南省电力公司董事长、党委书记侯清国,国网辽宁省电力公司董事长、党委书记石玉东,国网吉林省电力有限公司董事长、党委书记王金行,国网黑龙江省电力有限公司董事长、党委书记李永莱,国家电网管理学院..."
郑州市与国网河南省电力公司深化“十四五”合作 加快推进新能源...,潇湘晨报,3月22日,王金行表示，省电力公司将充分发挥自身优势，围绕郑州发展重点，积极推动电力供给侧结构性改革和消费侧电能替代，加快推进外电入郑和新能源系统建设，打造与郑州国家中心城市相匹配的现代化电网。随后，郑州市政府与国网河南省电力公司签署“...
护航春晚 电“靓”中原——国网河南省电力公司2020年央视春晚郑州...,映象网,2020年1月22日,“要将春晚保电作为一项重要政治任务，切实做到万无一失，彰显国家电网的良好作风和形象。”省电力公司董事长、党委书记王金行多次听取保电准备工作，并对保点工作提出最高工作要求。为了确保这个“万无一失”，省电力公司成立了由董事长...
全国人大代表王金行:下一步预计再为河南企业减免电费 26.52 亿,大河报网,2020年5月24日,"23日,全国人大代表、河南省电力公司董事长、党委书记王金行表示,河南累计为343万户企业减免电费16.24 亿,下一步,将落实政府报告提出的“降低工商业电价 5%政策延长到今年年底”目标,再为用户减免电费 26.52 亿元。 王金行认为,十三..."
电力支撑构建绿色低碳能源体系,东方财富网,10天前,"“加快新能源发展是实现‘碳达峰、碳中和’目标的关键举措,加快储能产业布局是实现新能源产业高质量发展的重要支撑。”省电力公司董事长、党委书记王金行说,将结合实际细化河南落地方案,制定“任务书”“路线图”,形成助力河南能源电力低碳..."
全国人大代表王金行:加快储能产业布局,中国电力网,3月11日,"全国人大代表,国网河南省电力公司党委书记、董事长王金行认为,在新能源加快发展的背景下,针对新能源缺乏自身调节能力、间歇波动性大的特点,必须加快储能设施建设,加快储能产业布局,以实现对新能源产业高质量发展的有力支撑。"
【两会】全国人大代表王金行:抢抓机遇促发展 服务大局惠民生,中国电力网,2020年5月21日,"我们一定要更加重视,确保工程按期顺利投运,让清洁能源尽快造福全省人民!”5月13日,在河南上蔡县蔡沟镇±800千伏青海—河南特高压直流工程豫南换流变电站施工现场的一间会议室里,全国人大代表、国网河南省电力公司董事长王金行与各参建..."
第十一届全国民族运动会供电保障誓师大会在河南省电力公司举行,新选择网,2019年9月5日,"国网河南省电力公司董事长、党委书记王金行在誓师大会上做动员讲话,他号召省电力公司广大干部员工发扬敢打硬仗、能打胜仗的优良传统,以“掉几斤肉、扒一层皮”的斗志,以“坚守、坚韧、坚强”的钢铁意志,践行“万无一失”的誓言,电“..."
不打折!真的不打折!,腾讯网,前天17:50,"“五一”假期期间,国网甘肃省电力公司为确保各项工作不断档,优质服务不打折,公司广大干部员工主动坚守在工作一线,担当作为,形成了一道别样的风景。 畅享指尖服务“到位” “这个(网上国网)APP居然有这么多功能,真是用电业务指尖办啊,你..."
"揭秘国家电网二季度会,速看!",电网头条,4月16日,公司对接政府部门的乡村振兴计划，优化农村电网规划，补齐农村供电服务短板。国网河南省电力公司董事长、党委书记王金行表示，国网河南电力将结合河南农业大省实际，制定服务全省的乡村振兴电网规划，加快农网建设步伐，启动10千伏网架提升行动...
关注|国家电网关注新能源+储能经济性,腾讯网,4月9日,"国网河南董事长王金行提出建议在国家层面出台政策,推动风电、光伏项目主动承担起提升调节能力成为合格电源的责任,配套建设10%~20%的储能设施。并建议出台与储能成本挂钩的财政税收补贴政策。"
国家电网公司系统全国两会代表委员畅谈“十四五”发展开新局,澎湃新闻,3月15日,"全国人大代表、国网河南电力党委书记、董事长王金行提出加快长治—南阳第二回特高压交流线路建设,加快外电入豫新通道规划建设,加快储能布局等建议。全国人大代表、国网辽宁电力党委书记、董事长石玉东提出推进能源消费侧电气化,助力实现“碳..."
