title,source,time,summary
投资约4亿元!重庆今年将实施农村电网巩固提升工程,腾讯网,4月27日,"华龙网-新重庆客户端4月27日10时30分讯(记者 刘艳)今(27)日,国网重庆市电力公司2021年履责行动新闻发布会举行。国网重庆市电力公司董事长、党委书记陈连凯介绍,今年国网重庆电力将投资约4亿元实施农村电网巩固提升工程。 陈连凯说,今..."
国网重庆电力发布2021年六大履责行动,国际电力网,8天前,"国网重庆市电力公司董事长、党委书记陈连凯作为主发布人,在重庆市新闻发布中心发布履责行动。据悉,2020年,国网重庆市电力公司落地完成“服务成渝双城经济圈、助力重庆高质量发展”履责行动,加大电网投资力度,拉动经济增长,全力保障生产、生活..."
推进川渝电网一体化发展 国网重庆电力服务成渝地区双城经济圈建设,腾讯网,4月27日,"华龙网-新重庆客户端4月27日9时36分讯(记者 刘艳)今(27)日,国网重庆市电力公司2021年履责行动新闻发布会举行。国网重庆市电力公司董事长、党委书记陈连凯介绍,今年国网重庆市电力公司将推进川渝电网一体化发展,加快电动汽车充换电设施..."
"二季度会后,国家电网各单位这样贯彻落实",电网头条,4月20日,"公司第二季度工作会议全面明晰了“一体四翼”发展布局是什么、干什么、怎么干等重大问题,充分体现了公司贯彻中央部署的政治担当,展现了做强做优做大的信心决心,为深入推进战略实施、实现高质量发展提供了行动指南。 国网河北电力将坚持规划..."
重庆加快构建以新能源为主体的新型电力系统,潇湘晨报,10天前,"272个乡村供电所充电桩年内实现全覆盖 国网重庆市电力公司董事长、党委书记陈连凯介绍,今年我市将持续推进碳减排,加快构建清洁低碳、安全高效能源体系。在铁路、城市轨道交通、汽车运输领域以电代油,提高交通电气化水平可减少石油消费,调整..."
国网重庆市电力公司董事长、党委书记 陈连凯:全员攻坚提质增效...,中国电力网,2020年7月23日,"重庆地处我国西部,城乡二元结构突出。长期以来,国网重庆市电力公司在电网发展质量、优质服务水平和管理创新能力等方面与先进省电力公司相比存在较大差距。受疫情冲击、电价下调等多种减利因素影响,国网重庆电力经营形势严峻。这就需要树立危..."
干货满满!国网重庆电力今年20项举措助力重庆高质量发展,腾讯网,4月27日,"4月27日上午,“助力重庆高质量发展 点亮人民高品质生活” ——国网重庆市电力公司2021年履责行动新闻发布会在市政府新闻发布中心举行。 国网重庆市电力公司董事长、党委书记陈连凯在会上发布了2021年国网重庆市电力公司“助力重庆高质量..."
涪陵区与国网重庆市电力公司签署战略合作协议,上游新闻,2020年12月25日,"巴渝传媒网讯(记者 文雯)12月24日,涪陵区人民政府与国网重庆市电力公司签署战略合作协议,共同推进涪陵电力基础设施建设,不断提升供电服务品质,共建涪陵电力保障新格局。 涪陵区委书记周少政、国网重庆市电力公司董事长陈连凯出席签约仪式并..."
国网重庆市电力公司董事长陈连凯到红池坝镇调研,上游新闻,2020年5月21日,"王仕杰对国网重庆市电力公司长期以来真情帮扶红池坝镇表示由衷地感谢,期待双方进一步深化合作,共谋发展。 陈连凯表示:为社会经济发展提供坚强电力保障是电力公司的首要政治任务,公司将不断加大农村电网改造升级力度,持续提升贫困地区供电可靠性和..."
唐小平姜国杰会见国网重庆市电力公司董事长、党委书记陈连凯,上游新闻,2020年5月26日,"本网讯(记者张德勇)5月26日上午,区委书记唐小平,区委副书记、区长姜国杰会见了国网重庆市电力公司董事长、党委书记陈连凯一行,双方就进一步加大在铜投资力度,加强农村薄弱电网改造、优化骨干电网结构、精准服务企业、助力脱贫攻坚,推动地方..."
国网天津市电力公司副总经理、党委常委郭向军:服务碳达峰、碳中和...,中国电力网,4月1日,"双方明确落实碳达峰、碳中和目标,推广天津智慧能源小镇建设经验,启动滨海能源互联网综合示范区建设及津门湖城市综合充电服务中心建设,全力打造能源革命先锋城市。 天津滨海供电公司坚决贯彻落实公司碳达峰、碳中和行动方案,抢抓战略合作有利..."
国网重庆电力发布2021年六大履责行动“点亮”山城人民高品质生活,法制现场,4月27日,"4月27日上午,国网重庆电力在重庆市人民政府新闻办公室举办新闻发布会。国网重庆市电力公司董事长、党委书记陈连凯在会上发布了2021年国网重庆市电力公司“助力重庆高质量发展 点亮人民高品质生活”六大行动,共二十项举措。 行动一:加大电..."
国网重庆电力:提升线损管理水平 助力企业提质增效,上游新闻,4月1日,"国网重庆电力2020年同期线损指标在公司系统排第5名。其中,设备专业线损指标在公司系统排第3名。"
“三零”服务 “渝快”办电!国网重庆电力多举措持续优化用电营商...,腾讯网,3月24日,"——国网重庆电力多举措持续优化用电营商环境 3月15日,国网重庆市电力公司董事长、党委书记陈连凯做客新华网,就“优化营商环境、助力成渝地区双城经济圈建设”等热点和网友关注话题接受专访。"
新加坡能源集团与国网重庆综合能源服务有限公司合作,中国水网,3月22日,"国网重庆市电力公司董事长陈连凯先生说:“国网重庆综合能源服务有限公司是国网重庆市电力公司推动国家电网有限公司‘建设具有中国特色国际领先的能源互联网企业’战略落地的重要平台,致力于服务重庆地区节能减排、绿色发展和人民美好生活。新加坡..."
"国网重庆电力携手华为,推动电网行业智能化、数字化转型",上游新闻,2020年11月20日,国网重庆市电力公司董事长、党委书记陈连凯提出，国网重庆电力利用数字技术为电网赋能，推动数据资源优势转变为竞争优势。华为公司是拥有核心技术的新型数字基础设施的优秀供应商，双方在云计算、大数据、人工智能等领域有着良好合作基础。陈连...
两江新区与国网重庆电力签署战略合作协议 提高配电网建设标准和...,全国能源信息平台,2020年5月31日,希望双方以此为契机，持续加强智能电网建设、电网改造提升、新基建等重点领域合作。两江新区将一如既往为企业提供全方位服务，努力营造良好发展环境。国网重庆市电力公司党委书记、董事长陈连凯表示，两江新区作为我国内陆地区首个国家级开发开放...
"国网重庆电力推出20项举措 助力发展""电""亮生活",人民网重庆视窗,4月27日,"发布会上,国家电网重庆市电力公司董事长、党委书记陈连凯介绍,这六大行动包括当好高质量发展推动者,服务成渝地区双城经济圈建设;当好低碳生活倡导者,服务碳达峰、碳中和目标;当好共享发展引领者,服务新型城镇化建设和乡村振兴;当好新发展理念..."
刷脸办、一证办!重庆办电提速,光明网,4月27日,重庆市政府新闻发布会【刷脸办、一证办！重庆办电提速】今（27）日，重庆市政府新闻办举办国网重庆市电力公司2021年履责行动新闻发布会，会上，国网重庆市电力公司董事长、党委书记陈连凯介绍，国网重庆市电力公司持续优化营商环境，...
重庆:构建川渝特高压一体化电网工程 加快推进成渝电网互联互通,新华网客户端,3月25日,"国网重庆市电力公司董事长、党委书记陈连凯表示:“预计‘十四五’期间川渝断面输电能力将达到1100万千瓦,进一步推动西南电力资源融入全国电力资源配置大平台,加快推动川渝特高压电网一体化和疆电入渝特高压直流工程纳入国家规划并尽早建设实施,..."
