title,source,time,summary
内蒙古创源金属有限公司3×330MW自备电厂(更新资讯.14)#820,搜狐网,2019年6月28日,中节能定州环保能源有限公司生活 垃圾发电 一期项目(更新资讯. 7 ) 所属地区:河北 进展阶段:设计 建设周期:2019-2019年 项目广东华厦阳西电厂二期工程(更内蒙古创源金属有限公司3×330MW 自备电厂 (更新资讯.1 4 ) 所属地区:内蒙古...
今日头条丨华能、华电、大唐、国家能源集团等高层人事变动频频,腾讯网,2019年4月27日,"2016年05月,任中国建筑工程总公司董事、总经理、党组副书记。 2019年3月,任华润(集团)有限公司董事、总经理。 6、胡绳木辞任大唐新能源总经理职务 刘光明获委任 2019年3月1日,大唐新能源发布《更换总经理董事调任建议更换非执行董事及..."
"业绩会实录|大唐新能源(01798):19年资本开支75亿,并预留20亿空间",深圳智通财经,2019年4月1日,"3月29日,大唐新能源(01798)召开2018年业绩发布会,总经理刘光明在会上表示,2018年弃风限电的有效缓解,促进了公司发电量的持续提升,所属黑龙江、吉林、甘肃、安徽、云南、山东以及上海等区域的发电量涨幅均高于同区域平均水平。"
大唐新能源(01798):19年融资水平会明显下降 负债率不超过80%就好,东方财富网,2019年3月29日,"3月29日,大唐新能源(01798)召开2018年业绩发布会,总经理刘光明在会上表示,2018年弃风限电的有效缓解,促进了公司发电量的持续提升,所属黑龙江、吉林、甘肃、安徽、云南、山东以及上海等区域的发电量涨幅均高于同区域平均水平。公司净资产..."
大唐新能源(01798)年度股东应占净利润增长66.18%至12.09亿元 每股...,深圳智通财经,2019年3月27日,"智通财经APP讯,大唐新能源(01798)公布2018年度业绩,该公司收入83.19亿元人民币,同比增长17.11%;该公司拥有人应占净利润12.09亿元,同比增长66.18%;每股收益0.1503元,末期股息每股0.02元。"
"电力央企不断“刷新”人事版图,电改深入下齐谋新发展",网易订阅,2019年3月22日,"2019年3月1日,大唐新能源发布《更换总经理董事调任建议更换非执行董事及建议更换监事》的公告。公告称,因工作调整,胡绳木辞任总经理职务,同时公司决定委任刘光明为总经理,任期自2019年3月1日起为期三年。"
胡绳木辞任大唐新能源总经理,中国电力网,2019年3月14日,"中国电力网讯 日前,大唐新能源发布更换总经理董事调任建议更换非执行董事及建议更换监事的公告,因工作调整,胡绳木辞任总经理职务,自2019年3月1日起生效。公司决定委任刘光明为总经理,任期自2019年3月1日起为期三年。"
刘光明获任大唐新能源(01798)总经理,金融界,2019年3月1日,"智通财经APP讯,大唐新能源(01798)发布公告,因工作调整,胡绳木辞任总经理的职务,自2019年3月1日起生效。董事会已决议委任刘光明为总经理,任期自2019年3月1日起为期3年。 此外,胡绳木由执行董事调任为非执行董事,刘光明由非执行董事调任..."
大唐新能源(01798.HK):胡绳木辞任总经理 刘光明继任,金融界,2019年3月1日,"格隆汇3月1日丨大唐新能源(01798.HK)宣布,因工作调整,胡绳木辞任公司总经理职务,自2019年3月1日起生效,同时董事会已决议委任刘光明为公司总经理,任期自2019年3月1日起为期三年。 因工作调整,胡绳木由公司执行董事调任为公司非执行董事..."
大唐新能源赤峰公司:“电网友好”风电场,金融界,2018年8月31日,据大唐新能源赤峰公司党委书记刘相锐介绍，由于塞罕坝风电场地处偏远、环境恶劣，很多区域没有移动信号，常规对讲机不能满足安全生产需要。为解决这一问题，赤峰公司与华为公司联手针对风电场制定专项技术方案，建设了覆盖塞罕坝风电场近1000...
"【基层特稿】国家电投广东公司:御风而行,激情飞扬的徐闻风电",搜狐网,2018年8月15日,"中国大唐集团有限公司赤峰公司党委书记刘相锐告诉中国经济导报记者,赤峰分公司一直致力于建设“美丽中国”能源生态链,大力发展风力发电,合理利用风资源,现平均每年能够节约标煤超过100万吨,减排二氧化碳、二氧化硫量近300万吨,推动了人与自然的..."
大唐赤峰公司首季度超额完成发电任务 累计减少碳排放1984万吨,中国新闻网,2018年8月12日,"中新网北京8月12日电 (杨佳欣)记者从中国大唐集团有限公司赤峰分公司获悉,大唐赤峰分公司继去年刷新全年发电量、月度发电量、单日发电量最高记录后,2018年首季度超额完成发电任务,同比增发2.8亿千瓦时。"
【深度报道】大唐新能源公司:文化引领发展,搜狐网,2017年12月6日,"大唐新能源公司:文化引领发展 从风电“零”的突破,到850万千瓦装机规模,从赤峰一隅到遍布21个省(区)、150多个项目,从名不经传赤峰塞罕坝风电公司到专业化的上市公司,世界最大风电场建成、国内首个海上风电项目投产、区域单体最大项..."
【周报】一周电力项目汇总(10.23-10.27),搜狐网,2017年10月30日,"日前,中国电建集团贵州工程有限公司新能源市场开拓传来喜讯,成功中标签订华能赤峰克什克腾旗书声风电场二期50兆瓦风电项目合同。本项目位于内蒙古赤峰克什克腾旗市克什克腾旗书生乡境内,当地海拔高度为900 ~1100米,最大风速达21米/秒,规划建..."
华银电力:中信建投证券股份有限公司关于大唐华银电力股份有限公司...,搜狐网,2017年4月7日,中信建投证券股份有限公司 关于 大唐华银电力股份有限公司 发行股份购买资产并募集配套资金暨关联交易 之 2016 年度持续督导工作报告书 暨持续督导总结报告 独立财务顾问 二〇一七年三月 1 声明和承诺 中信建投证券股份有限公司(以下简称“...
“国电科环赤峰大于营风电场实现连续安全运行2000余天”等行业资讯,搜狐网,2017年3月13日,"国电科环赤峰风电大于营风电场实现连续安全运行2000余天 截至3月8日,国电科环赤峰风电大于营风电场实现连续安全运行2000余天,创投产以来安全生产又一“千天”新纪录,实现了零事故的安全生产目标。"
大唐新能源将于12月5日举行股东大会审议董事会监事会换届议案,东方财富网,2016年10月19日,"大唐新能源(01798)公告称,将于12月5日举行2016年第一次临时股东大会,以审议及批准下列事宜,关于董事会换届的决议案,审议王野平、刘光明、梁永磐、刘宝君为非执行董事;审议张春雷、胡国栋为执行董事;审议刘朝安、卢敏霖、余顺坤为独立非执行..."
全国最大在役风电场大唐赛罕坝风电场投产,国务院国有资产监督管理委员会,2006年12月11日,"11月15日,随着大唐(赤峰)新能源有限公司投资建设的赛罕坝风电场四期工程首批风电机组并网发电,大唐赛罕坝风电场装机容量达到17万千瓦,成为全国最大的在役风电场。 11月30日,大唐(赤峰)新能源有限公司赤峰风电项目投产发电庆典仪式在大唐..."
"【基层特稿】国家电投广东公司:御风而行,激情飞扬的徐闻风电",搜狐网,2018年8月15日,"中国大唐集团有限公司赤峰公司党委书记刘相锐告诉中国经济导报记者,赤峰分公司一直致力于建设“美丽中国”能源生态链,大力发展风力发电,合理利用风资源,现平均每年能够节约标煤超过100万吨,减排二氧化碳、二氧化硫量近300万吨,推动了人与自然的..."
大唐赤峰公司首季度超额完成发电任务 累计减少碳排放1984万吨,中国新闻网,2018年8月12日,"中新网北京8月12日电 (杨佳欣)记者从中国大唐集团有限公司赤峰分公司获悉,大唐赤峰分公司继去年刷新全年发电量、月度发电量、单日发电量最高记录后,2018年首季度超额完成发电任务,同比增发2.8亿千瓦时。"
【深度报道】大唐新能源公司:文化引领发展,搜狐网,2017年12月6日,"大唐新能源公司:文化引领发展 从风电“零”的突破,到850万千瓦装机规模,从赤峰一隅到遍布21个省(区)、150多个项目,从名不经传赤峰塞罕坝风电公司到专业化的上市公司,世界最大风电场建成、国内首个海上风电项目投产、区域单体最大项..."
【周报】一周电力项目汇总(10.23-10.27),搜狐网,2017年10月30日,"日前,中国电建集团贵州工程有限公司新能源市场开拓传来喜讯,成功中标签订华能赤峰克什克腾旗书声风电场二期50兆瓦风电项目合同。本项目位于内蒙古赤峰克什克腾旗市克什克腾旗书生乡境内,当地海拔高度为900 ~1100米,最大风速达21米/秒,规划建..."
华银电力:中信建投证券股份有限公司关于大唐华银电力股份有限公司...,搜狐网,2017年4月7日,中信建投证券股份有限公司 关于 大唐华银电力股份有限公司 发行股份购买资产并募集配套资金暨关联交易 之 2016 年度持续督导工作报告书 暨持续督导总结报告 独立财务顾问 二〇一七年三月 1 声明和承诺 中信建投证券股份有限公司(以下简称“...
“国电科环赤峰大于营风电场实现连续安全运行2000余天”等行业资讯,搜狐网,2017年3月13日,"国电科环赤峰风电大于营风电场实现连续安全运行2000余天 截至3月8日,国电科环赤峰风电大于营风电场实现连续安全运行2000余天,创投产以来安全生产又一“千天”新纪录,实现了零事故的安全生产目标。"
大唐新能源将于12月5日举行股东大会审议董事会监事会换届议案,东方财富网,2016年10月19日,"大唐新能源(01798)公告称,将于12月5日举行2016年第一次临时股东大会,以审议及批准下列事宜,关于董事会换届的决议案,审议王野平、刘光明、梁永磐、刘宝君为非执行董事;审议张春雷、胡国栋为执行董事;审议刘朝安、卢敏霖、余顺坤为独立非执行..."
全国最大在役风电场大唐赛罕坝风电场投产,国务院国有资产监督管理委员会,2006年12月11日,"11月15日,随着大唐(赤峰)新能源有限公司投资建设的赛罕坝风电场四期工程首批风电机组并网发电,大唐赛罕坝风电场装机容量达到17万千瓦,成为全国最大的在役风电场。 11月30日,大唐(赤峰)新能源有限公司赤峰风电项目投产发电庆典仪式在大唐..."
