title,source,time,summary
董事长李立忠:奇瑞新能源“蚂蚁精神”是什么?,汽车有智慧,2020年9月23日,深耕新能源汽车市场20余年的奇瑞新能源，立业之初便秉持着蚂蚁精神，团结奋进，砥砺前行。奇瑞新能源汽车股份有限公司董事长李立忠认为，蚂蚁的到来，让奇瑞新能源“协同合作、举重若轻 坚韧不拔、别有洞天、高效前行 高效沟通”的蚂蚁精神...
奇瑞新能源高层:蚂蚁月销过千辆是基本目标,汽车头条,2020年9月24日,9月22日晚，蚂蚁上市结束后，奇瑞新能源汽车股份有限公司董事长李立忠在接受汽车头条App采访时再度重申：“把蚂蚁家族做大，我们是认真的。”近期，奇瑞新能源发布新架构、上市新车型，接连完成大动作。22日当晚上市的蚂蚁，一是引来全国...
"蚂蚁家族壮大,奇瑞新能源要上演“蚂蚁撼大树”",车透社autoos,2020年9月23日,此外，新车的仿生车身安全设计与三电安全技术也显现技术奇瑞的硬核实力。奇瑞新能源汽车股份有限公司董事长李立忠表示，蚂蚁的到来，意味着奇瑞新能源第一个真正意义上的家族概念的诞生。蚂蚁家族的壮大或将助力奇瑞新能源品牌的蓬勃发展。销量...
终身质保!续航510km的高能纯电SUV奇瑞蚂蚁来了!,一和一,2020年9月23日,发布会上，奇瑞新能源汽车股份有限公司董事长李立忠、副总经理倪绍勇、副总经理郑天保等人发表讲话，就奇瑞新能源蚂蚁进行了全方位的介绍。@LIFE平台，轻量车身 此次全新上市的蚂蚁，基于全新@LIFE平台打造，具备轻量化全铝车身。得益于LIFE...
续航510公里 奇瑞蚂蚁上市 14.98万元起售,易车网,2020年9月22日,"在此次的上市活动中,分别由奇瑞新能源汽车股份有限公司 董事长 李立忠;奇瑞新能源汽车股份有限公司 副总经理、奇瑞新能源汽车工程研究院 院长 倪绍勇;奇瑞新能源汽车股份有限公司 副总经理、奇瑞新能源汽车销售有限公司 总经理 郑天保;奇瑞新..."
"奇瑞新能源推“车电包”,意向完成10000辆车合作",新京报,2020年3月8日,据悉，在产业逐步复工复产之际，奇瑞汽车股份有限公司执行副总经理、奇瑞新能源汽车股份有限公司董事长李立忠与国网电动汽车服务有限公司共同签订“车电包”合作协议，将有助于拉动新能源汽车的消费，提升用户充电服务。新京报记者了解到，“车...
奇瑞新能源携手国网电动 开创车电包与车辆销售一体化运作新模式,车讯网,2020年3月5日,签约仪式上，奇瑞汽车股份公司执行副总经理、奇瑞新能源汽车股份有限公司董事长李立忠与国网电动汽车服务有限公司共同签订了“车电包”的合作协议，意向完成10000辆车的“车电包”业务合作。有力拉动新能源车辆销售，提升用户充电服务，共同...
奇瑞新能源携国网电动开创一体化新模式,58汽车,2020年3月5日,"签约仪式上,奇瑞汽车股份公司执行副总经理、奇瑞新能源汽车股份有限公司董事长李立忠与国网电动汽车服务有限公司共同签订了“车电包”的合作协议,意向完成10000辆车的“车电包”业务合作。有力拉动新能源车辆销售,提升用户充电服务,共同开创..."
"奇瑞新能源高立新:大潮退去,“棉袄”何犹在?",侃车e族,2019年8月28日,"在新能源补贴大幅退坡后,奇瑞新能源瑞虎 e与艾瑞泽 e仍然保持着令人惊喜的亲民价格,并拥有如此强劲的产品力,可见奇瑞新能源的满满诚意。进步不止步,奇瑞汽车股份有限公司执行副总经理,奇瑞新能源汽车股份有限公司董事长李立忠也向我们表示,..."
奇瑞新能源二十年的发展之路,国际在线,2019年8月28日,"奇瑞新能源汽车股份有限公司副总经理 汽车工程研究院院长 倪邵勇   奇瑞新能源从1999年开始尝试探索汽车新能源领域,到今年已经走过了20年,这20年也是国家在新能源发展领域息息相关的20年。李立忠说到:“中国是全球最大的新能源市场..."
