title,source,time,summary
宁夏嘉泽新能源股份有限公司,网易,8天前,"经审核,监事会认为董事会编制和审议宁夏嘉泽新能源股份有限公司2021年第一季度报告的程序符合法律、行政法规及规范性文件的规定,报告内容真实、准确、完整的反映了上市公司的实际情况,不存在任何虚假记载、误导性陈述或者重大遗漏。"
[快讯]嘉泽新能:宁夏嘉泽新能源股份有限公司离职高级管理人员集中...,中财网,前天17:20,"截至2021年5月6日,宁夏嘉泽新能源股份有限公司(以下简 称“公司”或“本公司”)离职财务总监安振民先生(2020年1月4 日离职)共计持有本公司A股股份230万股,占公司总股本207,410 万股(截至2020年末)的0.11%,所持股份为首次公开发..."
宁夏嘉泽新能源股份有限公司2020第三季度报告,网易,2020年10月31日,公司名称:宁夏嘉泽新能源股份有限公司 法定代表人:陈波 日期:2020年10月30日 证券代码:601619 证券简称:嘉泽新能 公告编号:2020-088 债券代码:113039 债券简称:嘉泽转债 宁夏嘉泽新能源股份有限公司 ...
嘉泽新能源董事长陈波一行到访金风科技,网易订阅,2020年7月26日,"2020年7月20日,宁夏嘉泽新能源股份有限公司(下称“嘉泽新能源”)董事长陈波、总经理赵继伟等一行莅临新疆金风科技股份有限公司(下称“金风科技”)深入交流。金风科技董事长武钢、金风科技副总裁王进、天源科创总经理魏伟、金风慧能总经..."
世界中华孝道联谊总会特使叶传铭会见宁夏首富陈波,数字财报,2020年9月21日,"2017年宁夏嘉泽新能源股份有限公司在上海证券交易所上市,打破了宁夏自2003年以来无新增主板上市公司的局面。2017年11月,福布斯官方网站公布了中国400富豪榜单,宁夏嘉泽新能源股份有限公司董事长陈波家族以77.5亿元的财富进入榜单,成宁夏首富..."
宁夏嘉泽新能源股份有限公司二届七次董事会决议公告,东方财富网,2019年8月30日,"本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏,并对其内容的真实性、准确性和完整性承担个别及连带责任。 一、董事会会议召开情况 宁夏嘉泽新能源股份有限公司(以下简称“公司”或“本公司”或“嘉泽新..."
宁夏嘉泽新能源股份有限公司关于公司实际控制人所持部分股份质押...,搜狐网,2019年4月10日,"2019年4月9日,宁夏嘉泽新能源股份有限公司(以下简称“公司”或“本公司”)收到公司实际控制人陈波先生关于将其直接持有的公司部分股份进行质押的通知。现将具体情况公告如下: 一、股份质押的具体情况 ..."
宁夏嘉泽新能源股份有限公司关于股东完成权益变动的公告,搜狐网,2018年11月3日,宁夏嘉泽新能源股份有限公司(以下简称“公司”或“本公司”或“嘉泽新能”或“上市公司”)于2018年9月15日披露了《宁夏嘉泽新能源股份有限公司关于股东权益变动的提示性公告》(公告编号:2018-073)。本次权益变动系因公司持股5%以上股东...
...新能:国浩律师(北京)事务所关于《宁夏嘉泽新能源股份有限公司...,中财网,2018年9月14日,"收购人陈波及其一致行动人编制的《宁夏嘉泽新能源股份有限公司收购报告书》 所涉及的相关事项出具本法律意见书。为出具本法律意见书之目的,本所审阅了本次收购的有关文件,并对收购人 陈波及其一致行动人宁夏隆林合伙企业(有限合伙)、宁夏..."
关于宁夏嘉泽新能源股份有限公司2018年度持续督导现场检查报告,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2019年1月23日,"根据《上海证券交易所上市公司持续督导工作指引》要求,海通证券股份有限公司(以下简称“海通证券”)作为宁夏嘉泽新能源股份有限公司(下称“公司”、“嘉泽新能”)首次公开发行股票并上市的保荐机构,于2019年1月15日至2019 年1月16日,对..."
宁夏嘉泽新能源股份有限公司首次公开发行股票发行公告,搜狐网,2017年7月8日,"宁夏嘉泽新能源股份有限公司(以下简称“嘉泽新能”、“发行人”或“公司”)根据中国证券监督管理委员会(以下简称“中国证监会”)《证券发行与承销管理办法》(证监会令第121号,以下简称“《管理办法》”)、《首次公开发行股票并上市管理办法..."
宁夏嘉泽新能源股份有限公司2018半年度报告摘要,搜狐网,2018年8月11日,宁夏嘉泽新能源股份有限公司(以下简称“公司”或“本公司”或“嘉泽新能”)一届二十三次董事会于2018年8月9日以现场和通讯表决相结合的方式召开。公司于2018年7月30日以电子邮件等方式向董事、监事、高管发出董事会会议通知;本次会议...
宁夏嘉泽新能源股份有限公司股票交易异常波动公告,搜狐网,2018年6月20日,"宁夏嘉泽新能源股份有限公司(以下简称""公司"")股票交易连续三个交易日内(2018年6月14日、6月15日、6月19日)日收盘价格跌幅偏离值累计达到20%,根据《上海证券交易所交易规则》的有关规定,属于股票交易异常波动情形。"
宁夏嘉泽新能源股票将于7月20日正式在上交所上市,搜狐网,2017年7月19日,"宁夏嘉泽新能源股份有限公司于19日凌晨首次公开发行A股股票上市公告书,公告显示公司股票将于2017年7月20日在上海证券交易所正式上市。 公开资料显示,宁夏嘉泽主营业务为新能源电力的开发、投资、建设、经营和管理,目前主要从事集中式风力、..."
"焦点丨陈波跻身福布斯富豪榜,坐拥77.5亿成宁夏首富!",搜狐网,2017年11月21日,"11月16日,福布斯官方网站公布了中国400富豪榜单,宁夏嘉泽新能源股份有限公司董事长陈波家族以77.5亿元的财富进入榜单,并列第344名。 嘉泽是一家扎根宁夏贫困县区的新能源企业,2010年于吴忠市红寺堡区成立,现已形成风力、太阳能发电,智能..."
嘉泽新能实际控制人陈波质押53.68万股 用于补充质押,挖贝网,2020年5月3日,据挖贝网了解，宁夏嘉泽新能源股份有限公司实际控制人陈波向华西证券股份有限公司质押53.68万股占公司总股本的0.03%，质押期限为2020年4月29日-2020年8月9日。据挖贝网资料显示，夏嘉泽新能源股份有限公司主要从事新能源电力的开发、...
宁夏嘉泽新能源股份有限公司公告(系列),搜狐网,2018年9月13日,"2018年3月28日,公司与33名交易对方签署了附条件生效的《宁夏嘉泽新能源股份有限公司(作为股份发行方、资产购买方)与中盛光电能源股份有限公司之全体股东(作为股份认购方、资产出售方)关于宁夏嘉泽新能源股份有限公司重大资产重组之发行股份及..."
嘉泽新能股东陈波质押21万股 用于补充质押,金融界,2020年4月3日,挖贝网 4月3日消息，宁夏嘉泽新能源股份有限公司（证券代码：601619）股东陈波向华西证券股份有限公司质押股份21万股，用于补充质押。本次质押股份21万股，占其所持公司股份的0.79%。质押期限为2020年4月2日至2020年8月9日。截至本...
