title,source,time,summary
宁德新能源科技副董事长左允文:本土企业要参与全球竞争,中国青年网,2016年3月31日,"宁德新能源科技有限公司副董事长左允文在座谈会上发言。 邹家骅摄 2016年福建企业家活动日系列报道之十一 人民网福州3月31日电 (詹托荣、李章亮、蒋巍念、邹家骅)随着中国的日益强大,越来越多的中国本土企业成为经济全球化的参与者。"
关注疫情 | 宁德新能源科技有限公司(ATL) 捐赠600万元抗击新型...,搜狐网,2020年2月3日,"宁德新能源科技有限公司以及其工会本次捐赠600万元,其中500万元用于武汉市的疫情防控工作,另外的100万元则用于宁德市的疫情防控相关工作。 宁德新能源科技有限公司 总经理 左允文:我们宁德新能源科技有限公司从决定来宁德的那天起,我们企业就..."
「代表委员风采」左允文:关注企业高质量发展,东南网,1月19日,多年来，左允文致力于企业高质量发展，提出“以国际、国内市场为导向，建设与研发同步”的策略，始终把研发放在首位，每年为此投入营业额的50%以上。宁德新能源科技有限公司在ICT电子领域市场占有率连续8年世界第一，在世界竞争格局中始终...
好风凭借力 发展正当时 ——宁德市民营企业抢抓机遇乘势而上,中新网福建,2018年12月23日,"宁德新能源科技有限公司副董事长左允文说,习总书记提到的6个方面政策举措,说到民营企业家的心坎里,大家听了很振奋,这是民营经济发展的新机遇; 闽东力捷迅药业有限公司总经理林东说,习总书记的重要讲话让我们吃下了定心丸,为民营企业发展..."
莆田:三棵树涂料公司基础研究为企业腾飞插上翅膀,莆田东南网,2015年6月21日,"”公司副董事长左允文说。在各级科技部门和企业自身的推动下,如今,新能源公司的科技人才队伍无论是学历,还是人数,都在逐步提升,仅海外归来的硕士以上高级人才就达40多名。 实验室着力于先进材料的研发,为高品质电池的生产提供了强劲动力..."
"疫情冲击之下,这里缘何实现稳定增长?",人民网,2020年4月10日,"面对疫情大考,宁德市一手抓疫情防控,一手抓复工复产,通过龙头企业带动,全产业链企业复工复产加速推进。 宁德新能源科技公司主要生产消费类锂离子电池,是苹果、华为等锂电池的主要供应商。“现在订单稳定,已达满产状态。”总经理左允文说,..."
人大政协频道--法制网,法制网,2020年3月17日,"仅一周左右时间,宁德市各级人大代表捐款达67多万元,捐赠口罩22多万个,及一批手套、防护服、消毒液、消毒剂、洗手液、羽绒服、雨衣、食品等各类物品。其中,省人大代表、宁德新能源科技有限公司总经理左允文所在的宁德时代新能源科技股份有限..."
福建省优秀企业家表彰大会举行 98名企业家受表彰,晋江新闻网,2016年8月4日,尤维德 福建三都澳食品有限公司董事长 卞志航 福建福日电子股份有限公司董事长 左允文 宁德新能源科技有限公司副董事长(主持工作) 叶远航 中国人民财产保险股份有限公司福州市分公司总经理 曲夑遵 青岛啤酒(福州)有限公司总经理 朱晖 福建...
"新春伊始,蕉城表扬一批突出贡献企业和企业家!附名单",搜狐网,2月19日,蕉城区2020年度纳税贡献奖先进企业 1.宁德新能源科技有限公司 2.宁德时代新能源科技股份有限公司 3.福建新榕房地产开发有限公司 4.福建中融房地产集团有限公司 5.宁德金升工艺商贸博览城开发建设有限责任公司 ...
​汇友杯三周年|新能源名人赛完美收杆​!,搜狐网,2020年9月22日,"新能源高尔夫球队简介 新能源球队是国内首支高尔夫球运动球队 Amperex Golf Club,其成员来自宁德新能源科技有限公司ATL及宁德时代新能源科技股份有限公司CATL,拥有广泛的锂电池及汽车动力锂电池技术及经营管理人员背景。球队旨在为队员们提供强身..."
"爱心企业捐款60万元,慰问宁德援鄂医疗队员",蕉城区融媒体中心,2020年4月15日,4月14日上午，宁德新能源科技有限公司向蕉城区慈善总会捐赠善款60万元，用于慰问援助湖北的宁德60名医务工作者。区人大常委会主任何邦恒，市民政局局长杨良辉，副区长陈良生，新能源科技有限公司总经理、区慈善总会荣誉会长左允文，区慈善总会...
"疫情冲击之下,这里缘何实现稳定增长?——福建宁德复工复产走访见闻",新华社,2020年4月9日,面对疫情大考，宁德市一手抓疫情防控，一手抓复工复产，通过龙头企业带动，全产业链企业复工复产加速推进。宁德新能源科技公司主要生产消费类锂离子电池，是苹果、华为等锂电池的主要供应商。“现在订单稳定，已达满产状态。”总经理左允文说...
终于等到你!湖北的家人们!,蕉城区融媒体中心,2020年3月30日,”总指挥左允文先生向员工表示，疫情发生后，新能源科技有限公司每天都在关心关注湖北籍员工的情况，在还无法返岗时，心系他们的安全，为湖北籍员工邮寄了口罩等防疫物资，并安排防控小组每天与湖北籍员工沟通联系，宽慰他们的心情；现在，...
"福建宁德企业积极捐赠款物抗疫:病毒无情,宁德有爱",中国新闻网,2020年2月3日,中新网宁德2月3日电 (吕巧琴 林榕生)“今年发生新型冠状病毒感染的肺炎疫情，我们除了做好公司几万人的防疫工作之外，也希望能够(为疫情防控)尽一些绵薄之力。”宁德新能源科技有限公司总经理左允文3日在福建宁德市对中新网记者说道。
记住乡愁 福建宁德老街亮相央视讲述千年积淀,中国西藏网,2019年3月27日,"2008年,在外打拼、事业有成的老街人左允文回到家乡,和几个宁德同乡一起创办了一家新能源企业。他们从零起步,艰苦创业,如今企业生产的锂离子电池和动力电池销量达到世界第一。八山一水半分田的偏远小城宁德,在世界的舞台上展现着今日的..."
"剧透来了!今晚8点,宁德这条老街将亮相央视大型纪录片《记住乡愁》",腾讯网,2019年5月3日,"2008,在外打拼的左允文回到老街,和同乡创办了一家新能源企业。面对行业间的激烈竞争,左允文带领科技团队每日每夜奋斗在生产一线,经过十年努力,培育出两个世界级企业,生产的锂电池出货量居世界第一。"
"纵然鹏程万里,终须始于足下",网易订阅,2019年3月15日,"左允文回到家乡 和几个宁德同乡一起 创办了一家新能源企业 他们从零起步,艰苦创业 如今企业生产的锂离子电池 销量达到世界第一 老街走出了贫困 在世界的舞台上 展现着今日的风采 当鹏鸟翱翔于天地 ..."
"本周五晚八点,CCTV-4向全球推介宁德老街!",搜狐网,2019年3月12日,"2008,在外打拼的左允文回到老街,和同乡创办了一家新能源企业。面对行业间的激烈竞争,左允文带领科技团队每日每夜奋斗在生产一线,经过十年努力,培育出两个世界级企业,生产的锂电池出货量居世界第一。"
宁德评出首批特支人才和乡土人才 有你认识的?,搜狐网,2019年1月17日,林振传福建品品香茶业有限公司 吴景华福建荣耀健身器材有限公司 方 秀福建闽威实业股份有限公司 施秋铃福建闽东电机股份有限公司 企业高级经营管理人才(19人) 左允文宁德新能源科技有限公司 黄世霖宁德时代新能源科技股份有限公司 ...
“闽东法院大讲坛”第四讲!省人大代表左允文带你了...,澎湃新闻,2018年12月5日,"左允文 福建省第十三届人大代表,福建省优秀企业家,宁德新能源科技有限公司董事、总经理,于2004年加入新能源科技有限公司(香港)集团,作为创业团队主要成员,主要负责聚合物锂离子电池的技术、制造、管理等方面的关键工作。尤其是在2008年,他..."
