title,source,time,summary
全国人大代表姜卫东:减税春风吹进门 民营企业暖意浓,搜狐网,2020年1月27日,"中国山东网-感知山东1月22日讯近日,国家税务总局日照市税务局来到山东五征集团,走访全国人大代表、五征集团董事长姜卫东,通过“面对面”“点对点”交谈,送政策、优服务、问需求、保落实,深入了解企业经营发展情况,探讨减税降费政策对企业发..."
五征召开员工互助基金会第二届会员代表会,搜狐网,2019年8月13日,"会议审议、通过了《五征集团员工互助基金会章程》和《五征集团员工互助基金管理办法》,并经与会代表以无记名投票方式选举产生了第二届理事会理事、理事长、副理事长以及财经委员会委员。 会议选举姜卫东、周勇、郑庆泽、古小龙、刘昌盛、胡..."
"将修配厂打造成机械巨头,这位中国农机大王,他一年收入超200亿",搜狐网,2019年8月7日,"之后数年,公司陆续进入载货汽车、农业装备、环卫装备等领域。从11年开始,五征更是进入全面升级、向国际化迈进的阶段,姜卫东也一跃成为中国的农机大王。 根据2018年中国民营企业500强榜单显示,五征集团的营收达到了213.73亿元,实力强悍。"
"入职第一课,他们这样上!",搜狐网,2019年7月15日,"他介绍,半个多世纪以来,五征集团积极响应国家改革开放、转机建制、转方式调结构、新旧动能转换等重大战略,通过不断开发新产品、加强人才引进、升级制造装备、提高管理水平等手段,形成农用车、汽车、农业装备、环卫装备和现代农业协调发展的多..."
菏泽5人荣获“山东省非公有制经济人士优秀中国特色社会主义事业...,搜狐网,2019年7月12日,姜卫东 山东五征集团有限公司党委书记、董事长 宫学斌 龙大食品集团有限公司党委书记、董事长 袁会先 绿叶制药集团执行董事 袁绍飞 山东融达创业投资发展股份有限公司董事长 聂爱华 济南市市政工程设计研究院有限责任公司副总经理 ...
山东表彰非公经济人士优秀中国特色社会主义事业建设者 德州7人,齐鲁网,2019年7月12日,姜卫东 山东五征集团有限公司党委书记、董事长 宫学斌 龙大食品集团有限公司党委书记、董事长 袁会先 绿叶制药集团执行董事 袁绍飞 山东融达创业投资发展股份有限公司董事长 聂爱华 济南市市政工程设计研究院有限责任公司副总经理 贾雷声 山东...
丁杰等146人荣获“山东省非公有制经济人士优秀中国特色社会主义...,齐鲁网,2019年7月12日,姜卫东 山东五征集团有限公司党委书记、董事长 宫学斌 龙大食品集团有限公司党委书记、董事长 袁会先 绿叶制药集团执行董事 袁绍飞 山东融达创业投资发展股份有限公司董事长 聂爱华 济南市市政工程设计研究院有限责任公司副总经理 ...
聚焦| 蓝牌轻卡:拿什么来抵挡“路权的诱惑”,搜狐网,2019年6月4日,"事实上,关于蓝牌轻卡的问题,此前已有不少企业建言。在今年全国两会期间,五征集团董事长姜卫东再次聚焦载货车进城问题,并递交《关于破除载货汽车进城吨位限值壁垒为社会创造更好的营商环境的建议》。"
一刀切还是顺民意?姜卫东的建议被刷屏,卡车之家,2019年5月29日,"全国人大代表、五征集团董事长姜卫东在今年人代会期间提出的《关于破除载货汽车进城吨位限值壁垒为社会创造更好的营商环境的建议》再一次被翻出,经由中国卡车网、中工网、润鼎商用车道等媒体推出的报道,在朋友圈获得大量的点赞与转发。"
是一刀切还是顺民意?姜卫东代表的建议又一次被刷屏,搜狐网,2019年5月29日,"近日,全国人大代表、五征集团董事长姜卫东在今年人代会期间提出的《关于破除载货汽车进城吨位限值壁垒为社会创造更好的营商环境的建议》再一次被翻出,经由中国卡车网、中工网、润鼎商用车道等媒体推出的报道,在朋友圈获得大量的点赞与转..."
