title,source,time,summary
第十六届山东财经风云榜揭晓,大众数字报,2019年3月26日,山东红瑞健康产业有限公司总经理刘建勇、“形成循环经济特色板块的新旧动能转换示范引领区”的山东鲁北企业集团总公司董事长吕天宝、“产品远销‘一带一路’50多个国家和地区”的山东力诺瑞特新能源有限公司董事长朱林军、“致力于生物质能源...
第十六届山东财经风云榜颁奖盛典举行,经济导报,2019年5月27日,"股份有限公司董事长万连步,银丰地产集团总裁赵培勇,鲁北企业集团董事长吕天宝,青岛汇君环境能源工程有限公司总经理邢帆,山东力诺瑞特新能源有限公司董事长朱林军,山东世纪开元电子商务集团有限公司董事长兼总裁郭志强,胜通能源股份有限公司董事长兼..."
2020首届中国家居质量发展大会在京召开,中国质量新闻网,1月12日,"山东力诺瑞特新能源有限公司董事长 朱林军 力诺瑞特高质量发展的措施主要有以下4点: 1.对内提升装备水平:通过装备技术改造、智能化建设、质量检测设备及能力提升,提升人均劳效,并能降低质量风险; ..."
太阳能与多种热泵耦合智能冷热联供的系统研究及应用项目启动会召开,搜狐网,2020年1月8日,"国家光热联盟讯:2020年1月7日上午,上海交通大学代彦军教授应邀参加山东力诺瑞特新能源有限公司(简称力诺瑞特)组织召开的《太阳能与多种热泵耦合智能冷热联供的系统研究及应用》项目启动会。该项目响应国家乡村振兴和山东省乡村振兴战略,研究农..."
聚焦| 大力开展商会工作 着眼满足企业需求,搜狐网,2019年12月19日,马德亮 山东省港口集团有限公司副总经理 王锋 山东玲珑轮胎股份有限公司董事长 王德文 青岛金诺国际会展有限公司董事长 包有增 阿曼中国批发城董事长 朱林军 山东力诺瑞特新能源有限公司董事长
樊建华| 跨季节蓄热技术现状与展望,搜狐网,2019年8月12日,太阳雨集团有限公司总裁 陈荣华 山东力诺瑞特新能源有限公司董事长 朱林军 烟台欧森纳地源空调有限公司副总经理 杨进忠 上海港旺新材料有限公司总经理 赵长虎 德州金亨新能源有限公司董事长 韩荣涛 ...
新闻|中国建筑金属机构协会清洁供热分会在京成立,搜狐网,2019年7月6日,太阳雨集团有限公司总裁 陈荣华 山东力诺瑞特新能源有限公司董事长 朱林军 烟台欧森纳地源空调有限公司副总经理 杨进忠 上海港旺新材料有限公司总经理 赵长虎 德州金亨新能源有限公司董事长 韩荣涛 ...
"传统产业新蓝海,“互联网+”露峥嵘,鲁企“新生力量”蕴蓄新动能",经济导报,2019年5月27日,"酒店管理五大板块多元化发展的银丰地产集团总裁赵培勇;由“中国制造”转向“中国创造”,率先打造出业内首个集太阳能平板集热器与空气源热泵主机制造于一体的智慧工厂,成为新旧动能转换重点示范项目的山东力诺瑞特新能源有限公司董事长朱林军等..."
行业动态|莫忘初心 奋勇前行——济南市绿色建筑协会选举产生第二...,搜狐网,2018年10月24日,宫强 同圆设计集团有限公司 副总裁 副会长: 薛一冰 山东建筑大学节能建筑研究所 所长 付安元 济南市建设工程勘察设计质量监督站 站长 蒋从文 济南融创置业有限公司 执行总经理 朱林军 山东力诺瑞特新能源有限公司 总经理 ...
不负重托 奋楫争先,济南市政府网,2018年6月19日,"“总书记这次来济南考察时指出,大力培育创新优势企业,塑造更多依靠创新驱动、更多发挥先发优势的引领型发展。”6月14日,得知总书记又一次来济南考察,山东力诺瑞特新能源有限公司总经理朱林军激动地说。"
