title,source,time,summary
民营能源巨头大海新能源重整,搜狐网,2018年11月27日,"大海集团位列2018年中国企业500强第217位、中国民营企业500强第63位。今年5月,大海集团试图资产重组遇到障碍。5月4日南风股份公告称,终止收购大海新能源99%股权。 法院查明:山东大海集团公司于1997年设立,股东为纪志刚、孙玉辉、刘福海、..."
大海集团被授予 “全国新能源产业创新示范基地”荣誉称号,北极星太阳能光伏网,2017年6月22日,"北极星太阳能光伏网讯:近日,国家发改委宏观经济研究院研究员、主任姜鑫民,中促会新能源发展委员会秘书长于锦红一行莅临集团公司走访调研,并为“全国新能源产业创新示范基地”的集团公司进行揭牌。集团公司董事长刘福海出席揭牌仪式,并上台接..."
山东大海集团有限公司2017年公开发行公司债券(第一期)募集说明书...,网易财经,2017年4月5日,"法定代表人:刘福海 设立日期:1997年09月17日 注册资本:23,500万元人民币 住所:东营市广饶县稻庄镇闫口村 邮编:257336 所属行业:制造业-电气机械和器材制造业 社会统一信用代码:9137052316496261XA ..."
担保绊倒“民企500强” 山东大海集团破产重组,中国经营网,2018年11月28日,"11月26日,东营市中级人民法院根据债务人申请,依法裁定受理山东大海集团有限公司破产重整申请,大海集团进入破产重整程序。法院查明,山东大海集团公司于1997年设立,股东为纪志刚、孙玉辉、刘福海、孙美香。山东大海集团公司提交的财务资料显示,截至..."
500强民营能源巨头山东大海集团申请破产重整|企业信用管理,搜狐网,2018年11月27日,"法院查明:山东大海集团有限公司于1997年设立,股东为纪志刚、孙玉辉、刘福海、孙美香。山东大海集团公司提交的财务资料显示:截至2018年10月底,其公司资产总额为508879.83万元,负债总额为532261.15万元,资产负债率105%。"
"山东民企10强陨落:东营大海集团进入破产重整程序,2017年收入 652...",搜狐网,2018年11月27日,"记者获悉,11月26日,东营市中级人民法院根据债务人申请,依法裁定受理山东大海集团有限公司破产重整申请,山东大海集团有限公司进入破产重整程序。 而刚在2018年7月20日,大海集团党委书记、董事长刘福海还出席山东省工商联十三届二次常委会议。"
山东大海集团 西宁钢源集团签署光伏战略合作签约仪式,国际能源网,2017年11月28日,"在2017年11月26日,北京钓鱼台,国研斯坦福500强班授课期间,500强班学员山东大海集团董事长刘福海,七期二班学员西宁钢源集团董事长陈琳,正式签署了一份《光伏战略合作》的项目书。代表着国研斯坦福班级学员的又一次成功合作。"
大海集团及董事长吃警示函 年报未完整披露关联方关系,同花顺财经,2019年11月20日,"中国网财经11月20日讯 据证监会网站消息,山东证监局发布关于对山东大海集团有限公司(简称“大海集团”)及董事长和实际控制人刘福海采取出具警示函措施的决定。 经查,大海集团未在相关债券募集说明书和《山东大海集团有限公司公司债券2016年..."
"落榜的山东富豪,抛弃他们的不是资本,而是这个时代",新浪财经,2019年11月29日,1988年初，刘福海接手濒临倒闭的镇办再生胶厂。随着企业效益的大幅提升，原来的小厂已经逐步发展为山东大海集团，是一个集纺织、化工、铝粉、新能源、房地产开发、进出口贸易为一体的跨行业、跨地区、跨国际的综合型大型企业集团。2009年...
改革开放30年山东民营经济最具影响力人物推荐名单,大众数字报,2008年12月8日,"11刘福海,男, 54岁,中共党员、高级工程师,山东大海集团董事长。企业注册资金1.35亿元,资产总额30亿元,2007年销售收入 55亿元,纳税7016万元。集团业务涉及纺织、化工、房地产、进出口贸易等。先后担任东营市人大代表、东营市工商联副主席..."
