title,source,time,summary
山东部分地炼企业遭寒冬 天宏新能源遇困重组,人民网,2015年2月11日,"据北京瀚森博润驻山东办事处的翟姓负责人介绍,山东天宏新能源化工有限公司在当地花旗、中行、建行等多家银行都有巨额贷款,总数额高达三、四十亿元。 至于银行抽贷的原因,负责此次重组协调的博兴县人大常委副主任耿雨河告诉记者,其原因复杂..."
中国长城资产管理股份有限公司山东省分公司债务催收公告,大众数字报,2019年8月6日,山东省农业生产资料有限责任公司持有的国农租赁有限公司股权质押、山东省天元纤维有限公司、山东泰山阳光集团有限公司 山东华兴金属物流有限公司、博兴县中小企业融资担保中心、山东天宏新能源化工有限公司、孙宪华、孙景荣 ...
深度剖析中国“第五桶油”—山东炼化能源有限公司!,搜狐网,2017年10月12日,"不仅如此,这两年来,山东地炼也确实被大型资本加速收编,仅去年底以来,就有高青宏远石化有限公司、山东石大科技石化有限公司、山东博兴天宏新能源化工有限公司、东营联合石化有限公司4家,被地方国企或全国炼化龙头企业收购。"
博兴八民企预警百亿危局 天宏新能源破产重整藏危机,鲁网,2016年7月11日,"同时,天宏新能源及其关联方山东大新化工有限公司财务危机爆发时,仅银行贷款就高达 80亿元!天宏新能源实际控制人徐志刚应当承担法律责任,而本次重组意在使徐志刚摆脱法律责任。 那么,山东科瑞等 8家企业的反对有无道理?天宏新能源、恒宇化工..."
博兴:地炼企业陷集体恐慌 天宏新能源破产难重组,山东频道,2015年9月6日,"位于山东省博兴县经济开发区主干道口的山东天宏新能源化工有限公司(下称“天宏新能源”)偌大的厂区早已人去楼空。天宏新能源油品车间的一名老员工表示,前几年,炼化产能过剩问题开始显现,公司开工率很低,一年停产几十次很正常。"
"唏嘘!滨州曾经的标杆企业,如今被职工堵门要债……",搜狐网,2018年9月11日,有限公司、滨州市博兴县永丰小额贷款有限公司、山东华兴钢构有限公司、博兴县惠丰小额贷款有限公司共8家企业均为山东天宏新能源化工有限公司的债权人;博兴县惠丰小额贷款有限公司、山东天宏石化销售有限公司2家企业为山东恒宇化工有限公司的债权...
“中海外”重组石大科技 山东地炼成并购“香饽饽”,搜狐网,2017年2月24日,"此外,有消息称,已破产多年的山东天宏新能源的重组也将有结果,有望被“中字头”企业合并。 而随着董事长叶简明一份内部会议演讲稿的曝光,国内最大民营能源企业之一的中国华信能源有限公司(下称“中国华信”),与山东地炼的战略合作计划..."
山东能源7000万不当得利悬疑:受损民企已入破产境地,齐鲁网,2016年11月24日,"鲁网财经11月24日讯 (本网记者)如果没有这笔备受争议的7000万元汇款,山东天宏新能源化工有限公司或许不会走到破产重组的地步。由于卷入另外两家国企的三角关系,处于破产境地的天宏新能源依然有7000万元躺在别人的账上。"
中国建设银行股份有限公司淄博分行公司类不良贷款催收公告,鲁中网,2018年7月27日,"山东天宏新能源化工有限公司、山东恒宇化工有限公司、徐志刚、田秀娟  1,586,739,215.57  117  张店支行  淄博索普经贸有限公司  淄博建鑫金属制品有限公司、刘全吉、宋玉芝、刘军、肖晓菊  4,999,952.54  118  张店支行  山东中创..."
原来那个打官司赢小三的富商是他!背景爆料,网易订阅,2020年11月23日,"近日,这个消息才刚出来没多久,就有网友开天眼爆料!这位中国籍商人正是公司破产,欠债169亿的山东天宏新能源化工老板徐志刚。 打官司居然赢了小三 最大的反差是,就在这个月,中国民生银行还在不断地追讨贷款,法院还发出了限制徐志刚高消费..."
