title,source,time,summary
山东如意毛纺服装集团股份有限公司2020年度报告摘要,网易,8天前,"山东如意毛纺服装集团股份有限公司(以下简称“公司”)于2021年4月29日召开了第八届董事会第三十三次会议及第八届监事会第三十三次会议,审议通过了《关于续聘2021年度审计机构的议案》,拟续聘大华会计师事务所(特殊普通合伙)(以下简称“..."
"聚焦|创新形式,凝聚力量,两会纺织代表云座谈在京召开!",搜狐网,2020年5月18日,"全国人大代表、山东如意科技集团有限公司董事长邱亚夫 建议一,加大对纺织产业集群和产业转移引导与支持。该建议主要分三个方面,一是建议国家引导和支持长三角、粤港澳大湾区的纺织服装产业聚集地加快转型升级,鼓励产业瞄准产业链中高端区,加大..."
"纺织头条|两会纺织代表云座谈,建言献策,新时期为行业发展谋新篇...",搜狐网,2020年5月16日,"全国人大代表、山东如意科技集团有限公司董事长邱亚夫,全国人大代表、江苏阳光集团董事长陈丽芬等代表就修复产业生态、保障产业安全、巩固产业地位等方面提出了“分门别类、精准施策,促进纺织企业稳就业稳外贸工作”、“加大对纺织产业集群和产..."
"两会纺织代表云座谈,纺织企业家们关心啥?",全球纺织网,2020年5月18日,"全国人大代表、山东如意科技集团有限公司董事长邱亚夫 建议一,加大对纺织产业集群和产业转移引导与支持。该建议主要分三个方面,一是建议国家引导和支持长三角、粤港澳大湾区的纺织服装产业聚集地加快转型升级,鼓励产业瞄准产业链中高端区,加大..."
姜四清会见山东如意控股集团董事局主席邱亚夫一行,潇湘晨报,2月25日,2月24日，市委书记姜四清会见山东如意控股集团董事局主席邱亚夫一行，就加快推进纤维新材料产业发展及中国阳泉时尚科创产业城项目相关事宜进行深入交流。市长雷健坤出席。华阳集团党委书记、董事长翟红，华阳集团总经理王永革，市领导李明、郭卫东...
"山东如意集团退市在即,债务为317.75亿元,邱亚夫何去何从",汉邦天下,2020年7月2日,曾经的不差钱！豪掷5.4亿 济宁如意集团控制人高于市场价40%收购股票 如意科技成立于2001年12月，注册资本40.54亿元。如意集团前身为成立于1972年的济宁毛纺织厂，目前，集团的实际控制人即为邱亚夫。在2016年度，实力强劲的山东如意集团...
"山东如意“难如意”,实控人邱亚夫被限制高消费",网易,2020年7月6日,"雪上加霜的是,作为如意集团你的掌门人,邱亚夫还因关联企业失信被限制高消费。 2020年7月3日,三围鱼财经获悉,因山东如意科技集团有限公司未按执行通知书指定的期间履行生效法律文书确定的给付义务,重庆市万州区人民法院依法对公司实际控制..."
如意集团(002193.SZ):信披违规 公司及相关责任人、控股股东收到...,和讯股票,2020年10月19日,(以下简称“警示函一”)、《关于对邱亚夫、杜元姝、张义英、徐长瑞采取出具警示函措施的决定》([2020]53号)(以下简称“警示函二”)、《关于对山东如意科技集团有限公司采取出具警示函措施的决定》([2020]54号)(以下简称“警示函三”...
"山东如意科技集团再次成被执行人,当前被执行总金额约9.9亿",搜狐网,2020年11月11日,"企查查APP显示,山东如意科技集团有限公司成立于2001年12月,注册资本约40.5亿人民币,法定代表人为邱亚夫,大股东为北京如意时尚投资控股有限公司,持股79.48%。企查查显示,该公司现有多条被执行人信息,总执行标的约9.9亿。"
姜四清赴山东如意科技集团考察对接,阳泉市政府,2020年8月23日,"在山东如意科技集团,姜四清先后考察了集团的纺纱厂、染整厂、职工中心、智慧门店、工程技术中心、氨纶生产车间等,详细了解了智能制造、工艺流程、技术研发、产品品牌、市场销售等情况,并与集团董事长邱亚夫等进行座谈交流。"
山东如意科技集团来我市考察对接项目,阳泉市政府,2020年7月29日,"希望与山东如意科技集团进一步加强交流对接,强化课题攻关,丰富合作方式,拓展合作领域,实现优势互补。 邱亚夫介绍了集团产业发展情况及下一步投资计划。他表示,山东如意科技集团与阳泉市、阳煤集团开展合作,是公司发展的宝贵机遇,公司将进一步..."
"如意科技及两家公司被执行标约1.27亿,邱某某被限制高消费!",搜狐网,2020年8月1日,"7月30日消息显示,山东如意科技集团有限公司(山东如意科技)、济宁如意四季花城房地产有限公司、北京如意时尚投资控股有限公司被杭州中院列为被执行人,执行标的约1.27亿元。 此前,如意集团曾大肆并购海外品牌,大量的收购让“山东如意”在国际..."
山东如意科技被列为被执行人 执行标的3400万,中国网财经,2020年11月11日,据天眼查，如意科技成立于2001年12月，注册资本405406万人民币，法定代表人、董事长兼实控人为邱亚夫，前身为始建于1972年的山东济宁毛纺织厂。公开资料显示，如意集团旗下品牌包括瑞士奢侈品牌Bally、日本RENOWN、德国Peine Gruppe、法国...
