title,source,time,summary
...记市政协委员、山东福德新能源设备有限公司董事长孔德军,搜狐网,1月5日,"孔德军说:“空气能是蕴藏在空气中的一种巨大能源,也是一种很重要的可再生能源,合理地对其开发、利用,可以减少煤炭的使用,对节能减排意义重大。” 山东福德新能源设备有限公司作为我市的新能源设备生产企业,是新旧动能转换示范企业,也是一..."
山东福德新能源设备有限公司召开团支部成立大会,00小麻雀,2020年7月16日,会上，姜屯镇组织人事办公室副主任孔德玲宣读了共青团姜屯镇委员会关于同意成立中国共产主义青年团山东福德新能源有限公司支部委员会的批复，并按照程序进行了团支部选举工作，选举产生支部委员3名，第一届支部委员会选举产生支部书记1名。新...
山东省滕州市姜屯镇举办福德新能源有限公司与上海理工大学人才...,搜狐网,2018年9月11日,"一是山东福德新能源设备有限公司与上海理工大学能源与动力工程学院副院长、博士生导师武卫东进行现场签约;二是福德公司董事长孔德军和武卫东院长分别发言。 本次中科福德公司与上海理工大学能源与动力工程学院成功签约,是我镇深入贯彻落实全市..."
采暖、热水解决方案首选——榆林中科福德新能源设备公司,搜狐网,2020年9月19日,"神木中科福德新能源设备有限公司地处全国能源化工基地榆林市神木市,是山东福德新能源公司陕北地区总代理。公司成立以来主要经销空气能热泵热水器。热泵热水器是第四代热水器,又分为空气能热泵热水器、水源热泵热水器、地源热泵热水器。其中空..."
董事长孔德军主题演讲|中科福德打造北方绿色产业生态圈,搜狐网,2019年1月10日,"2019年1月10日,“绿梦十年 T动2019”2019中科福德优秀合伙人峰会暨十周年庆典在山东曲阜正式开幕,开幕式现场,绿梦发起人、中科福德董事长孔德军发表“问鼎先贤,启迪心智,为梦想再次起航”主题演讲,他在演讲中指出,未来,中科福德将在深..."
中科福德新能源产业园一期落成典礼暨二期奠基仪式隆重举行,搜狐网,2018年1月26日,"今天上午,山东福德能源设备有限公司彩球飞扬,喜庆洋溢,中科福德新能源产业园一期落成典礼暨二期奠基仪式在山东滕州隆重举行。中科福德董事长孔德军率公司高层与来自全国各地的优秀经销商、行业专家和行业媒体记者近千人共同见证中科福德腾飞的历史..."
"全面迈入新时代,中科福德全国绿梦者年会召开",搜狐网,2020年1月10日,"今年董事长孔德军发表了《中科福德全面迈入新时代》主题演讲,释放出2020年中科福德战略布局的重要信号,而升维、共享和信任则是董事长孔德军今天讲话的三个重要关键词。 孔德军董事长表示,2020年中科福德将由行业品牌向社会品牌开始转折,..."
胜势领航 中科福德2021向冠军出发!,慧聪网,1月11日,"2021年,中科福德将继续坚持冠军品牌战略,七大举措齐发,2021市场冲锋战就此打响。 战术一:研发升维 签约哈工大成立联合研究中心 年会现场,中科福德技术部部长李天普与哈工大教授倪龙现场签约,并为哈尔滨工业大学&山东福德新能源设备有限公司..."
"全方位布局,大步踏上“夺冠”征途——中科福德年中营销峰会开幕",搜狐网,2020年8月28日,"——中科福德集团董事长孔德军发表于“中科福德夺冠倒计时牌揭幕仪式” 8月28日上午,中科福德年中营销峰会暨全自动智能生产线落成仪式在山东滕州拉开帷幕。出席此次峰会的领导嘉宾有:中国节能协会秘书长宋忠奎,中国节能协会热泵专业委员会常..."
中科福德集团成立庆典暨新品发布仪式隆重举行,搜狐网,2020年1月10日,中科福德集团董事长孔德军、中国节能协会热泵专业委员会副秘书长许海生、中科福德集团山东福德新能源设备有限公司生产厂长孔德忠、中科福德经销商代表威海刘涛共同为绿梦智慧工厂•全自动智能生产线揭幕。
