title,source,time,summary
山东雷奥煤化工项目投产,搜狐网,2020年12月27日,"12月25日,山东雷奥新能源有限公司干熄焦项目投产仪式隆重举行,县政府副县长李守成出席仪式并致辞,东城街道党工委书记孙中强,山东雷奥新能源有限公司董事长肖永富等出席仪式。 ▲举行山东雷奥新能源有限公司干熄焦项目投产仪式 ..."
2020年“齐鲁最美退役军人”肖永富:四年间 让临朐县一化工企业...,潇湘晨报,2020年8月11日,老兵肖永富是山东省临朐县嵩山生态旅游区北黄谷村人，现任山东雷奥新能源有限公司党总支书记、负责人。2016年，山东雷奥新能源有限公司出现重大经营问题，濒临破产，临朐县委、县政府决定对公司进行战略性重组，肖永富临危受命。经过四年的...
肖永富:情系家乡 干事创业 不忘初心保本色,闪电新闻,2020年7月31日,当兵12年，肖永富多次立功受奖。1998年，肖永富光荣退伍后，放弃了政府安置的工作，在济南先后创办了三家公司，生意做得有声有色。2016年，在山东雷奥新能源有限公司濒临破产时，肖永富临危受命，担任党总支书记。肖永富介绍，他刚接手...
山东雷奥新能源有限公司为庆祝建厂八周年封坛酱酒10万余元,搜狐网,2017年6月2日,"——山东秦池酒业 2017年6月1日山东雷奥新能源有限公司肖永富总裁以及各部门领导一行来到秦池粮食酒车间与秦池酒业各部门领导共同见证了酱酒酿造的全过程,为庆祝雷奥新能源建厂八周年封坛酱酒10万余元。"
让企业家站在高质量发展的“C”位——山东临朐以决战决胜姿态全面...,澎湃在线,3月27日,"“干熄焦项目总投资1.8亿元，是雷奥加快转型升级、发展循环经济的有益尝试。”山东雷奥新能源有限公司董事长肖永富说，该项目投产后，年可外供发电量1.3亿度，为全县新旧动能转换做出了“雷奥贡献”。
今年，临朐又立下新目标：扭住“..."
“齐鲁最美退役军人”发布!山东这10人上榜,潇湘晨报,2020年8月1日,肖永富山东雷奥新能源有限公司党总支书记、负责人 鹿成滨山东鲁阳节能材料股份有限公司党委书记、退役军人服务站站长 郭本勇乐陵市公安局京沪高速鲁冀检查站站长 张术河莱阳市烈士陵园管理处主任 高永强国网山东省电力公司东营供电公司带电作业...
2020年度山东省“齐鲁最美退役军人”候选人公示,大众网,2020年7月15日,高永强 国网山东省电力公司东营供电公司带电作业工程师 张术河 莱阳市烈士陵园管理处主任 肖永富 山东雷奥新能源有限公司党总支书记、负责人 孙建涛 泗水县微公益协会党支部书记、会长 郭本勇 乐陵市公安局京沪高速鲁冀检查站站长 韩建峰...
新春走基层 • 产业篇|临朐105家企业新上技改项目133个,澎湃新闻,2月15日,"“干熄焦项目总投资1.8亿元,自2019年11月19日开工以来,历时整整400天,终于正式投用了。”山东雷奥新能源有限公司董事长肖永富说,雷奥新能源干熄焦项目投产后,年可外供发电量1.3亿度,外供蒸汽70吨/小时。这个技改项目的实施,是雷奥加..."
铺盖搬进企业 警企抱成一团,大众日报,2020年11月23日,这是临朐县公安局立足改革强警、靠前一步，主动作为，为重点大企业保驾护航的又一新举措。山东雷奥新能源集团公司成立于2009年，之前是濒于破产边缘的临朐县焦化厂。该公司董事长肖永富带领全体职工，苦心经营，勇往直前，经过十年的...
2020年度“齐鲁最美退役军人”发布,齐鲁网,2020年8月1日,"经过层层推荐、严格评选,最终产生10位“齐鲁最美退役军人”,分别是:山东雷奥新能源有限公司党总支书记肖永富、山东鲁阳节能材料股份有限公司党委书记鹿成滨、乐陵市公安局京沪高速鲁冀检查站站长郭本勇、莱阳市烈士陵园管理处主任张术河、国网..."
