title,source,time,summary
中车时代电动汽车股份有限公司领导赴无锡公交集团修理厂交流考察,搜狐网,2019年8月16日,"8月15日上午,中车时代电动汽车股份有限公司党委书记李群波,无锡分公司总经理兰先红一行5人赴无锡公交集团修理厂考察交流。集团公司副总经理顾建平及修理厂班子热情接待。 双方就如何在新形势下进一步加强经营合作…"
【西海岸事业部】湖南中车时代电动汽车股份有限公司到西海岸事业...,搜狐网,2018年8月30日,"8月30日,湖南中车时代电动汽车股份有限公司一行4人在党委书记、副董事长李群波的带领下,来到西海岸事业部就党建和企业文化建设等内容进行交流,温馨巴士副总经理王介业、西海岸事业部领导班子成员陪同并做详细介绍。 交"
中车电动携“五大金刚”、“超强心脏”亮相新能源汽车产业发展...,中国客车网,2016年4月29日,"中车电动党总支书记李群波在会议现场发言 另外,在此次对接会中,中车电动收获了与湖南科力远公司的战略合作协议,协议旨在结合双方优势,共同大力推广新能源公交客车。"
常德:中车电动客车事业部全新起航,红网,3月4日,通讯员 樊西俊）3月1日，中车时代电动汽车股份有限公司客车事业部在常德新基地正式成立，常德经开区党工委副书记、管委会主任邹如龙，中车时代电动党委副书记、总经理刘凌，中车时代电动党委副书记、纪委书记、工会主席李群波出席成立仪式并...
中车电动:用高铁科技赋能新能源客车发展,腾讯网,2019年11月28日,"依托高铁技术,赋能汽车新引擎 在中车电动总部,笔者见到了中车时代电动汽车股份有限公司党委副书记李群波,他与笔者聊到了目前国内新能源汽车的发展现状和未来中车电动的发展规划。 如果说起步于2009年的国家和地方补贴政策掀起了新能源汽车产业..."
中车电动换“新名片” 剑指新能源客车全产业链,中国客车网,2016年5月9日,"中车电动副总经理李群波在湖南省新能源汽车对接会上接受采访 2016年4月29日,中车电动与湖南科力远新能源股份有限公司(简称“科力远”)签订战略合作框架协议。协议内容为双方在3年内共同推广搭载科力远镍氢动力电池的5000台中车电动混合动力..."
完善客车标准体系建设!这场客标委年会信息量很大,网易,8天前,"中车电动党委副书记李群波介绍:“在客标委的支持和指导下,中车电动以核心成员身份参与了客标委主持的《营运客车类型划分及等级评定》、《公共汽车类型划分及等级评定》等6项标准的制修订。”在新能源汽车变革之路上,中车电动在智能驾驶..."
"第二批专精特新“小巨人”企业名单公示,我省这些企业入选",搜狐网,2020年11月13日,"工业和信息化部网站最新消息,今日(11月13日),工业和信息化部中小企业局对第二批专精特新“小巨人”企业名单进行公示。 名单显示,共有1744家中小企业入选第二批专精特新“小巨人”企业。贵研铂业股份有限公司等36家云南企业入选。 据悉..."
砥砺奋进的五年·展望篇 | 成绩照亮历史 希望引领未来,中国汽车报社有限公司,2017年10月18日,"湖南中车时代电动汽车股份有限公司副董事长、党委书记李群波 十年砥砺前行 成就全能选手 2007年7月18日,中车株洲所以国家“863”计划电动汽车重大项目研发成果为基础,聚合优势资源,组建成立湖南中车时代电动汽车股份有限公司(以下简称“中车电..."
《道路机动车辆生产企业及产品公告》(第311批)拟发布的新增车辆...,中华人民共和国工业和信息化部,2018年8月17日,常德中车新能源汽车有限公司  法人代表 张长顺 李群波  28  (十八)43  长沙金阳机械设备科技开发有限公司  企业名称  长沙金阳机械设备科技开发有限公司  长沙金阳华汛专用汽车制造有限公司  注册地址  湖南省长沙县榔梨镇产业园区内  ...
