title,source,time,summary
第九届中国空气能行业品牌盛会50强揭晓(图),华夏经纬网,2016年9月21日,西莱克空调设备有限公司、澳信、中广欧特斯、万家乐空气能科技有限公司、江苏双志新能源有限公司、中宇、佛山铠耐空调设备有限公司、佛山市科霖新能源科技有限公司、广东华天成新能源科技股份有限公司、天舒、瑞星、广州哈思新能源科技有限公司...
“羽顺杯”慧聪网2020中国暖通与舒适家居产业大会行业领军人物揭晓,搜狐网,2020年12月10日,"广东瑞星新能源科技有限公司董事长 骆德育 广东纽恩泰新能源科技发展有限公司董事长 赵密升 四季沐歌科技集团有限公司总经理 张亮亮 让我们共同期待获得2020年度行业领军人物的企业家继续带领企业,为行业贡献出自己的力量!"
“重启、赋能、提速”2020中国暖通与舒适家居产业大会——“羽顺...,金融界,2020年12月9日,有限公司、广东中暖热能科技有限公司、中山市爱美泰电器有限公司、广东合派新能源科技有限公司、广东欧亚制冷设备制造有限公司、广东瑞星新能源科技有限公司、广州多乐信电器有限公司、天津大成热能科技有限公司、广州迪森劳力特空气净化技术有限...
"【绥芬河牵手东莞的观察与思考②】企业互信:谋求发展的共识,成就...",搜狐网,2020年10月29日,"会议间隙,广东瑞星新能源科技有限公司董事长骆德育,与绥芬河的合作伙伴进行交流,了解了绥芬河综合保税区的保税免税政策后,特别感兴趣,已经计划到绥芬河综保区实地考察,了解综保区政策能否应用到企业采暖烘干设备制造项目上了。"
再下一城!广东瑞星中标太原市娄烦县煤改电工程工程,瑞星高科空气能,2020年9月12日,第九届中国热泵展开幕  广东瑞星惊艳亮相 广东瑞星入围晋城2019第一批“煤改电”2018热泵工程畅销品牌投票，瑞星折桂 瑞星获东莞市科学技术进步一等奖 揭秘空气源热泵同冷暖空调的不同之处 广东瑞星新能源科技有限公司是中澳技术合作企业，...
"广东瑞星在行动,捐献善款抗击新型肺炎",中国轻工业网,2020年2月21日,"新型冠状病毒肺炎疫情形势严峻,自疫情发生以来,海内外众多企业为疫情防治工作捐款捐物,为共同打赢这场战争贡献力量。广东瑞星新能源科技有限公司为抗击疫情于2020年1月31日捐款10万元人民币,作为空气源热泵行业首批捐献善款的企业,广东瑞星以..."
2017年东莞经济年度评选接受投票 你觉得谁能最终当选东莞十大经济...,搜狐网,2018年1月22日,何玉成 东莞市彩丽建筑维护技术有限公司总经理 张建峰 广东亨通光电科技有限公司总经理 任作辉 东莞市元宗家具有限公司董事长 江敏 广东尚鑫新材料股份有限公司董事长 骆德育 广东瑞星新能源科技有限公司董事长 ...
"聚焦热泵产业发展 龙川县级领导考察普瑞思顿-普瑞思顿,龙川县...",慧聪网,2015年4月28日,"【慧聪热泵网讯】4月25日,以黄县长为首的龙川县工业园领导一行专门来到广东东莞,参观考察热泵专业制造企业——广东瑞星新能源科技有限公司(品牌:普瑞思顿)。同行的还有管委会张主任、招商局钟主任。瑞星公司董事长骆德育、营销总监谢雁等..."
空气能质量专项抽查 瑞星跻身合格企业之列,慧聪网,2015年4月2日,"技术监督局发布的《2014年广东省空气能热水器产品质量专项监督抽查合格产品及其生产企业名单》显示,广东瑞星新能源科技有限公司所生产的产品批号为2013/7/的热泵热水器LWH-3.6X的各项产品指标均达到了行业质量标准要求。"
品牌盛会最抢眼 颁奖仪式星光璀璨,慧聪网,2014年11月26日,"科学研究院建筑环境与节能研究院、中国建筑装饰协会材料委员会、天津大学热能研究院联合支持,佛山市顺德区华天成电器有限公司总冠名,江苏迈能高科技有限公司特约论坛冠名,山东力诺瑞特新能源有限公司特约晚宴赞助,南通恒嘉环保科技有限公司礼品..."
