title,source,time,summary
投资额超100亿!肇庆这个地方全年新引进项目38个,搜狐网,1月22日,"广东风华新能源股份有限公司工程项目经理部负责人 李海铭 得益于“双容双承诺”,我们项目可以先动工建设,再按规定时间办好相关手续,极大地提高了项目建设效率。驻点的企业服务专班人员,经常到项目现场了解情况,为我们排忧解难,使得项目推进..."
"端州:招商引资精准发力,重大项目纷纷落地!",搜狐网,1月4日,"记者在广东风华新能源股份有限公司年产700兆瓦时锂电池工业园建设项目(一期)工地看到,目前该厂房的消防设施安装已经完成70%,南厂房金刚砂地面全部完成,北厂房也在加紧施工。接下来将加快照明、空调、配电等的安装速度,整个项目计划明年3月份..."
风华高科:参股子公司广东风华新能源股份有限公司挂牌新三板,中财网,2020年1月20日,原标题:风华高科:关于参股子公司广东风华新能源股份有限公司挂牌新三板的公告 证券代码:000636 证券简称:风华高科公告编号:2020-02 广东风华高新科技股份有限公司 关于参股子公司广东风华新能源股份有限公司 ...
重磅!肇庆市“产业强市”先进集体和先进个人表彰名单新鲜出炉!,澎湃新闻,2020年4月29日,丘春洪 肇庆焕发生物科技有限公司技术经理 付振晓 广东风华高新科技股份有限公司副总裁 朱增余 广东亚太新材料科技有限公司董事长 刘艳(女) 广东香雪南药发展有限公司总经理 刘会冲 广东风华新能源股份有限公司总经理 ...
三榕工业园(俊富产业平台):6家入驻企业集中动工,搜狐网,2019年12月17日,"广东风华新能源股份有限公司 总经理 刘会冲 我们项目从落地到建设都非常顺利,区委、区政府的领导多次到我们现场,了解我们存在的问题并帮我们及时解决。我们在项目实施过程中也和区政府各个部门打交道,我们觉得他们的效率非常高,服务质量非..."
[年报]风华高科2006年年度报告(三),中国财经信息网,2007年4月25日,"广东风华高新科技股份有限公司二○○六年年度报告(三) 合并股东权益增减变动表 资产负债表附表2 编制单位:广东风华高新科技股份有限公司 单位:人民币元 项目2006年 2005年 一、股本: 期初余额 530,330,955.00 530,330,955.00 ..."
重磅!五星级酒店、航空学院、智能家电……肇庆一批项目集中签约...,澎湃新闻,10天前,"在规划11区广东风华新能源股份有限公司 年产700兆瓦时锂电池建设项目(一期)厂区举行, 投资总额超17亿元的20个产业项目 集中签约、动工、竣工。 据了解 今年4月端州区新签约项目共8个包括"
"签约一批、动工一批、竣工一批,端州产业项目推进再加速",腾讯网,4月27日,"这20个项目涉及智能制造、现代服务、电子信息等多个行业,其中签约的为信基·肇庆智能制造产业链科技创新中心项目等8个项目;动工的为汇昌达益智玩具创意文具项目等2个项目;竣工的为广东风华新能源股份有限公司年产700兆瓦时锂电池建设项目一..."
奥普光电:关于董事辞职及提名董事候选人的公告,中金在线,4月22日,"2016 年 11 月至2020 年 6 月任广东风华高新科技股份有限公司投资与证券事务部副总监,证券事务代表。2020 年 7 月至今任广东风华高新科技股份有限公司投资与证券事务部总监。2019 年 2 月至今兼任广东风华新能源股份有限公司董事。"
“肇庆金秋”拉开序幕!各地多个超亿元项目签约、动工或投产!,腾讯网,2019年12月13日,"其中,投资1.6亿元的广东风华新能源股份年产700兆瓦时锂电池一期项目,建设完成后,可实现年产值达7.5亿元;投资5500万元的骏驰科技汽车零部件产业项目,每年可新增产值1.5亿元。 肇庆市骏驰科技有限公司 图源 端州发布 ..."
