title,source,time,summary
北汽蓝谷:北汽蓝谷新能源科技股份有限公司2020年年度股东大会会议...,中国财经信息网,前天17:57,"1、 报告期内公司召开董事会会议的情况 2020年,公司共召开董事会会议10次。2020 年 3 月 31 日,公司召开九届十三次董事会会议,审议通过了 《关于子公司北京新能源汽车股份有限公司投资建设北京高端智能生态 ..."
中国建设银行股份有限公司广州荔湾支行诉广东,中国法院网,2019年2月25日,"中国建设银行股份有限公司广州荔湾支行(以下简称建行广州荔湾支行)与广东蓝粤能源发展有限公司(以下简称蓝粤能源公司)于2011年12月签订了《贸易融资额度合同》及《关于开立信用证的特别约定》等相关附件,约定该行向蓝粤能源公司提供不超过5..."
深圳市捷佳伟创新能源装备股份有限公司首次公开发行股票并在创业...,搜狐网,2018年7月31日,3351 新疆新能源(集团)有限责任公司 新疆新能源(集团)有限责任公司 14.16 300 2018-07-25 11:38:28:729 入围 3352 深圳市宁泰科技投资有限公司 深圳市宁泰科技投资有限公司 14.16 300 2018-07-25 11:38:28:707 入围 ...
上海龙宇燃油股份有限公司首次公开发行股票招股意向书摘要,中国财经信息网,2012年7月27日,人股东江苏新业科技投资发展有限公司上海龙宇燃油股份有限公司招股意向书摘要1-2-3-3太仓哈太指太仓市哈太化轻物资联营公司中国证监会指中国证券监督管理委员会发改委指中华人民共和国国家发展和改革委员会燃料油指石油加工过程中在汽、煤...
广晟有色:广晟有色金属股份有限公司2021年度非公开发行A股股票预案,同花顺财经,8天前,"8、本次非公开发行完成后,公司的控股股东及实际控制人不会发生变化。 9、本次非公开发行完成后,公司于本次发行前滚存的截至本次发行时的未分配利润将由公司新老股东按照本次发行完成后的股权比例共同享有。"
21粤桥01 : 广东省路桥建设发展有限公司2021年面向专业投资者公开...,中财网,4月14日,"”第一次会议职工代表选举,林淑芬同志任广东省路桥 建设发展有限公司职工监事...开户银行:中国农业银行广州东城支行 银行账户:44054001040017652 ...广东天路新能源投资有限公司 1312.02 - 市场价 广东通驿高速公路服务区有限..."
"9月18日全景云调研走进广州发展,探营面向珠三角的大型综合能源...",搜狐网,2020年9月18日,广州发展集团股份有限公司 党委书记、董事长 伍竹林 广州发展集团股份有限公司 副总经理、董事会秘书 吴宏 中信建投证券公用环保行业首席分析师 万炜 广州燃气集团有限公司 副总经理 刘静波 广州发展新能源股份有限公司 副总经理 余华堂 ...
"“百家国龙进广东”投资对接活动在广州举行,国龙企业信心十足!",搜狐网,2019年12月12日,"12月12日,“百家国龙进广东”投资对接活动在广州开幕。开幕式上,三家国家级龙头企业代表发言,均表达了将继续在广东大力发展的信心。 正邦集团 ▲正邦集团总裁助理罗小波 “正邦对在广东的发展未来充满信心。将继续扎根广东,担当龙头责任..."
金科地产集团股份有限公司2018年度报告摘要,搜狐网,2019年3月26日,"公司坚持“三圈一带、八大城市群、核心25城”的战略布局,持续优化投资结构,新进上海、广州、宁波等城市,核心25城布局基本完成。报告期,公司完成土地投资700亿元,新增项目110个,计容建筑面积2054万平方米。新增土地储备中一二线城市货值占..."
株洲宏达电子股份有限公司首次公开发行股票并在创业板上市发行公告,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2017年11月9日,5581 株洲市国有资产投资控股集团有限公司 株洲市国有资产投资控股集团有限公司 11.16 800 有效 5582 华泰柏瑞基金管理有限公司 华泰柏瑞积极优选股票型证券投资基金 11.16 800 有效 5583 陈成辉 陈成辉 11.16 800 有效 5584 太平资产...
[公告]东莞控股:龙林支线高速公路交通量发展预测报告,中国财经信息网,2013年10月8日,"现因公司发展需要,东莞发展控股股份有限公司特委托我公司进行莞深高速公路 (含一、二、三期)及龙林支线高速公路的交通量发展预测工作。 二、预测方法与思路 本项目的交通量预测采用“四阶段”法进行,即首先预测项目所在地区的社会经济..."
"...园区周报第9期:国开行将为京津冀提供5250亿元融资支持,广州...",前瞻网,4月26日,"4月20日上午,无锡高新区(新吴区)举行电力能源“碳达峰、碳中和”合作推进会暨签约揭牌仪式。新吴区政府、东南大学长三角碳中和战略发展研究院、国网无锡供电公司三方共同签署了《“碳达峰、碳中和”研究实践战略合作框架协议》和《无锡..."
"蓄势30年,博罗这个专业镇站上新能源风口",腾讯网,4月16日,"这里正是湖镇工业发展的起点。1992年,惠州联合铜箔电子材料有限公司落户湖镇,带动了当地电子材料产业集群在90年代初期的成型,在随后近30年的时间里,逐渐造就了一个电子材料生产基地。 不久前,惠州联合铜箔三期工程动工。建成达产后,将把..."
公告精选:美凯龙等多家公司再融资申请获通过;海信家电拟控股日本...,搜狐网,3月1日,"证监会公告,华安证券股份有限公司配股事项获通过。 圣龙股份:拟定增募资不超4.44亿元 控股股东参与认购 圣龙股份(603178)3月1日晚间公告,拟定增募资不超4.44亿元,将用于年产350万套高效节能与新能源关键汽车零部件项目、补充流动资金..."
热烈祝贺广州宋创投资推荐企业专场挂牌仪式成功举办,网易,2020年12月15日,"接着,广州市毅利物流集团股份有限公司、广东恒域科技股份有限公司、广州市龙自安电气股份有限公司、广州市美聚商盟数码科技股份有限公司、广东优势智云信息科技股份有限公司、广州汇弘科技有限公司、广州果冻智能科技有限公司、广东银谷科技股份..."
"超53亿新能源汽车产业园加速建设,抢占红利,就趁现在!",凤凰网,2020年4月16日,"知识城宝能新能源汽车产业园位于广州市黄埔区新龙片区,规划范围总用地面积约990114 平方米。 随着中国整车销量不断扩大,汽车零部件产业也形成了前所未有的良好发展势头,产销规模快速增长。在此行业背景下,宝能汽车有限公司的全资子公司—..."
...一汽大众|延锋彼欧等超两百家汽车氛围灯产业链知名企业齐聚广州,网易订阅,2019年4月19日,"广州汽车工业集团有限公司总部所在地,包括广汽集团等等。为了推动华南区域汽车氛围灯产业发展,技术对接,我们将于2019年4月在广州举行汽车智能内饰氛围灯高峰论坛。 氛围灯正在从中高端车型向低价位车型拓展,如大众新速腾、吉利几何A等车型都..."
"今天,天河过百亿元重点项目集中开工!包括广州中学等",金羊网,2019年3月4日,"位于天河智慧城的时代E-PARK(天河)二期项目是广州市时代商业管理有限公司与广州市天河区新塘街凌塘股份合作经济联社联合开创新型办公园区,园区已成为各类创新创业载体,汇集了各类智能创新产业发展的技术与人才,为天河区的创新平台搭建和创新..."
