title,source,time,summary
"广西汽车集团所属五菱柳机携手玉柴股份,新能源布局再进一步",搜狐网,2019年7月24日,"7月23日下午,广西汽车集团所属企业五菱柳机再次扩大“朋友圈”,正式与广西玉柴机器股份有限公司、柳州臻驱电控科技有限公司签订战略合作协议。此次签约是在我国汽车产业向低碳化、清洁化转型升级的背景下,三方公司审时度势、勇抓机遇,在新..."
广西壮族自治区财政厅厅长关礼一行到玉柴调研交流,第一工程机械网,2019年7月23日,"7月18日,广西壮族自治区财政厅厅长关礼率队到玉柴开展“不忘初心、牢记使命”主题教育征求意见专题座谈,并调研落实大规模减税降费情况。玉柴集团公司总经理古堂生、党委书记李汉阳作汇报。 广西壮族自治区财政厅厅长关礼一行到玉柴调研交流..."
玉柴集团2019届新员工启航训练营结营,中国工程机械商贸网,2019年7月22日,"7月15日,玉柴集团2019届新员工启航训练营结营仪式举行。玉柴集团公司党委书记李汉阳,玉柴股份总裁吴其伟、党委书记蒋飞等公司领导参加了本次活动,并与新员工倾心交流,勉励新同事不忘初心、牢记使命,勤学苦干、奋勇担当,在玉柴的宏伟事业中..."
玉柴集团党委开展五一节前慰问,中国工程机械商贸网,2019年5月5日,"玉柴集团党委开展五一节前慰问,五一劳动节将至,4月27日至28日,玉柴集团公司党委书记李汉阳、玉柴股份党委书记蒋飞等公司领导分别到桂南医院、益寿园、玉林市第一人民医院、玉林市中医院等地慰问生病就医的退休老员工和在职员工。玉柴集团..."
玉柴动力2018年度 营收下降20.00%,东方财富网,2019年4月26日,"董事:李汉阳 董事:倪析晓 董事长,董事:王秀红 董事:沈以峰 董事:沈捷 监事会主席,监事:杨敏 职工监事:陈晓燕 监事:秦爱芳 十大股东名单 广西玉柴机器集团有限公司:1530.00万股 HangDing YCInvestment Holding,Ltd。:840.00万股 ..."
玉柴动力选举王秀红为董事长 去年上半年公司净利1706万元,金融界,2019年3月26日,"据挖贝网了解,王秀红不持有玉柴动力股份,因公司原董事长李汉阳因玉柴集团职责分工的原因辞去公司董事长职务,现拟选举公司董事王秀红为公司董事长。 玉柴动力表示选举王秀红为公司董事长符合战略规划和实际发展的需要,有利于提供公司治理水平,..."
"加强银企对接 服务实体经济,助推广西产业高质量发展——我行密集...",搜狐网,2019年3月14日,"下午,王云霄副行长一行走访了广西玉柴集团,在玉柴集团总会计师的带领下参观了玉柴集团,并与玉柴集团董事长晏平、玉柴集团党委书记李汉阳等企业高层进行了会谈。 △王能一行与扬翔股份公司和贵钢集团座谈..."
玉柴党校揭牌 开辟党员教育新阵地,铁甲网,2018年12月23日,"12月18日,恰逢我国改革开放40周年纪念日,中共广西玉柴机器集团有限公司委员会党校(以下简称玉柴党校)正式挂牌,开辟党员教育新阵地,玉柴集团公司董事长晏平、党委书记李汉阳共同为玉柴党校揭牌。"
玉柴集团荣获“改革开放40周年企业文化建设标杆单位”,搜狐网,2018年11月2日,"会上,玉柴集团获评为“改革开放40周年企业文化建设标杆单位”,玉柴集团公司党委书记李汉阳荣获“企业文化创新人物”称号,玉柴股份党委副书记蒋飞获聘为“企业文化标准化工作专家智库”党建与企业文化一体化研究专家。"
【10月1日】智享汽车新闻,搜狐网,2018年10月10日,"商用新车网 9月28日,玉柴集团干部任命大会举行。广西壮族自治区党委组织部副部长莫达流宣布了玉柴集团领导班子任命决定。经广西壮族自治区党委和政府研究,任命晏平为玉柴集团董事长、党委副书记李汉阳为玉柴集团党委书记、董事古堂生为玉柴集..."
