title,source,time,summary
康佳集团股份有限公司2018年年度股东大会决议公告,东方财富网,2019年5月14日,2、现场会议召开地点:中国深圳市南山区科技南十二路28号康佳研发大厦19楼会议室。 3、召开方式:现场会议投票和网络投票相结合。 4、召集人:公司董事局。 5、主持人:董事局主席刘凤喜先生。
康佳集团股份有限公司2019第一季度报告,搜狐网,2019年4月30日,"本次会议通知于2019年4月19日以电子邮件、书面或传真方式送达全体董事及全体监事。本次会议应到董事7名,实到董事7名。会议由董事局主席刘凤喜先生主持。会议符合《中华人民共和国公司法》和《康佳集团股份有限公司章程》的有关规定。"
[股东会]深康佳A:2018年年度股东大会的法律意见书,中国财经信息网,2019年5月13日,"5、根据本所律师的审查,本次会议由贵公司董事局主席刘凤喜先生主持, 符合《公司法》第101条、《股东大会规则》第27条及《公司章程》第70条的 有关规定。 据此,本所律师认为,本次股东大会的召集和召开程序合法、有效。"
深康佳A: 康佳集团股份有限公司拟股权转让涉及的深圳市康新置业...,证券之星,9天前,"深圳市鹏信资产评估土地房地产估价有限公司接受 康佳集团股份有限公司 (以下简称「康佳集团」)的委托,就「康佳集团」拟进行股权转让所涉及的深 圳市康新置业有限公司(以下简称「康新置业」)股东全部权益于评估基准日的 市场价值..."
华侨城:挂牌转让深圳康新置业51%股权 转让底价1.04亿元,乐居财经,9天前,康佳集团股份有限公司成立于1980年；注册资本超24亿元；法定代表人刘凤喜；控股股东为华侨城集团有限公司，持股比例21.75%；经营范围研究开发、生产经营电视机、冰箱、洗衣机等。【关注百家号乐居财经，洞悉房产市场风云变化。】文章来源:...
深康佳A:2021年第一季度报告正文,同花顺财经,9天前,公司负责人刘凤喜、主管会计工作负责人李春雷及会计机构负责人(会计主管人员)郭志华声明:保证季度报告中财务报表的真实、准确、完整。 第二节 公司基本情况 一、主要会计数据和财务指标 公司是否需追溯调整或重述以前年度会计数据 ...
康佳集团来盐考察,澎湃新闻,4月14日,"4月13日至14日,康佳集团董事局主席刘凤喜率队,来我市考察。市委书记、市人大常委会主任戴源会见刘凤喜一行。 戴源首先对刘凤喜一行的到来表示热烈欢迎,并简要介绍了我市经济社会发展和产业基础情况。他说,近年来,盐城深入贯彻新发展理念,..."
追得科技刘凤喜:创新产品引爆行业 让车主开启新“膜”式生活,hc360慧聪网,4月27日,"刘凤喜:非常感谢慧聪啊,非常高兴今天的交流,谢谢大家。 --- 点击观看视频采访 关于追得集团 上海追得新材料科技有限公司创立于2003年,提供全功能膜护领域深度解决方案。经营项目聚焦于“玻璃性能提升”及“表面防刮防污”的新型膜材料的..."
深康佳A:2020年度内部控制评价报告,证券之星,3月24日,"康佳集团股份有限公司全体股东:          根据《企业内部控制基本规范》及其配套指引的规定和其他内部控制监管要求(以下简称企业内部控制规范体系),结合本公司(以下简称公司)内部控制制度和评价办法,在..."
深康佳A:2020年年度报告,同花顺财经,3月24日,康佳集团股份有限公司 2020年年度报告 2021-28 2021年03月第一节重要提示、目录和释义公司董事局、监事会及董事、监事、高级
华侨城、腾讯签署战略合作协议 共建数字文旅新生态,网易,2020年11月2日,"腾讯云副总裁徐翊鸣;华侨城集团有限公司董事、总经理、党委副书记姚军;华侨城集团有限公司党委常委、副总经理,深圳华侨城股份有限公司总裁王晓雯;华侨城集团有限公司党委常委、副总经理,康佳集团股份有限公司董事局主席刘凤喜等领导出席签约仪式..."
目标数字文旅!华侨城与腾讯开展战略合作,读创,2020年11月2日,腾讯云副总裁徐翊鸣；华侨城集团有限公司董事、总经理、党委副书记姚军；华侨城集团有限公司党委常委、副总经理，深圳华侨城股份有限公司总裁王晓雯；华侨城集团有限公司党委常委、副总经理，康佳集团股份有限公司董事局主席刘凤喜等出席签约仪式...
"多个产业园开工,康佳集团抢先布局智能智造全产业链平台",网易订阅,2020年10月30日,"据华侨城集团党委常委、副总经理、康佳集团党委书记、董事局主席刘凤喜介绍,宜宾康佳高科技产业园总占地面积124亩,总建筑面积10万平方米,总投入达10亿元,旨在打造成集智能终端产品研发设计、生产制造、销售服务等于一体的移动智能全产业链平台..."
携手共创 康佳集团助力宜宾唱好“双城记”,潇湘晨报,2020年10月30日,”华侨城集团党委常委、副总经理、康佳集团党委书记、董事局主席刘凤喜表示，宜宾康佳高科技产业园的建成投产，有助于汇集整合智能终端产业链上下游的优质资源，并拓展智能硬件、机器人、智能穿戴、物联网设备等高科技产业的发展，推动康佳...
"宜宾康佳高科技产业园开业,康佳集团助力宜宾唱好“双城记”",北青网,2020年10月29日,据华侨城集团党委常委、副总经理、康佳集团党委书记、董事局主席刘凤喜介绍，宜宾康佳高科技产业园总占地面积124亩，总建筑面积10万平方米，总投入达10亿元，旨在打造成集智能终端产品研发设计、生产制造、销售服务等于一体的移动智能全产业链...
...报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司...,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2020年9月23日,"即公司董事局战略委员会的组成人员为刘凤喜、姚威、张靖、周彬、孙盛典,其中主任委员为刘凤喜;公司董事局财务与审计委员会的组成人员为邓春华、姚威、王曙光,其中主任委员为邓春华。 (二)以7票同意、0票反对、0票弃权审议并通过了《关于..."
...报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司...,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2020年8月11日,2、现场会议召开地点:中国深圳市南山区科技南十二路28号康佳研发大厦19楼会议室。 3、召开方式:现场会议投票和网络投票相结合。 4、召集人:公司董事局。 5、主持人:董事局主席刘凤喜先生。 6、会议的召开符合《公司法》、《上市公司股...
吴海平会见康佳集团客人,潇湘晨报,2020年7月2日,刘凤喜介绍了华侨城和康佳集团基本情况。他表示，台州产业基础扎实，民营经济发达，有着良好的发展基础和发展潜力。希望深化与台州的合作，发挥技术、人才等优势，积极参与台州的建设发展，为台州经济社会发展作出力所能及的贡献。【来源：...
不为发展醉心内斗?自作自受的康佳难以避免的走向没落,聚牛科技,2019年12月3日,"然而康佳并没有迎来自己的春天,毕竟在哪家企业中都是谁有钱谁的话语权更大,张民只当了两周的董事局主席便卸任,由总裁刘凤喜重新当选董事局主席(刘凤喜系华侨城集团提名),总裁一职则由刘丹担任。(图为刘凤喜) 刘丹是被中小股东选定成为..."
"康佳集团积极响应号召,扶贫工作顺利开展",新讯视野观察,2019年12月3日,"为更好的响应党中央、国务院扶贫办、国资委、华侨城集团《关于进一步做好中央、国家机关各部门和有关单位定点帮扶工作的意见》,以及关于脱贫攻坚的总体部署,康佳集团成立了以刘凤喜书记为组长的扶贫领导小组和工作小组,负责和动员全集团、全体..."
一季度业绩预报凶猛而至 康佳全面调整航向实现深度嬗变,搜狐网,2018年4月23日,"而就在今年元旦,康佳集团董事局主席刘凤喜和总裁周彬在致全体康佳员工的一封信中写道,“我们比任何时候都更接近我们的梦想!”就业绩表现来看,康佳的确是与梦想更加契合。 从行业大趋势来看,康佳获得佳绩的原因主要就是在于实现了多措并举..."
尹力与知名企业代表交流座谈:把企业关注期盼的事办实办好,川观新闻SCOL,2018年4月18日,中国铁路工程集团董事长李长进、中国医药集团总经理佘鲁林、戴尔大中华区副总裁周兵、世茂集团董事局主席许荣茂、康佳集团董事局主席刘凤喜、宜华集团董事局主席刘绍喜、捷普集团副总裁司徒伟中、猪八戒网络科技公司董事长朱明跃等企业代表先后发言...
"又一500强签约永州,打造永州又一文化旅游名片",搜狐网,2018年2月12日,"永州市委书记、市人大常委会主任李晖,市委常委、常务副市长张贺文,副市长李旦梅;华侨城集团党委常委、康佳集团董事长刘凤喜,华侨城集团监事会主席、深圳华侨城文化旅游科技股份有限公司董事长陈跃华、总经理李坚以及永州市委办、市政府办,市商务..."
辛苦卖了9年电视 康佳赚的钱不如卖一家房产公司,网易新闻,2018年1月26日,"康佳集团董事局主席刘凤喜曾表示,康佳今后不再只是一个彩电业务公司,将加快多元化的扩张,转型为投资控股集团。具体为: 一是希望扩张新的产品线,无论是通过并购控股,还是自主研发,或者配置孵化器; ..."
康佳近两年快速成长的秘密:转型投控平台,搜狐网,2017年12月31日,"于是在2016年,康佳内部掀起了一场改革风暴,""老将""刘凤喜接手执掌董事局总局,身兼总裁职务。在制定了一系列与行业匹配的运营体系和市场推广节奏后,这家传统企业彻底打破了国有控股企业的束缚,飞速成长着。"
宝鸡市领导与康佳集团考察团一行参观陕西通家,搜狐网,2017年12月28日,"12月26日,宝鸡市及高新区领导与康佳集团考察团一行来我公司参观调研,董事长苏金河接待陪同。 12月26日,华侨城集团党委常委、康佳集团股份有限公司党委书记、董事局主席刘凤喜,康佳集团副总裁孙清岩带领考察团来我公司参观考察,宝鸡市委常委..."
深康佳A投10亿成立多媒体公司,新华网客户端,2017年11月20日,"另据报道,康佳集团董事局主席刘凤喜同日表示,康佳今后不再只是一个彩电业务公司,将加快多元化扩张,转型为投资控股集团。一是希望扩张新产品线,无论是通过并购控股还是自主研发或者配置孵化器;二是希望通过投资并购实现扩张,康佳要利用上市公..."
TCL集团斥96亿布局华星光电高世代模组子项目 年产最高可达6000万片,每日经济新闻,2017年11月18日,在此背景下，中国家电产业也发生了显著的分化，TCL集团加快半导体显示垂直一体化布局，康佳集团则转型为投资控股集团。据证券时报报道，康佳集团董事局主席刘凤喜表示，康佳今后不再只是一个彩电业务公司，将加快多元化的扩张，转型为投资控股...
"昔日巨头沦落卖地自救,康佳背后究竟遭遇了怎样的冲击?",搜狐网,2017年10月14日,"2015年9月,中小股东在康佳董事会的逆袭以刘丹的离开宣布失败。中小股东代表并没能继续团结,大股东华侨城重掌康佳大权。9月10日,康佳发布公告,决定暂停刘丹的总裁职务,聘任由华侨城提名的董事局主席刘凤喜同时兼任公司代理总裁。"
康佳资金饥渴背后:主营业务不佳 转型谋求生机,和讯科技,2017年10月11日,"康佳的思路其实已不再是坚守彩电行业。康佳董事局主席刘凤喜曾表示,康佳未来将不再是彩电企业,而是转型为投资控股平台。 “彩电行业已经没法玩了,与其在错误的事情上越陷越深,不如调转枪头来做控股平台。彩电的业务可以放弃,但要确保康..."
"曾经的彩电行业龙头老大,今天的没落贵族",搜狐网,2017年9月17日,"然而,仅仅时隔20天,深康佳A发布“第八届董事局第二次会议决议公告”,不熟悉彩电业务的独立董事张民卸任董事局主席,原总裁刘凤喜重新当选董事局主席(刘凤喜系华侨城集团提名),总裁一职则由刘丹担任。"
"刘凤喜:康佳经得起考验,经得起洗礼",搜狐网,2017年9月15日,"5月20日,康佳集团员工在董事局主席刘凤喜等康佳领导的带领下,进行了37周年司庆升旗仪式暨东部滨海徒步活动。康佳人通过这种形式表达对康佳37周年司庆的祝福,也以此拉开了康佳人面对未来挑战的一次新出发。"
深康佳患“资金饥渴症” 卖地卖房欲变现45亿投向哪,中证网,2017年9月2日,"康佳董事局主席刘凤喜此前曾说:“ 2015年乱了一把,2016年辛辛苦苦地稳住,2017年一开始有点余地,具备了新一轮发展的基础。”在初步抚平了公司治理的博弈后,意欲转型控股平台的康佳将如何走好彩电之外的道路?"
"康佳转型,为什么让人不淡定?",搜狐网,2017年8月29日,"近日,康佳集团董事局主席刘凤喜对《21世纪经济报道》表示,20年前,彩电是高科技产业,还是最性感的。“不过,2000年以来,我们关注焦点是传统企业如何转变”,并强调,“康佳不再只是一家彩电公司,将转型投资控股平台,彩电业务则谋求独立上市”..."
康佳集团总裁周彬:机制改革 康佳是更大的受益者,搜狐网,2017年8月14日,"而上述这场股东内乱给上市公司造成业绩巨亏的同时,也加速了上市公司的变革,而且使得上市公司与大股东华侨城集团之间的关系更加统一。 在康佳董事会主席刘凤喜的带领下,从2016年开始,一场“大刀阔斧”的改革在康佳内部全面拉开,机制变革与业..."
"联手东方国际,康佳转型升级再添新引擎",中国网科学频道,2017年7月13日,"康佳集团董事局主席刘凤喜和东方资产副总裁徐勇力出席了签约仪式。康佳集团总裁周彬与东方国际联席总裁王权分别代表各自公司在协议上签字。 据了解,双方合作的首个重大举措很可能将聚焦于合作设立一个专注于智能家居、智能社区、智能终端、物联..."
[关联交易]深康佳A:关联交易公告,中国财经信息网,2017年5月22日,"3、本公司董事局于2017年5月22日(星期一)召开的第八届董事局第三十 次会议审议通过了《关于向华侨城集团公司申请委托贷款额度的议案》,公司共 有7名董事,在董事局会议对该关联交易进行表决时,除关联董事刘凤喜先生、..."
康佳集团总裁周彬:公司需要一次大跨越,搜狐网,2017年5月8日,"他的团队中,多数成长于康佳,也有两位是来自于外部——来自广电领域的杨波和来自金融领域的孙清岩均出任了康佳集团的副总裁,他们分别负责内容产业和投资业务。 “我们刘凤喜董事长对新高管团队充满了信心,认为这是一支想干能干的队伍。"
