title,source,time,summary
江苏省属企业今年混改“第一单”——徐矿集团混改项目昨日落地,潇湘晨报,2020年12月29日,”徐矿集团党委书记、董事长冯兴振介绍，2018年，经省发改委批准，徐矿股份成为江苏省首批国企混改试点单位。2019年获省国资委批复，确定了“混改+上市”的实施路径，明确了资产重组、股权转让、推动上市的“三步走”计划。今年，徐矿积极...
徐矿“产改”十条让工人有地位有待遇受尊重,网易订阅,2020年9月16日,"作为全省能源电力企业劳模和工匠人才创新工作室联盟成员,冯兴振参加了启动仪式。徐矿集团华美热电公司等单位行政方和工会方现场签订了能级工资专项集体合同。 王亚男 张炜玮"
徐矿集团来贾调研 携手打造企地高质量融合发展升级版,澎湃新闻,2020年5月11日,"冯兴振一行先后来到大吴街道双楼物流园河海联运平台、旗山矿遗址、江苏师范大学科文学院新校区、徐矿综合利用发电有限公司、吉麦新能源汽车、韩桥矿煤矿博物馆、韩桥矿(协同转型产业园)、徐州雷鸣公司等地,实地调研贾汪经济社会发展情况,商榷..."
"直通省两会 | 冯兴振:加大“走出去”力度,放大徐州辐射带动作用",澎湃新闻,2020年1月16日,"省人大代表,徐矿集团党委书记、董事长,徐州矿务局局长冯兴振: 作为省属能源集团,徐矿和徐州人民一同走过了138年的历程。 近年来,徐矿集团面对资源枯竭,人心不稳、生态破坏的发展困境,以服务全省能源安全保障为主线、以推动高质量发展为主..."
冯兴振:从资源枯竭中走出的扩张发展之路,新华报业网,2020年1月13日,"前来参加新华传媒智库的徐矿集团党委书记、董事长冯兴振谈起企业,丝毫不避讳地坦言徐矿身为一家能源企业已然面对资源枯竭的窘境。资源枯竭并非人才凋零、管理经验无用武之地,历经137年风霜雨雪的徐矿集团依托积累的煤矿技术管理经验,开展..."
国务院安委办:徐矿集团盲目下达利润指标,新京报贝壳财经,2019年10月31日,"冯兴振表示,要迅速开展隐患大排查大整治,列出清单、明确责任、全面整改,做到思想认识到位、责任落实到位、操作规程到位,确保年终安全形势稳定。 资料显示,徐州矿务集团有限公司(简称“徐矿集团”)最早从清朝徐州利国矿务总局演变而来,是中国..."
徐州开展希望工程“圆梦行动”主题活动,中国江苏网,2019年8月28日,"徐州市委常委、组织部长季培东,江苏省希望工程办公室主任付建龙,徐州矿务集团有限公司党委书记、董事长冯兴振,徐州市委副秘书长刘汉英,团市委书记潘晓,团市委副书记韩锋,爱心企业代表,各县(市)区希望办负责人和“圆梦行动”受助学子代表共..."
满怀对党忠诚 让大局稳下来,搜狐网,2019年4月15日,"徐矿集团党委书记、董事长,徐州矿务局局长冯兴振在回顾2017年初的艰难困境时说,面对人心不稳、信心不足、矛盾交织的困境,集团党委以满怀对党的忠诚举旗定向,果断作出了“旗帜鲜明讲政治”和“三个稳定”的决策,把确保安全稳定、经营稳定..."
青年书法家岳继承为第三届“徐州经济年度人物”“十佳优秀企业家...,徐州市人民政府,2019年1月15日,"今年13位获奖企业家的颁奖词,均由一位书法家题写,他就是徐州市青年书法家协会主席、中国书法家协会会员、民族英雄岳飞第30世嫡孙岳继承。 徐州经济年度人物 壹 冯兴振 徐州矿务集团有限公司 党委副书记、副董事长 【颁奖词】他临危受..."
表彰决定!这113人上榜!,网易订阅,2019年1月6日,"为进一步弘扬企业家精神,坚定企业发展信心,发展壮大实体经济、民营经济,在各地、市有关部门推荐的基础上,经认真严格评选,市委、市政府决定授予徐州矿务集团有限公司党委副书记、副董事长冯兴振等3名同志第三届“徐州经济年度人物”荣誉称号..."
