title,source,time,summary
易事特:控股股东扬州东方集团有限公司拟减持不超过约6959万股,每日经济新闻,2020年7月6日,2019年年报显示，易事特的主营业务为高端电源装备、新能源、新能源汽车及充电设施和设备，占营收比例分别为：70.63%、25.74%、3.63%。易事特的董事长是何佳，男，35岁，中国国籍，无永久境外居留权，EMBA在读。 易事特的总经理是陈硕...
易事特:第一大股东东方集团将原质押给国联证券的公司股份500万股...,每日经济新闻,2020年8月31日,2020年半年报显示，易事特的主营业务为高端电源装备、新能源、新能源汽车及充电设施和设备，占营收比例分别为：73.29%、24.66%、2.04%。易事特的董事长是何佳，男，35岁，中国国籍，无永久境外居留权，EMBA在读。 易事特的总经理是...
2018能源思享汇杭州盛大开幕 何佳董事长受邀出席并畅谈“光储充...,搜狐网,2018年9月17日,开发有限公司董事长仇展炜、江苏苏美达集团有限公司总经理蔡济波、中国可再生能源学会孟宪淦原副理事长、特变电工新疆新能源股份有限公司副总经理邵勇刚、东方日升新能源股份有限公司总裁王洪 、易事特集团股份有限公司董事长何佳等受邀出席大会...
易事特:公司副总经理王进军辞职,每日经济新闻,4月6日,2020年半年报显示，易事特的主营业务为高端电源装备、新能源、新能源汽车及充电设施和设备，占营收比例分别为：73.29%、24.66%、2.04%。易事特的董事长是何佳，男，36岁，中国国籍，无永久境外居留权，EMBA在读，工商管理硕士。
宁德时代联手易事特合资新公司正式成立 加码储能业务,DoNews,2020年4月23日,DoNews 4月22日消息（记者 吴丽）据天眼查数据显示，4月20日，新能易事特（扬州）科技有限公司成立，该公司注册资本1亿人民币，法定代表人为为易事特集团董事长何佳，公司经营范围包括电池制造；电池销售；变压器、整流器和电感器制造；...
宁德时代与易事特合资成立新公司 发力储能业务,中国经济网,2020年4月22日,该公司法定代表人何佳，同时，他也是易事特集团股份有限公司的法定代表人。据公开信息显示，易事特集团，创立于1989年，是全球智慧城市&大数据、智慧能源解决方案的供应商，为全球用户提供5G供电系统、5G边缘计算、数据中心(量子通信、云计算...
上市公司联手搞大事 宁德时代牵手易事特成立合资公司,上游新闻,2020年4月22日,天眼查数据显示，4月20日，新能易事特（扬州）科技有限公司成立，该公司注册资本1亿人民币，法定代表人为为易事特集团董事长何佳，公司经营范围包括电池制造；电池销售；变压器、整流器和电感器制造；智能输配电及控制设备销售；智能控制系统...
易事特董事长回应公司易主:力争打造成广东混改典型,腾讯网,2020年4月21日,"“公司控股股东股份转让事宜已经完成了尽调工作并获得了国家市场监督管理总局的反垄断申报批复”,4月21日,易事特集团股份有限公司董事长何佳在回答南都记者提问时透露,此次控股权转让受到多方关注和关心,各相关方积极协调,力争打造成为广东混..."
易事特豁免控股股东扬州东方、实控人何思模股份锁定承诺,新京报贝壳财经,2019年12月25日,"易事特集团股份有限公司(以下简称“公司”或“易事特”)于2019年12月24日召开第五届董事会第四十六次会议,何佳先生作为关联董事回避表决,以6票同意,0票反对,0票弃权审议通过《关于豁免控股股东、实际控制人股份锁定承诺的议案》。为发挥..."
"刚刚,东莞上市公司易事特董事长何思模辞职,儿子将接班!",网易订阅,2018年6月16日,"我的儿子何佳,也在公司历练了十余年,勤勉上进。我非常有信心,在全体战友的共同努力下,易事特将继续保持高速的成长!我对他们不忘初心,砺砺前行寄予厚望和充满信心! 辞职后,我将继续担任控股公司扬州东方集团董事长和易事特大学校长职务。"
