title,source,time,summary
北京科锐:公司旗下控股子公司普乐新能源(蚌埠)有限公司具有HIT技术,同花顺财经,2020年3月20日,同花顺金融研究中心3月20日讯，有投资者向北京科锐提问， 公司有涉及HIT或者IGBT的产品吗？公司的产品在能源互联网里面有些什么应用场景？谢谢 公司回答表示，公司旗下控股子公司普乐新能源（蚌埠）有限公司具有HIT技术，承担了安徽省科技...
[关联交易]北京科锐:关于收购普乐新能源(蚌埠)有限公司股权暨关联...,中国财经信息网,2018年12月6日,"司控股股东北京科锐北方科技发展有限公司(以下简称“科锐北方”)持有的普乐新 能源(蚌埠)有限公司(以下简称“普乐新能源”)50.5917%股权。本次收购完成 后,普乐新能源将成为公司控股子公司。具体情况如下: ..."
北京科锐(002350.SZ):拟减少子公司普乐新能源注册资本 利于提高...,和讯股票,2019年12月17日,"格隆汇12月17日丨北京科锐(002350,股吧)(002350.SZ)公布,公司第六届董事会第四十七次会议审议通过了《关于减少控股子公司普乐新能源(蚌埠)有限公司注册资本的议案》,同意公司控股子公司普乐新能源(蚌埠)有限公司(“普乐新能源”)将注册..."
北京科锐:普乐新能源之前主营光伏电站组件、具有分布式光伏电站的...,同花顺财经,2020年6月3日,公司回答表示，整个半导体工艺设备，其三大分支分别为镀膜沉积、曝光机和刻蚀，整个半导体工艺环节复杂，流程较多，普乐新能源（蚌埠）有限公司（以下简称“普乐新能源”）基于自身在薄膜方面积累的优势，目前从切入镀膜沉积这一环节做研制。目...
北京科锐拟以1.26亿元收购普乐新能源,东方财富网,2018年12月7日,"北京科锐于12月7日发布关于收购普乐新能源(蚌埠)有限公司(以下简称“普乐新能源”)股权暨关联交易的公告。 北京科锐拟以自有资产1.26亿元收购公司控股股东持有的普乐新能源50.59%股权。本次收购完成后,普乐新能源将成为公司控股子公司。"
普乐新能源:打造光伏产业技术新高地,经济日报多媒体数字报刊,2011年5月23日,"不久前,记者来到蚌埠普乐新能源有限公司,只见各车间均是一派忙碌的景象。在成品包装车间里,工人们正在忙碌地将整齐排列的成品非晶硅电池分装进木箱。普乐公司总经理孙嵩泉向记者介绍,“公司拥有自主知识产权,是集设备设计制造、产品研发和..."
SHINE专访:普乐新能源总经理孙嵩泉博士,索比光伏网,2009年6月16日,"这一政策来得十分突然,却在一瞬间开启了中国补贴光伏应用的历史大门。然而这一新政主要是针对于BIPV的建筑,因此,我们借机采访了在这方面具有明显优势的薄膜生产企业---蚌埠普乐新能源有限公司。 普乐..."
安徽省新能源公司优秀企业推荐,搜狐网,3月5日,"中汇优企—企业优选计划,安徽省新能源公司优秀企业推荐排名结果如下: 第1名:芜湖信义新能源管理有限公司 第2名:普乐新能源(蚌埠)有限公司 第3名:安徽银欣新能源科技有限公司 第4名:安徽巡鹰新能源集团有限公司 ..."
央媒再次聚焦蚌埠!这次是因为…,澎湃新闻,2020年4月7日,"普乐新能源(蚌埠)有限公司工作人员正在车间作业。刘晨/摄 真心实意:“93条具体措施”优化营商环境 为优化营商环境,蚌埠出台了《优化营商环境实施办法》,根据营商环境评价指标体系18个专项指标要求,提出了93条具体措施,主要在工程建设项目..."
安徽省蚌埠市1.3亿元助力光伏产业发展,北极星太阳能光伏网,2010年10月22日,"除支持普乐新能源(蚌埠)有限公司50兆瓦非晶硅薄膜太阳能电池项目建设外,还支持了三鑫太阳能光电玻璃有限公司年产120万重量箱超白太阳能光伏玻璃项目、蚌埠投资集团有限公司2兆瓦非晶硅薄膜太阳能电池示范电站、蚌埠玻璃工业设计研究院“安徽..."
