title,source,time,summary
江苏亨通光电股份有限公司,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2018年8月30日,"具体内容详见上海证券交易所网站公告,亨通光电:2018-078号. 四,审议通过关于《增加2018年度为控股子公司及联营企业担保额度》的议案; (1)审议通过关于《增加2018年为江苏华脉光电科技有限公司关联担保额度》的议案; 关联董事尹纪成,孙义兴..."
江苏亨通光电股份有限公司2005年年度报告-搜狐财经,搜狐网,2006年2月25日,"(2)公司股份总数及结构的变动情况 2005年7月29日,公司2005年第一次临时股东大会审议通过了《江苏亨通光电股份有限公司股权分置改革方案》,具体内容为由原非流通股股东向原流通股股东每10股送4. 5股。方案实施后,公司股份总数不变,..."
再添殊荣 亨通光电喜获江苏省质量奖,hc360慧聪网,2016年6月6日,"6月2日,江苏省质量工作会议召开,亨通通信产业集团江苏亨通光电股份有限公司(简称“亨通光电“)荣膺“江苏质量奖”殊荣,江苏省省长石泰峰出席会议,亨通光电总经理尹纪成应邀参加会议,并作为获奖企业代表作主题发言。"
"亨通光电:亨通集团解除质押800万股,质押820万股",每日经济新闻,2020年11月11日,2019年年报显示，亨通光电的主营业务为制造业、服务业，占营收比例分别为：84.75%、13.96%。亨通光电的董事长是钱建林，男，47岁，大学本科，EMBA工商硕士，高级经济师、高级工程师。 亨通光电的总经理是尹纪成，男，47岁，本科学历，...
亨通光电投5亿元新设亨通智网工程技术公司,电缆网,2016年6月14日,"5、法人代表:尹纪成 据了解,江苏亨通智网工程技术服务有限公司经营范围:通信工程、防雷工程、安防工程的设计、施工及工程技术咨询服务;合同能源管理服务;风能、太阳能发电的投资运营及相关技术服务;电力能源工程项目的设计、施工、管理和经营..."
江苏亨通光电股份有限公司2020年第一次临时股东大会决议公告,网易,2020年3月19日,"(五) 公司董事、监事和董事会秘书的出席情况 1、 公司在任董事11人,出席2人,董事崔根良、张汝京、崔巍、尹纪成、李自为、褚君浩、阎孟昆、郦仲贤、顾益中因公务原因未出席本次会议; 2、 公司在任监事3人,出席1人,监事虞卫兴、陈..."
江苏亨通光电股份有限公司关于增加2019年度日常关联交易额度的公告,东方财富网,2019年10月31日,1。 江苏亨通光电股份有限公司第七届董事会第十六次会议决议; 2。 江苏亨通光电股份有限公司第七届监事会第十三次会议决议; 3。 江苏亨通光电股份有限公司独立董事关于第七届董事会第十六次会议相关事项的事前认可意见及独立意见。
江苏亨通光电股份有限公司2020年度报告摘要,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,9天前,"经中国证券监督管理委员会2019年2月1日证监许可【2019】200号《关于核准江苏亨通光电股份有限公司公开发行可转换公司债券的批复》,公司于2019年3月19日公开发行可转换公司债券1,733万张,每张面值为100元人民币,共募集资金总额为1,733,..."
亨通光电:实际控制人崔根良所持2100万股解除质押及再质押,每日经济新闻,1月27日,2019年年报显示，亨通光电的主营业务为制造业、服务业，占营收比例分别为：84.75%、13.96%。亨通光电的董事长是钱建林，男，48岁，大学本科，EMBA工商硕士，高级经济师、高级工程师。 亨通光电的总经理是尹纪成，男，48岁，本科学历，...
"2020PT展 | 携手中国移动,亨通光电深度布局“5G+工业互联网”",搜狐网,2020年10月15日,"作为全球光纤通信行业领先企业,亨通光电以高度的使命感,率先布局工业互联网新领域。“企业地位是荣誉,更意味着使命。作为一家富有责任感和使命感的的头部企业,亨通光电需要为国家战略积极担当。”江苏亨通光电股份有限公司副总经理轩传吴表示..."
亨通光电与山东罗庄广电签署战略,光纤在线,2018年4月26日,"4/26/2018,4月23日,江苏亨通光电股份有限公司与山东广电网络有限公司罗庄分公司(简称“山东罗庄广电”)举行战略合作签约仪式,双方确定建立全面、紧密的战略合作关系,发挥双方各自优势,开展以智慧社区为主的创新型业务合作,共同打造智慧城市..."
重磅| 亨通光电在京发布多款新品:聚焦行业趋势风口 引领智慧物联...,搜狐网,2017年9月28日,"以“智慧全球·物联未来”为主题,亨通通信产业集团江苏亨通光电股份有限公司,今天(9月28日)在北京成功举办2017新品发布会。 经过精心的策划,充分的准备,2017亨通光电新品发布会隆重上演! 洞察行业趋势、立足行业前沿,亨通坚持创新驱动发展,..."
亨通光电:瞄准产业尖端前沿 力争打造超千亿级国际化企业,讯石光通讯网,2016年9月21日,"摘要:9月21日下午,江苏亨通光电股份有限公司(以下简称“亨通光电”)在京成功举办以“万物互联,智慧未来”为主题的2016亨通新品发布会。会上,亨通光电总经理尹纪成发表精彩致辞。 ICCSZ讯(summer)9月21日下午,江苏亨通光电股份有限公司(..."
亨通光电“中国出口质量安全示范企业”授牌 助推中国制造走向世界,讯石光通讯网,2016年6月24日,"22日下午,江苏省出入境检验检疫局代表国家质量监督检验检疫总局为江苏亨通光电股份有限公司颁发“中国出口质量安全示范企业”奖牌,江苏国检局副局长王续刚、中国人民大学苏州校区党委书记朱信凯、吴江区副区长吴琦、亨通光电总经理尹纪成等出席..."
世界首条G.654E光纤在亨通光电顺利成缆 并通过中国联通检测,OFweek光通讯网,2016年1月4日,"12月28日,中国联通济南-青岛一级干线工程专家组一行30多人莅临江苏亨通光电股份有限公司(以下简称“亨通光电”),进行全世界第一条G.654E干线光缆的出厂检验和技术培训。亨通光电公司总经理尹纪成、副总经理沈新华、总工程师吴俊雄等各级领..."
亨通光电圆满举办2014年媒体采风活动,电缆网,2014年5月20日,"近日,江苏亨通光电股份有限公司(下称""亨通光电"")在亨通光通信科技园圆满举办""创新引领o精彩网络""2014'亨通光电媒体采风活动,人民邮电报、通信产业报、网络电信、中国通信网、中国信息产业网等通信行业主流媒体齐聚亨通,展开了对亨通光通信产..."
亨通光电携手浙大海洋学院打造教学实习基地,人民邮电报,2014年4月22日,"本报讯江苏亨通光电股份有限公司与浙大海洋学院教学实习基地授牌仪式日前顺利举行。浙江大学海洋学院院长陈鹰与亨通光电总经理尹纪成签署了合作协议。此举是“产学研用”深度合作的又一典范,标志着亨通光电在技术创新和人才储备上的不懈努力。"
2017全球光纤光缆最具竞争力企业榜单公布 亨通蝉联全球前三强,通信世界网,2017年11月17日,"同时,亨通光电还荣获了中国光通信2017年度最佳客户服务奖,亨通集团执行总裁、亨通光电董事长钱建林荣膺2017年中国光通信创新推动管理人物奖,亨通光电总经理尹纪成获评2017年中国光通信年度实践先锋人物。 江苏亨通海洋光网系统有限公司总经理许..."
全球光纤光缆最具竞争力企业龙虎榜出炉 亨通位列前3强,中国质量新闻网,2016年11月18日,"11月16日,“2016(第十届)中国光通信发展与竞争力论坛暨2016中国|全球光通信最具竞争力企业10强评选活动颁奖典礼(ODC’2016)”在北京隆重举行,亨通通信产业集团江苏亨通光电股份有限公司(以下简称亨通光电)斩获多项殊荣,成为典礼上最闪耀..."
亨通光电:计划2021年度为子公司及联营企业提供总额为159.3亿元的...,每日经济新闻,9天前,2020年年报显示，亨通光电的主营业务为制造业、服务业，占营收比例分别为：86.76%、11.08%。亨通光电的董事长是钱建林，男，48岁，大学本科，EMBA工商硕士，高级经济师、高级工程师。 亨通光电的总经理是尹纪成，男，48岁，本科学历，...
