title,source,time,summary
双志的韧性 ——专访江苏双志新能源有限公司,网易订阅,2019年7月9日,"同时,为了更好地服务用户,双志新能源加大相关员工的技能培训力度,专业的讲师和专业教材,让他们基础知识更扎实,服务意识更强烈,能够及时响应用户需求,提升用户的满意度。 笔者拜访双志的时候,公司正在召开渠道年中会议。据总经理洪志中表示,..."
"连续四年,双志新能源再次中标北京煤改电",搜狐网,2019年5月22日,"2019年5月20日,北京市延庆区2019年农村地区村庄冬季清洁取暖工作空气源热泵生产企业入围中标公告公示,江苏双志新能源有限公司再次凭借强劲的实力榜上有名,成为从众多参与企业中脱颖而出的八家企业之一。"
美的、格力、长虹、生能、德富、双志等中标2019年顺平县空气源...,慧聪网,2019年7月16日,"广东长菱空调冷气机制造有限公司 单价:3P:16800元/套,5P:18300元/套,6P:19800元/套,8P:21800元/套 江苏双志新能源有限公司 单价:3P:16500元/套,5P:18100元/套,6P:19600元/套,8P:21500元/套 ..."
忻府区“煤改电”工程暖民心,忻州随手拍,2019年12月22日,"江苏双志新能源有限公司董事长洪志中介绍说,他们公司实施的“煤改电”项目采用空气源+水源热泵耦合的清洁能源集中供暖方式。空气源热泵的工作原理,是利用制冷剂循环作为载体,通过压缩机做功,将室外空气中的能量“搬运”到室内,不需燃料输送..."
“2018年度中国空气能热水机十大品牌总评榜”荣耀揭晓,搜狐网,2018年9月29日,"双志集团创于1996年,现在有固定资产1亿元,年销售额达3亿元。集团主要有江苏双志新能源有限公司、常州双志运输有限公司、常州双志燃气有限公司、安徽佳德福节能设备有限公司、常州佳得福节能设备有限公司、丹阳天圣燃气有限公司等全资营运公司,..."
暖通空调全产业链综合服务电商平台——“哪凉快”平台正式上线,搜狐网,2019年1月18日,"与江苏双志新能源有限公司签署战略合作协议 ▲战略合作伙伴现场合影留念 合伙人加入“哪凉快” 在现场,多家知名企业与“哪凉快”平台签订合伙协议,成为“哪凉快”平台的合伙人,共同为暖通空调行业内打造一个全新的互联网商业交易平台。"
重磅|20多家热泵企业中标宁夏、河北、山西等多地清洁采暖项目,搜狐网,2019年1月4日,河北省保定市顺平县2018年农村电代煤改造工程户内取暖设备-空气源热泵采暖系统及安装项目中标结果公示1—10标段中标企业名称广东同益空气能科技股份有限公司江苏天舒电器有限公司四川长虹空调有限公司江苏双志新能源有限公司山东力诺瑞特新能源有限...
第九届中国空气能行业品牌盛会50强揭晓(图),华夏经纬网,2016年9月21日,空气能有限公司、睿能、广东威而信实业有限公司、广东西莱克空调设备有限公司、澳信、中广欧特斯、万家乐空气能科技有限公司、江苏双志新能源有限公司、中宇、佛山铠耐空调设备有限公司、佛山市科霖新能源科技有限公司、广东华天成新能源科技...
北京10区煤改空气能热泵供暖的中标企业最全名录,搜狐网,2016年8月2日,同方人工环境有限公司 珠海格力电器股份有限公司 广东纽恩泰新能源科技发展有限公司 靖江市春意空调制冷设备有限公司 浙江正理生能科技有限公司 江苏双志新能源有限公司 北京华业阳光新能源有限公司 ...
北京煤改电空气源热泵招标44家企业入围,制冷快报,2016年7月4日,1、约克(中国)商贸有限公司北京分公司 2、海信科龙电器股份有限公司 3、江苏双志新能源有限公司 4、中山市爱美泰电器有限公司 5、珠海格力电器股份有限公司 6、北京四季沐歌太阳能技术集团有限公司 ...
