title,source,time,summary
没拿到第五张新能源牌照 江苏奥新给你借鉴经验,EV视界,2016年11月14日,"江苏奥新新能源的官网显示,该公司是2009年7月在江苏盐城国家级经济开发区成立的专门从事纯电驱动新能源汽车研发、制造和销售的高新科技企业,是盐城市国有资产投资集团有限公司控股的子公司(原是东风设计研究院有限公司在盐城开发区投资设立..."
"「独家」丁磊牵手江苏奥新,华人运通或“曲线”获得新能源资质",经济观察报,2017年12月8日,从“奥新”到“国新”：再战新能源资质 2016年10月20日，发改委否决了江苏奥新新能源汽车有限公司（简称“江苏奥新新能源”）投资年产2万辆碳纤维轻量化纯电动乘用车建设项目的资质申请，这个本来对第五张新能源汽车生产资质胜券在握...
"第五张新能源生产资质,江苏奥新,没拿到!",搜狐网,2016年11月14日,"2016年10月27日,发改委在线审批平台更新的信息显示,奇瑞新能源汽车技术有限公司纯电动乘用车项目获得汽车项目核准“通过” (审批文件发改委产业[2016]2240号),而此前一周的10月20日,发改委在线审批平台审批江苏奥新新能源有限公司投资..."
造车新势力落地江苏 丁磊攻关新能源汽车核心技术,搜狐网,2017年12月17日,"在三个股东当中,华人运通控持股80%,盐城市国有资产投资集团100%控股的江苏奥新新能源汽车有限公司(以下简称“奥新新能”)占股10%,江苏悦达集团有限公司占股10%。 盐城市作为国家新能源汽车推广应用城市,有着江苏省首家新能源汽车产业基..."
江苏国新新能源获第16张新建纯电动乘用车资质,第一电动网,2019年1月10日,"据悉,江苏国新新能源乘用车公司是由江苏奥新新能源汽车公司和盐城国投集团投资成立。盐城国投·江苏奥新公司成立于2009年,是一家拥有整车控制系统、整车集成、整车驱动系统、电池管理系统、碳纤维车身、轻量化及新材料、新工艺等新能源汽车..."
江苏奥新与苏州牧康3000辆物流车战略合作达成,搜狐网,2016年1月18日,"为了响应绿色末端物流配送体系 , 在邮政快递、电子商务末端物流等领域推广应用新能源纯电动物流车背景下,2016年1月15日“江苏奥新一苏州牧康3000辆物流车战略合作协议签署暨300辆交车仪式在江苏奥新公司举行。"
最后两张!国家发改委发放新建新能源汽车生产资质,搜狐网,2019年1月14日,"早在2017年5月,康迪和江苏奥新新能源汽车公司(国新的两大股东之一,下称江苏奥新)的纯电动乘用车项目都已走完国家发改委评审程序,但尚未完成核准。发改委就全面暂停了对相关企业的核准工作。"
新能源汽车“准生证”20个月后重开闸 第16张牌照落户国新新能源,华夏时报,2019年1月10日,"正是多家车企的入驻,使得江苏新能源汽车产业异军突起。 资料显示,江苏国新新能源乘用车公司是由江苏奥新新能源汽车公司和盐城国投集团投资成立。盐城国投·江苏奥新公司成立于2009年,是一家拥有整车控制系统、整车集成、整车驱动系统、电池..."
被困住的新能源汽车“资质门”,新华网客户端,2018年3月27日,"国新新能源汽车公司的申报单位是江苏奥新新能源汽车有限公司,早先曾以“投资年产2万辆碳纤维轻量化纯电动乘用车建设项目”申报,但未通过。“经整改后,我们再度申报,专家审核后认为符合要求了,但非常不巧因资质暂停审批而受卡。”国新..."
中国各省市新能源汽车/新兴智能企业生产和研发基地分布大全,搜狐网,2017年5月26日,淮安:敏安电动汽车总部、敏安电动汽车技术中心、敏安电动汽车生产基地、欧陆电动车 盐城:江苏奥新新能源汽车股份有限公司 4 浙江 杭州:长江汽车技术中心、长江汽车生产基地、大华(零跑科技)研发中心、电咖研发中心、万向萧山生产基地(美国加州...
