title,source,time,summary
"江铃控股关联公司申请""一种汽车座椅骨架及汽车""专利",搜狐网,4月21日,"江铃控股有限公司成立于2004年11月1日,法定代表人是徐骏,注册资本200000万人民币,所属行业为汽车制造业,经营范围包括生产汽车、发动机底盘、汽车零部件;销售自产产品并提供相关售后服务;实业投资;自营和代理各类商品和技术的进出口(国家限定..."
新江铃控股公司正式成立 通过爱驰和陆风双品牌推动 “新四化”转型,腾讯汽车,2019年8月16日,"8月16日上午,江铃集团-长安汽车-爱驰汽车合资合作发布仪式于江西南昌正式举行,江西省领导、三方股东高层和江铃控股有限公司相关高层出席了活动,新江铃控股总裁由爱驰汽车联席总裁徐骏担任。 新江铃控股是国内首个央企、地方国企和新创民企三方..."
"连续4次被列为被执行人,江铃控股心里有多苦?",腾讯网,2020年10月23日,"原长安汽车股份有限公司总裁张宝林不再担任江铃控股的法定代表人,由爱驰汽车联席总裁徐骏接任。 值得注意的是,徐骏曾在长安汽车担任要职,是长安PSA合资项目的重要牵头人和缔造者。 同时,江铃控股的高管层也发生“大换血”。原副董事长邱..."
爱驰汽车正式控股江铃 间接性获造车资质,ZAKER资讯,2019年7月31日,"【太平洋汽车网行业频道】近日,电车君通过企查查发现江铃控股有限公司法定代表人已经发生变更,江铃控股的法定代表人不再是长安汽车股份有限公司,换而是由爱驰汽车联席总裁徐骏接任。这也意味着,爱驰正式完成增资江铃控股并获取后者造车资质。"
"江铃控股抵押机器设备,被担保债权金额8171万元",新京报,2019年8月27日,"抵押权人为江铃汽车集团有限公司。 据悉,由江铃集团、长安汽车和爱驰汽车的合资合作公司新江铃控股日前正式成立。天眼查信息显示,今年7月26日,江铃控股的法人代表就从张宝林变更为徐骏。 新京报 记者 刘阳 实习生 汪林 编辑 秦胜南 校对..."
"江铃控股混改,一场多方合力的“阳谋”",ZAKER资讯,2019年8月26日,"爱驰联席总裁、江铃控股有限公司总裁徐骏认为,"" 此次混改不仅可以盘活原有的地方国企,还能引入创新的思维,对产品和后续发展提供了有利的支持。"" 在媒体报道中,与官方表态高度一致,主流声音认为,这是一场多赢的合作。在路由社看来,这其实..."
"造车新势力首次参与国企混改:爱驰增资江铃控股,能激活陆风吗?|...",搜狐网,2019年8月23日,"在合资合作发布会后,徐骏接受了媒体的专访。“新江铃控股”正式成立后,他的身份也从此前的爱驰汽车联席总裁转为江铃控股总裁。专访中徐骏表示,无论是15年前长安与江铃合作成立江铃控股,还是15年后江铃集团、长安汽车、爱驰汽车三方合资合作..."
"收购江铃控股,爱驰汽车的深谋远虑和一箭三雕",文书车云,2019年8月22日,"重组之后,江铃控股的身份发生变更,长安汽车总裁张宝林卸任江铃控股的法定代表人,爱驰汽车联席总裁徐骏接任,爱驰汽车创始人付强新增为副董事长。这意味着一个全新的江铃控股已经出现,爱驰汽车正式成为江铃控股的实际控制人,间接获得了生产资质..."
"江铃控股混改风云:新造车企业爱驰入主,陆风汽车绝地求生",经济观察报,2019年8月20日,"江铃控股的总裁徐骏在现场表示,在新投资和新机制下,江铃控股的目标是在3到5年时间内,使企业的产品和盈亏局面得到彻底的改变。数据显示,由于陆风汽车销量的连年下滑,江铃控股2018年利润亏损达8.2亿元。但接下来,随着爱驰汽车迎来量产交付..."
"新变革、新方位、新机遇,江铃控股踏上新征程!",网易订阅,2019年8月19日,"据悉,这是国内首个央企、地方国企和民企三方混改的案例。经过三方资产重组后的江铃控股,将由爱驰汽车、江铃集团、长安汽车分别以50%:25%:25%的股比而成。新江铃控股总裁将由爱驰汽车联席总裁徐骏担任。"
江铃牵手长安、爱驰:新江铃控股成立,东方财富网,2019年8月17日,"此前三方达成关于江铃控股的合资合作协议,根据协议内容,爱驰汽车、江铃集团、长安汽车在新江铃控股中的股比分别为50%、25%、25%。7月26日,江铃控股有限公司法定代表人发生变更,由爱驰汽车联席总裁徐骏接任。"
"新江铃控股完成重组,爱驰持股50%,未来将与陆风形成双品牌矩阵",钟叔驾道FM,2019年8月16日,"8月16日上午,江铃集团官宣,江铃集团-长安汽车-爱驰汽车合资合作发布仪式于江西南昌正式举行,江西省领导、三方股东高层和江铃控股有限公司相关高层出席了活动,新江铃控股总裁由爱驰汽车联席总裁徐骏担任。 江西省发展和改革委员会苏区办副主任..."
一图看懂爱驰“重组”江铃控股后江铃集团最新架构,搜狐网,2019年8月16日,"中国兵器装备集团有限公司党组成员、副总经理、长安汽车董事长张宝林,长安汽车常务副总裁袁明学;爱驰汽车有限公司联合创始人兼董事长、江铃控股副董事长付强,爱驰汽车联席总裁、江铃控股总裁徐骏以及相关省市政府及合作各方领导共同出席了活动..."
江铃集团-长安汽车-爱驰汽车强强联手 江铃控股开启新篇章,网易订阅,2019年8月16日,"上饶市副市长俞健;江铃汽车集团有限公司党委书记、董事长邱天高,党委副书记蒋林生;长安汽车董事长张宝林,常务副总裁袁明学;爱驰汽车有限公司联合创始人兼董事长付强,联席总裁、江铃控股有限公司总裁徐骏等相关省市政府及合作各方领导共同出席..."
