title,source,time,summary
河北建投新能源签订500MW风电制氢项目,全国能源信息平台,2020年3月21日,县委书记王兵在讲话中指出，我县风、光等可再生能源丰富，与河北建投新能源有限公司的合作预示着化德县新能源发展迈出了全新的一步。他希望双方在期望、在合作中优势互补、资源共享、共谋发展，努力使该项目成为投资各方新的经济增长点和...
河北建投集团领导到新天绿色能源公司宣讲党的十九届四中全会精神,河北新闻网,2019年12月6日,"新天绿色能源公司党委书记、总裁梅春晓对公司2019年工作完成情况及2020年工作计划进行了汇报,对新天公司的生产经营情况、投融资完成情况、2019年工程建设及重点项目进展情况、重点工作完成情况等进行了翔实介绍,对2020年工作计划进行了详细说明..."
一航要闻 | 公司领导拜访河北建设投资集团领导,搜狐网,2018年9月22日,"9月21日,公司党委书记、董事长王洪涛在石家庄拜访河北建设投资集团公司党委书记、董事长李连平。新天绿色能源公司董事长梅春晓,河北建投集团办公室主任王宏乾,液化天然气公司总经理陆阳,公司副总经理姜松,国内市场部、一公司相关负责人参加..."
Citigroup Inc.增持新天绿色能源股份约192.20万股,每日经济新闻,2月22日,新天绿色能源股份有限公司的总裁是梅春晓，男，53岁，中国国籍，无境外居留权，硕士学位，正高级工程师，历任二分场党支部书记、主任、副总工程师兼发电部主任，历任河北建投新能源有限公司总经理助理、副总经理、总工程师、总经理。每经...
新天绿能:本次为新天国化提供的担保金额为 1.4 亿元,手机凤凰网,4月27日,"新天绿能的总裁是梅春晓,男,53岁,中国国籍,无境外居留权,硕士学位,正高级工程师,历任二分场党支部书记、主任、副总工程师兼发电部主任,历任河北建投新能源有限公司总经理助理、副总经理、总工程师、总经理。"
46+59!河北省五一劳动奖章和工人先锋号名单出炉,网易,9天前,"长城网讯(记者张艺萌)记者从河北省总工会获悉,根据《河北省五一劳动奖状、河北省五一劳动奖章、河北省工人先锋号评选管理工作办法》的有关规定,经省总工会研究决定,授予尹超等46名同志""河北省五一劳动奖章"",授予夏立创新工作室等59个集体..."
"新天绿能:拟非公开增发约11.55亿股,募资51.10亿元",搜狐网,3月5日,"新天绿能的总裁是梅春晓,男,53岁,中国国籍,无境外居留权,硕士学位,正高级工程师,历任二分场党支部书记、主任、副总工程师兼发电部主任,历任河北建投新能源有限公司总经理助理、副总经理、总工程师、总经理。"
(受权发布)中央文明委关于表彰第六届全国文明城市、文明村镇...,新华网客户端,2020年11月21日,"授予中核核电运行管理有限公司等2884个单位全国文明单位称号,授予钱蕾家庭等499户家庭全国文明家庭称号,授予北京理工大学等641所学校全国文明校园称号,授予河北省承德市等30个城市(区)全国未成年人思想道德建设工作先进城市(区)称号,授予山西..."
...报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司...,证券时报电子报实时通过手机APP、网站免费阅读重大财经新闻资讯及上市公司公告,2020年8月27日,"鉴于本次募集资金投资项目“河北建投丰宁森吉图风电场(三期)150MW工程项目”由公司子公司河北丰宁建投新能源有限公司(以下简称“丰宁新能源”)实施, 2020年7月,公司、丰宁新能源、中德证券与中国建设银行股份有限公司河北省分行、国家开发..."
2020年中国户外广告企业投资上市价值TOP500海选正式启动!,搜狐网,2020年8月20日,"吴乐进中国创共体总裁、原A股上市公司浔兴股份总裁 朱博燊北京京荟文化集团董事长、北京布局投资有限公司执行董事 袁冰A股奥马电器股东、去哪儿网创始团队之一、A股直通车创始人 常 亮在IDG期间投了脸萌Faceu、新媒体管家,现桃李创投创始人..."
